Cass County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.65,-0.42
200002,1.61,-0.14
200003,1.64,-0.96
200004,3.56,0.14
200005,6.59,2.85
200006,5.84,2.00
200007,4.89,1.58
200008,2.17,-1.18
200009,4.82,1.29
200010,2.57,-0.48
200011,3.68,0.89
200012,3.64,1.12
200101,0.85,-1.22
200102,3.10,1.35
200103,0.78,-1.82
200104,3.44,0.02
200105,3.58,-0.16
200106,4.61,0.77
200107,4.03,0.72
200108,4.31,0.96
200109,3.95,0.42
200110,7.01,3.96
200111,2.33,-0.46
200112,2.40,-0.12
200201,2.09,0.02
200202,2.06,0.31
200203,2.33,-0.27
200204,3.21,-0.21
200205,5.45,1.71
200206,2.57,-1.27
200207,2.65,-0.66
200208,4.17,0.82
200209,1.30,-2.23
200210,1.99,-1.06
200211,2.08,-0.71
200212,1.62,-0.90
200301,1.39,-0.68
200302,0.95,-0.80
200303,1.66,-0.94
200304,3.42,0.00
200305,7.27,3.53
200306,1.55,-2.29
200307,4.57,1.26
200308,2.63,-0.72
200309,4.48,0.95
200310,2.75,-0.30
200311,5.45,2.66
200312,2.00,-0.52
200401,1.51,-0.56
200402,0.78,-0.97
200403,3.52,0.92
200404,0.60,-2.82
200405,7.22,3.48
200406,5.11,1.27
200407,4.30,0.99
200408,4.58,1.23
200409,0.85,-2.68
200410,2.20,-0.85
200411,4.08,1.29
200412,2.66,0.14
200501,5.04,2.97
200502,2.26,0.51
200503,1.72,-0.88
200504,0.93,-2.49
200505,1.75,-1.99
200506,3.51,-0.33
200507,5.32,2.01
200508,1.91,-1.44
200509,4.00,0.47
200510,0.79,-2.26
200511,2.74,-0.05
200512,2.10,-0.42
200601,3.16,1.09
200602,1.37,-0.38
200603,2.73,0.13
200604,1.73,-1.69
200605,4.81,1.07
200606,1.88,-1.96
200607,6.82,3.51
200608,5.19,1.84
200609,2.85,-0.68
200610,5.03,1.98
200611,2.26,-0.53
200612,3.52,1.00
200701,3.93,1.86
200702,1.63,-0.12
200703,1.94,-0.66
200704,4.72,1.30
200705,2.49,-1.25
200706,1.79,-2.05
200707,3.07,-0.24
200708,11.45,8.10
200709,2.46,-1.07
200710,4.00,0.95
200711,2.09,-0.70
200712,3.11,0.59
200801,5.46,3.39
200802,3.68,1.93
200803,2.05,-0.55
200804,2.78,-0.64
200805,2.76,-0.98
200806,4.14,0.30
200807,3.91,0.60
200808,1.62,-1.73
200809,11.84,8.31
200810,3.24,0.19
200811,2.14,-0.65
200812,4.54,2.02
200901,1.79,-0.28
200902,3.22,1.47
200903,4.68,2.08
200904,5.00,1.58
200905,2.96,-0.78
200906,5.29,1.45
200907,1.99,-1.32
200908,4.59,1.24
200909,1.13,-2.40
200910,6.67,3.62
200911,1.42,-1.37
200912,2.94,0.42
201001,1.46,-0.61
201002,1.68,-0.07
201003,1.42,-1.18
201004,2.87,-0.55
201005,5.80,2.06
201006,7.14,3.30
201007,4.51,1.20
201008,1.87,-1.48
201009,2.26,-1.27
201010,1.32,-1.73
201011,2.77,-0.02
201012,1.52,-1.00
201101,1.49,-0.58
201102,2.79,1.04
201103,2.08,-0.52
201104,7.51,4.09
201105,6.21,2.47
201106,3.50,-0.34
201107,4.77,1.46
201108,2.64,-0.71
201109,4.46,0.93
201110,4.27,1.22
201111,4.07,1.28
201112,2.50,-0.02
201201,2.71,0.64
201202,2.16,0.41
201203,2.60,0.00
201204,2.68,-0.74
201205,1.84,-1.90
201206,1.37,-2.47
201207,3.92,0.61
201208,3.68,0.33
201209,2.25,-1.28
201210,5.04,1.99
201211,0.47,-2.32
201212,3.22,0.70
201301,3.83,1.76
201302,2.43,0.68
201303,1.16,-1.44
201304,6.92,3.50
201305,3.17,-0.57
201306,5.35,1.51
201307,2.06,-1.25
201308,2.17,-1.18
201309,1.77,-1.76
201310,4.41,1.36
201311,3.28,0.49
201312,2.53,0.01
201401,2.84,0.77
201402,2.23,0.48
201403,1.64,-0.96
201404,2.94,-0.48
201405,3.78,0.04
201406,7.80,3.96
201407,3.18,-0.13
201408,3.94,0.59
201409,2.89,-0.64
201410,4.67,1.62
201411,3.26,0.47
201412,1.35,-1.17
201501,1.79,-0.28
201502,1.92,0.17
201503,0.62,-1.98
201504,2.53,-0.89
201505,5.68,1.94
201506,5.90,2.06
201507,4.72,1.41
201508,2.99,-0.36
201509,2.96,-0.57
201510,1.60,-1.45
201511,2.19,-0.60
201512,4.17,1.65
201601,1.54,-0.53
201602,1.84,0.09
201603,3.55,0.95
201604,3.59,0.17
201605,3.34,-0.40
201606,3.54,-0.30
201607,3.15,-0.16
201608,10.17,6.82
201609,3.45,-0.08
201610,3.86,0.81
201611,2.77,-0.02
201612,2.02,-0.50
201701,3.39,1.32
201702,1.95,0.20
201703,5.04,2.44
201704,2.58,-0.84
201705,4.60,0.86
201706,2.23,-1.61
201707,3.86,0.55
201708,2.58,-0.77
201709,2.17,-1.36
201710,9.17,6.12
201711,4.03,1.24
201712,1.39,-1.13
201801,1.70,-0.37
201802,6.81,5.06
201803,2.31,-0.29
201804,2.95,-0.47
201805,7.98,4.24
201806,6.29,2.45
201807,3.24,-0.07
201808,5.26,1.91
201809,2.20,-1.33
201810,4.68,1.63
201811,3.29,0.50
201812,1.88,-0.64
201901,2.24,0.17
201902,1.83,0.08
201903,2.74,0.14
201904,4.68,1.26
201905,6.26,2.52
201906,5.63,1.79
201907,4.18,0.87
201908,2.42,-0.93
201909,5.86,2.33
201910,5.24,2.19
201911,1.73,-1.06
201912,2.63,0.11
202001,4.12,2.05
