Delta County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.16,0.51
200002,1.15,-0.21
200003,2.00,0.12
200004,1.90,-0.46
200005,2.18,-0.75
200006,4.45,1.10
200007,2.72,-0.68
200008,2.94,-0.23
200009,4.52,0.99
200010,1.07,-1.70
200011,2.61,-0.02
200012,1.58,-0.21
200101,1.98,0.33
200102,1.76,0.40
200103,0.69,-1.19
200104,2.53,0.17
200105,3.80,0.87
200106,3.20,-0.15
200107,1.27,-2.13
200108,2.67,-0.50
200109,3.70,0.17
200110,3.37,0.60
200111,2.70,0.07
200112,1.57,-0.22
200201,0.69,-0.96
200202,1.63,0.27
200203,3.01,1.13
200204,5.17,2.81
200205,3.77,0.84
200206,3.76,0.41
200207,4.64,1.24
200208,4.42,1.25
200209,2.81,-0.72
200210,5.34,2.57
200211,1.39,-1.24
200212,0.91,-0.88
200301,0.51,-1.14
200302,1.36,0.00
200303,2.94,1.06
200304,3.56,1.20
200305,2.50,-0.43
200306,2.38,-0.97
200307,2.05,-1.35
200308,2.30,-0.87
200309,4.63,1.10
200310,1.72,-1.05
200311,3.32,0.69
200312,1.96,0.17
200401,1.65,0.00
200402,1.83,0.47
200403,3.86,1.98
200404,2.52,0.16
200405,4.50,1.57
200406,3.33,-0.02
200407,2.54,-0.86
200408,3.58,0.41
200409,1.59,-1.94
200410,5.27,2.50
200411,2.50,-0.13
200412,2.70,0.91
200501,1.32,-0.33
200502,1.38,0.02
200503,0.74,-1.14
200504,1.18,-1.18
200505,2.64,-0.29
200506,1.34,-2.01
200507,1.50,-1.90
200508,3.31,0.14
200509,3.51,-0.02
200510,4.23,1.46
200511,3.60,0.97
200512,1.47,-0.32
200601,1.99,0.34
200602,1.41,0.05
200603,0.96,-0.92
200604,1.40,-0.96
200605,5.46,2.53
200606,2.53,-0.82
200607,3.03,-0.37
200608,3.79,0.62
200609,3.95,0.42
200610,2.22,-0.55
200611,1.97,-0.66
200612,1.93,0.14
200701,1.84,0.19
200702,0.91,-0.45
200703,2.52,0.64
200704,1.82,-0.54
200705,1.69,-1.24
200706,3.77,0.42
200707,3.58,0.18
200708,1.82,-1.35
200709,3.56,0.03
200710,5.65,2.88
200711,1.09,-1.54
200712,2.77,0.98
200801,2.69,1.04
200802,1.47,0.11
200803,1.12,-0.76
200804,4.31,1.95
200805,3.41,0.48
200806,2.49,-0.86
200807,2.78,-0.62
200808,1.41,-1.76
200809,2.00,-1.53
200810,1.86,-0.91
200811,1.88,-0.75
200812,3.28,1.49
200901,1.09,-0.56
200902,1.78,0.42
200903,1.27,-0.61
200904,3.18,0.82
200905,3.39,0.46
200906,1.45,-1.90
200907,2.43,-0.97
200908,3.07,-0.10
200909,1.08,-2.45
200910,5.35,2.58
200911,0.88,-1.75
200912,2.13,0.34
201001,1.79,0.14
201002,0.54,-0.82
201003,0.32,-1.56
201004,0.74,-1.62
201005,2.32,-0.61
201006,7.45,4.10
201007,5.87,2.47
201008,2.29,-0.88
201009,7.76,4.23
201010,2.06,-0.71
201011,2.68,0.05
201012,1.48,-0.31
201101,0.99,-0.66
201102,0.34,-1.02
201103,1.35,-0.53
201104,4.45,2.09
201105,3.19,0.26
201106,3.69,0.34
201107,1.38,-2.02
201108,1.68,-1.49
201109,4.30,0.77
201110,2.88,0.11
201111,2.51,-0.12
201112,1.75,-0.04
201201,1.79,0.14
201202,0.42,-0.94
201203,2.09,0.21
201204,1.03,-1.33
201205,3.36,0.43
201206,3.74,0.39
201207,3.65,0.25
201208,1.01,-2.16
201209,3.86,0.33
201210,4.35,1.58
201211,1.47,-1.16
201212,1.56,-0.23
201301,2.29,0.64
201302,2.40,1.04
201303,1.93,0.05
201304,2.69,0.33
201305,2.27,-0.66
201306,2.38,-0.97
201307,4.50,1.10
201308,3.23,0.06
201309,2.24,-1.29
201310,3.31,0.54
201311,4.61,1.98
201312,2.12,0.33
201401,1.82,0.17
201402,1.23,-0.13
201403,1.79,-0.09
201404,3.61,1.25
201405,2.82,-0.11
201406,3.74,0.39
201407,1.79,-1.61
201408,4.67,1.50
201409,4.47,0.94
201410,5.50,2.73
201411,4.00,1.37
201412,2.25,0.46
201501,1.30,-0.35
201502,0.81,-0.55
201503,0.93,-0.95
201504,1.99,-0.37
201505,3.76,0.83
201506,2.77,-0.58
201507,1.65,-1.75
201508,3.04,-0.13
201509,3.15,-0.38
201510,2.70,-0.07
201511,3.28,0.65
201512,4.85,3.06
201601,1.84,0.19
201602,1.12,-0.24
201603,2.19,0.31
201604,2.70,0.34
201605,2.62,-0.31
201606,3.24,-0.11
201607,3.87,0.47
201608,4.12,0.95
201609,4.35,0.82
201610,3.94,1.17
201611,1.84,-0.79
201612,2.39,0.60
201701,1.80,0.15
201702,1.35,-0.01
201703,1.96,0.08
201704,4.07,1.71
201705,3.76,0.83
201706,7.17,3.82
201707,3.26,-0.14
201708,4.13,0.96
201709,1.61,-1.92
201710,4.20,1.43
201711,1.99,-0.64
201712,2.72,0.93
201801,1.56,-0.09
201802,1.58,0.22
201803,0.59,-1.29
201804,1.95,-0.41
201805,2.55,-0.38
201806,3.65,0.30
201807,4.19,0.79
201808,3.05,-0.12
201809,3.21,-0.32
201810,6.30,3.53
201811,2.30,-0.33
201812,1.66,-0.13
201901,2.73,1.08
201902,3.54,2.18
201903,1.33,-0.55
201904,3.69,1.33
201905,5.68,2.75
201906,2.16,-1.19
201907,3.34,-0.06
201908,3.25,0.08
201909,6.63,3.10
201910,5.18,2.41
201911,2.55,-0.08
201912,4.22,2.43
202001,2.40,0.75
