Emmet County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.94,-0.03
200002,1.68,0.29
200003,1.63,-0.20
200004,1.34,-0.87
200005,2.22,-0.50
200006,2.64,-0.14
200007,1.68,-0.96
200008,2.87,-0.08
200009,2.64,-1.06
200010,1.09,-1.74
200011,3.23,0.52
200012,1.99,-0.07
200101,1.70,-0.27
200102,2.22,0.83
200103,0.53,-1.30
200104,1.99,-0.22
200105,4.34,1.62
200106,3.07,0.29
200107,1.78,-0.86
200108,4.56,1.61
200109,5.31,1.61
200110,5.83,3.00
200111,2.59,-0.12
200112,3.50,1.44
200201,0.88,-1.09
200202,1.93,0.54
200203,2.93,1.10
200204,3.13,0.92
200205,5.31,2.59
200206,4.59,1.81
200207,3.29,0.65
200208,5.64,2.69
200209,1.57,-2.13
200210,4.00,1.17
200211,0.99,-1.72
200212,0.84,-1.22
200301,0.88,-1.09
200302,1.17,-0.22
200303,1.81,-0.02
200304,3.22,1.01
200305,2.76,0.04
200306,2.34,-0.44
200307,5.46,2.82
200308,3.11,0.16
200309,3.56,-0.14
200310,3.23,0.40
200311,4.42,1.71
200312,2.07,0.01
200401,2.22,0.25
200402,1.63,0.24
200403,2.90,1.07
200404,2.26,0.05
200405,5.13,2.41
200406,2.44,-0.34
200407,2.84,0.20
200408,3.46,0.51
200409,1.33,-2.37
200410,4.87,2.04
200411,3.37,0.66
200412,3.72,1.66
200501,1.74,-0.23
200502,1.48,0.09
200503,1.02,-0.81
200504,1.74,-0.47
200505,1.81,-0.91
200506,2.08,-0.70
200507,2.93,0.29
200508,5.46,2.51
200509,2.81,-0.89
200510,1.91,-0.92
200511,4.33,1.62
200512,2.32,0.26
200601,2.92,0.95
200602,1.90,0.51
200603,0.86,-0.97
200604,2.49,0.28
200605,4.14,1.42
200606,0.88,-1.90
200607,2.28,-0.36
200608,3.41,0.46
200609,4.22,0.52
200610,5.20,2.37
200611,1.66,-1.05
200612,3.31,1.25
200701,1.52,-0.45
200702,0.64,-0.75
200703,2.50,0.67
200704,2.23,0.02
200705,1.61,-1.11
200706,2.67,-0.11
200707,2.33,-0.31
200708,2.12,-0.83
200709,4.02,0.32
200710,4.60,1.77
200711,1.70,-1.01
200712,1.67,-0.39
200801,3.89,1.92
200802,1.63,0.24
200803,1.18,-0.65
200804,4.48,2.27
200805,3.47,0.75
200806,4.21,1.43
200807,2.62,-0.02
200808,1.70,-1.25
200809,2.88,-0.82
200810,1.65,-1.18
200811,2.44,-0.27
200812,4.08,2.02
200901,1.16,-0.81
200902,1.82,0.43
200903,1.26,-0.57
200904,1.50,-0.71
200905,2.35,-0.37
200906,2.45,-0.33
200907,2.56,-0.08
200908,4.75,1.80
200909,2.61,-1.09
200910,6.13,3.30
200911,1.39,-1.32
200912,2.57,0.51
201001,0.52,-1.45
201002,0.45,-0.94
201003,0.12,-1.71
201004,1.61,-0.60
201005,2.02,-0.70
201006,7.93,5.15
201007,1.89,-0.75
201008,4.09,1.14
201009,6.79,3.09
201010,1.73,-1.10
201011,1.41,-1.30
201012,1.17,-0.89
201101,1.01,-0.96
201102,0.32,-1.07
201103,0.95,-0.88
201104,5.87,3.66
201105,2.34,-0.38
201106,5.95,3.17
201107,1.58,-1.06
201108,2.55,-0.40
201109,4.46,0.76
201110,3.79,0.96
201111,3.44,0.73
201112,1.29,-0.77
201201,2.17,0.20
201202,0.53,-0.86
201203,2.81,0.98
201204,2.01,-0.20
201205,2.25,-0.47
201206,5.56,2.78
201207,3.59,0.95
201208,1.65,-1.30
201209,3.51,-0.19
201210,5.88,3.05
201211,1.18,-1.53
201212,2.22,0.16
201301,2.73,0.76
201302,2.29,0.90
201303,2.46,0.63
201304,2.85,0.64
201305,3.68,0.96
201306,1.51,-1.27
201307,3.76,1.12
201308,2.54,-0.41
201309,2.86,-0.84
201310,6.71,3.88
201311,5.62,2.91
201312,2.15,0.09
201401,2.21,0.24
201402,1.06,-0.33
201403,1.20,-0.63
201404,4.22,2.01
201405,3.13,0.41
201406,3.55,0.77
201407,2.64,0.00
201408,3.07,0.12
201409,5.21,1.51
201410,6.99,4.16
201411,5.44,2.73
201412,1.83,-0.23
201501,1.12,-0.85
201502,0.58,-0.81
201503,1.11,-0.72
201504,1.90,-0.31
201505,4.25,1.53
201506,2.23,-0.55
201507,0.96,-1.68
201508,3.12,0.17
201509,3.93,0.23
201510,3.42,0.59
201511,4.65,1.94
201512,5.26,3.20
201601,1.99,0.02
201602,1.44,0.05
201603,3.96,2.13
201604,2.48,0.27
201605,1.84,-0.88
201606,2.40,-0.38
201607,3.58,0.94
201608,3.51,0.56
201609,4.29,0.59
201610,3.27,0.44
201611,1.37,-1.34
201612,2.83,0.77
201701,2.22,0.25
201702,1.53,0.14
201703,2.61,0.78
201704,3.33,1.12
201705,3.00,0.28
201706,5.22,2.44
201707,2.67,0.03
201708,4.23,1.28
201709,1.35,-2.35
201710,7.28,4.45
201711,3.01,0.30
201712,3.03,0.97
201801,1.55,-0.42
201802,1.67,0.28
201803,0.73,-1.10
201804,3.23,1.02
201805,4.48,1.76
201806,1.75,-1.03
201807,1.97,-0.67
201808,2.98,0.03
201809,3.25,-0.45
201810,6.28,3.45
201811,3.30,0.59
201812,1.87,-0.19
201901,2.38,0.41
201902,3.05,1.66
201903,1.09,-0.74
201904,3.12,0.91
201905,4.34,1.62
201906,3.76,0.98
201907,2.65,0.01
201908,0.73,-2.22
201909,5.20,1.50
201910,5.48,2.65
201911,2.97,0.26
201912,3.47,1.41
202001,1.30,-0.67
