Kalamazoo County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.72,-0.20
200002,1.57,-0.12
200003,1.67,-0.74
200004,3.93,0.70
200005,8.34,4.65
200006,4.32,0.68
200007,4.48,1.33
200008,3.15,-0.03
200009,4.47,1.00
200010,2.83,-0.15
200011,3.85,1.00
200012,3.07,0.71
200101,0.82,-1.10
200102,3.62,1.93
200103,0.66,-1.75
200104,2.95,-0.28
200105,6.45,2.76
200106,4.60,0.96
200107,2.62,-0.53
200108,5.31,2.13
200109,4.36,0.89
200110,6.93,3.95
200111,2.40,-0.45
200112,2.27,-0.09
200201,1.66,-0.26
200202,1.78,0.09
200203,2.20,-0.21
200204,2.90,-0.33
200205,4.48,0.79
200206,1.76,-1.88
200207,3.13,-0.02
200208,4.25,1.07
200209,1.35,-2.12
200210,2.16,-0.82
200211,1.95,-0.90
200212,1.86,-0.50
200301,0.66,-1.26
200302,0.97,-0.72
200303,1.81,-0.60
200304,3.32,0.09
200305,5.40,1.71
200306,2.24,-1.40
200307,2.82,-0.33
200308,3.44,0.26
200309,4.36,0.89
200310,2.73,-0.25
200311,6.11,3.26
200312,1.87,-0.49
200401,1.36,-0.56
200402,0.89,-0.80
200403,3.63,1.22
200404,0.67,-2.56
200405,9.34,5.65
200406,3.95,0.31
200407,3.76,0.61
200408,4.41,1.23
200409,1.33,-2.14
200410,3.33,0.35
200411,3.90,1.05
200412,2.47,0.11
200501,4.92,3.00
200502,2.34,0.65
200503,1.15,-1.26
200504,0.46,-2.77
200505,2.15,-1.54
200506,4.12,0.48
200507,6.17,3.02
200508,1.56,-1.62
200509,2.69,-0.78
200510,0.70,-2.28
200511,2.68,-0.17
200512,2.01,-0.35
200601,3.58,1.66
200602,1.28,-0.41
200603,2.92,0.51
200604,1.85,-1.38
200605,5.22,1.53
200606,2.26,-1.38
200607,4.55,1.40
200608,4.56,1.38
200609,3.57,0.10
200610,4.26,1.28
200611,2.59,-0.26
200612,3.16,0.80
200701,3.53,1.61
200702,1.09,-0.60
200703,2.23,-0.18
200704,3.32,0.09
200705,2.93,-0.76
200706,1.90,-1.74
200707,0.88,-2.27
200708,7.89,4.71
200709,1.93,-1.54
200710,4.33,1.35
200711,1.89,-0.96
200712,2.42,0.06
200801,4.51,2.59
200802,3.18,1.49
200803,1.94,-0.47
200804,2.29,-0.94
200805,2.02,-1.67
200806,5.09,1.45
200807,4.83,1.68
200808,0.99,-2.19
200809,11.83,8.36
200810,2.67,-0.31
200811,1.37,-1.48
200812,3.75,1.39
200901,1.58,-0.34
200902,2.67,0.98
200903,3.55,1.14
200904,5.21,1.98
200905,2.59,-1.10
200906,4.13,0.49
200907,0.66,-2.49
200908,5.35,2.17
200909,1.30,-2.17
200910,5.79,2.81
200911,0.93,-1.92
200912,2.05,-0.31
201001,0.75,-1.17
201002,1.43,-0.26
201003,0.96,-1.45
201004,2.74,-0.49
201005,5.88,2.19
201006,7.48,3.84
201007,3.57,0.42
201008,1.80,-1.38
201009,3.17,-0.30
201010,1.52,-1.46
201011,2.25,-0.60
201012,1.21,-1.15
201101,0.99,-0.93
201102,2.28,0.59
201103,2.30,-0.11
201104,6.78,3.55
201105,6.75,3.06
201106,2.47,-1.17
201107,6.63,3.48
201108,3.34,0.16
201109,3.66,0.19
201110,3.41,0.43
201111,3.72,0.87
201112,2.58,0.22
201201,2.76,0.84
201202,2.26,0.57
201203,3.12,0.71
201204,3.59,0.36
201205,1.60,-2.09
201206,1.21,-2.43
201207,2.27,-0.88
201208,3.04,-0.14
201209,2.77,-0.70
201210,4.90,1.92
201211,0.42,-2.43
201212,2.16,-0.20
201301,4.24,2.32
201302,2.02,0.33
201303,0.77,-1.64
201304,6.94,3.71
201305,3.43,-0.26
201306,5.72,2.08
201307,3.87,0.72
201308,4.08,0.90
201309,1.52,-1.95
201310,4.04,1.06
201311,2.89,0.04
201312,2.02,-0.34
201401,2.14,0.22
201402,2.09,0.40
201403,1.44,-0.97
201404,2.61,-0.62
201405,3.38,-0.31
201406,5.71,2.07
201407,3.54,0.39
201408,2.41,-0.77
201409,2.75,-0.72
201410,4.44,1.46
201411,3.04,0.19
201412,1.27,-1.09
201501,1.34,-0.58
201502,0.85,-0.84
201503,0.42,-1.99
201504,2.22,-1.01
201505,6.27,2.58
201506,6.52,2.88
201507,4.43,1.28
201508,3.28,0.10
201509,3.10,-0.37
201510,2.16,-0.82
201511,2.24,-0.61
201512,3.89,1.53
201601,1.27,-0.65
201602,1.19,-0.50
201603,3.25,0.84
201604,3.20,-0.03
201605,3.70,0.01
201606,2.10,-1.54
201607,5.92,2.77
201608,7.72,4.54
201609,3.06,-0.41
201610,3.31,0.33
201611,2.13,-0.72
201612,1.96,-0.40
201701,3.59,1.67
201702,2.08,0.39
201703,4.63,2.22
201704,3.19,-0.04
201705,3.84,0.15
201706,2.16,-1.48
201707,3.13,-0.02
201708,2.02,-1.16
201709,1.24,-2.23
201710,10.57,7.59
201711,3.68,0.83
201712,1.06,-1.30
201801,1.51,-0.41
201802,5.90,4.21
201803,1.79,-0.62
201804,2.65,-0.58
201805,8.17,4.48
201806,4.62,0.98
201807,2.51,-0.64
201808,5.13,1.95
201809,2.78,-0.69
201810,4.45,1.47
201811,2.37,-0.48
201812,2.15,-0.21
201901,1.72,-0.20
201902,1.99,0.30
201903,2.61,0.20
201904,4.03,0.80
201905,5.70,2.01
201906,6.50,2.86
201907,2.83,-0.32
201908,2.32,-0.86
201909,5.00,1.53
201910,5.38,2.40
201911,1.62,-1.23
201912,3.24,0.88
202001,4.02,2.10
