Monroe County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.01,-0.85
200002,1.24,-0.42
200003,1.57,-0.76
200004,3.12,0.16
200005,5.84,2.61
200006,4.78,1.33
200007,3.64,0.66
200008,4.01,1.05
200009,3.94,1.01
200010,2.68,0.34
200011,1.71,-0.58
200012,2.64,0.52
200101,0.72,-1.14
200102,2.21,0.55
200103,0.68,-1.65
200104,3.25,0.29
200105,4.15,0.92
200106,2.85,-0.60
200107,1.79,-1.19
200108,2.73,-0.23
200109,5.02,2.09
200110,6.50,4.16
200111,2.19,-0.10
200112,1.96,-0.16
200201,2.44,0.58
200202,1.82,0.16
200203,1.87,-0.46
200204,3.92,0.96
200205,3.94,0.71
200206,1.82,-1.63
200207,3.77,0.79
200208,1.72,-1.24
200209,2.25,-0.68
200210,1.27,-1.07
200211,2.15,-0.14
200212,1.60,-0.52
200301,0.65,-1.21
200302,1.20,-0.46
200303,1.83,-0.50
200304,2.13,-0.83
200305,4.61,1.38
200306,2.81,-0.64
200307,2.43,-0.55
200308,4.28,1.32
200309,4.80,1.87
200310,2.28,-0.06
200311,3.00,0.71
200312,2.64,0.52
200401,1.39,-0.47
200402,0.45,-1.21
200403,3.00,0.67
200404,0.96,-2.00
200405,6.75,3.52
200406,4.17,0.72
200407,4.13,1.15
200408,4.46,1.50
200409,1.19,-1.74
200410,2.00,-0.34
200411,3.13,0.84
200412,2.32,0.20
200501,3.45,1.59
200502,2.61,0.95
200503,0.75,-1.58
200504,2.17,-0.79
200505,1.56,-1.67
200506,1.83,-1.62
200507,5.11,2.13
200508,1.68,-1.28
200509,2.50,-0.43
200510,0.24,-2.10
200511,4.19,1.90
200512,2.29,0.17
200601,3.10,1.24
200602,2.15,0.49
200603,2.40,0.07
200604,2.18,-0.78
200605,5.71,2.48
200606,3.62,0.17
200607,4.20,1.22
200608,3.16,0.20
200609,2.98,0.05
200610,4.87,2.53
200611,2.61,0.32
200612,3.71,1.59
200701,3.49,1.63
200702,0.67,-0.99
200703,2.69,0.36
200704,3.36,0.40
200705,2.29,-0.94
200706,2.83,-0.62
200707,2.45,-0.53
200708,7.21,4.25
200709,1.47,-1.46
200710,2.24,-0.10
200711,2.38,0.09
200712,3.56,1.44
200801,2.74,0.88
200802,4.33,2.67
200803,3.15,0.82
200804,1.65,-1.31
200805,2.58,-0.65
200806,5.32,1.87
200807,4.06,1.08
200808,0.75,-2.21
200809,5.00,2.07
200810,1.50,-0.84
200811,2.92,0.63
200812,3.78,1.66
200901,1.04,-0.82
200902,2.82,1.16
200903,4.41,2.08
200904,4.71,1.75
200905,2.85,-0.38
200906,4.31,0.86
200907,2.34,-0.64
200908,3.47,0.51
200909,1.86,-1.07
200910,3.74,1.40
200911,0.76,-1.53
200912,2.63,0.51
201001,0.75,-1.11
201002,1.43,-0.23
201003,1.71,-0.62
201004,3.16,0.20
201005,6.23,3.00
201006,4.34,0.89
201007,5.11,2.13
201008,1.61,-1.35
201009,2.63,-0.30
201010,1.22,-1.12
201011,3.47,1.18
201012,1.08,-1.04
201101,1.33,-0.53
201102,2.83,1.17
201103,3.29,0.96
201104,5.84,2.88
201105,6.44,3.21
201106,1.16,-2.29
201107,5.19,2.21
201108,3.33,0.37
201109,6.36,3.43
201110,3.11,0.77
201111,6.41,4.12
201112,2.99,0.87
201201,2.66,0.80
201202,1.77,0.11
201203,3.42,1.09
201204,1.95,-1.01
201205,1.91,-1.32
201206,1.73,-1.72
201207,2.62,-0.36
201208,3.31,0.35
201209,2.57,-0.36
201210,2.77,0.43
201211,0.78,-1.51
201212,2.34,0.22
201301,3.54,1.68
201302,2.51,0.85
201303,0.70,-1.63
201304,5.34,2.38
201305,2.29,-0.94
201306,6.31,2.86
201307,4.83,1.85
201308,3.44,0.48
201309,1.87,-1.06
201310,3.15,0.81
201311,1.70,-0.59
201312,2.35,0.23
201401,2.00,0.14
201402,2.64,0.98
201403,1.01,-1.32
201404,2.82,-0.14
201405,3.21,-0.02
201406,3.84,0.39
201407,2.15,-0.83
201408,4.03,1.07
201409,3.82,0.89
201410,2.42,0.08
201411,1.76,-0.53
201412,1.43,-0.69
201501,1.30,-0.56
201502,1.08,-0.58
201503,0.87,-1.46
201504,2.67,-0.29
201505,4.78,1.55
201506,6.83,3.38
201507,2.78,-0.20
201508,2.96,0.00
201509,2.47,-0.46
201510,2.07,-0.27
201511,1.98,-0.31
201512,2.99,0.87
201601,1.27,-0.59
201602,1.72,0.06
201603,4.57,2.24
201604,2.95,-0.01
201605,2.02,-1.21
201606,2.11,-1.34
201607,2.81,-0.17
201608,4.81,1.85
201609,4.23,1.30
201610,2.98,0.64
201611,1.97,-0.32
201612,1.79,-0.33
201701,3.36,1.50
201702,2.20,0.54
201703,3.67,1.34
201704,4.00,1.04
201705,4.39,1.16
201706,2.44,-1.01
201707,2.29,-0.69
201708,2.68,-0.28
201709,1.32,-1.61
201710,3.22,0.88
201711,4.80,2.51
201712,1.13,-0.99
201801,1.22,-0.64
201802,3.87,2.21
201803,2.61,0.28
201804,3.31,0.35
201805,6.11,2.88
201806,2.85,-0.60
201807,2.24,-0.74
201808,3.32,0.36
201809,4.14,1.21
201810,3.69,1.35
201811,3.35,1.06
201812,2.24,0.12
201901,1.43,-0.43
201902,1.90,0.24
201903,2.65,0.32
201904,5.08,2.12
201905,4.18,0.95
201906,3.89,0.44
201907,3.35,0.37
201908,3.35,0.39
201909,3.32,0.39
201910,4.39,2.05
201911,1.40,-0.89
201912,2.19,0.07
202001,3.33,1.47
