Muskegon County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.35,-0.71
200002,1.42,-0.16
200003,1.37,-0.86
200004,4.34,1.42
200005,7.34,4.28
200006,3.12,0.03
200007,3.62,0.91
200008,2.51,-0.56
200009,5.27,1.85
200010,1.59,-1.34
200011,3.76,0.92
200012,1.41,-0.80
200101,0.79,-1.27
200102,2.75,1.17
200103,0.51,-1.72
200104,3.51,0.59
200105,6.58,3.52
200106,3.02,-0.07
200107,1.42,-1.29
200108,4.63,1.56
200109,4.02,0.60
200110,6.49,3.56
200111,2.42,-0.42
200112,2.05,-0.16
200201,0.68,-1.38
200202,2.03,0.45
200203,2.20,-0.03
200204,4.34,1.42
200205,3.25,0.19
200206,3.66,0.57
200207,1.96,-0.75
200208,4.48,1.41
200209,1.49,-1.93
200210,2.65,-0.28
200211,1.46,-1.38
200212,1.07,-1.14
200301,0.56,-1.50
200302,0.45,-1.13
200303,1.49,-0.74
200304,2.05,-0.87
200305,3.99,0.93
200306,1.65,-1.44
200307,2.96,0.25
200308,2.12,-0.95
200309,2.39,-1.03
200310,2.50,-0.43
200311,6.62,3.78
200312,1.59,-0.62
200401,1.66,-0.40
200402,0.69,-0.89
200403,4.94,2.71
200404,2.09,-0.83
200405,9.80,6.74
200406,4.35,1.26
200407,2.03,-0.68
200408,2.81,-0.26
200409,0.44,-2.98
200410,3.81,0.88
200411,2.84,0.00
200412,3.26,1.05
200501,3.26,1.20
200502,2.14,0.56
200503,1.65,-0.58
200504,0.88,-2.04
200505,2.23,-0.83
200506,1.60,-1.49
200507,3.41,0.70
200508,2.11,-0.96
200509,3.97,0.55
200510,0.36,-2.57
200511,6.60,3.76
200512,2.27,0.06
200601,3.66,1.60
200602,1.62,0.04
200603,3.45,1.22
200604,3.41,0.49
200605,4.59,1.53
200606,2.22,-0.87
200607,5.50,2.79
200608,1.01,-2.06
200609,3.50,0.08
200610,5.65,2.72
200611,2.68,-0.16
200612,3.37,1.16
200701,1.82,-0.24
200702,1.06,-0.52
200703,3.46,1.23
200704,3.62,0.70
200705,2.20,-0.86
200706,1.81,-1.28
200707,2.23,-0.48
200708,4.27,1.20
200709,1.67,-1.75
200710,2.47,-0.46
200711,0.88,-1.96
200712,2.55,0.34
200801,3.86,1.80
200802,3.60,2.02
200803,2.23,0.00
200804,3.54,0.62
200805,2.05,-1.01
200806,5.35,2.26
200807,3.43,0.72
200808,1.12,-1.95
200809,6.07,2.65
200810,3.31,0.38
200811,3.11,0.27
200812,6.17,3.96
200901,1.97,-0.09
200902,3.24,1.66
200903,3.19,0.96
200904,4.73,1.81
200905,3.27,0.21
200906,3.12,0.03
200907,1.35,-1.36
200908,5.75,2.68
200909,2.28,-1.14
200910,6.67,3.74
200911,1.69,-1.15
200912,2.93,0.72
201001,1.18,-0.88
201002,1.62,0.04
201003,1.08,-1.15
201004,2.34,-0.58
201005,3.26,0.20
201006,5.04,1.95
201007,4.09,1.38
201008,2.39,-0.68
201009,3.92,0.50
201010,2.23,-0.70
201011,1.85,-0.99
201012,1.67,-0.54
201101,2.00,-0.06
201102,2.13,0.55
201103,2.72,0.49
201104,5.81,2.89
201105,2.87,-0.19
201106,3.64,0.55
201107,3.85,1.14
201108,3.90,0.83
201109,3.14,-0.28
201110,3.79,0.86
201111,3.30,0.46
201112,2.00,-0.21
201201,2.87,0.81
201202,1.54,-0.04
201203,3.49,1.26
201204,2.36,-0.56
201205,2.93,-0.13
201206,2.76,-0.33
201207,3.59,0.88
201208,2.08,-0.99
201209,1.49,-1.93
201210,6.86,3.93
201211,0.72,-2.12
201212,3.66,1.45
201301,5.01,2.95
201302,3.29,1.71
201303,1.27,-0.96
201304,7.84,4.92
201305,4.59,1.53
201306,4.09,1.00
201307,2.78,0.07
201308,2.21,-0.86
201309,2.10,-1.32
201310,3.94,1.01
201311,4.93,2.09
201312,2.43,0.22
201401,3.08,1.02
201402,1.61,0.03
201403,1.58,-0.65
201404,4.43,1.51
201405,4.31,1.25
201406,4.82,1.73
201407,3.29,0.58
201408,2.79,-0.28
201409,2.79,-0.63
201410,3.81,0.88
201411,4.27,1.43
201412,1.68,-0.53
201501,1.50,-0.56
201502,1.42,-0.16
201503,1.10,-1.13
201504,5.18,2.26
201505,4.05,0.99
201506,3.59,0.50
201507,3.66,0.95
201508,2.37,-0.70
201509,2.57,-0.85
201510,2.52,-0.41
201511,3.31,0.47
201512,4.76,2.55
201601,2.14,0.08
201602,1.54,-0.04
201603,4.20,1.97
201604,2.59,-0.33
201605,2.67,-0.39
201606,2.57,-0.52
201607,5.56,2.85
201608,3.49,0.42
201609,6.15,2.73
201610,4.03,1.10
201611,2.45,-0.39
201612,2.14,-0.07
201701,3.28,1.22
201702,2.08,0.50
201703,3.20,0.97
201704,4.94,2.02
201705,2.13,-0.93
201706,4.92,1.83
201707,2.17,-0.54
201708,2.50,-0.57
201709,0.80,-2.62
201710,8.97,6.04
201711,2.35,-0.49
201712,2.05,-0.16
201801,2.56,0.50
201802,4.12,2.54
201803,1.09,-1.14
201804,2.78,-0.14
201805,4.79,1.73
201806,3.14,0.05
201807,1.76,-0.95
201808,7.06,3.99
201809,4.29,0.87
201810,5.34,2.41
201811,2.25,-0.59
201812,1.82,-0.39
201901,2.53,0.47
201902,3.10,1.52
201903,2.56,0.33
201904,3.17,0.25
201905,5.32,2.26
201906,4.23,1.14
201907,2.99,0.28
201908,2.88,-0.19
201909,5.65,2.23
201910,8.46,5.53
201911,3.31,0.47
201912,3.58,1.37
202001,2.54,0.48
