Beltrami County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.27,-0.40
200002,0.79,0.23
200003,0.81,-0.12
200004,1.26,-0.37
200005,2.65,-0.01
200006,5.49,1.55
200007,2.94,-0.58
200008,5.01,1.66
200009,2.58,-0.09
200010,2.66,0.91
200011,3.65,2.56
200012,0.76,0.01
200101,0.32,-0.35
200102,0.98,0.42
200103,0.24,-0.69
200104,3.19,1.56
200105,4.67,2.01
200106,2.75,-1.19
200107,4.03,0.51
200108,3.97,0.62
200109,1.95,-0.72
200110,3.32,1.57
200111,1.29,0.20
200112,0.36,-0.39
200201,0.26,-0.41
200202,0.14,-0.42
200203,0.63,-0.30
200204,1.60,-0.03
200205,2.17,-0.49
200206,8.70,4.76
200207,3.93,0.41
200208,4.61,1.26
200209,1.43,-1.24
200210,1.19,-0.56
200211,0.45,-0.64
200212,0.41,-0.34
200301,0.11,-0.56
200302,0.22,-0.34
200303,0.61,-0.32
200304,1.17,-0.46
200305,2.18,-0.48
200306,4.79,0.85
200307,2.89,-0.63
200308,2.81,-0.54
200309,2.51,-0.16
200310,1.30,-0.45
200311,0.86,-0.23
200312,0.90,0.15
200401,0.72,0.05
200402,0.59,0.03
200403,1.21,0.28
200404,0.67,-0.96
200405,4.73,2.07
200406,0.98,-2.96
200407,4.16,0.64
200408,2.57,-0.78
200409,4.98,2.31
200410,4.63,2.88
200411,0.22,-0.87
200412,1.09,0.34
200501,1.66,0.99
200502,0.32,-0.24
200503,0.30,-0.63
200504,0.73,-0.90
200505,4.28,1.62
200506,5.48,1.54
200507,2.00,-1.52
200508,2.89,-0.46
200509,1.90,-0.77
200510,2.73,0.98
200511,2.93,1.84
200512,0.83,0.08
200601,0.64,-0.03
200602,0.70,0.14
200603,1.82,0.89
200604,1.46,-0.17
200605,2.56,-0.10
200606,1.74,-2.20
200607,1.43,-2.09
200608,2.21,-1.14
200609,2.61,-0.06
200610,1.59,-0.16
200611,0.71,-0.38
200612,0.89,0.14
200701,0.08,-0.59
200702,0.70,0.14
200703,1.36,0.43
200704,2.12,0.49
200705,2.75,0.09
200706,4.39,0.45
200707,3.27,-0.25
200708,1.29,-2.06
200709,2.90,0.23
200710,4.17,2.42
200711,0.47,-0.62
200712,0.89,0.14
200801,0.07,-0.60
200802,0.39,-0.17
200803,0.27,-0.66
200804,2.23,0.60
200805,1.81,-0.85
200806,4.38,0.44
200807,2.70,-0.82
200808,1.82,-1.53
200809,3.84,1.17
200810,4.14,2.39
200811,1.50,0.41
200812,1.34,0.59
200901,0.57,-0.10
200902,1.13,0.57
200903,2.85,1.92
200904,1.26,-0.37
200905,1.99,-0.67
200906,2.87,-1.07
200907,2.56,-0.96
200908,3.25,-0.10
200909,1.24,-1.43
200910,3.17,1.42
200911,0.73,-0.36
200912,1.25,0.50
201001,0.64,-0.03
201002,0.27,-0.29
201003,0.60,-0.33
201004,0.95,-0.68
201005,3.78,1.12
201006,3.80,-0.14
201007,4.44,0.92
201008,3.43,0.08
201009,5.57,2.90
201010,1.96,0.21
201011,1.27,0.18
201012,1.00,0.25
201101,1.01,0.34
201102,0.25,-0.31
201103,0.20,-0.73
201104,2.92,1.29
201105,3.53,0.87
201106,3.99,0.05
201107,2.25,-1.27
201108,2.48,-0.87
201109,2.38,-0.29
201110,0.81,-0.94
201111,0.31,-0.78
201112,0.25,-0.50
201201,0.69,0.02
201202,0.70,0.14
201203,2.40,1.47
201204,2.12,0.49
201205,2.19,-0.47
201206,3.05,-0.89
201207,3.35,-0.17
201208,2.43,-0.92
201209,0.53,-2.14
201210,2.95,1.20
201211,0.66,-0.43
201212,0.43,-0.32
201301,1.29,0.62
201302,1.32,0.76
201303,1.15,0.22
201304,1.50,-0.13
201305,3.43,0.77
201306,2.81,-1.13
201307,3.66,0.14
201308,2.19,-1.16
201309,2.47,-0.20
201310,2.67,0.92
201311,0.83,-0.26
201312,1.36,0.61
201401,0.75,0.08
201402,0.53,-0.03
201403,0.61,-0.32
201404,2.22,0.59
201405,3.33,0.67
201406,6.79,2.85
201407,3.34,-0.18
201408,2.82,-0.53
201409,2.38,-0.29
201410,1.23,-0.52
201411,0.29,-0.80
201412,0.37,-0.38
201501,0.56,-0.11
201502,0.40,-0.16
201503,0.48,-0.45
201504,0.60,-1.03
201505,5.89,3.23
201506,3.62,-0.32
201507,3.00,-0.52
201508,2.89,-0.46
201509,1.69,-0.98
201510,2.29,0.54
201511,2.29,1.20
201512,1.06,0.31
201601,0.41,-0.26
201602,0.43,-0.13
201603,0.95,0.02
201604,1.71,0.08
201605,1.47,-1.19
201606,3.86,-0.08
201607,3.77,0.25
201608,5.55,2.20
201609,2.81,0.14
201610,1.04,-0.71
201611,0.96,-0.13
201612,1.26,0.51
201701,0.76,0.09
201702,0.83,0.27
201703,0.45,-0.48
201704,1.17,-0.46
201705,1.21,-1.45
201706,3.31,-0.63
201707,1.14,-2.38
201708,2.87,-0.48
201709,4.31,1.64
201710,1.78,0.03
201711,0.48,-0.61
201712,0.80,0.05
201801,0.33,-0.34
201802,0.64,0.08
201803,0.47,-0.46
201804,0.24,-1.39
201805,2.42,-0.24
201806,4.61,0.67
201807,2.56,-0.96
201808,1.71,-1.64
201809,3.67,1.00
201810,3.74,1.99
201811,0.52,-0.57
201812,0.93,0.18
201901,0.49,-0.18
201902,1.40,0.84
201903,1.09,0.16
201904,1.87,0.24
201905,2.22,-0.44
201906,4.50,0.56
201907,2.85,-0.67
201908,3.76,0.41
201909,4.63,1.96
201910,4.34,2.59
201911,0.70,-0.39
201912,1.26,0.51
202001,0.58,-0.09
