Nicollet County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.71,-0.15
200002,1.13,0.32
200003,0.98,-0.58
200004,1.04,-1.38
200005,7.45,3.78
200006,4.54,-0.04
200007,4.13,0.40
200008,4.09,0.21
200009,0.43,-2.75
200010,0.81,-1.14
200011,3.69,2.23
200012,1.58,0.66
200101,1.34,0.48
200102,1.77,0.96
200103,0.92,-0.64
200104,7.10,4.68
200105,3.21,-0.46
200106,2.76,-1.82
200107,3.15,-0.58
200108,2.56,-1.32
200109,2.77,-0.41
200110,0.91,-1.04
200111,2.99,1.53
200112,0.52,-0.40
200201,0.20,-0.66
200202,0.45,-0.36
200203,1.18,-0.38
200204,2.76,0.34
200205,2.60,-1.07
200206,8.67,4.09
200207,3.42,-0.31
200208,4.63,0.75
200209,2.11,-1.07
200210,3.66,1.71
200211,0.19,-1.27
200212,0.19,-0.73
200301,0.22,-0.64
200302,0.79,-0.02
200303,1.50,-0.06
200304,1.92,-0.50
200305,4.45,0.78
200306,3.89,-0.69
200307,3.51,-0.22
200308,1.35,-2.53
200309,2.90,-0.28
200310,0.64,-1.31
200311,0.98,-0.48
200312,0.77,-0.15
200401,0.35,-0.51
200402,1.25,0.44
200403,2.01,0.45
200404,1.84,-0.58
200405,6.87,3.20
200406,4.11,-0.47
200407,4.73,1.00
200408,2.99,-0.89
200409,5.21,2.03
200410,1.41,-0.54
200411,0.94,-0.52
200412,0.18,-0.74
200501,0.86,0.00
200502,1.37,0.56
200503,1.54,-0.02
200504,4.11,1.69
200505,4.45,0.78
200506,4.96,0.38
200507,2.56,-1.17
200508,3.13,-0.75
200509,6.70,3.52
200510,1.96,0.01
200511,2.04,0.58
200512,1.32,0.40
200601,0.69,-0.17
200602,0.25,-0.56
200603,1.47,-0.09
200604,4.43,2.01
200605,1.34,-2.33
200606,4.09,-0.49
200607,1.46,-2.27
200608,4.92,1.04
200609,2.46,-0.72
200610,0.60,-1.35
200611,1.19,-0.27
200612,1.99,1.07
200701,0.79,-0.07
200702,1.39,0.58
200703,2.50,0.94
200704,1.67,-0.75
200705,2.91,-0.76
200706,2.85,-1.73
200707,1.88,-1.85
200708,7.36,3.48
200709,2.49,-0.69
200710,5.73,3.78
200711,0.16,-1.30
200712,1.04,0.12
200801,0.26,-0.60
200802,0.32,-0.49
200803,1.40,-0.16
200804,3.88,1.46
200805,4.46,0.79
200806,3.62,-0.96
200807,4.01,0.28
200808,3.10,-0.78
200809,2.34,-0.84
200810,2.23,0.28
200811,1.56,0.10
200812,1.20,0.28
200901,0.48,-0.38
200902,1.01,0.20
200903,2.18,0.62
200904,1.71,-0.71
200905,1.17,-2.50
200906,2.83,-1.75
200907,1.03,-2.70
200908,4.44,0.56
200909,1.76,-1.42
200910,5.91,3.96
200911,1.02,-0.44
200912,2.33,1.41
201001,0.75,-0.11
201002,0.78,-0.03
201003,1.30,-0.26
201004,1.97,-0.45
201005,2.32,-1.35
201006,8.06,3.48
201007,4.08,0.35
201008,3.25,-0.63
201009,9.15,5.97
201010,1.37,-0.58
201011,1.95,0.49
201012,2.75,1.83
201101,0.67,-0.19
201102,0.91,0.10
201103,1.44,-0.12
201104,2.84,0.42
201105,4.98,1.31
201106,4.90,0.32
201107,4.87,1.14
201108,1.02,-2.86
201109,0.35,-2.83
201110,0.39,-1.56
201111,0.11,-1.35
201112,0.82,-0.10
201201,0.43,-0.43
201202,2.30,1.49
201203,1.96,0.40
201204,2.91,0.49
201205,8.86,5.19
201206,4.15,-0.43
201207,2.14,-1.59
201208,1.66,-2.22
201209,0.58,-2.60
201210,0.93,-1.02
201211,0.47,-0.99
201212,1.31,0.39
201301,0.68,-0.18
201302,1.40,0.59
201303,1.30,-0.26
201304,5.47,3.05
201305,3.94,0.27
201306,5.60,1.02
201307,2.75,-0.98
201308,1.17,-2.71
201309,1.76,-1.42
201310,2.56,0.61
201311,0.62,-0.84
201312,0.81,-0.11
201401,0.49,-0.37
201402,0.77,-0.04
201403,0.78,-0.78
201404,5.77,3.35
201405,2.52,-1.15
201406,9.70,5.12
201407,1.60,-2.13
201408,2.31,-1.57
201409,1.88,-1.30
201410,1.34,-0.61
201411,0.94,-0.52
201412,1.00,0.08
201501,0.50,-0.36
201502,0.53,-0.28
201503,0.93,-0.63
201504,2.16,-0.26
201505,5.10,1.43
201506,3.43,-1.15
201507,4.64,0.91
201508,4.11,0.23
201509,4.07,0.89
201510,1.92,-0.03
201511,3.80,2.34
201512,2.29,1.37
201601,0.23,-0.63
201602,0.73,-0.08
201603,1.46,-0.10
201604,2.60,0.18
201605,4.40,0.73
201606,3.77,-0.81
201607,6.89,3.16
201608,7.03,3.15
201609,7.69,4.51
201610,3.87,1.92
201611,1.15,-0.31
201612,1.17,0.25
201701,0.77,-0.09
201702,0.66,-0.15
201703,0.65,-0.91
201704,2.58,0.16
201705,3.40,-0.27
201706,2.31,-2.27
201707,2.98,-0.75
201708,5.72,1.84
201709,2.10,-1.08
201710,4.15,2.20
201711,0.11,-1.35
201712,0.30,-0.62
201801,0.93,0.07
201802,0.93,0.12
201803,1.23,-0.33
201804,1.79,-0.63
201805,3.54,-0.13
201806,7.28,2.70
201807,4.21,0.48
201808,2.22,-1.66
201809,5.44,2.26
201810,2.27,0.32
201811,1.34,-0.12
201812,1.71,0.79
201901,0.36,-0.50
201902,2.25,1.44
201903,2.21,0.65
201904,5.50,3.08
201905,7.20,3.53
201906,2.24,-2.34
201907,6.18,2.45
201908,3.11,-0.77
201909,5.93,2.75
201910,3.54,1.59
201911,1.27,-0.19
201912,0.88,-0.04
202001,0.86,0.00
