Greene County, Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.20,-0.79
200002,1.82,-0.20
200003,2.79,-0.59
200004,0.93,-3.28
200005,3.44,-1.45
200006,7.58,2.71
200007,7.40,3.80
200008,0.30,-3.32
200009,2.29,-1.94
200010,2.76,-0.74
200011,3.32,0.17
200012,1.68,-0.78
200101,1.71,-0.28
200102,4.93,2.91
200103,0.81,-2.57
200104,2.01,-2.20
200105,4.86,-0.03
200106,6.07,1.20
200107,5.32,1.72
200108,3.03,-0.59
200109,3.39,-0.84
200110,4.92,1.42
200111,2.63,-0.52
200112,3.44,0.98
200201,3.07,1.08
200202,1.30,-0.72
200203,3.69,0.31
200204,3.68,-0.53
200205,10.30,5.41
200206,2.05,-2.82
200207,3.46,-0.14
200208,3.66,0.04
200209,0.94,-3.29
200210,3.21,-0.29
200211,0.79,-2.36
200212,3.30,0.84
200301,0.48,-1.51
200302,3.40,1.38
200303,2.47,-0.91
200304,3.14,-1.07
200305,4.96,0.07
200306,4.29,-0.58
200307,2.45,-1.15
200308,5.55,1.93
200309,3.84,-0.39
200310,1.99,-1.51
200311,4.82,1.67
200312,3.23,0.77
200401,3.30,1.31
200402,0.54,-1.48
200403,6.22,2.84
200404,4.41,0.20
200405,3.16,-1.73
200406,3.05,-1.82
200407,6.88,3.28
200408,1.82,-1.80
200409,0.26,-3.97
200410,6.08,2.58
200411,7.36,4.21
200412,1.34,-1.12
200501,6.45,4.46
200502,2.21,0.19
200503,1.80,-1.58
200504,3.17,-1.04
200505,1.77,-3.12
200506,3.50,-1.37
200507,1.72,-1.88
200508,3.86,0.24
200509,4.08,-0.15
200510,1.29,-2.21
200511,2.90,-0.25
200512,0.58,-1.88
200601,1.77,-0.22
200602,0.12,-1.90
200603,2.50,-0.88
200604,5.31,1.10
200605,5.72,0.83
200606,1.75,-3.12
200607,3.47,-0.13
200608,3.78,0.16
200609,2.24,-1.99
200610,2.00,-1.50
200611,6.19,3.04
200612,2.34,-0.12
200701,3.81,1.82
200702,2.34,0.32
200703,2.60,-0.78
200704,4.01,-0.20
200705,3.92,-0.97
200706,8.83,3.96
200707,2.48,-1.12
200708,4.89,1.27
200709,5.08,0.85
200710,2.28,-1.22
200711,1.19,-1.96
200712,3.69,1.23
200801,3.23,1.24
200802,5.76,3.74
200803,10.11,6.73
200804,6.11,1.90
200805,5.66,0.77
200806,12.51,7.64
200807,3.28,-0.32
200808,1.87,-1.75
200809,7.86,3.63
200810,2.47,-1.03
200811,1.28,-1.87
200812,2.85,0.39
200901,1.26,-0.73
200902,1.84,-0.18
200903,3.92,0.54
200904,5.45,1.24
200905,6.64,1.75
200906,4.73,-0.14
200907,4.76,1.16
200908,3.81,0.19
200909,5.07,0.84
200910,11.01,7.51
200911,1.21,-1.94
200912,1.82,-0.64
201001,2.60,0.61
201002,1.73,-0.29
201003,3.99,0.61
201004,3.24,-0.97
201005,8.36,3.47
201006,2.45,-2.42
201007,6.19,2.59
201008,1.37,-2.25
201009,12.37,8.14
201010,0.96,-2.54
201011,4.29,1.14
201012,1.03,-1.43
201101,0.44,-1.55
201102,3.60,1.58
201103,4.34,0.96
201104,9.19,4.98
201105,6.11,1.22
201106,1.30,-3.57
201107,2.01,-1.59
201108,3.60,-0.02
201109,4.03,-0.20
201110,1.34,-2.16
201111,5.33,2.18
201112,3.10,0.64
201201,1.02,-0.97
201202,2.32,0.30
201203,3.49,0.11
201204,4.02,-0.19
201205,3.35,-1.54
201206,1.47,-3.40
201207,0.54,-3.06
201208,3.60,-0.02
201209,6.22,1.99
201210,4.46,0.96
201211,1.01,-2.14
201212,1.38,-1.08
201301,3.22,1.23
201302,2.87,0.85
201303,4.78,1.40
201304,6.04,1.83
201305,6.63,1.74
201306,4.01,-0.86
201307,6.12,2.52
201308,6.72,3.10
201309,2.73,-1.50
201310,6.14,2.64
201311,2.27,-0.88
201312,2.56,0.10
201401,1.20,-0.79
201402,0.63,-1.39
201403,2.47,-0.91
201404,2.30,-1.91
201405,3.92,-0.97
201406,5.84,0.97
201407,2.28,-1.32
201408,2.10,-1.52
201409,4.98,0.75
201410,6.54,3.04
201411,2.33,-0.82
201412,2.09,-0.37
201501,0.98,-1.01
201502,1.58,-0.44
201503,3.86,0.48
201504,3.65,-0.56
201505,7.50,2.61
201506,6.96,2.09
201507,8.97,5.37
201508,6.69,3.07
201509,2.88,-1.35
201510,1.61,-1.89
201511,7.96,4.81
201512,10.97,8.51
201601,0.81,-1.18
201602,0.49,-1.53
201603,3.47,0.09
201604,3.16,-1.05
201605,5.10,0.21
201606,3.91,-0.96
201607,7.19,3.59
201608,2.70,-0.92
201609,3.99,-0.24
201610,3.70,0.20
201611,1.44,-1.71
201612,0.78,-1.68
201701,2.97,0.98
201702,0.43,-1.59
201703,4.41,1.03
201704,13.44,9.23
201705,7.92,3.03
201706,3.81,-1.06
201707,2.51,-1.09
201708,7.56,3.94
201709,0.72,-3.51
201710,2.84,-0.66
201711,0.49,-2.66
201712,1.60,-0.86
201801,2.13,0.14
201802,7.08,5.06
201803,3.74,0.36
201804,2.41,-1.80
201805,3.86,-1.03
201806,3.15,-1.72
201807,1.36,-2.24
201808,6.62,3.00
201809,3.17,-1.06
201810,3.64,0.14
201811,2.97,-0.18
201812,4.44,1.98
201901,2.96,0.97
201902,3.29,1.27
201903,3.96,0.58
201904,3.36,-0.85
201905,13.78,8.89
201906,5.32,0.45
201907,3.81,0.21
201908,4.85,1.23
201909,1.58,-2.65
201910,7.66,4.16
201911,2.83,-0.32
201912,1.46,-1.00
202001,5.82,3.83
