St. Louis City, Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.50,-0.70
200002,3.03,0.90
200003,1.92,-1.45
200004,2.46,-1.32
200005,5.74,1.61
200006,7.56,3.64
200007,4.93,1.56
200008,4.91,1.35
200009,2.53,-0.76
200010,2.48,-0.39
200011,3.34,0.36
200012,1.22,-1.17
200101,0.96,-1.24
200102,2.57,0.44
200103,1.34,-2.03
200104,2.84,-0.94
200105,3.99,-0.14
200106,3.00,-0.92
200107,3.70,0.33
200108,2.01,-1.55
200109,3.03,-0.26
200110,5.17,2.30
200111,3.21,0.23
200112,3.64,1.25
200201,2.48,0.28
200202,1.30,-0.83
200203,3.92,0.55
200204,4.30,0.52
200205,7.37,3.24
200206,4.46,0.54
200207,1.30,-2.07
200208,3.67,0.11
200209,2.40,-0.89
200210,4.89,2.02
200211,1.10,-1.88
200212,1.89,-0.50
200301,0.49,-1.71
200302,2.23,0.10
200303,2.95,-0.42
200304,4.46,0.68
200305,4.92,0.79
200306,8.64,4.72
200307,2.54,-0.83
200308,2.06,-1.50
200309,5.59,2.30
200310,2.99,0.12
200311,6.04,3.06
200312,2.53,0.14
200401,3.85,1.65
200402,0.76,-1.37
200403,4.31,0.94
200404,1.97,-1.81
200405,10.01,5.88
200406,1.63,-2.29
200407,7.07,3.70
200408,3.40,-0.16
200409,0.22,-3.07
200410,4.41,1.54
200411,6.02,3.04
200412,2.40,0.01
200501,8.30,6.10
200502,1.67,-0.46
200503,1.76,-1.61
200504,3.01,-0.77
200505,1.24,-2.89
200506,2.51,-1.41
200507,3.17,-0.20
200508,4.38,0.82
200509,6.72,3.43
200510,1.09,-1.78
200511,3.92,0.94
200512,1.13,-1.26
200601,1.98,-0.22
200602,0.30,-1.83
200603,3.15,-0.22
200604,1.95,-1.83
200605,2.26,-1.87
200606,3.07,-0.85
200607,2.54,-0.83
200608,2.65,-0.91
200609,2.15,-1.14
200610,3.87,1.00
200611,3.57,0.59
200612,2.53,0.14
200701,3.66,1.46
200702,1.78,-0.35
200703,2.56,-0.81
200704,3.29,-0.49
200705,5.13,1.00
200706,3.08,-0.84
200707,3.32,-0.05
200708,1.33,-2.23
200709,1.57,-1.72
200710,2.13,-0.74
200711,1.44,-1.54
200712,3.16,0.77
200801,1.77,-0.43
200802,4.24,2.11
200803,7.32,3.95
200804,4.63,0.85
200805,8.66,4.53
200806,3.78,-0.14
200807,6.53,3.16
200808,1.31,-2.25
200809,8.84,5.55
200810,1.25,-1.62
200811,1.26,-1.72
200812,4.44,2.05
200901,0.69,-1.51
200902,2.76,0.63
200903,3.16,-0.21
200904,4.97,1.19
200905,5.30,1.17
200906,5.31,1.39
200907,4.87,1.50
200908,3.21,-0.35
200909,3.33,0.04
200910,12.04,9.17
200911,3.41,0.43
200912,4.28,1.89
201001,1.49,-0.71
201002,1.75,-0.38
201003,2.35,-1.02
201004,3.18,-0.60
201005,6.43,2.30
201006,4.35,0.43
201007,5.10,1.73
201008,2.56,-1.00
201009,5.08,1.79
201010,0.71,-2.16
201011,4.59,1.61
201012,1.27,-1.12
201101,0.96,-1.24
201102,3.10,0.97
201103,4.95,1.58
201104,6.70,2.92
201105,3.60,-0.53
201106,7.21,3.29
201107,3.31,-0.06
201108,0.87,-2.69
201109,3.62,0.33
201110,1.95,-0.92
201111,4.03,1.05
201112,3.86,1.47
201201,2.30,0.10
201202,1.83,-0.30
201203,2.66,-0.71
201204,6.73,2.95
201205,1.53,-2.60
201206,1.59,-2.33
201207,0.65,-2.72
201208,3.95,0.39
201209,5.64,2.35
201210,2.98,0.11
201211,1.54,-1.44
201212,1.98,-0.41
201301,3.38,1.18
201302,2.82,0.69
201303,4.35,0.98
201304,7.12,3.34
201305,7.07,2.94
201306,6.53,2.61
201307,2.43,-0.94
201308,0.74,-2.82
201309,1.95,-1.34
201310,2.02,-0.85
201311,1.36,-1.62
201312,2.43,0.04
201401,1.61,-0.59
201402,1.45,-0.68
201403,1.21,-2.16
201404,7.06,3.28
201405,2.65,-1.48
201406,5.49,1.57
201407,1.44,-1.93
201408,5.18,1.62
201409,4.29,1.00
201410,4.94,2.07
201411,2.23,-0.75
201412,3.39,1.00
201501,1.11,-1.09
201502,1.31,-0.82
201503,3.51,0.14
201504,4.66,0.88
201505,5.00,0.87
201506,11.06,7.14
201507,4.59,1.22
201508,5.27,1.71
201509,2.46,-0.83
201510,1.03,-1.84
201511,6.15,3.17
201512,11.10,8.71
201601,0.77,-1.43
201602,0.82,-1.31
201603,3.31,-0.06
201604,3.89,0.11
201605,4.95,0.82
201606,1.87,-2.05
201607,5.89,2.52
201608,6.96,3.40
201609,6.74,3.45
201610,2.46,-0.41
201611,2.73,-0.25
201612,1.02,-1.37
201701,1.50,-0.70
201702,0.31,-1.82
201703,3.88,0.51
201704,9.64,5.86
201705,4.72,0.59
201706,2.31,-1.61
201707,1.91,-1.46
201708,2.11,-1.45
201709,0.59,-2.70
201710,3.21,0.34
201711,1.01,-1.97
201712,0.89,-1.50
201801,1.36,-0.84
201802,4.86,2.73
201803,5.49,2.12
201804,1.80,-1.98
201805,4.33,0.20
201806,5.10,1.18
201807,3.02,-0.35
201808,4.57,1.01
201809,4.35,1.06
201810,2.05,-0.82
201811,2.86,-0.12
201812,4.85,2.46
201901,2.84,0.64
201902,3.22,1.09
201903,4.87,1.50
201904,4.64,0.86
201905,8.53,4.40
201906,5.06,1.14
201907,5.43,2.06
201908,6.21,2.65
201909,1.21,-2.08
201910,4.05,1.18
201911,2.38,-0.60
201912,2.06,-0.33
202001,6.27,4.07
