Forrest County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.00,-2.37
200002,1.03,-4.19
200003,4.75,-1.59
200004,3.33,-1.72
200005,0.84,-4.14
200006,4.07,-0.65
200007,1.84,-4.50
200008,4.36,-0.61
200009,3.73,-0.40
200010,0.99,-1.96
200011,9.74,5.65
200012,3.58,-1.94
200101,4.88,-0.49
200102,3.72,-1.50
200103,11.40,5.06
200104,1.66,-3.39
200105,1.73,-3.25
200106,12.26,7.54
200107,5.07,-1.27
200108,7.11,2.14
200109,7.09,2.96
200110,5.66,2.71
200111,3.45,-0.64
200112,4.25,-1.27
200201,4.91,-0.46
200202,3.02,-2.20
200203,6.62,0.28
200204,3.25,-1.80
200205,3.89,-1.09
200206,4.46,-0.26
200207,5.39,-0.95
200208,4.11,-0.86
200209,12.44,8.31
200210,8.54,5.59
200211,4.71,0.62
200212,8.99,3.47
200301,0.91,-4.46
200302,7.39,2.17
200303,6.28,-0.06
200304,3.97,-1.08
200305,3.76,-1.22
200306,11.76,7.04
200307,10.02,3.68
200308,7.08,2.11
200309,4.62,0.49
200310,1.82,-1.13
200311,3.11,-0.98
200312,2.42,-3.10
200401,3.66,-1.71
200402,9.65,4.43
200403,1.42,-4.92
200404,2.66,-2.39
200405,7.33,2.35
200406,13.44,8.72
200407,5.06,-1.28
200408,3.75,-1.22
200409,1.82,-2.31
200410,3.12,0.17
200411,6.58,2.49
200412,3.40,-2.12
200501,3.28,-2.09
200502,5.45,0.23
200503,4.49,-1.85
200504,9.21,4.16
200505,3.42,-1.56
200506,3.06,-1.66
200507,7.01,0.67
200508,11.74,6.77
200509,0.68,-3.45
200510,0.16,-2.79
200511,2.72,-1.37
200512,3.86,-1.66
200601,3.52,-1.85
200602,5.58,0.36
200603,1.96,-4.38
200604,3.72,-1.33
200605,2.62,-2.36
200606,1.96,-2.76
200607,5.58,-0.76
200608,5.26,0.29
200609,3.96,-0.17
200610,6.41,3.46
200611,4.51,0.42
200612,7.46,1.94
200701,4.86,-0.51
200702,2.58,-2.64
200703,1.03,-5.31
200704,5.96,0.91
200705,3.30,-1.68
200706,4.07,-0.65
200707,9.24,2.90
200708,2.95,-2.02
200709,4.02,-0.11
200710,6.06,3.11
200711,1.49,-2.60
200712,4.61,-0.91
200801,7.72,2.35
200802,5.13,-0.09
200803,3.68,-2.66
200804,3.87,-1.18
200805,4.23,-0.75
200806,4.46,-0.26
200807,3.46,-2.88
200808,7.26,2.29
200809,7.36,3.23
200810,1.71,-1.24
200811,4.50,0.41
200812,5.99,0.47
200901,3.44,-1.93
200902,2.66,-2.56
200903,11.90,5.56
200904,5.32,0.27
200905,7.50,2.52
200906,0.77,-3.95
200907,4.62,-1.72
200908,3.78,-1.19
200909,7.28,3.15
200910,5.78,2.83
200911,2.20,-1.89
200912,18.40,12.88
201001,4.19,-1.18
201002,7.58,2.36
201003,4.11,-2.23
201004,3.22,-1.83
201005,4.05,-0.93
201006,3.81,-0.91
201007,5.46,-0.88
201008,6.59,1.62
201009,0.42,-3.71
201010,0.42,-2.53
201011,3.04,-1.05
201012,1.50,-4.02
201101,4.38,-0.99
201102,3.74,-1.48
201103,10.32,3.98
201104,1.87,-3.18
201105,1.30,-3.68
201106,3.39,-1.33
201107,10.08,3.74
201108,3.42,-1.55
201109,12.36,8.23
201110,0.44,-2.51
201111,2.83,-1.26
201112,4.76,-0.76
201201,5.34,-0.03
201202,8.75,3.53
201203,9.54,3.20
201204,3.55,-1.50
201205,2.36,-2.62
201206,3.80,-0.92
201207,9.50,3.16
201208,17.25,12.28
201209,6.19,2.06
201210,1.18,-1.77
201211,1.63,-2.46
201212,7.76,2.24
201301,8.44,3.07
201302,10.24,5.02
201303,1.85,-4.49
201304,9.86,4.81
201305,6.41,1.43
201306,5.45,0.73
201307,6.39,0.05
201308,5.43,0.46
201309,5.68,1.55
201310,1.03,-1.92
201311,3.94,-0.15
201312,4.71,-0.81
201401,2.49,-2.88
201402,8.13,2.91
201403,6.65,0.31
201404,6.69,1.64
201405,6.55,1.57
201406,6.07,1.35
201407,2.89,-3.45
201408,3.52,-1.45
201409,4.36,0.23
201410,2.06,-0.89
201411,2.24,-1.85
201412,7.03,1.51
201501,5.13,-0.24
201502,2.78,-2.44
201503,5.94,-0.40
201504,4.68,-0.37
201505,6.85,1.87
201506,5.22,0.50
201507,5.62,-0.72
201508,3.25,-1.72
201509,3.17,-0.96
201510,6.01,3.06
201511,6.78,2.69
201512,10.29,4.77
201601,4.25,-1.12
201602,5.36,0.14
201603,11.58,5.24
201604,6.50,1.45
201605,3.38,-1.60
201606,6.78,2.06
201607,5.98,-0.36
201608,6.07,1.10
201609,5.06,0.93
201610,0.25,-2.70
201611,1.85,-2.24
201612,5.93,0.41
201701,9.24,3.87
201702,2.59,-2.63
201703,3.75,-2.59
201704,5.65,0.60
201705,9.86,4.88
201706,13.65,8.93
201707,6.41,0.07
201708,8.99,4.02
201709,1.56,-2.57
201710,3.79,0.84
201711,0.81,-3.28
201712,5.62,0.10
201801,4.67,-0.70
201802,5.92,0.70
201803,4.80,-1.54
201804,6.37,1.32
201805,3.59,-1.39
201806,3.70,-1.02
201807,6.97,0.63
201808,6.88,1.91
201809,6.36,2.23
201810,2.78,-0.17
201811,6.75,2.66
201812,11.94,6.42
201901,5.53,0.16
201902,5.87,0.65
201903,2.97,-3.37
201904,7.79,2.74
201905,5.64,0.66
201906,5.63,0.91
201907,7.34,1.00
201908,7.53,2.56
201909,0.36,-3.77
201910,12.50,9.55
201911,1.45,-2.64
201912,3.94,-1.58
202001,7.60,2.23
