Valley County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.25,-0.18
200002,0.33,0.01
200003,0.46,-0.01
200004,1.05,0.19
200005,2.11,0.21
200006,3.56,0.61
200007,3.10,1.34
200008,0.48,-0.85
200009,1.32,0.20
200010,0.72,0.05
200011,0.44,0.08
200012,0.31,-0.06
200101,0.29,-0.14
200102,0.14,-0.18
200103,0.13,-0.34
200104,0.64,-0.22
200105,1.11,-0.79
200106,4.00,1.05
200107,4.16,2.40
200108,0.16,-1.17
200109,0.48,-0.64
200110,0.46,-0.21
200111,0.22,-0.14
200112,0.02,-0.35
200201,0.39,-0.04
200202,0.25,-0.07
200203,0.53,0.06
200204,0.54,-0.32
200205,1.16,-0.74
200206,4.38,1.43
200207,1.62,-0.14
200208,3.23,1.90
200209,1.57,0.45
200210,0.52,-0.15
200211,0.11,-0.25
200212,0.05,-0.32
200301,0.47,0.04
200302,0.29,-0.03
200303,0.40,-0.07
200304,1.23,0.37
200305,2.76,0.86
200306,2.21,-0.74
200307,1.29,-0.47
200308,0.76,-0.57
200309,0.92,-0.20
200310,0.82,0.15
200311,0.40,0.04
200312,0.74,0.37
200401,1.07,0.64
200402,0.30,-0.02
200403,0.22,-0.25
200404,0.66,-0.20
200405,3.71,1.81
200406,2.24,-0.71
200407,2.20,0.44
200408,1.82,0.49
200409,0.39,-0.73
200410,0.53,-0.14
200411,0.28,-0.08
200412,0.44,0.07
200501,0.19,-0.24
200502,0.09,-0.23
200503,0.55,0.08
200504,1.19,0.33
200505,1.39,-0.51
200506,5.44,2.49
200507,0.73,-1.03
200508,1.28,-0.05
200509,0.98,-0.14
200510,0.68,0.01
200511,0.65,0.29
200512,0.31,-0.06
200601,0.39,-0.04
200602,0.53,0.21
200603,0.62,0.15
200604,1.68,0.82
200605,1.65,-0.25
200606,1.34,-1.61
200607,0.37,-1.39
200608,0.50,-0.83
200609,2.08,0.96
200610,1.25,0.58
200611,0.27,-0.09
200612,0.18,-0.19
200701,0.08,-0.35
200702,0.38,0.06
200703,0.32,-0.15
200704,1.26,0.40
200705,5.71,3.81
200706,2.49,-0.46
200707,0.67,-1.09
200708,0.75,-0.58
200709,0.83,-0.29
200710,1.39,0.72
200711,0.10,-0.26
200712,0.06,-0.31
200801,0.21,-0.22
200802,0.25,-0.07
200803,0.29,-0.18
200804,0.50,-0.36
200805,2.73,0.83
200806,3.49,0.54
200807,1.41,-0.35
200808,0.87,-0.46
200809,1.70,0.58
200810,1.24,0.57
200811,0.32,-0.04
200812,0.88,0.51
200901,0.44,0.01
200902,0.13,-0.19
200903,0.30,-0.17
200904,1.74,0.88
200905,1.38,-0.52
200906,0.85,-2.10
200907,2.06,0.30
200908,2.13,0.80
200909,0.44,-0.68
200910,1.11,0.44
200911,0.02,-0.34
200912,0.32,-0.05
201001,0.53,0.10
201002,0.13,-0.19
201003,0.08,-0.39
201004,1.07,0.21
201005,4.37,2.47
201006,3.21,0.26
201007,1.43,-0.33
201008,2.47,1.14
201009,2.13,1.01
201010,0.22,-0.45
201011,0.40,0.04
201012,0.92,0.55
201101,1.57,1.14
201102,0.49,0.17
201103,0.72,0.25
201104,0.86,0.00
201105,6.81,4.91
201106,4.71,1.76
201107,2.61,0.85
201108,1.07,-0.26
201109,0.31,-0.81
201110,0.94,0.27
201111,0.44,0.08
201112,0.18,-0.19
201201,0.09,-0.34
201202,0.51,0.19
201203,0.23,-0.24
201204,1.60,0.74
201205,3.48,1.58
201206,2.41,-0.54
201207,1.19,-0.57
201208,0.79,-0.54
201209,0.09,-1.03
201210,1.05,0.38
201211,0.50,0.14
201212,0.38,0.01
201301,0.56,0.13
201302,0.07,-0.25
201303,0.83,0.36
201304,0.99,0.13
201305,3.91,2.01
201306,4.04,1.09
201307,1.34,-0.42
201308,1.20,-0.13
201309,2.07,0.95
201310,0.20,-0.47
201311,0.33,-0.03
201312,0.70,0.33
201401,0.11,-0.32
201402,0.17,-0.15
201403,0.52,0.05
201404,0.99,0.13
201405,1.98,0.08
201406,3.27,0.32
201407,1.15,-0.61
201408,5.09,3.76
201409,1.03,-0.09
201410,0.49,-0.18
201411,0.51,0.15
201412,0.13,-0.24
201501,0.63,0.20
201502,0.44,0.12
201503,0.79,0.32
201504,0.89,0.03
201505,1.32,-0.58
201506,1.90,-1.05
201507,3.50,1.74
201508,1.23,-0.10
201509,0.67,-0.45
201510,1.81,1.14
201511,0.54,0.18
201512,0.59,0.22
201601,0.25,-0.18
201602,0.37,0.05
201603,0.42,-0.05
201604,2.78,1.92
201605,4.01,2.11
201606,2.89,-0.06
201607,3.73,1.97
201608,0.79,-0.54
201609,2.04,0.92
201610,3.04,2.37
201611,0.06,-0.30
201612,0.30,-0.07
201701,0.36,-0.07
201702,0.55,0.23
201703,0.42,-0.05
201704,0.50,-0.36
201705,0.52,-1.38
201706,0.46,-2.49
201707,0.54,-1.22
201708,0.39,-0.94
201709,0.97,-0.15
201710,0.65,-0.02
201711,0.18,-0.18
201712,0.75,0.38
201801,0.21,-0.22
201802,0.69,0.37
201803,1.04,0.57
201804,0.57,-0.29
201805,1.75,-0.15
201806,1.97,-0.98
201807,1.03,-0.73
201808,0.88,-0.45
201809,1.70,0.58
201810,1.00,0.33
201811,0.75,0.39
201812,0.46,0.09
201901,0.25,-0.18
201902,0.98,0.66
201903,0.24,-0.23
201904,1.04,0.18
201905,1.06,-0.84
201906,3.73,0.78
201907,1.72,-0.04
201908,2.61,1.28
201909,4.29,3.17
201910,0.52,-0.15
201911,0.69,0.33
201912,0.32,-0.05
202001,0.31,-0.12
