Buncombe County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.53,-0.22
200002,2.46,-1.23
200003,4.38,-0.31
200004,5.64,1.88
200005,3.06,-0.97
200006,4.13,-0.24
200007,4.00,-0.88
200008,3.68,-1.21
200009,3.02,-0.61
200010,0.07,-3.46
200011,3.68,0.57
200012,1.95,-1.74
200101,2.87,-0.88
200102,2.73,-0.96
200103,5.07,0.38
200104,1.82,-1.94
200105,2.83,-1.20
200106,4.69,0.32
200107,5.45,0.57
200108,3.29,-1.60
200109,4.06,0.43
200110,1.31,-2.22
200111,1.57,-1.54
200112,2.63,-1.06
200201,4.31,0.56
200202,1.18,-2.51
200203,5.16,0.47
200204,1.66,-2.10
200205,3.89,-0.14
200206,3.81,-0.56
200207,3.09,-1.79
200208,2.51,-2.38
200209,5.84,2.21
200210,3.96,0.43
200211,4.29,1.18
200212,5.43,1.74
200301,1.93,-1.82
200302,4.94,1.25
200303,4.47,-0.22
200304,5.15,1.39
200305,9.28,5.25
200306,4.99,0.62
200307,7.99,3.11
200308,5.57,0.68
200309,3.80,0.17
200310,2.77,-0.76
200311,5.31,2.20
200312,3.38,-0.31
200401,1.26,-2.49
200402,3.99,0.30
200403,2.58,-2.11
200404,3.56,-0.20
200405,4.29,0.26
200406,5.62,1.25
200407,4.61,-0.27
200408,4.54,-0.35
200409,16.18,12.55
200410,1.97,-1.56
200411,5.09,1.98
200412,3.39,-0.30
200501,2.41,-1.34
200502,2.99,-0.70
200503,3.86,-0.83
200504,4.19,0.43
200505,2.32,-1.71
200506,8.33,3.96
200507,8.20,3.32
200508,7.48,2.59
200509,0.71,-2.92
200510,2.50,-1.03
200511,4.58,1.47
200512,3.07,-0.62
200601,4.47,0.72
200602,2.39,-1.30
200603,1.70,-2.99
200604,5.45,1.69
200605,3.18,-0.85
200606,5.71,1.34
200607,3.03,-1.85
200608,5.45,0.56
200609,6.44,2.81
200610,3.25,-0.28
200611,4.21,1.10
200612,3.59,-0.10
200701,3.68,-0.07
200702,1.37,-2.32
200703,4.03,-0.66
200704,2.16,-1.60
200705,1.47,-2.56
200706,3.04,-1.33
200707,5.39,0.51
200708,2.14,-2.75
200709,2.69,-0.94
200710,2.90,-0.63
200711,1.71,-1.40
200712,3.74,0.05
200801,1.92,-1.83
200802,3.81,0.12
200803,4.71,0.02
200804,3.10,-0.66
200805,2.22,-1.81
200806,2.52,-1.85
200807,2.86,-2.02
200808,6.12,1.23
200809,2.21,-1.42
200810,1.67,-1.86
200811,2.28,-0.83
200812,4.82,1.13
200901,2.80,-0.95
200902,2.06,-1.63
200903,4.16,-0.53
200904,3.62,-0.14
200905,8.86,4.83
200906,4.65,0.28
200907,3.30,-1.58
200908,4.78,-0.11
200909,8.16,4.53
200910,5.20,1.67
200911,5.32,2.21
200912,7.87,4.18
201001,5.08,1.33
201002,3.15,-0.54
201003,3.73,-0.96
201004,2.53,-1.23
201005,4.03,0.00
201006,3.27,-1.10
201007,3.39,-1.49
201008,3.46,-1.43
201009,4.40,0.77
201010,2.09,-1.44
201011,2.94,-0.17
201012,3.47,-0.22
201101,2.41,-1.34
201102,2.57,-1.12
201103,7.25,2.56
201104,5.82,2.06
201105,3.86,-0.17
201106,4.99,0.62
201107,3.86,-1.02
201108,2.54,-2.35
201109,4.58,0.95
201110,2.62,-0.91
201111,6.05,2.94
201112,5.03,1.34
201201,4.60,0.85
201202,1.67,-2.02
201203,3.98,-0.71
201204,5.87,2.11
201205,5.11,1.08
201206,2.32,-2.05
201207,7.00,2.12
201208,3.89,-1.00
201209,5.17,1.54
201210,4.23,0.70
201211,0.80,-2.31
201212,4.89,1.20
201301,9.16,5.41
201302,3.54,-0.15
201303,4.44,-0.25
201304,6.21,2.45
201305,7.48,3.45
201306,6.91,2.54
201307,14.52,9.64
201308,4.48,-0.41
201309,3.05,-0.58
201310,2.08,-1.45
201311,3.66,0.55
201312,6.82,3.13
201401,2.26,-1.49
201402,3.11,-0.58
201403,2.85,-1.84
201404,5.28,1.52
201405,4.30,0.27
201406,4.15,-0.22
201407,5.53,0.65
201408,2.95,-1.94
201409,5.34,1.71
201410,4.71,1.18
201411,3.33,0.22
201412,2.64,-1.05
201501,2.62,-1.13
201502,2.15,-1.54
201503,2.49,-2.20
201504,5.69,1.93
201505,2.52,-1.51
201506,3.70,-0.67
201507,4.53,-0.35
201508,3.08,-1.81
201509,5.39,1.76
201510,7.86,4.33
201511,8.73,5.62
201512,9.52,5.83
201601,2.57,-1.18
201602,5.69,2.00
201603,1.25,-3.44
201604,2.02,-1.74
201605,3.43,-0.60
201606,1.75,-2.62
201607,6.07,1.19
201608,5.64,0.75
201609,1.39,-2.24
201610,0.54,-2.99
201611,1.55,-1.56
201612,2.77,-0.92
201701,3.65,-0.10
201702,1.08,-2.61
201703,4.62,-0.07
201704,6.00,2.24
201705,7.26,3.23
201706,2.49,-1.88
201707,4.31,-0.57
201708,3.69,-1.20
201709,4.04,0.41
201710,8.87,5.34
201711,1.74,-1.37
201712,2.95,-0.74
201801,3.61,-0.14
201802,4.35,0.66
201803,3.92,-0.77
201804,4.93,1.17
201805,10.72,6.69
201806,3.98,-0.39
201807,4.49,-0.39
201808,7.43,2.54
201809,5.69,2.06
201810,7.05,3.52
201811,6.34,3.23
201812,8.47,4.78
201901,4.43,0.68
201902,5.53,1.84
201903,2.98,-1.71
201904,6.57,2.81
201905,3.56,-0.47
201906,6.64,2.27
201907,5.96,1.08
201908,3.57,-1.32
201909,0.82,-2.81
201910,7.01,3.48
201911,2.91,-0.20
201912,5.10,1.41
202001,4.78,1.03
