Cherokee County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,7.12,1.18
200002,2.90,-2.72
200003,3.88,-2.49
200004,7.85,2.91
200005,2.29,-2.02
200006,5.78,0.74
200007,4.10,-1.22
200008,3.28,-1.70
200009,5.42,1.92
200010,0.12,-3.41
200011,6.49,2.19
200012,2.67,-3.01
200101,5.09,-0.85
200102,5.48,-0.14
200103,4.45,-1.92
200104,1.78,-3.16
200105,4.89,0.58
200106,7.11,2.07
200107,5.38,0.06
200108,5.41,0.43
200109,4.36,0.86
200110,1.36,-2.17
200111,2.36,-1.94
200112,3.76,-1.92
200201,7.45,1.51
200202,1.72,-3.90
200203,7.01,0.64
200204,3.15,-1.79
200205,5.75,1.44
200206,3.53,-1.51
200207,4.80,-0.52
200208,4.22,-0.76
200209,8.75,5.25
200210,4.61,1.08
200211,6.13,1.83
200212,6.53,0.85
200301,3.86,-2.08
200302,8.88,3.26
200303,3.51,-2.86
200304,5.54,0.60
200305,11.96,7.65
200306,4.93,-0.11
200307,8.10,2.78
200308,5.18,0.20
200309,4.88,1.38
200310,1.42,-2.11
200311,6.23,1.93
200312,4.61,-1.07
200401,3.76,-2.18
200402,4.16,-1.46
200403,4.49,-1.88
200404,3.09,-1.85
200405,4.10,-0.21
200406,5.88,0.84
200407,6.40,1.08
200408,4.69,-0.29
200409,7.12,3.62
200410,3.58,0.05
200411,9.14,4.84
200412,6.59,0.91
200501,2.92,-3.02
200502,5.69,0.07
200503,6.01,-0.36
200504,4.87,-0.07
200505,2.47,-1.84
200506,7.66,2.62
200507,7.38,2.06
200508,5.35,0.37
200509,1.46,-2.04
200510,1.71,-1.82
200511,4.86,0.56
200512,5.68,0.00
200601,6.40,0.46
200602,2.97,-2.65
200603,2.45,-3.92
200604,5.18,0.24
200605,3.58,-0.73
200606,3.43,-1.61
200607,3.16,-2.16
200608,5.07,0.09
200609,5.42,1.92
200610,6.70,3.17
200611,4.45,0.15
200612,2.63,-3.05
200701,3.83,-2.11
200702,2.36,-3.26
200703,3.36,-3.01
200704,2.85,-2.09
200705,1.62,-2.69
200706,3.13,-1.91
200707,5.83,0.51
200708,1.43,-3.55
200709,3.89,0.39
200710,2.52,-1.01
200711,3.52,-0.78
200712,4.71,-0.97
200801,3.17,-2.77
200802,5.55,-0.07
200803,6.56,0.19
200804,4.27,-0.67
200805,4.45,0.14
200806,3.67,-1.37
200807,6.34,1.02
200808,4.53,-0.45
200809,0.69,-2.81
200810,2.85,-0.68
200811,2.66,-1.64
200812,9.68,4.00
200901,6.34,0.40
200902,3.26,-2.36
200903,4.92,-1.45
200904,4.53,-0.41
200905,7.08,2.77
200906,4.83,-0.21
200907,5.11,-0.21
200908,6.73,1.75
200909,8.48,4.98
200910,8.16,4.63
200911,6.37,2.07
200912,9.04,3.36
201001,8.23,2.29
201002,4.74,-0.88
201003,4.39,-1.98
201004,4.57,-0.37
201005,5.63,1.32
201006,2.05,-2.99
201007,4.62,-0.70
201008,3.96,-1.02
201009,4.55,1.05
201010,3.77,0.24
201011,4.47,0.17
201012,6.97,1.29
201101,4.41,-1.53
201102,2.87,-2.75
201103,10.46,4.09
201104,5.35,0.41
201105,1.81,-2.50
201106,6.42,1.38
201107,3.74,-1.58
201108,2.78,-2.20
201109,6.30,2.80
201110,4.18,0.65
201111,6.93,2.63
201112,5.54,-0.14
201201,5.60,-0.34
201202,2.87,-2.75
201203,5.79,-0.58
201204,3.53,-1.41
201205,3.76,-0.55
201206,3.47,-1.57
201207,4.55,-0.77
201208,8.28,3.30
201209,4.73,1.23
201210,5.53,2.00
201211,1.40,-2.90
201212,7.31,1.63
201301,12.18,6.24
201302,5.63,0.01
201303,5.00,-1.37
201304,7.44,2.50
201305,4.18,-0.13
201306,9.00,3.96
201307,9.07,3.75
201308,8.17,3.19
201309,4.67,1.17
201310,1.33,-2.20
201311,5.07,0.77
201312,9.46,3.78
201401,3.10,-2.84
201402,5.12,-0.50
201403,2.87,-3.50
201404,4.43,-0.51
201405,4.01,-0.30
201406,5.35,0.31
201407,5.22,-0.10
201408,3.77,-1.21
201409,4.65,1.15
201410,6.93,3.40
201411,3.17,-1.13
201412,3.98,-1.70
201501,4.54,-1.40
201502,3.84,-1.78
201503,3.57,-2.80
201504,7.12,2.18
201505,2.68,-1.63
201506,4.35,-0.69
201507,8.81,3.49
201508,4.86,-0.12
201509,3.40,-0.10
201510,5.08,1.55
201511,8.86,4.56
201512,13.47,7.79
201601,3.49,-2.45
201602,5.40,-0.22
201603,2.12,-4.25
201604,2.61,-2.33
201605,3.54,-0.77
201606,4.16,-0.88
201607,3.93,-1.39
201608,3.08,-1.90
201609,1.35,-2.15
201610,0.29,-3.24
201611,2.05,-2.25
201612,5.42,-0.26
201701,4.54,-1.40
201702,2.82,-2.80
201703,6.69,0.32
201704,7.35,2.41
201705,6.08,1.77
201706,6.15,1.11
201707,5.63,0.31
201708,4.14,-0.84
201709,3.20,-0.30
201710,6.74,3.21
201711,1.34,-2.96
201712,3.81,-1.87
201801,2.32,-3.62
201802,8.03,2.41
201803,5.52,-0.85
201804,5.20,0.26
201805,5.80,1.49
201806,6.61,1.57
201807,6.46,1.14
201808,9.62,4.64
201809,5.19,1.69
201810,4.35,0.82
201811,7.63,3.33
201812,10.55,4.87
201901,6.33,0.39
201902,11.19,5.57
201903,5.46,-0.91
201904,6.34,1.40
201905,4.31,0.00
201906,6.13,1.09
201907,5.64,0.32
201908,2.32,-2.66
201909,0.44,-3.06
201910,8.29,4.76
201911,4.05,-0.25
201912,6.77,1.09
202001,7.76,1.82
