Jones County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.35,1.46
200002,1.75,-2.05
200003,4.21,0.23
200004,6.21,3.05
200005,2.67,-1.50
200006,4.02,-1.19
200007,10.15,2.98
200008,7.30,0.97
200009,8.22,2.75
200010,0.12,-2.97
200011,3.77,0.89
200012,2.57,-0.95
200101,1.67,-2.22
200102,2.94,-0.86
200103,4.80,0.82
200104,1.55,-1.61
200105,4.29,0.12
200106,7.69,2.48
200107,7.25,0.08
200108,5.29,-1.04
200109,2.16,-3.31
200110,0.87,-2.22
200111,1.21,-1.67
200112,1.35,-2.17
200201,4.73,0.84
200202,2.25,-1.55
200203,5.94,1.96
200204,2.67,-0.49
200205,2.76,-1.41
200206,4.24,-0.97
200207,6.10,-1.07
200208,5.46,-0.87
200209,3.58,-1.89
200210,2.61,-0.48
200211,4.07,1.19
200212,2.90,-0.62
200301,2.02,-1.87
200302,5.13,1.33
200303,5.66,1.68
200304,6.39,3.23
200305,9.10,4.93
200306,6.28,1.07
200307,9.41,2.24
200308,5.46,-0.87
200309,6.98,1.51
200310,7.29,4.20
200311,1.92,-0.96
200312,6.01,2.49
200401,1.43,-2.46
200402,4.65,0.85
200403,1.69,-2.29
200404,4.01,0.85
200405,5.16,0.99
200406,6.15,0.94
200407,5.88,-1.29
200408,10.50,4.17
200409,6.37,0.90
200410,2.14,-0.95
200411,3.63,0.75
200412,2.04,-1.48
200501,2.45,-1.44
200502,2.49,-1.31
200503,3.74,-0.24
200504,3.63,0.47
200505,6.09,1.92
200506,5.07,-0.14
200507,5.90,-1.27
200508,2.44,-3.89
200509,5.90,0.43
200510,10.92,7.83
200511,2.65,-0.23
200512,4.28,0.76
200601,3.57,-0.32
200602,1.69,-2.11
200603,1.83,-2.15
200604,3.63,0.47
200605,4.22,0.05
200606,6.95,1.74
200607,5.00,-2.17
200608,6.78,0.45
200609,10.74,5.27
200610,4.27,1.18
200611,8.75,5.87
200612,4.42,0.90
200701,3.76,-0.13
200702,2.46,-1.34
200703,2.40,-1.58
200704,3.73,0.57
200705,3.28,-0.89
200706,4.04,-1.17
200707,5.90,-1.27
200708,2.69,-3.64
200709,2.86,-2.61
200710,3.49,0.40
200711,0.70,-2.18
200712,3.38,-0.14
200801,2.52,-1.37
200802,5.03,1.23
200803,2.86,-1.12
200804,5.68,2.52
200805,3.40,-0.77
200806,1.71,-3.50
200807,5.15,-2.02
200808,6.04,-0.29
200809,6.12,0.65
200810,1.94,-1.15
200811,3.35,0.47
200812,3.14,-0.38
200901,2.33,-1.56
200902,1.74,-2.06
200903,3.87,-0.11
200904,2.55,-0.61
200905,5.18,1.01
200906,4.59,-0.62
200907,4.20,-2.97
200908,8.92,2.59
200909,4.31,-1.16
200910,1.60,-1.49
200911,8.34,5.46
200912,7.53,4.01
201001,4.35,0.46
201002,4.18,0.38
201003,3.06,-0.92
201004,0.67,-2.49
201005,2.16,-2.01
201006,5.83,0.62
201007,5.41,-1.76
201008,5.04,-1.29
201009,15.87,10.40
201010,2.49,-0.60
201011,1.08,-1.80
201012,2.98,-0.54
201101,2.48,-1.41
201102,3.15,-0.65
201103,3.37,-0.61
201104,2.71,-0.45
201105,0.84,-3.33
201106,2.52,-2.69
201107,3.77,-3.40
201108,15.05,8.72
201109,3.72,-1.75
201110,2.54,-0.55
201111,2.88,0.00
201112,0.65,-2.87
201201,2.61,-1.28
201202,2.43,-1.37
201203,4.74,0.76
201204,2.76,-0.40
201205,8.88,4.71
201206,2.76,-2.45
201207,11.61,4.44
201208,8.29,1.96
201209,4.09,-1.38
201210,4.09,1.00
201211,0.96,-1.92
201212,4.81,1.29
201301,2.30,-1.59
201302,4.83,1.03
201303,1.31,-2.67
201304,3.69,0.53
201305,2.57,-1.60
201306,9.06,3.85
201307,5.58,-1.59
201308,6.57,0.24
201309,3.59,-1.88
201310,2.77,-0.32
201311,3.55,0.67
201312,3.66,0.14
201401,3.29,-0.60
201402,2.76,-1.04
201403,5.76,1.78
201404,4.27,1.11
201405,3.06,-1.11
201406,6.22,1.01
201407,8.82,1.65
201408,7.29,0.96
201409,6.53,1.06
201410,2.01,-1.08
201411,3.45,0.57
201412,4.16,0.64
201501,5.36,1.47
201502,4.60,0.80
201503,3.48,-0.50
201504,2.74,-0.42
201505,5.20,1.03
201506,7.47,2.26
201507,6.29,-0.88
201508,5.71,-0.62
201509,6.60,1.13
201510,6.80,3.71
201511,8.02,5.14
201512,5.47,1.95
201601,3.77,-0.12
201602,7.62,3.82
201603,3.00,-0.98
201604,2.68,-0.48
201605,6.25,2.08
201606,4.02,-1.19
201607,8.26,1.09
201608,5.65,-0.68
201609,13.23,7.76
201610,8.64,5.55
201611,0.92,-1.96
201612,4.02,0.50
201701,3.95,0.06
201702,1.57,-2.23
201703,3.49,-0.49
201704,6.37,3.21
201705,4.03,-0.14
201706,4.73,-0.48
201707,5.21,-1.96
201708,7.72,1.39
201709,5.19,-0.28
201710,4.16,1.07
201711,0.87,-2.01
201712,4.10,0.58
201801,5.02,1.13
201802,1.82,-1.98
201803,3.78,-0.20
201804,5.75,2.59
201805,7.94,3.77
201806,6.67,1.46
201807,8.31,1.14
201808,7.09,0.76
201809,17.39,11.92
201810,2.33,-0.76
201811,5.59,2.71
201812,6.75,3.23
201901,3.08,-0.81
201902,3.31,-0.49
201903,2.59,-1.39
201904,3.49,0.33
201905,1.83,-2.34
201906,3.82,-1.39
201907,4.54,-2.63
201908,6.55,0.22
201909,7.16,1.69
201910,2.77,-0.32
201911,3.66,0.78
201912,2.95,-0.57
202001,2.09,-1.80
