Mecklenburg County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.00,0.12
200002,2.39,-1.51
200003,3.50,-0.85
200004,4.48,1.08
200005,1.45,-2.17
200006,2.51,-1.50
200007,3.23,-1.46
200008,3.00,-1.54
200009,7.03,3.35
200010,0.01,-3.26
200011,2.70,-0.17
200012,1.31,-2.40
200101,1.84,-2.04
200102,2.15,-1.75
200103,5.45,1.10
200104,1.26,-2.14
200105,2.63,-0.99
200106,3.33,-0.68
200107,3.56,-1.13
200108,1.52,-3.02
200109,4.40,0.72
200110,1.07,-2.20
200111,0.79,-2.08
200112,2.10,-1.61
200201,4.79,0.91
200202,1.56,-2.34
200203,4.53,0.18
200204,0.71,-2.69
200205,3.09,-0.53
200206,1.38,-2.63
200207,1.84,-2.85
200208,4.05,-0.49
200209,4.43,0.75
200210,5.72,2.45
200211,4.27,1.40
200212,5.12,1.41
200301,2.01,-1.87
200302,4.03,0.13
200303,7.27,2.92
200304,8.56,5.16
200305,9.75,6.13
200306,6.32,2.31
200307,7.50,2.81
200308,6.35,1.81
200309,2.76,-0.92
200310,1.94,-1.33
200311,1.01,-1.86
200312,2.51,-1.20
200401,1.05,-2.83
200402,3.84,-0.06
200403,1.47,-2.88
200404,1.52,-1.88
200405,2.26,-1.36
200406,7.31,3.30
200407,5.21,0.52
200408,4.82,0.28
200409,8.37,4.69
200410,1.12,-2.15
200411,3.12,0.25
200412,2.56,-1.15
200501,1.79,-2.09
200502,2.83,-1.07
200503,4.62,0.27
200504,3.10,-0.30
200505,2.21,-1.41
200506,6.74,2.73
200507,3.72,-0.97
200508,3.77,-0.77
200509,0.25,-3.43
200510,4.65,1.38
200511,3.23,0.36
200512,5.06,1.35
200601,2.99,-0.89
200602,1.29,-2.61
200603,1.36,-2.99
200604,2.40,-1.00
200605,1.84,-1.78
200606,6.74,2.73
200607,2.86,-1.83
200608,6.34,1.80
200609,4.73,1.05
200610,3.68,0.41
200611,6.02,3.15
200612,2.39,-1.32
200701,3.78,-0.10
200702,2.66,-1.24
200703,3.52,-0.83
200704,3.64,0.24
200705,1.13,-2.49
200706,3.32,-0.69
200707,2.29,-2.40
200708,0.70,-3.84
200709,1.18,-2.50
200710,2.87,-0.40
200711,0.58,-2.29
200712,4.00,0.29
200801,1.75,-2.13
200802,3.04,-0.86
200803,4.01,-0.34
200804,3.74,0.34
200805,2.58,-1.04
200806,2.51,-1.50
200807,4.74,0.05
200808,9.00,4.46
200809,4.15,0.47
200810,1.74,-1.53
200811,2.43,-0.44
200812,4.10,0.39
200901,2.75,-1.13
200902,2.06,-1.84
200903,5.89,1.54
200904,2.49,-0.91
200905,5.62,2.00
200906,3.97,-0.04
200907,3.90,-0.79
200908,2.26,-2.28
200909,2.23,-1.45
200910,3.48,0.21
200911,5.64,2.77
200912,6.67,2.96
201001,4.89,1.01
201002,3.80,-0.10
201003,3.64,-0.71
201004,1.47,-1.93
201005,4.19,0.57
201006,3.56,-0.45
201007,3.39,-1.30
201008,4.02,-0.52
201009,3.62,-0.06
201010,1.38,-1.89
201011,1.26,-1.61
201012,1.81,-1.90
201101,1.33,-2.55
201102,2.84,-1.06
201103,4.66,0.31
201104,2.95,-0.45
201105,5.32,1.70
201106,3.29,-0.72
201107,3.51,-1.18
201108,3.72,-0.82
201109,5.57,1.89
201110,3.31,0.04
201111,3.41,0.54
201112,3.07,-0.64
201201,2.43,-1.45
201202,1.37,-2.53
201203,3.00,-1.35
201204,1.80,-1.60
201205,5.97,2.35
201206,2.34,-1.67
201207,4.52,-0.17
201208,4.85,0.31
201209,4.43,0.75
201210,1.38,-1.89
201211,0.67,-2.20
201212,3.79,0.08
201301,4.23,0.35
201302,3.54,-0.36
201303,3.25,-1.10
201304,4.53,1.13
201305,3.22,-0.40
201306,8.02,4.01
201307,7.07,2.38
201308,3.22,-1.32
201309,2.72,-0.96
201310,0.72,-2.55
201311,3.59,0.72
201312,6.63,2.92
201401,2.96,-0.92
201402,3.13,-0.77
201403,4.57,0.22
201404,6.09,2.69
201405,4.04,0.42
201406,3.64,-0.37
201407,4.63,-0.06
201408,4.45,-0.09
201409,4.73,1.05
201410,1.45,-1.82
201411,4.16,1.29
201412,2.92,-0.79
201501,2.63,-1.25
201502,2.86,-1.04
201503,2.13,-2.22
201504,5.40,2.00
201505,0.76,-2.86
201506,3.19,-0.82
201507,2.13,-2.56
201508,3.57,-0.97
201509,3.30,-0.38
201510,6.43,3.16
201511,8.20,5.33
201512,9.07,5.36
201601,2.29,-1.59
201602,3.62,-0.28
201603,1.23,-3.12
201604,1.52,-1.88
201605,6.09,2.47
201606,2.92,-1.09
201607,2.47,-2.22
201608,2.42,-2.12
201609,4.70,1.02
201610,2.98,-0.29
201611,0.57,-2.30
201612,2.67,-1.04
201701,5.50,1.62
201702,1.02,-2.88
201703,2.56,-1.79
201704,5.78,2.38
201705,6.60,2.98
201706,4.79,0.78
201707,4.11,-0.58
201708,4.78,0.24
201709,3.60,-0.08
201710,3.09,-0.18
201711,0.95,-1.92
201712,2.14,-1.57
201801,2.85,-1.03
201802,3.02,-0.88
201803,4.09,-0.26
201804,4.66,1.26
201805,4.16,0.54
201806,2.37,-1.64
201807,4.61,-0.08
201808,5.28,0.74
201809,7.90,4.22
201810,5.36,2.09
201811,6.23,3.36
201812,6.14,2.43
201901,4.41,0.53
201902,5.55,1.65
201903,3.07,-1.28
201904,5.14,1.74
201905,3.08,-0.54
201906,5.02,1.01
201907,3.30,-1.39
201908,5.05,0.51
201909,0.28,-3.40
201910,5.11,1.84
201911,3.14,0.27
201912,5.47,1.76
202001,4.80,0.92
