Banner County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.66,0.21
200002,0.72,0.18
200003,1.81,0.68
200004,1.72,-0.19
200005,1.96,-0.94
200006,0.87,-1.82
200007,1.43,-0.74
200008,0.76,-0.88
200009,2.93,1.45
200010,1.69,0.62
200011,0.53,-0.08
200012,0.35,-0.25
200101,0.42,-0.03
200102,0.55,0.01
200103,0.54,-0.59
200104,3.28,1.37
200105,3.13,0.23
200106,1.06,-1.63
200107,2.42,0.25
200108,0.21,-1.43
200109,1.78,0.30
200110,1.13,0.06
200111,0.81,0.20
200112,0.03,-0.57
200201,0.04,-0.41
200202,0.25,-0.29
200203,0.66,-0.47
200204,0.39,-1.52
200205,0.72,-2.18
200206,1.28,-1.41
200207,0.62,-1.55
200208,3.57,1.93
200209,0.86,-0.62
200210,1.19,0.12
200211,0.33,-0.28
200212,0.02,-0.58
200301,0.19,-0.26
200302,0.56,0.02
200303,2.78,1.65
200304,1.96,0.05
200305,2.06,-0.84
200306,3.17,0.48
200307,1.96,-0.21
200308,1.14,-0.50
200309,1.44,-0.04
200310,0.25,-0.82
200311,0.62,0.01
200312,0.48,-0.12
200401,0.17,-0.28
200402,0.67,0.13
200403,0.44,-0.69
200404,1.46,-0.45
200405,1.03,-1.87
200406,2.05,-0.64
200407,3.22,1.05
200408,1.19,-0.45
200409,3.53,2.05
200410,1.17,0.10
200411,1.27,0.66
200412,0.15,-0.45
200501,0.60,0.15
200502,0.35,-0.19
200503,1.04,-0.09
200504,2.93,1.02
200505,2.16,-0.74
200506,5.69,3.00
200507,2.64,0.47
200508,3.21,1.57
200509,0.57,-0.91
200510,2.43,1.36
200511,0.27,-0.34
200512,0.19,-0.41
200601,0.23,-0.22
200602,0.66,0.12
200603,1.61,0.48
200604,0.87,-1.04
200605,1.16,-1.74
200606,2.86,0.17
200607,1.28,-0.89
200608,3.16,1.52
200609,1.18,-0.30
200610,0.59,-0.48
200611,0.02,-0.59
200612,1.22,0.62
200701,0.31,-0.14
200702,0.30,-0.24
200703,1.44,0.31
200704,1.77,-0.14
200705,2.33,-0.57
200706,0.78,-1.91
200707,2.03,-0.14
200708,1.77,0.13
200709,0.90,-0.58
200710,1.60,0.53
200711,0.15,-0.46
200712,1.52,0.92
200801,0.03,-0.42
200802,0.42,-0.12
200803,0.76,-0.37
200804,0.98,-0.93
200805,2.46,-0.44
200806,1.79,-0.90
200807,2.09,-0.08
200808,3.77,2.13
200809,1.86,0.38
200810,0.85,-0.22
200811,0.55,-0.06
200812,0.18,-0.42
200901,0.79,0.34
200902,0.23,-0.31
200903,0.89,-0.24
200904,3.83,1.92
200905,1.65,-1.25
200906,5.97,3.28
200907,2.17,0.00
200908,1.81,0.17
200909,0.89,-0.59
200910,2.82,1.75
200911,0.34,-0.27
200912,0.88,0.28
201001,0.06,-0.39
201002,1.06,0.52
201003,0.82,-0.31
201004,3.83,1.92
201005,3.13,0.23
201006,3.14,0.45
201007,2.70,0.53
201008,1.57,-0.07
201009,0.08,-1.40
201010,1.08,0.01
201011,0.84,0.23
201012,0.49,-0.11
201101,0.69,0.24
201102,0.51,-0.03
201103,0.91,-0.22
201104,2.79,0.88
201105,5.48,2.58
201106,3.19,0.50
201107,2.62,0.45
201108,1.16,-0.48
201109,0.70,-0.78
201110,1.86,0.79
201111,0.54,-0.07
201112,0.38,-0.22
201201,0.16,-0.29
201202,0.79,0.25
201203,0.00,-1.13
201204,1.50,-0.41
201205,0.68,-2.22
201206,1.03,-1.66
201207,1.60,-0.57
201208,0.12,-1.52
201209,0.64,-0.84
201210,0.80,-0.27
201211,0.21,-0.40
201212,0.27,-0.33
201301,0.20,-0.25
201302,0.75,0.21
201303,0.28,-0.85
201304,2.22,0.31
201305,1.89,-1.01
201306,1.86,-0.83
201307,1.30,-0.87
201308,1.00,-0.64
201309,4.21,2.73
201310,3.18,2.11
201311,0.54,-0.07
201312,0.37,-0.23
201401,0.53,0.08
201402,1.28,0.74
201403,1.13,0.00
201404,0.83,-1.08
201405,4.27,1.37
201406,2.47,-0.22
201407,1.94,-0.23
201408,2.11,0.47
201409,3.43,1.95
201410,0.84,-0.23
201411,0.99,0.38
201412,1.37,0.77
201501,0.30,-0.15
201502,0.60,0.06
201503,0.15,-0.98
201504,3.97,2.06
201505,7.72,4.82
201506,2.55,-0.14
201507,3.54,1.37
201508,1.91,0.27
201509,1.00,-0.48
201510,2.19,1.12
201511,1.33,0.72
201512,1.47,0.87
201601,0.30,-0.15
201602,0.96,0.42
201603,2.97,1.84
201604,3.63,1.72
201605,2.45,-0.45
201606,1.59,-1.10
201607,1.76,-0.41
201608,2.42,0.78
201609,1.33,-0.15
201610,0.48,-0.59
201611,0.43,-0.18
201612,0.77,0.17
201701,0.87,0.42
201702,0.75,0.21
201703,1.81,0.68
201704,2.25,0.34
201705,4.19,1.29
201706,0.66,-2.03
201707,1.01,-1.16
201708,1.91,0.27
201709,1.63,0.15
201710,1.28,0.21
201711,0.48,-0.13
201712,0.81,0.21
201801,0.49,0.04
201802,0.79,0.25
201803,0.97,-0.16
201804,1.45,-0.46
201805,6.84,3.94
201806,2.07,-0.62
201807,2.23,0.06
201808,0.95,-0.69
201809,1.07,-0.41
201810,1.20,0.13
201811,1.16,0.55
201812,0.34,-0.26
201901,0.29,-0.16
201902,0.18,-0.36
201903,2.90,1.77
201904,2.05,0.14
201905,5.00,2.10
201906,2.99,0.30
201907,2.32,0.15
201908,3.08,1.44
201909,1.40,-0.08
201910,0.92,-0.15
201911,0.88,0.27
201912,0.82,0.22
202001,0.09,-0.36
