Lancaster County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.09,-0.59
200002,1.22,0.27
200003,1.30,-0.38
200004,1.72,-0.92
200005,2.29,-1.68
200006,4.81,0.45
200007,4.98,1.25
200008,2.16,-1.44
200009,1.30,-1.95
200010,2.25,0.27
200011,1.48,0.10
200012,1.03,0.16
200101,1.04,0.36
200102,1.91,0.96
200103,1.22,-0.46
200104,2.48,-0.16
200105,9.84,5.87
200106,3.56,-0.80
200107,3.19,-0.54
200108,1.27,-2.33
200109,3.68,0.43
200110,1.79,-0.19
200111,1.56,0.18
200112,0.39,-0.48
200201,0.44,-0.24
200202,0.49,-0.46
200203,1.11,-0.57
200204,2.31,-0.33
200205,5.51,1.54
200206,0.47,-3.89
200207,2.47,-1.26
200208,7.37,3.77
200209,1.41,-1.84
200210,4.69,2.71
200211,0.23,-1.15
200212,0.01,-0.86
200301,0.38,-0.30
200302,1.26,0.31
200303,1.13,-0.55
200304,2.76,0.12
200305,4.19,0.22
200306,6.25,1.89
200307,1.19,-2.54
200308,2.10,-1.50
200309,4.01,0.76
200310,1.40,-0.58
200311,2.51,1.13
200312,0.74,-0.13
200401,1.21,0.53
200402,0.99,0.04
200403,3.79,2.11
200404,1.05,-1.59
200405,5.05,1.08
200406,3.08,-1.28
200407,3.48,-0.25
200408,2.22,-1.38
200409,3.11,-0.14
200410,0.64,-1.34
200411,2.12,0.74
200412,0.42,-0.45
200501,1.01,0.33
200502,2.29,1.34
200503,0.71,-0.97
200504,3.03,0.39
200505,2.14,-1.83
200506,3.55,-0.81
200507,4.42,0.69
200508,2.58,-1.02
200509,0.36,-2.89
200510,2.22,0.24
200511,1.56,0.18
200512,0.57,-0.30
200601,0.86,0.18
200602,0.08,-0.87
200603,2.86,1.18
200604,4.04,1.40
200605,2.35,-1.62
200606,2.34,-2.02
200607,2.65,-1.08
200608,5.54,1.94
200609,4.27,1.02
200610,1.12,-0.86
200611,0.11,-1.27
200612,2.48,1.61
200701,1.00,0.32
200702,1.52,0.57
200703,2.77,1.09
200704,3.81,1.17
200705,8.42,4.45
200706,3.24,-1.12
200707,1.75,-1.98
200708,6.50,2.90
200709,3.27,0.02
200710,5.15,3.17
200711,0.05,-1.33
200712,2.05,1.18
200801,0.33,-0.35
200802,0.59,-0.36
200803,1.27,-0.41
200804,3.99,1.35
200805,5.47,1.50
200806,8.73,4.37
200807,3.99,0.26
200808,1.39,-2.21
200809,4.30,1.05
200810,5.17,3.19
200811,1.16,-0.22
200812,0.60,-0.27
200901,0.35,-0.33
200902,0.64,-0.31
200903,0.46,-1.22
200904,1.70,-0.94
200905,1.42,-2.55
200906,6.07,1.71
200907,1.62,-2.11
200908,4.19,0.59
200909,1.51,-1.74
200910,4.50,2.52
200911,0.17,-1.21
200912,2.35,1.48
201001,0.80,0.12
201002,1.05,0.10
201003,1.96,0.28
201004,2.96,0.32
201005,3.72,-0.25
201006,8.57,4.21
201007,5.75,2.02
201008,2.84,-0.76
201009,4.25,1.00
201010,0.19,-1.79
201011,2.03,0.65
201012,0.18,-0.69
201101,1.09,0.41
201102,0.79,-0.16
201103,0.71,-0.97
201104,3.42,0.78
201105,6.19,2.22
201106,3.73,-0.63
201107,3.23,-0.50
201108,6.51,2.91
201109,1.11,-2.14
201110,0.99,-0.99
201111,1.38,0.00
201112,1.66,0.79
201201,0.18,-0.50
201202,2.24,1.29
201203,1.01,-0.67
201204,3.25,0.61
201205,3.32,-0.65
201206,3.81,-0.55
201207,0.40,-3.33
201208,0.65,-2.95
201209,1.50,-1.75
201210,1.88,-0.10
201211,0.20,-1.18
201212,1.65,0.78
201301,0.73,0.05
201302,0.67,-0.28
201303,2.12,0.44
201304,3.92,1.28
201305,8.52,4.55
201306,2.69,-1.67
201307,1.39,-2.34
201308,1.71,-1.89
201309,2.41,-0.84
201310,3.47,1.49
201311,1.25,-0.13
201312,0.27,-0.60
201401,0.23,-0.45
201402,0.68,-0.27
201403,0.15,-1.53
201404,3.45,0.81
201405,5.14,1.17
201406,7.27,2.91
201407,1.14,-2.59
201408,6.79,3.19
201409,5.12,1.87
201410,4.08,2.10
201411,0.38,-1.00
201412,1.20,0.33
201501,0.37,-0.31
201502,1.41,0.46
201503,0.91,-0.77
201504,2.51,-0.13
201505,8.95,4.98
201506,7.87,3.51
201507,3.65,-0.08
201508,4.33,0.73
201509,4.80,1.55
201510,0.60,-1.38
201511,2.22,0.84
201512,4.67,3.80
201601,0.95,0.27
201602,0.94,-0.01
201603,1.05,-0.63
201604,4.68,2.04
201605,6.67,2.70
201606,1.31,-3.05
201607,4.62,0.89
201608,5.85,2.25
201609,3.39,0.14
201610,2.05,0.07
201611,0.75,-0.63
201612,1.63,0.76
201701,1.21,0.53
201702,0.65,-0.30
201703,2.03,0.35
201704,2.76,0.12
201705,6.74,2.77
201706,5.39,1.03
201707,5.09,1.36
201708,3.95,0.35
201709,2.38,-0.87
201710,4.79,2.81
201711,0.14,-1.24
201712,0.43,-0.44
201801,0.56,-0.12
201802,0.80,-0.15
201803,2.55,0.87
201804,0.67,-1.97
201805,2.69,-1.28
201806,7.57,3.21
201807,2.45,-1.28
201808,4.55,0.95
201809,6.87,3.62
201810,3.47,1.49
201811,1.28,-0.10
201812,3.60,2.73
201901,0.89,0.21
201902,1.64,0.69
201903,2.93,1.25
201904,1.08,-1.56
201905,8.30,4.33
201906,5.06,0.70
201907,4.22,0.49
201908,4.52,0.92
201909,4.22,0.97
201910,4.30,2.32
201911,0.77,-0.61
201912,2.46,1.59
202001,1.26,0.58
