Mercer County, New Jersey, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.88,-0.53
200002,2.11,-0.83
200003,4.07,0.29
200004,2.89,-0.77
200005,4.58,0.76
200006,3.23,-0.43
200007,5.85,1.12
200008,6.15,1.37
200009,5.50,1.70
200010,1.03,-2.19
200011,2.94,-0.36
200012,3.73,0.16
200101,3.12,-0.29
200102,2.44,-0.50
200103,5.99,2.21
200104,1.81,-1.85
200105,3.86,0.04
200106,5.36,1.70
200107,2.71,-2.02
200108,4.26,-0.52
200109,2.59,-1.21
200110,0.76,-2.46
200111,0.86,-2.44
200112,2.42,-1.15
200201,2.68,-0.73
200202,0.66,-2.28
200203,4.21,0.43
200204,2.50,-1.16
200205,4.42,0.60
200206,4.81,1.15
200207,1.66,-3.07
200208,3.79,-0.99
200209,4.68,0.88
200210,6.08,2.86
200211,4.70,1.40
200212,4.24,0.67
200301,2.26,-1.15
200302,4.60,1.66
200303,4.32,0.54
200304,2.43,-1.23
200305,4.09,0.27
200306,7.59,3.93
200307,3.15,-1.58
200308,4.38,-0.40
200309,5.93,2.13
200310,5.29,2.07
200311,4.32,1.02
200312,5.93,2.36
200401,1.90,-1.51
200402,2.64,-0.30
200403,3.28,-0.50
200404,5.68,2.02
200405,3.06,-0.76
200406,2.26,-1.40
200407,8.96,4.23
200408,3.95,-0.83
200409,6.84,3.04
200410,2.00,-1.22
200411,4.66,1.36
200412,3.76,0.19
200501,4.11,0.70
200502,2.22,-0.72
200503,3.63,-0.15
200504,4.18,0.52
200505,2.28,-1.54
200506,3.98,0.32
200507,5.34,0.61
200508,2.39,-2.39
200509,1.58,-2.22
200510,11.70,8.48
200511,3.61,0.31
200512,3.25,-0.32
200601,5.16,1.75
200602,1.51,-1.43
200603,1.24,-2.54
200604,3.66,0.00
200605,3.07,-0.75
200606,8.74,5.08
200607,5.39,0.66
200608,3.13,-1.65
200609,5.32,1.52
200610,6.72,3.50
200611,6.00,2.70
200612,2.42,-1.15
200701,3.50,0.09
200702,1.48,-1.46
200703,4.56,0.78
200704,10.27,6.61
200705,1.83,-1.99
200706,5.14,1.48
200707,4.80,0.07
200708,3.40,-1.38
200709,0.88,-2.92
200710,5.37,2.15
200711,2.14,-1.16
200712,4.87,1.30
200801,2.15,-1.26
200802,5.09,2.15
200803,4.18,0.40
200804,2.21,-1.45
200805,4.64,0.82
200806,3.41,-0.25
200807,4.54,-0.19
200808,1.66,-3.12
200809,6.34,2.54
200810,3.37,0.15
200811,3.38,0.08
200812,6.25,2.68
200901,2.78,-0.63
200902,0.69,-2.25
200903,1.64,-2.14
200904,3.63,-0.03
200905,5.13,1.31
200906,6.72,3.06
200907,6.14,1.41
200908,8.00,3.22
200909,3.74,-0.06
200910,5.47,2.25
200911,1.88,-1.42
200912,7.00,3.43
201001,2.67,-0.74
201002,4.12,1.18
201003,8.17,4.39
201004,2.62,-1.04
201005,3.34,-0.48
201006,2.21,-1.45
201007,3.94,-0.79
201008,1.36,-3.42
201009,2.89,-0.91
201010,5.38,2.16
201011,2.07,-1.23
201012,3.06,-0.51
201101,3.07,-0.34
201102,2.55,-0.39
201103,5.33,1.55
201104,6.37,2.71
201105,3.67,-0.15
201106,3.25,-0.41
201107,3.76,-0.97
201108,16.69,11.91
201109,7.43,3.63
201110,3.94,0.72
201111,3.78,0.48
201112,4.00,0.43
201201,3.24,-0.17
201202,1.17,-1.77
201203,1.71,-2.07
201204,2.90,-0.76
201205,4.76,0.94
201206,3.17,-0.49
201207,4.44,-0.29
201208,5.16,0.38
201209,3.27,-0.53
201210,4.94,1.72
201211,1.39,-1.91
201212,5.03,1.46
201301,3.03,-0.38
201302,2.19,-0.75
201303,2.63,-1.15
201304,2.51,-1.15
201305,3.78,-0.04
201306,9.83,6.17
201307,6.02,1.29
201308,4.61,-0.17
201309,2.69,-1.11
201310,1.59,-1.63
201311,3.11,-0.19
201312,4.83,1.26
201401,3.33,-0.08
201402,5.06,2.12
201403,3.79,0.01
201404,4.39,0.73
201405,5.97,2.15
201406,2.94,-0.72
201407,5.74,1.01
201408,2.86,-1.92
201409,1.57,-2.23
201410,3.93,0.71
201411,4.36,1.06
201412,4.54,0.97
201501,4.22,0.81
201502,2.07,-0.87
201503,4.95,1.17
201504,2.39,-1.27
201505,0.89,-2.93
201506,6.64,2.98
201507,3.47,-1.26
201508,2.41,-2.37
201509,3.24,-0.56
201510,4.35,1.13
201511,1.99,-1.31
201512,4.75,1.18
201601,3.38,-0.03
201602,4.32,1.38
201603,1.63,-2.15
201604,1.83,-1.83
201605,5.01,1.19
201606,2.16,-1.50
201607,8.30,3.57
201608,1.68,-3.10
201609,2.07,-1.73
201610,2.82,-0.40
201611,2.58,-0.72
201612,3.41,-0.16
201701,3.99,0.58
201702,1.49,-1.45
201703,3.97,0.19
201704,3.95,0.29
201705,5.96,2.14
201706,3.99,0.33
201707,5.40,0.67
201708,4.60,-0.18
201709,1.74,-2.06
201710,5.05,1.83
201711,1.57,-1.73
201712,1.92,-1.65
201801,2.53,-0.88
201802,6.55,3.61
201803,4.99,1.21
201804,4.12,0.46
201805,6.49,2.67
201806,3.94,0.28
201807,6.44,1.71
201808,4.37,-0.41
201809,7.50,3.70
201810,3.45,0.23
201811,8.66,5.36
201812,5.44,1.87
201901,4.59,1.18
201902,3.01,0.07
201903,3.90,0.12
201904,4.13,0.47
201905,7.30,3.48
201906,5.71,2.05
201907,6.56,1.83
201908,2.82,-1.96
201909,1.35,-2.45
201910,5.63,2.41
201911,1.88,-1.42
201912,5.96,2.39
202001,2.24,-1.17
