Bernalillo County, New Mexico, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.24,-0.33
200002,0.31,-0.31
200003,1.95,1.17
200004,0.24,-0.52
200005,0.04,-0.74
200006,0.92,0.16
200007,1.43,-0.45
200008,1.53,-0.59
200009,0.29,-0.98
200010,3.34,2.27
200011,1.21,0.48
200012,0.58,-0.09
200101,1.12,0.55
200102,0.51,-0.11
200103,0.58,-0.20
200104,0.45,-0.31
200105,0.66,-0.12
200106,0.32,-0.44
200107,1.61,-0.27
200108,2.37,0.25
200109,0.46,-0.81
200110,0.11,-0.96
200111,0.88,0.15
200112,0.55,-0.12
200201,0.65,0.08
200202,0.07,-0.55
200203,0.03,-0.75
200204,0.35,-0.41
200205,0.08,-0.70
200206,0.27,-0.49
200207,1.27,-0.61
200208,1.60,-0.52
200209,2.19,0.92
200210,0.89,-0.18
200211,0.52,-0.21
200212,0.71,0.04
200301,0.01,-0.56
200302,1.16,0.54
200303,1.38,0.60
200304,0.03,-0.73
200305,0.15,-0.63
200306,0.30,-0.46
200307,0.39,-1.49
200308,1.07,-1.05
200309,0.55,-0.72
200310,1.38,0.31
200311,0.87,0.14
200312,0.24,-0.43
200401,0.35,-0.22
200402,1.50,0.88
200403,0.85,0.07
200404,2.72,1.96
200405,0.01,-0.77
200406,0.87,0.11
200407,2.25,0.37
200408,1.05,-1.07
200409,1.21,-0.06
200410,1.52,0.45
200411,1.21,0.48
200412,0.45,-0.22
200501,1.81,1.24
200502,2.16,1.54
200503,1.84,1.06
200504,0.89,0.13
200505,0.43,-0.35
200506,0.30,-0.46
200507,0.57,-1.31
200508,1.15,-0.97
200509,2.44,1.17
200510,1.33,0.26
200511,0.03,-0.70
200512,0.10,-0.57
200601,0.06,-0.51
200602,0.01,-0.61
200603,0.27,-0.51
200604,0.18,-0.58
200605,0.03,-0.75
200606,1.03,0.27
200607,4.30,2.42
200608,4.82,2.70
200609,1.38,0.11
200610,1.57,0.50
200611,0.11,-0.62
200612,2.37,1.70
200701,0.58,0.01
200702,0.85,0.23
200703,1.01,0.23
200704,1.13,0.37
200705,1.67,0.89
200706,0.60,-0.16
200707,1.29,-0.59
200708,1.48,-0.64
200709,1.43,0.16
200710,0.32,-0.75
200711,0.27,-0.46
200712,1.70,1.03
200801,0.55,-0.02
200802,0.66,0.04
200803,0.10,-0.68
200804,0.13,-0.63
200805,0.79,0.01
200806,0.43,-0.33
200807,2.79,0.91
200808,2.23,0.11
200809,0.22,-1.05
200810,1.87,0.80
200811,0.35,-0.38
200812,1.00,0.33
200901,0.05,-0.52
200902,0.03,-0.59
200903,0.53,-0.25
200904,0.64,-0.12
200905,0.81,0.03
200906,0.92,0.16
200907,1.91,0.03
200908,1.31,-0.81
200909,2.14,0.87
200910,1.50,0.43
200911,0.16,-0.57
200912,0.46,-0.21
201001,1.10,0.53
201002,0.59,-0.03
201003,0.85,0.07
201004,0.73,-0.03
201005,0.16,-0.62
201006,0.43,-0.33
201007,2.18,0.30
201008,1.88,-0.24
201009,1.53,0.26
201010,0.59,-0.48
201011,0.02,-0.71
201012,1.60,0.93
201101,0.13,-0.44
201102,0.27,-0.35
201103,0.02,-0.76
201104,0.04,-0.72
201105,0.05,-0.73
201106,0.01,-0.75
201107,1.28,-0.60
201108,1.78,-0.34
201109,0.75,-0.52
201110,1.63,0.56
201111,0.17,-0.56
201112,1.76,1.09
201201,0.38,-0.19
201202,0.37,-0.25
201203,0.18,-0.60
201204,0.86,0.10
201205,0.24,-0.54
201206,0.28,-0.48
201207,1.31,-0.57
201208,1.46,-0.66
201209,0.76,-0.51
201210,0.07,-1.00
201211,0.11,-0.62
201212,0.37,-0.30
201301,0.22,-0.35
201302,0.32,-0.30
201303,0.20,-0.58
201304,0.09,-0.67
201305,0.04,-0.74
201306,0.11,-0.65
201307,3.60,1.72
201308,1.30,-0.82
201309,4.15,2.88
201310,0.34,-0.73
201311,1.11,0.38
201312,0.49,-0.18
201401,0.00,-0.57
201402,0.22,-0.40
201403,0.45,-0.33
201404,0.13,-0.63
201405,0.80,0.02
201406,0.11,-0.65
201407,4.05,2.17
201408,2.19,0.07
201409,0.79,-0.48
201410,0.45,-0.62
201411,0.34,-0.39
201412,1.40,0.73
201501,1.19,0.62
201502,0.63,0.01
201503,0.33,-0.45
201504,0.70,-0.06
201505,2.26,1.48
201506,0.84,0.08
201507,4.54,2.66
201508,1.40,-0.72
201509,1.01,-0.26
201510,1.72,0.65
201511,0.82,0.09
201512,1.30,0.63
201601,0.48,-0.09
201602,0.21,-0.41
201603,0.01,-0.77
201604,0.78,0.02
201605,0.30,-0.48
201606,0.63,-0.13
201607,1.36,-0.52
201608,2.23,0.11
201609,1.10,-0.17
201610,0.63,-0.44
201611,1.34,0.61
201612,0.79,0.12
201701,1.64,1.07
201702,0.61,-0.01
201703,0.32,-0.46
201704,0.97,0.21
201705,0.36,-0.42
201706,0.39,-0.37
201707,1.21,-0.67
201708,2.42,0.30
201709,2.95,1.68
201710,0.42,-0.65
201711,0.01,-0.72
201712,0.00,-0.67
201801,0.06,-0.51
201802,0.65,0.03
201803,0.26,-0.52
201804,0.00,-0.76
201805,0.25,-0.53
201806,1.21,0.45
201807,2.09,0.21
201808,1.68,-0.44
201809,1.17,-0.10
201810,2.41,1.34
201811,0.08,-0.65
201812,0.69,0.02
201901,0.88,0.31
201902,0.48,-0.14
201903,0.78,0.00
201904,1.11,0.35
201905,0.60,-0.18
201906,0.26,-0.50
201907,1.98,0.10
201908,0.70,-1.42
201909,0.77,-0.50
201910,0.64,-0.43
201911,2.33,1.60
201912,0.54,-0.13
202001,0.46,-0.11
