Lea County, New Mexico, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.11,-0.29
200002,0.06,-0.39
200003,1.29,0.79
200004,0.40,-0.33
200005,0.09,-1.61
200006,4.74,2.86
200007,1.18,-1.15
200008,0.44,-1.81
200009,0.02,-2.20
200010,2.38,0.99
200011,1.63,1.02
200012,0.21,-0.31
200101,0.87,0.47
200102,0.44,-0.01
200103,1.92,1.42
200104,0.24,-0.49
200105,1.28,-0.42
200106,0.76,-1.12
200107,0.78,-1.55
200108,2.24,-0.01
200109,1.33,-0.89
200110,0.29,-1.10
200111,1.21,0.60
200112,0.09,-0.43
200201,0.70,0.30
200202,0.65,0.20
200203,2.39,1.89
200204,0.67,-0.06
200205,0.16,-1.54
200206,1.52,-0.36
200207,2.11,-0.22
200208,2.77,0.52
200209,0.74,-1.48
200210,2.71,1.32
200211,0.40,-0.21
200212,1.41,0.89
200301,0.01,-0.39
200302,0.55,0.10
200303,0.24,-0.26
200304,0.00,-0.73
200305,1.06,-0.64
200306,2.50,0.62
200307,1.01,-1.32
200308,0.35,-1.90
200309,0.77,-1.45
200310,0.70,-0.69
200311,0.48,-0.13
200312,0.01,-0.51
200401,0.58,0.18
200402,2.04,1.59
200403,1.48,0.98
200404,3.25,2.52
200405,0.46,-1.24
200406,1.83,-0.05
200407,2.95,0.62
200408,1.66,-0.59
200409,7.95,5.73
200410,2.76,1.37
200411,3.61,3.00
200412,0.58,0.06
200501,0.95,0.55
200502,1.86,1.41
200503,0.46,-0.04
200504,0.24,-0.49
200505,2.55,0.85
200506,0.45,-1.43
200507,1.28,-1.05
200508,5.41,3.16
200509,0.63,-1.59
200510,2.02,0.63
200511,0.00,-0.61
200512,0.01,-0.51
200601,0.00,-0.40
200602,0.26,-0.19
200603,1.31,0.81
200604,0.53,-0.20
200605,0.34,-1.36
200606,1.27,-0.61
200607,2.34,0.01
200608,3.31,1.06
200609,5.02,2.80
200610,1.58,0.19
200611,0.08,-0.53
200612,1.14,0.62
200701,1.25,0.85
200702,0.13,-0.32
200703,2.38,1.88
200704,0.89,0.16
200705,4.19,2.49
200706,1.47,-0.41
200707,2.42,0.09
200708,2.41,0.16
200709,3.84,1.62
200710,0.01,-1.38
200711,0.55,-0.06
200712,0.79,0.27
200801,0.01,-0.39
200802,0.04,-0.41
200803,0.08,-0.42
200804,0.02,-0.71
200805,1.31,-0.39
200806,1.20,-0.68
200807,2.68,0.35
200808,3.16,0.91
200809,2.07,-0.15
200810,2.51,1.12
200811,0.05,-0.56
200812,0.11,-0.41
200901,0.00,-0.40
200902,0.18,-0.27
200903,0.36,-0.14
200904,0.40,-0.33
200905,0.79,-0.91
200906,3.30,1.42
200907,4.71,2.38
200908,0.81,-1.44
200909,0.90,-1.32
200910,1.37,-0.02
200911,0.10,-0.51
200912,1.16,0.64
201001,1.50,1.10
201002,1.80,1.35
201003,0.59,0.09
201004,1.09,0.36
201005,0.69,-1.01
201006,1.66,-0.22
201007,5.67,3.34
201008,1.12,-1.13
201009,1.18,-1.04
201010,0.29,-1.10
201011,0.03,-0.58
201012,0.02,-0.50
201101,0.00,-0.40
201102,0.20,-0.25
201103,0.00,-0.50
201104,0.00,-0.73
201105,0.02,-1.68
201106,0.14,-1.74
201107,0.40,-1.93
201108,0.47,-1.78
201109,2.04,-0.18
201110,0.45,-0.94
201111,0.10,-0.51
201112,1.50,0.98
201201,0.34,-0.06
201202,0.20,-0.25
201203,0.20,-0.30
201204,0.22,-0.51
201205,2.01,0.31
201206,0.21,-1.67
201207,2.22,-0.11
201208,1.48,-0.77
201209,2.34,0.12
201210,0.33,-1.06
201211,0.18,-0.43
201212,0.33,-0.19
201301,0.89,0.49
201302,0.51,0.06
201303,0.02,-0.48
201304,0.00,-0.73
201305,0.33,-1.37
201306,2.07,0.19
201307,3.25,0.92
201308,1.20,-1.05
201309,1.01,-1.21
201310,0.83,-0.56
201311,0.88,0.27
201312,0.73,0.21
201401,0.00,-0.40
201402,0.43,-0.02
201403,0.35,-0.15
201404,0.35,-0.38
201405,1.80,0.10
201406,1.30,-0.58
201407,2.07,-0.26
201408,1.43,-0.82
201409,8.26,6.04
201410,0.27,-1.12
201411,1.51,0.90
201412,0.37,-0.15
201501,1.37,0.97
201502,0.44,-0.01
201503,0.64,0.14
201504,1.87,1.14
201505,3.91,2.21
201506,1.36,-0.52
201507,2.82,0.49
201508,2.69,0.44
201509,1.44,-0.78
201510,4.92,3.53
201511,0.73,0.12
201512,1.19,0.67
201601,0.24,-0.16
201602,0.27,-0.18
201603,0.01,-0.49
201604,0.92,0.19
201605,1.19,-0.51
201606,1.00,-0.88
201607,0.38,-1.95
201608,5.72,3.47
201609,1.25,-0.97
201610,0.47,-0.92
201611,1.52,0.91
201612,0.52,0.00
201701,1.10,0.70
201702,0.34,-0.11
201703,0.13,-0.37
201704,0.91,0.18
201705,0.58,-1.12
201706,1.77,-0.11
201707,2.11,-0.22
201708,3.83,1.58
201709,2.60,0.38
201710,0.74,-0.65
201711,0.30,-0.31
201712,0.10,-0.42
201801,0.02,-0.38
201802,0.15,-0.30
201803,0.13,-0.37
201804,0.02,-0.71
201805,0.37,-1.33
201806,1.69,-0.19
201807,1.66,-0.67
201808,1.46,-0.79
201809,3.52,1.30
201810,3.67,2.28
201811,0.09,-0.52
201812,0.68,0.16
201901,0.08,-0.32
201902,0.10,-0.35
201903,0.59,0.09
201904,0.76,0.03
201905,0.96,-0.74
201906,1.86,-0.02
201907,1.61,-0.72
201908,0.46,-1.79
201909,3.11,0.89
201910,1.48,0.09
201911,1.09,0.48
201912,0.32,-0.20
202001,0.35,-0.05
