Chautauqua County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.40,-0.71
200002,1.80,-0.62
200003,1.85,-1.28
200004,4.81,1.23
200005,4.32,0.67
200006,5.49,1.49
200007,3.68,-0.26
200008,4.27,0.55
200009,4.56,0.60
200010,3.10,-0.70
200011,3.24,-0.62
200012,2.92,-0.51
200101,1.78,-1.33
200102,1.96,-0.46
200103,3.02,-0.11
200104,2.27,-1.31
200105,3.50,-0.15
200106,3.75,-0.25
200107,1.86,-2.08
200108,3.48,-0.24
200109,3.58,-0.38
200110,4.67,0.87
200111,2.43,-1.43
200112,3.88,0.45
200201,2.63,-0.48
200202,2.72,0.30
200203,3.51,0.38
200204,4.70,1.12
200205,5.92,2.27
200206,3.86,-0.14
200207,4.83,0.89
200208,2.25,-1.47
200209,4.30,0.34
200210,3.76,-0.04
200211,4.12,0.26
200212,3.88,0.45
200301,2.53,-0.58
200302,2.62,0.20
200303,2.35,-0.78
200304,2.34,-1.24
200305,4.73,1.08
200306,3.46,-0.54
200307,6.39,2.45
200308,3.46,-0.26
200309,6.28,2.32
200310,4.63,0.83
200311,4.25,0.39
200312,2.88,-0.55
200401,3.05,-0.06
200402,1.01,-1.41
200403,2.67,-0.46
200404,3.70,0.12
200405,7.78,4.13
200406,2.51,-1.49
200407,7.34,3.40
200408,3.29,-0.43
200409,5.78,1.82
200410,3.53,-0.27
200411,2.56,-1.30
200412,4.97,1.54
200501,5.05,1.94
200502,2.18,-0.24
200503,1.42,-1.71
200504,3.79,0.21
200505,1.81,-1.84
200506,1.95,-2.05
200507,3.83,-0.11
200508,5.02,1.30
200509,5.40,1.44
200510,3.37,-0.43
200511,4.94,1.08
200512,2.48,-0.95
200601,3.01,-0.10
200602,2.00,-0.42
200603,2.96,-0.17
200604,2.68,-0.90
200605,2.67,-0.98
200606,3.04,-0.96
200607,6.64,2.70
200608,5.20,1.48
200609,5.90,1.94
200610,7.39,3.59
200611,2.73,-1.13
200612,4.19,0.76
200701,6.47,3.36
200702,2.03,-0.39
200703,2.88,-0.25
200704,3.08,-0.50
200705,1.82,-1.83
200706,2.96,-1.04
200707,3.18,-0.76
200708,4.18,0.46
200709,3.49,-0.47
200710,3.65,-0.15
200711,4.87,1.01
200712,4.88,1.45
200801,2.31,-0.80
200802,4.80,2.38
200803,4.27,1.14
200804,2.26,-1.32
200805,3.24,-0.41
200806,4.76,0.76
200807,4.71,0.77
200808,4.27,0.55
200809,2.56,-1.40
200810,5.33,1.53
200811,3.81,-0.05
200812,5.76,2.33
200901,3.27,0.16
200902,2.39,-0.03
200903,3.93,0.80
200904,2.47,-1.11
200905,3.34,-0.31
200906,4.41,0.41
200907,5.93,1.99
200908,6.55,2.83
200909,3.35,-0.61
200910,4.69,0.89
200911,3.00,-0.86
200912,3.78,0.35
201001,2.41,-0.70
201002,2.16,-0.26
201003,1.65,-1.48
201004,2.23,-1.35
201005,3.45,-0.20
201006,4.70,0.70
201007,4.85,0.91
201008,2.89,-0.83
201009,3.64,-0.32
201010,4.49,0.69
201011,3.68,-0.18
201012,4.09,0.66
201101,2.30,-0.81
201102,4.55,2.13
201103,4.95,1.82
201104,6.45,2.87
201105,5.36,1.71
201106,3.78,-0.22
201107,1.81,-2.13
201108,4.78,1.06
201109,4.08,0.12
201110,5.99,2.19
201111,3.76,-0.10
201112,5.68,2.25
201201,4.13,1.02
201202,2.23,-0.19
201203,3.07,-0.06
201204,2.68,-0.90
201205,2.48,-1.17
201206,3.00,-1.00
201207,3.37,-0.57
201208,2.52,-1.20
201209,3.95,-0.01
201210,7.00,3.20
201211,1.76,-2.10
201212,5.86,2.43
201301,2.95,-0.16
201302,2.86,0.44
201303,1.77,-1.36
201304,3.64,0.06
201305,4.43,0.78
201306,5.54,1.54
201307,3.88,-0.06
201308,3.61,-0.11
201309,4.02,0.06
201310,6.17,2.37
201311,4.22,0.36
201312,4.98,1.55
201401,2.73,-0.38
201402,3.07,0.65
201403,2.57,-0.56
201404,3.42,-0.16
201405,7.10,3.45
201406,6.10,2.10
201407,5.63,1.69
201408,3.76,0.04
201409,3.73,-0.23
201410,3.35,-0.45
201411,3.21,-0.65
201412,2.84,-0.59
201501,2.99,-0.12
201502,1.71,-0.71
201503,1.66,-1.47
201504,3.46,-0.12
201505,3.89,0.24
201506,6.80,2.80
201507,3.95,0.01
201508,2.08,-1.64
201509,4.95,0.99
201510,4.96,1.16
201511,2.29,-1.57
201512,4.25,0.82
201601,2.04,-1.07
201602,4.18,1.76
201603,2.79,-0.34
201604,2.71,-0.87
201605,2.08,-1.57
201606,2.72,-1.28
201607,3.34,-0.60
201608,5.79,2.07
201609,4.50,0.54
201610,6.36,2.56
201611,2.60,-1.26
201612,5.04,1.61
201701,4.68,1.57
201702,3.39,0.97
201703,3.49,0.36
201704,4.69,1.11
201705,5.15,1.50
201706,4.88,0.88
201707,2.96,-0.98
201708,3.73,0.01
201709,4.09,0.13
201710,4.74,0.94
201711,5.89,2.03
201712,3.89,0.46
201801,3.57,0.46
201802,3.39,0.97
201803,3.19,0.06
201804,3.49,-0.09
201805,4.17,0.52
201806,4.21,0.21
201807,4.44,0.50
201808,4.20,0.48
201809,5.29,1.33
201810,6.02,2.22
201811,5.13,1.27
201812,2.75,-0.68
201901,4.70,1.59
201902,3.07,0.65
201903,2.77,-0.36
201904,3.87,0.29
201905,3.88,0.23
201906,6.60,2.60
201907,4.16,0.22
201908,3.14,-0.58
201909,3.43,-0.53
201910,5.63,1.83
201911,3.12,-0.74
201912,4.48,1.05
202001,3.22,0.11
