Clinton County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.69,0.43
200002,3.28,1.22
200003,2.32,-0.12
200004,5.51,2.84
200005,6.02,2.99
200006,3.30,-0.13
200007,3.35,-0.23
200008,2.86,-0.56
200009,2.95,-0.37
200010,1.60,-1.37
200011,2.26,-0.51
200012,3.62,1.12
200101,1.43,-0.83
200102,2.25,0.19
200103,5.23,2.79
200104,0.61,-2.06
200105,3.23,0.20
200106,4.05,0.62
200107,1.91,-1.67
200108,3.66,0.24
200109,3.25,-0.07
200110,2.11,-0.86
200111,2.74,-0.03
200112,2.07,-0.43
200201,2.34,0.08
200202,1.78,-0.28
200203,2.71,0.27
200204,3.89,1.22
200205,4.34,1.31
200206,7.84,4.41
200207,2.34,-1.24
200208,1.04,-2.38
200209,5.07,1.75
200210,3.95,0.98
200211,3.13,0.36
200212,0.87,-1.63
200301,1.65,-0.61
200302,1.45,-0.61
200303,2.65,0.21
200304,2.11,-0.56
200305,4.76,1.73
200306,3.87,0.44
200307,4.47,0.89
200308,4.36,0.94
200309,2.78,-0.54
200310,5.97,3.00
200311,3.90,1.13
200312,5.76,3.26
200401,1.08,-1.18
200402,1.11,-0.95
200403,1.57,-0.87
200404,2.96,0.29
200405,4.51,1.48
200406,3.08,-0.35
200407,4.64,1.06
200408,6.55,3.13
200409,2.95,-0.37
200410,1.48,-1.49
200411,2.37,-0.40
200412,3.48,0.98
200501,2.52,0.26
200502,1.89,-0.17
200503,1.43,-1.01
200504,5.28,2.61
200505,2.01,-1.02
200506,5.69,2.26
200507,5.25,1.67
200508,4.14,0.72
200509,3.74,0.42
200510,8.37,5.40
200511,3.80,1.03
200512,3.36,0.86
200601,3.40,1.14
200602,1.65,-0.41
200603,1.32,-1.12
200604,2.80,0.13
200605,5.76,2.73
200606,4.77,1.34
200607,3.45,-0.13
200608,3.53,0.11
200609,2.38,-0.94
200610,4.82,1.85
200611,2.71,-0.06
200612,3.85,1.35
200701,3.06,0.80
200702,1.68,-0.38
200703,2.93,0.49
200704,4.70,2.03
200705,2.66,-0.37
200706,3.18,-0.25
200707,6.99,3.41
200708,2.24,-1.18
200709,3.64,0.32
200710,5.39,2.42
200711,4.56,1.79
200712,4.36,1.86
200801,2.11,-0.15
200802,3.28,1.22
200803,3.41,0.97
200804,2.76,0.09
200805,2.23,-0.80
200806,5.26,1.83
200807,5.29,1.71
200808,3.98,0.56
200809,2.36,-0.96
200810,4.35,1.38
200811,1.90,-0.87
200812,4.00,1.50
200901,1.97,-0.29
200902,1.55,-0.51
200903,1.82,-0.62
200904,2.27,-0.40
200905,4.49,1.46
200906,3.12,-0.31
200907,5.56,1.98
200908,3.47,0.05
200909,2.92,-0.40
200910,3.88,0.91
200911,2.65,-0.12
200912,2.85,0.35
201001,1.63,-0.63
201002,1.98,-0.08
201003,3.10,0.66
201004,3.07,0.40
201005,1.26,-1.77
201006,5.33,1.90
201007,3.17,-0.41
201008,5.41,1.99
201009,3.77,0.45
201010,7.36,4.39
201011,2.59,-0.18
201012,2.70,0.20
201101,1.33,-0.93
201102,3.61,1.55
201103,4.94,2.50
201104,6.11,3.44
201105,8.45,5.42
201106,2.47,-0.96
201107,1.78,-1.80
201108,8.13,4.71
201109,5.12,1.80
201110,3.97,1.00
201111,1.75,-1.02
201112,2.53,0.03
201201,2.72,0.46
201202,1.39,-0.67
201203,1.83,-0.61
201204,3.16,0.49
201205,3.51,0.48
201206,3.04,-0.39
201207,3.40,-0.18
201208,1.97,-1.45
201209,5.26,1.94
201210,4.34,1.37
201211,0.59,-2.18
201212,4.61,2.11
201301,1.46,-0.80
201302,1.93,-0.13
201303,1.51,-0.93
201304,1.91,-0.76
201305,6.38,3.35
201306,9.93,6.50
201307,3.49,-0.09
201308,2.44,-0.98
201309,4.12,0.80
201310,2.66,-0.31
201311,2.98,0.21
201312,3.66,1.16
201401,1.49,-0.77
201402,2.18,0.12
201403,2.88,0.44
201404,3.63,0.96
201405,4.31,1.28
201406,5.37,1.94
201407,4.91,1.33
201408,3.36,-0.06
201409,1.06,-2.26
201410,3.51,0.54
201411,1.71,-1.06
201412,3.48,0.98
201501,2.10,-0.16
201502,1.45,-0.61
201503,1.15,-1.29
201504,2.09,-0.58
201505,2.55,-0.48
201506,8.04,4.61
201507,4.22,0.64
201508,3.03,-0.39
201509,4.48,1.16
201510,2.89,-0.08
201511,1.63,-1.14
201512,3.45,0.95
201601,1.12,-1.14
201602,4.23,2.17
201603,2.28,-0.16
201604,2.07,-0.60
201605,1.68,-1.35
201606,3.63,0.20
201607,3.58,0.00
201608,3.04,-0.38
201609,1.80,-1.52
201610,4.38,1.41
201611,1.96,-0.81
201612,2.20,-0.30
201701,2.00,-0.26
201702,2.74,0.68
201703,3.73,1.29
201704,3.77,1.10
201705,4.77,1.74
201706,5.74,2.31
201707,3.48,-0.10
201708,3.38,-0.04
201709,2.01,-1.31
201710,4.19,1.22
201711,1.91,-0.86
201712,2.13,-0.37
201801,2.84,0.58
201802,2.09,0.03
201803,2.72,0.28
201804,4.59,1.92
201805,2.06,-0.97
201806,4.19,0.76
201807,2.26,-1.32
201808,2.56,-0.86
201809,3.65,0.33
201810,4.04,1.07
201811,4.96,2.19
201812,2.34,-0.16
201901,3.90,1.64
201902,2.38,0.32
201903,1.40,-1.04
201904,3.55,0.88
201905,5.28,2.25
201906,3.54,0.11
201907,2.24,-1.34
201908,3.60,0.18
201909,3.34,0.02
201910,6.49,3.52
201911,3.56,0.79
201912,1.70,-0.80
202001,3.32,1.06
