Onondaga County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.88,0.24
200002,2.67,0.24
200003,2.24,-0.67
200004,4.33,1.20
200005,6.10,2.76
200006,4.84,1.11
200007,2.76,-0.90
200008,3.31,-0.04
200009,3.46,-0.12
200010,2.46,-0.94
200011,2.81,-0.52
200012,2.39,-0.56
200101,1.80,-0.84
200102,2.07,-0.36
200103,5.19,2.28
200104,1.36,-1.77
200105,2.38,-0.96
200106,4.37,0.64
200107,2.36,-1.30
200108,3.62,0.27
200109,4.89,1.31
200110,2.54,-0.86
200111,2.77,-0.56
200112,2.56,-0.39
200201,2.03,-0.61
200202,2.39,-0.04
200203,2.66,-0.25
200204,4.54,1.41
200205,6.04,2.70
200206,5.93,2.20
200207,1.85,-1.81
200208,2.63,-0.72
200209,4.52,0.94
200210,3.88,0.48
200211,3.56,0.23
200212,3.36,0.41
200301,2.22,-0.42
200302,2.73,0.30
200303,2.64,-0.27
200304,2.66,-0.47
200305,5.43,2.09
200306,3.84,0.11
200307,3.91,0.25
200308,3.64,0.29
200309,3.87,0.29
200310,4.90,1.50
200311,3.92,0.59
200312,4.06,1.11
200401,2.88,0.24
200402,1.44,-0.99
200403,2.39,-0.52
200404,3.89,0.76
200405,6.80,3.46
200406,2.69,-1.04
200407,7.30,3.64
200408,5.84,2.49
200409,3.66,0.08
200410,2.48,-0.92
200411,3.24,-0.09
200412,3.93,0.98
200501,3.65,1.01
200502,2.20,-0.23
200503,2.04,-0.87
200504,5.45,2.32
200505,1.07,-2.27
200506,2.98,-0.75
200507,4.34,0.68
200508,4.99,1.64
200509,3.25,-0.33
200510,6.94,3.54
200511,5.11,1.78
200512,2.80,-0.15
200601,3.57,0.93
200602,1.87,-0.56
200603,2.08,-0.83
200604,3.24,0.11
200605,3.27,-0.07
200606,6.58,2.85
200607,8.09,4.43
200608,4.08,0.73
200609,4.38,0.80
200610,6.53,3.13
200611,3.03,-0.30
200612,3.64,0.69
200701,4.25,1.61
200702,2.71,0.28
200703,3.92,1.01
200704,4.53,1.40
200705,1.02,-2.32
200706,3.52,-0.21
200707,3.75,0.09
200708,2.10,-1.25
200709,3.80,0.22
200710,4.83,1.43
200711,4.47,1.14
200712,5.31,2.36
200801,1.65,-0.99
200802,4.61,2.18
200803,4.53,1.62
200804,3.35,0.22
200805,2.10,-1.24
200806,4.00,0.27
200807,4.98,1.32
200808,3.96,0.61
200809,2.20,-1.38
200810,5.87,2.47
200811,3.09,-0.24
200812,4.38,1.43
200901,2.45,-0.19
200902,1.69,-0.74
200903,3.57,0.66
200904,2.89,-0.24
200905,4.02,0.68
200906,4.68,0.95
200907,3.59,-0.07
200908,5.86,2.51
200909,2.52,-1.06
200910,4.19,0.79
200911,2.06,-1.27
200912,2.89,-0.06
201001,2.21,-0.43
201002,2.92,0.49
201003,2.34,-0.57
201004,1.50,-1.63
201005,2.85,-0.49
201006,7.26,3.53
201007,4.10,0.44
201008,5.47,2.12
201009,3.70,0.12
201010,6.24,2.84
201011,2.96,-0.37
201012,3.72,0.77
201101,2.31,-0.33
201102,3.29,0.86
201103,3.23,0.32
201104,7.78,4.65
201105,4.86,1.52
201106,3.39,-0.34
201107,2.16,-1.50
201108,6.00,2.65
201109,6.62,3.04
201110,4.10,0.70
201111,3.22,-0.11
201112,2.97,0.02
201201,4.03,1.39
201202,1.22,-1.21
201203,2.29,-0.62
201204,2.44,-0.69
201205,3.63,0.29
201206,2.68,-1.05
201207,2.21,-1.45
201208,2.79,-0.56
201209,3.51,-0.07
201210,4.26,0.86
201211,1.82,-1.51
201212,6.68,3.73
201301,1.96,-0.68
201302,3.01,0.58
201303,1.68,-1.23
201304,3.93,0.80
201305,4.34,1.00
201306,7.76,4.03
201307,4.56,0.90
201308,3.69,0.34
201309,4.36,0.78
201310,4.20,0.80
201311,4.58,1.25
201312,3.30,0.35
201401,2.25,-0.39
201402,3.26,0.83
201403,3.38,0.47
201404,3.96,0.83
201405,4.17,0.83
201406,4.13,0.40
201407,5.14,1.48
201408,4.51,1.16
201409,2.23,-1.35
201410,4.15,0.75
201411,2.64,-0.69
201412,3.44,0.49
201501,2.07,-0.57
201502,2.76,0.33
201503,1.68,-1.23
201504,3.41,0.28
201505,3.83,0.49
201506,9.00,5.27
201507,4.06,0.40
201508,1.93,-1.42
201509,5.17,1.59
201510,3.76,0.36
201511,1.32,-2.01
201512,4.24,1.29
201601,2.02,-0.62
201602,4.79,2.36
201603,2.44,-0.47
201604,2.34,-0.79
201605,2.63,-0.71
201606,2.52,-1.21
201607,2.20,-1.46
201608,4.12,0.77
201609,3.50,-0.08
201610,8.34,4.94
201611,3.35,0.02
201612,3.67,0.72
201701,3.43,0.79
201702,3.58,1.15
201703,3.69,0.78
201704,5.13,2.00
201705,6.08,2.74
201706,5.29,1.56
201707,6.11,2.45
201708,2.62,-0.73
201709,2.14,-1.44
201710,6.75,3.35
201711,3.66,0.33
201712,2.62,-0.33
201801,3.83,1.19
201802,2.73,0.30
201803,3.93,1.02
201804,2.95,-0.18
201805,2.42,-0.92
201806,3.04,-0.69
201807,4.60,0.94
201808,3.70,0.35
201809,3.42,-0.16
201810,4.96,1.56
201811,6.03,2.70
201812,3.25,0.30
201901,3.90,1.26
201902,2.43,0.00
201903,1.71,-1.20
201904,3.62,0.49
201905,5.84,2.50
201906,5.29,1.56
201907,4.86,1.20
201908,4.63,1.28
201909,3.38,-0.20
201910,6.29,2.89
201911,2.61,-0.72
201912,4.08,1.13
202001,2.98,0.34
