Richmond County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.90,-0.61
200002,1.82,-1.39
200003,3.73,-0.29
200004,3.76,-0.11
200005,5.06,1.17
200006,3.33,-0.28
200007,6.72,2.14
200008,4.63,0.12
200009,4.49,0.67
200010,0.63,-2.75
200011,3.50,0.01
200012,3.96,0.26
200101,2.93,-0.58
200102,2.19,-1.02
200103,6.95,2.93
200104,1.74,-2.13
200105,3.04,-0.85
200106,5.13,1.52
200107,2.81,-1.77
200108,3.28,-1.23
200109,4.01,0.19
200110,0.63,-2.75
200111,0.92,-2.57
200112,2.24,-1.46
200201,2.00,-1.51
200202,0.69,-2.52
200203,4.02,0.00
200204,3.63,-0.24
200205,4.31,0.42
200206,4.64,1.03
200207,1.18,-3.40
200208,5.03,0.52
200209,4.96,1.14
200210,6.91,3.53
200211,4.59,1.10
200212,4.32,0.62
200301,2.78,-0.73
200302,4.60,1.39
200303,4.21,0.19
200304,3.06,-0.81
200305,3.92,0.03
200306,9.23,5.62
200307,3.21,-1.37
200308,6.28,1.77
200309,5.57,1.75
200310,4.53,1.15
200311,4.31,0.82
200312,5.48,1.78
200401,2.15,-1.36
200402,2.65,-0.56
200403,3.15,-0.87
200404,5.22,1.35
200405,4.28,0.39
200406,2.98,-0.63
200407,8.95,4.37
200408,4.18,-0.33
200409,8.46,4.64
200410,1.30,-2.08
200411,4.43,0.94
200412,3.85,0.15
200501,4.26,0.75
200502,2.51,-0.70
200503,4.33,0.31
200504,3.87,0.00
200505,1.98,-1.91
200506,3.37,-0.24
200507,4.57,-0.01
200508,0.96,-3.55
200509,1.43,-2.39
200510,13.74,10.36
200511,3.98,0.49
200512,3.76,0.06
200601,5.00,1.49
200602,1.98,-1.23
200603,0.92,-3.10
200604,4.09,0.22
200605,3.58,-0.31
200606,7.39,3.78
200607,5.13,0.55
200608,3.37,-1.14
200609,4.17,0.35
200610,6.78,3.40
200611,6.14,2.65
200612,2.28,-1.42
200701,3.35,-0.16
200702,1.69,-1.52
200703,4.76,0.74
200704,9.84,5.97
200705,1.87,-2.02
200706,4.54,0.93
200707,6.30,1.72
200708,5.89,1.38
200709,1.39,-2.43
200710,4.82,1.44
200711,2.46,-1.03
200712,5.12,1.42
200801,2.19,-1.32
200802,5.57,2.36
200803,4.31,0.29
200804,2.71,-1.16
200805,4.03,0.14
200806,3.98,0.37
200807,3.52,-1.06
200808,2.79,-1.72
200809,6.98,3.16
200810,3.21,-0.17
200811,2.96,-0.53
200812,6.16,2.46
200901,2.92,-0.59
200902,0.61,-2.60
200903,1.66,-2.36
200904,4.25,0.38
200905,3.97,0.08
200906,7.51,3.90
200907,5.49,0.91
200908,4.86,0.35
200909,2.37,-1.45
200910,5.53,2.15
200911,1.32,-2.17
200912,6.82,3.12
201001,2.13,-1.38
201002,5.26,2.05
201003,10.16,6.14
201004,2.85,-1.02
201005,2.91,-0.98
201006,2.48,-1.13
201007,2.55,-2.03
201008,2.83,-1.68
201009,3.61,-0.21
201010,4.32,0.94
201011,2.08,-1.41
201012,4.09,0.39
201101,4.15,0.64
201102,3.33,0.12
201103,6.00,1.98
201104,5.80,1.93
201105,4.26,0.37
201106,3.37,-0.24
201107,2.50,-2.08
201108,18.56,14.05
201109,7.35,3.53
201110,5.56,2.18
201111,3.55,0.06
201112,4.40,0.70
201201,2.94,-0.57
201202,1.17,-2.04
201203,1.26,-2.76
201204,3.11,-0.76
201205,4.76,0.87
201206,4.78,1.17
201207,2.86,-1.72
201208,3.55,-0.96
201209,3.55,-0.27
201210,3.97,0.59
201211,1.44,-2.05
201212,5.28,1.58
201301,2.56,-0.95
201302,3.35,0.14
201303,2.81,-1.21
201304,1.75,-2.12
201305,5.31,1.42
201306,8.62,5.01
201307,4.02,-0.56
201308,4.14,-0.37
201309,1.90,-1.92
201310,0.63,-2.75
201311,3.17,-0.32
201312,4.68,0.98
201401,2.88,-0.63
201402,4.89,1.68
201403,3.75,-0.27
201404,5.47,1.60
201405,5.56,1.67
201406,4.31,0.70
201407,5.80,1.22
201408,2.16,-2.35
201409,1.54,-2.28
201410,4.63,1.25
201411,4.31,0.82
201412,5.21,1.51
201501,4.52,1.01
201502,2.13,-1.08
201503,4.63,0.61
201504,2.01,-1.86
201505,2.76,-1.13
201506,6.35,2.74
201507,2.60,-1.98
201508,1.95,-2.56
201509,2.79,-1.03
201510,3.83,0.45
201511,1.64,-1.85
201512,4.69,0.99
201601,3.94,0.43
201602,4.04,0.83
201603,1.45,-2.57
201604,1.49,-2.38
201605,3.98,0.09
201606,2.32,-1.29
201607,6.59,2.01
201608,1.41,-3.10
201609,2.29,-1.53
201610,3.34,-0.04
201611,4.06,0.57
201612,3.19,-0.51
201701,4.55,1.04
201702,1.98,-1.23
201703,4.29,0.27
201704,4.22,0.35
201705,7.03,3.14
201706,4.43,0.82
201707,4.29,-0.29
201708,5.04,0.53
201709,1.95,-1.87
201710,5.01,1.63
201711,1.60,-1.89
201712,1.72,-1.98
201801,2.13,-1.38
201802,5.97,2.76
201803,4.81,0.79
201804,5.41,1.54
201805,4.69,0.80
201806,2.75,-0.86
201807,5.96,1.38
201808,5.82,1.31
201809,6.69,2.87
201810,3.40,0.02
201811,8.24,4.75
201812,6.47,2.77
201901,4.22,0.71
201902,3.60,0.39
201903,3.80,-0.22
201904,3.96,0.09
201905,7.42,3.53
201906,5.60,1.99
201907,6.83,2.25
201908,4.94,0.43
201909,1.31,-2.51
201910,6.70,3.32
201911,1.82,-1.67
201912,6.53,2.83
202001,1.99,-1.52
