St. Lawrence County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.59,-0.17
200002,3.24,0.78
200003,3.27,0.57
200004,5.87,2.87
200005,6.01,2.72
200006,4.03,0.59
200007,4.31,0.71
200008,4.07,0.43
200009,4.29,0.59
200010,1.39,-2.05
200011,3.49,0.16
200012,3.22,0.16
200101,1.66,-1.10
200102,2.28,-0.18
200103,3.27,0.57
200104,0.57,-2.43
200105,2.85,-0.44
200106,2.63,-0.81
200107,2.19,-1.41
200108,4.65,1.01
200109,4.24,0.54
200110,3.62,0.18
200111,2.93,-0.40
200112,2.70,-0.36
200201,2.09,-0.67
200202,1.85,-0.61
200203,2.49,-0.21
200204,4.08,1.08
200205,5.33,2.04
200206,5.61,2.17
200207,2.13,-1.47
200208,1.17,-2.47
200209,4.27,0.57
200210,3.96,0.52
200211,3.26,-0.07
200212,1.51,-1.55
200301,1.98,-0.78
200302,2.26,-0.20
200303,3.38,0.68
200304,2.02,-0.98
200305,5.66,2.37
200306,2.97,-0.47
200307,4.16,0.56
200308,3.58,-0.06
200309,3.11,-0.59
200310,6.95,3.51
200311,5.24,1.91
200312,3.54,0.48
200401,1.40,-1.36
200402,1.63,-0.83
200403,2.50,-0.20
200404,3.05,0.05
200405,4.43,1.14
200406,3.63,0.19
200407,4.91,1.31
200408,5.44,1.80
200409,3.47,-0.23
200410,2.56,-0.88
200411,3.50,0.17
200412,4.94,1.88
200501,2.45,-0.31
200502,1.89,-0.57
200503,1.51,-1.19
200504,4.07,1.07
200505,1.18,-2.11
200506,2.66,-0.78
200507,5.81,2.21
200508,4.06,0.42
200509,7.53,3.83
200510,7.21,3.77
200511,4.89,1.56
200512,2.38,-0.68
200601,3.83,1.07
200602,2.49,0.03
200603,1.44,-1.26
200604,3.11,0.11
200605,3.11,-0.18
200606,5.04,1.60
200607,3.61,0.01
200608,1.82,-1.82
200609,5.07,1.37
200610,5.39,1.95
200611,3.11,-0.22
200612,4.33,1.27
200701,3.12,0.36
200702,1.03,-1.43
200703,3.18,0.48
200704,3.84,0.84
200705,2.53,-0.76
200706,2.13,-1.31
200707,5.46,1.86
200708,1.33,-2.31
200709,3.43,-0.27
200710,5.74,2.30
200711,4.33,1.00
200712,4.28,1.22
200801,2.34,-0.42
200802,4.00,1.54
200803,3.93,1.23
200804,2.88,-0.12
200805,2.81,-0.48
200806,5.32,1.88
200807,4.98,1.38
200808,3.44,-0.20
200809,2.65,-1.05
200810,5.02,1.58
200811,2.91,-0.42
200812,4.63,1.57
200901,1.99,-0.77
200902,2.18,-0.28
200903,1.93,-0.77
200904,3.21,0.21
200905,4.61,1.32
200906,2.54,-0.90
200907,6.02,2.42
200908,3.80,0.16
200909,2.82,-0.88
200910,4.21,0.77
200911,2.39,-0.94
200912,3.46,0.40
201001,2.07,-0.69
201002,1.37,-1.09
201003,1.65,-1.05
201004,2.16,-0.84
201005,2.03,-1.26
201006,6.86,3.42
201007,3.86,0.26
201008,5.14,1.50
201009,5.16,1.46
201010,7.40,3.96
201011,2.63,-0.70
201012,2.67,-0.39
201101,1.34,-1.42
201102,2.64,0.18
201103,4.49,1.79
201104,6.62,3.62
201105,6.22,2.93
201106,3.63,0.19
201107,3.60,0.00
201108,5.65,2.01
201109,4.27,0.57
201110,3.76,0.32
201111,1.97,-1.36
201112,3.10,0.04
201201,3.35,0.59
201202,1.34,-1.12
201203,1.84,-0.86
201204,3.38,0.38
201205,2.87,-0.42
201206,3.46,0.02
201207,2.83,-0.77
201208,2.19,-1.45
201209,5.50,1.80
201210,4.22,0.78
201211,1.02,-2.31
201212,5.71,2.65
201301,2.24,-0.52
201302,2.45,-0.01
201303,1.21,-1.49
201304,2.69,-0.31
201305,3.70,0.41
201306,7.40,3.96
201307,3.98,0.38
201308,3.34,-0.30
201309,5.44,1.74
201310,3.13,-0.31
201311,4.19,0.86
201312,3.30,0.24
201401,2.50,-0.26
201402,2.24,-0.22
201403,3.47,0.77
201404,4.19,1.19
201405,4.50,1.21
201406,4.90,1.46
201407,4.22,0.62
201408,4.74,1.10
201409,2.33,-1.37
201410,3.34,-0.10
201411,2.12,-1.21
201412,2.47,-0.59
201501,2.24,-0.52
201502,2.01,-0.45
201503,1.14,-1.56
201504,2.54,-0.46
201505,1.96,-1.33
201506,8.09,4.65
201507,3.32,-0.28
201508,3.55,-0.09
201509,4.28,0.58
201510,3.41,-0.03
201511,2.31,-1.02
201512,3.94,0.88
201601,1.08,-1.68
201602,5.16,2.70
201603,2.76,0.06
201604,2.37,-0.63
201605,1.49,-1.80
201606,3.75,0.31
201607,2.71,-0.89
201608,3.57,-0.07
201609,2.44,-1.26
201610,6.51,3.07
201611,2.39,-0.94
201612,2.90,-0.16
201701,3.12,0.36
201702,2.72,0.26
201703,2.78,0.08
201704,4.24,1.24
201705,5.53,2.24
201706,5.66,2.22
201707,5.89,2.29
201708,4.25,0.61
201709,2.05,-1.65
201710,6.43,2.99
201711,3.50,0.17
201712,2.54,-0.52
201801,3.43,0.67
201802,2.63,0.17
201803,2.49,-0.21
201804,4.51,1.51
201805,2.10,-1.19
201806,3.44,0.00
201807,2.75,-0.85
201808,3.07,-0.57
201809,2.87,-0.83
201810,3.77,0.33
201811,4.22,0.89
201812,2.92,-0.14
201901,3.71,0.95
201902,2.38,-0.08
201903,2.38,-0.32
201904,3.18,0.18
201905,4.99,1.70
201906,4.58,1.14
201907,2.58,-1.02
201908,2.84,-0.80
201909,3.94,0.24
201910,7.06,3.62
201911,2.84,-0.49
201912,2.85,-0.21
202001,3.60,0.84
