Suffolk County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.01,-0.72
200002,2.11,-1.34
200003,4.31,0.11
200004,5.21,1.27
200005,3.87,0.15
200006,5.06,1.81
200007,4.91,1.60
200008,3.53,-0.46
200009,4.37,0.83
200010,0.48,-2.96
200011,3.87,-0.01
200012,3.35,-0.68
200101,3.40,-0.33
200102,2.26,-1.19
200103,9.10,4.90
200104,1.80,-2.14
200105,3.45,-0.27
200106,5.27,2.02
200107,2.59,-0.72
200108,4.58,0.59
200109,3.20,-0.34
200110,1.34,-2.10
200111,0.72,-3.16
200112,2.31,-1.72
200201,2.73,-1.00
200202,1.08,-2.37
200203,4.34,0.14
200204,4.09,0.15
200205,4.09,0.37
200206,4.36,1.11
200207,1.28,-2.03
200208,4.09,0.10
200209,5.72,2.18
200210,4.64,1.20
200211,5.18,1.30
200212,4.94,0.91
200301,2.33,-1.40
200302,4.89,1.44
200303,5.12,0.92
200304,4.68,0.74
200305,4.93,1.21
200306,9.01,5.76
200307,2.83,-0.48
200308,3.77,-0.22
200309,4.07,0.53
200310,4.35,0.91
200311,3.22,-0.66
200312,4.47,0.44
200401,1.85,-1.88
200402,2.75,-0.70
200403,3.84,-0.36
200404,6.50,2.56
200405,3.06,-0.66
200406,1.48,-1.77
200407,3.47,0.16
200408,4.67,0.68
200409,7.72,4.18
200410,1.90,-1.54
200411,4.41,0.53
200412,3.79,-0.24
200501,4.15,0.42
200502,2.65,-0.80
200503,3.76,-0.44
200504,4.97,1.03
200505,2.40,-1.32
200506,1.67,-1.58
200507,2.15,-1.16
200508,1.36,-2.63
200509,1.87,-1.67
200510,17.61,14.17
200511,4.10,0.22
200512,3.64,-0.39
200601,4.96,1.23
200602,2.32,-1.13
200603,0.87,-3.33
200604,5.31,1.37
200605,5.26,1.54
200606,7.19,3.94
200607,4.57,1.26
200608,5.53,1.54
200609,3.42,-0.12
200610,6.43,2.99
200611,5.25,1.37
200612,2.19,-1.84
200701,3.91,0.18
200702,2.34,-1.11
200703,5.05,0.85
200704,7.06,3.12
200705,1.56,-2.16
200706,3.65,0.40
200707,5.13,1.82
200708,3.06,-0.93
200709,1.43,-2.11
200710,2.52,-0.92
200711,3.13,-0.75
200712,4.53,0.50
200801,2.40,-1.33
200802,5.45,2.00
200803,4.92,0.72
200804,2.91,-1.03
200805,3.08,-0.64
200806,3.39,0.14
200807,3.71,0.40
200808,3.45,-0.54
200809,7.56,4.02
200810,2.95,-0.49
200811,3.14,-0.74
200812,6.66,2.63
200901,3.32,-0.41
200902,1.51,-1.94
200903,2.26,-1.94
200904,4.57,0.63
200905,4.89,1.17
200906,7.38,4.13
200907,6.29,2.98
200908,2.09,-1.90
200909,2.63,-0.91
200910,5.12,1.68
200911,2.66,-1.22
200912,6.79,2.76
201001,2.02,-1.71
201002,5.20,1.75
201003,11.02,6.82
201004,2.52,-1.42
201005,2.81,-0.91
201006,1.79,-1.46
201007,3.33,0.02
201008,1.80,-2.19
201009,3.45,-0.09
201010,3.76,0.32
201011,2.59,-1.29
201012,3.45,-0.58
201101,3.25,-0.48
201102,3.40,-0.05
201103,2.72,-1.48
201104,4.58,0.64
201105,3.66,-0.06
201106,4.11,0.86
201107,2.54,-0.77
201108,9.63,5.64
201109,4.97,1.43
201110,6.02,2.58
201111,3.67,-0.21
201112,3.42,-0.61
201201,2.92,-0.81
201202,1.25,-2.20
201203,1.09,-3.11
201204,3.24,-0.70
201205,4.36,0.64
201206,6.63,3.38
201207,3.98,0.67
201208,3.83,-0.16
201209,3.83,0.29
201210,2.39,-1.05
201211,1.64,-2.24
201212,6.30,2.27
201301,2.20,-1.53
201302,4.91,1.46
201303,2.59,-1.61
201304,1.71,-2.23
201305,2.76,-0.96
201306,8.73,5.48
201307,2.11,-1.20
201308,2.42,-1.57
201309,2.78,-0.76
201310,0.28,-3.16
201311,2.67,-1.21
201312,5.11,1.08
201401,2.73,-1.00
201402,3.93,0.48
201403,5.46,1.26
201404,4.33,0.39
201405,3.48,-0.24
201406,2.13,-1.12
201407,2.85,-0.46
201408,3.39,-0.60
201409,1.69,-1.85
201410,4.45,1.01
201411,4.86,0.98
201412,6.52,2.49
201501,4.02,0.29
201502,2.26,-1.19
201503,4.66,0.46
201504,1.62,-2.32
201505,0.67,-3.05
201506,4.27,1.02
201507,1.59,-1.72
201508,1.94,-2.05
201509,4.25,0.71
201510,3.64,0.20
201511,2.22,-1.66
201512,4.92,0.89
201601,2.66,-1.07
201602,3.74,0.29
201603,2.53,-1.67
201604,2.64,-1.30
201605,3.21,-0.51
201606,1.39,-1.86
201607,3.55,0.24
201608,1.62,-2.37
201609,3.03,-0.51
201610,3.59,0.15
201611,2.93,-0.95
201612,3.44,-0.59
201701,3.78,0.05
201702,1.46,-1.99
201703,5.14,0.94
201704,4.21,0.27
201705,4.46,0.74
201706,3.51,0.26
201707,2.26,-1.05
201708,3.44,-0.55
201709,3.02,-0.52
201710,6.79,3.35
201711,2.40,-1.48
201712,2.05,-1.98
201801,3.42,-0.31
201802,5.36,1.91
201803,4.73,0.53
201804,3.82,-0.12
201805,3.09,-0.63
201806,3.19,-0.06
201807,3.84,0.53
201808,5.84,1.85
201809,5.53,1.99
201810,6.09,2.65
201811,8.74,4.86
201812,5.92,1.89
201901,4.89,1.16
201902,3.26,-0.19
201903,3.12,-1.08
201904,6.13,2.19
201905,5.10,1.38
201906,4.31,1.06
201907,3.93,0.62
201908,3.46,-0.53
201909,0.97,-2.57
201910,6.32,2.88
201911,2.18,-1.70
201912,7.29,3.26
202001,1.89,-1.84
