Lucas County, Ohio, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.03,-0.96
200002,1.19,-0.54
200003,1.83,-0.77
200004,3.16,0.06
200005,6.55,3.27
200006,5.85,2.22
200007,3.29,0.11
200008,3.32,0.31
200009,4.46,1.52
200010,2.78,0.45
200011,1.50,-0.85
200012,2.55,0.29
200101,0.62,-1.37
200102,2.34,0.61
200103,0.62,-1.98
200104,2.92,-0.18
200105,4.44,1.16
200106,2.45,-1.18
200107,2.11,-1.07
200108,2.95,-0.06
200109,4.66,1.72
200110,6.52,4.19
200111,2.07,-0.28
200112,2.00,-0.26
200201,2.46,0.47
200202,1.93,0.20
200203,2.67,0.07
200204,3.92,0.82
200205,3.75,0.47
200206,1.87,-1.76
200207,2.45,-0.73
200208,1.72,-1.29
200209,2.12,-0.82
200210,1.51,-0.82
200211,2.53,0.18
200212,2.31,0.05
200301,0.98,-1.01
200302,1.54,-0.19
200303,1.96,-0.64
200304,2.29,-0.81
200305,5.55,2.27
200306,3.10,-0.53
200307,4.19,1.01
200308,4.12,1.11
200309,5.28,2.34
200310,2.39,0.06
200311,2.27,-0.08
200312,2.85,0.59
200401,1.39,-0.60
200402,0.42,-1.31
200403,2.36,-0.24
200404,1.03,-2.07
200405,5.30,2.02
200406,3.95,0.32
200407,3.18,0.00
200408,3.91,0.90
200409,1.00,-1.94
200410,2.09,-0.24
200411,3.01,0.66
200412,1.79,-0.47
200501,3.69,1.70
200502,2.04,0.31
200503,0.82,-1.78
200504,2.72,-0.38
200505,1.66,-1.62
200506,1.41,-2.22
200507,4.92,1.74
200508,1.66,-1.35
200509,3.04,0.10
200510,0.32,-2.01
200511,3.23,0.88
200512,2.49,0.23
200601,2.51,0.52
200602,1.64,-0.09
200603,1.98,-0.62
200604,1.31,-1.79
200605,6.16,2.88
200606,4.33,0.70
200607,7.49,4.31
200608,3.46,0.45
200609,2.78,-0.16
200610,4.42,2.09
200611,2.83,0.48
200612,3.74,1.48
200701,3.81,1.82
200702,0.76,-0.97
200703,2.17,-0.43
200704,3.94,0.84
200705,2.01,-1.27
200706,3.31,-0.32
200707,2.97,-0.21
200708,8.24,5.23
200709,1.49,-1.45
200710,2.06,-0.27
200711,3.25,0.90
200712,3.78,1.52
200801,2.61,0.62
200802,5.00,3.27
200803,3.93,1.33
200804,2.37,-0.73
200805,2.84,-0.44
200806,5.63,2.00
200807,4.91,1.73
200808,0.86,-2.15
200809,4.06,1.12
200810,1.52,-0.81
200811,3.00,0.65
200812,4.13,1.87
200901,1.22,-0.77
200902,3.47,1.74
200903,4.41,1.81
200904,4.19,1.09
200905,2.80,-0.48
200906,3.53,-0.10
200907,2.86,-0.32
200908,2.93,-0.08
200909,2.32,-0.62
200910,3.64,1.31
200911,0.68,-1.67
200912,2.69,0.43
201001,0.77,-1.22
201002,1.53,-0.20
201003,2.26,-0.34
201004,4.33,1.23
201005,5.97,2.69
201006,3.89,0.26
201007,4.39,1.21
201008,2.48,-0.53
201009,2.30,-0.64
201010,1.12,-1.21
201011,3.48,1.13
201012,1.12,-1.14
201101,1.52,-0.47
201102,3.32,1.59
201103,2.81,0.21
201104,6.05,2.95
201105,6.66,3.38
201106,1.10,-2.53
201107,3.32,0.14
201108,3.96,0.95
201109,7.35,4.41
201110,3.58,1.25
201111,6.86,4.51
201112,3.42,1.16
201201,2.59,0.60
201202,1.76,0.03
201203,3.64,1.04
201204,1.48,-1.62
201205,2.26,-1.02
201206,2.65,-0.98
201207,2.83,-0.35
201208,4.71,1.70
201209,3.31,0.37
201210,2.61,0.28
201211,0.86,-1.49
201212,2.14,-0.12
201301,3.69,1.70
201302,2.56,0.83
201303,0.78,-1.82
201304,4.24,1.14
201305,2.15,-1.13
201306,4.69,1.06
201307,4.88,1.70
201308,2.54,-0.47
201309,2.22,-0.72
201310,3.74,1.41
201311,1.26,-1.09
201312,2.92,0.66
201401,2.37,0.38
201402,3.36,1.63
201403,1.03,-1.57
201404,3.30,0.20
201405,2.28,-1.00
201406,4.16,0.53
201407,1.20,-1.98
201408,3.20,0.19
201409,4.97,2.03
201410,2.33,0.00
201411,1.65,-0.70
201412,1.15,-1.11
201501,1.92,-0.07
201502,1.19,-0.54
201503,1.18,-1.42
201504,2.67,-0.43
201505,3.88,0.60
201506,8.43,4.80
201507,4.97,1.79
201508,3.05,0.04
201509,2.78,-0.16
201510,2.20,-0.13
201511,1.69,-0.66
201512,2.95,0.69
201601,1.41,-0.58
201602,1.83,0.10
201603,5.14,2.54
201604,3.44,0.34
201605,1.87,-1.41
201606,1.82,-1.81
201607,2.67,-0.51
201608,4.45,1.44
201609,4.52,1.58
201610,2.12,-0.21
201611,1.66,-0.69
201612,2.09,-0.17
201701,4.24,2.25
201702,1.73,0.00
201703,3.29,0.69
201704,3.56,0.46
201705,5.04,1.76
201706,4.24,0.61
201707,3.45,0.27
201708,1.91,-1.10
201709,2.02,-0.92
201710,3.27,0.94
201711,4.92,2.57
201712,0.83,-1.43
201801,1.14,-0.85
201802,3.61,1.88
201803,2.88,0.28
201804,2.52,-0.58
201805,5.29,2.01
201806,3.91,0.28
201807,1.56,-1.62
201808,4.43,1.42
201809,2.94,0.00
201810,2.37,0.04
201811,3.37,1.02
201812,2.10,-0.16
201901,1.32,-0.67
201902,2.05,0.32
201903,2.76,0.16
201904,4.20,1.10
201905,4.52,1.24
201906,4.12,0.49
201907,4.04,0.86
201908,4.61,1.60
201909,3.30,0.36
201910,3.53,1.20
201911,1.11,-1.24
201912,2.21,-0.05
202001,2.92,0.93
