Coos County, Oregon, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,17.94,6.67
200002,11.83,2.68
200003,3.94,-4.41
200004,3.35,-1.65
200005,4.17,0.84
200006,1.68,-0.10
200007,0.22,-0.22
200008,0.29,-0.37
200009,0.81,-1.26
200010,5.97,0.99
200011,4.49,-5.86
200012,6.39,-4.98
200101,3.50,-7.77
200102,3.71,-5.44
200103,4.30,-4.05
200104,5.11,0.11
200105,2.63,-0.70
200106,2.49,0.71
200107,0.56,0.12
200108,0.83,0.17
200109,0.36,-1.71
200110,4.44,-0.54
200111,10.97,0.62
200112,15.65,4.28
200201,14.86,3.59
200202,5.68,-3.47
200203,6.95,-1.40
200204,5.02,0.02
200205,1.60,-1.73
200206,1.32,-0.46
200207,0.05,-0.39
200208,0.08,-0.58
200209,0.98,-1.09
200210,0.52,-4.46
200211,6.91,-3.44
200212,21.52,10.15
200301,9.77,-1.50
200302,4.94,-4.21
200303,9.15,0.80
200304,10.58,5.58
200305,1.74,-1.59
200306,0.13,-1.65
200307,0.00,-0.44
200308,0.16,-0.50
200309,1.33,-0.74
200310,1.80,-3.18
200311,8.43,-1.92
200312,18.63,7.26
200401,12.42,1.15
200402,10.20,1.05
200403,4.50,-3.85
200404,5.09,0.09
200405,2.46,-0.87
200406,1.68,-0.10
200407,0.05,-0.39
200408,1.35,0.69
200409,3.13,1.06
200410,7.68,2.70
200411,3.58,-6.77
200412,10.29,-1.08
200501,6.18,-5.09
200502,3.48,-5.67
200503,8.61,0.26
200504,6.86,1.86
200505,7.97,4.64
200506,3.12,1.34
200507,0.53,0.09
200508,0.01,-0.65
200509,1.20,-0.87
200510,4.60,-0.38
200511,10.80,0.45
200512,16.46,5.09
200601,20.94,9.67
200602,5.22,-3.93
200603,11.81,3.46
200604,4.03,-0.97
200605,2.41,-0.92
200606,1.29,-0.49
200607,0.18,-0.26
200608,0.01,-0.65
200609,1.01,-1.06
200610,1.09,-3.89
200611,18.33,7.98
200612,14.58,3.21
200701,6.36,-4.91
200702,11.37,2.22
200703,5.73,-2.62
200704,3.83,-1.17
200705,1.81,-1.52
200706,0.95,-0.83
200707,0.99,0.55
200708,1.36,0.70
200709,1.64,-0.43
200710,6.87,1.89
200711,8.67,-1.68
200712,13.16,1.79
200801,15.00,3.73
200802,4.67,-4.48
200803,8.98,0.63
200804,5.06,0.06
200805,0.80,-2.53
200806,1.18,-0.60
200807,0.07,-0.37
200808,0.96,0.30
200809,0.15,-1.92
200810,2.43,-2.55
200811,8.42,-1.93
200812,12.65,1.28
200901,4.35,-6.92
200902,7.72,-1.43
200903,9.10,0.75
200904,3.16,-1.84
200905,3.25,-0.08
200906,1.36,-0.42
200907,0.11,-0.33
200908,0.33,-0.33
200909,1.25,-0.82
200910,5.02,0.04
200911,9.16,-1.19
200912,6.97,-4.40
201001,9.05,-2.22
201002,7.60,-1.55
201003,9.75,1.40
201004,8.85,3.85
201005,5.25,1.92
201006,4.39,2.61
201007,0.14,-0.30
201008,0.16,-0.50
201009,2.03,-0.04
201010,4.68,-0.30
201011,9.84,-0.51
201012,13.17,1.80
201101,4.64,-6.63
201102,8.07,-1.08
201103,15.41,7.06
201104,7.58,2.58
201105,4.04,0.71
201106,1.49,-0.29
201107,0.91,0.47
201108,0.03,-0.63
201109,0.35,-1.72
201110,4.15,-0.83
201111,8.25,-2.10
201112,5.51,-5.86
201201,12.16,0.89
201202,6.54,-2.61
201203,19.64,11.29
201204,6.76,1.76
201205,2.41,-0.92
201206,4.42,2.64
201207,0.81,0.37
201208,0.08,-0.58
201209,0.01,-2.06
201210,7.57,2.59
201211,12.68,2.33
201212,15.97,4.60
201301,5.49,-5.78
201302,3.88,-5.27
201303,3.98,-4.37
201304,4.07,-0.93
201305,3.44,0.11
201306,1.18,-0.60
201307,0.00,-0.44
201308,0.92,0.26
201309,7.55,5.48
201310,0.93,-4.05
201311,4.86,-5.49
201312,2.24,-9.13
201401,3.66,-7.61
201402,11.40,2.25
201403,9.19,0.84
201404,3.72,-1.28
201405,2.94,-0.39
201406,1.27,-0.51
201407,0.61,0.17
201408,0.15,-0.51
201409,2.35,0.28
201410,8.15,3.17
201411,8.51,-1.84
201412,14.85,3.48
201501,3.62,-7.65
201502,9.54,0.39
201503,6.23,-2.12
201504,3.63,-1.37
201505,0.81,-2.52
201506,0.44,-1.34
201507,0.03,-0.41
201508,0.98,0.32
201509,0.99,-1.08
201510,2.82,-2.16
201511,7.10,-3.25
201512,26.01,14.64
201601,14.32,3.05
201602,5.31,-3.84
201603,12.83,4.48
201604,3.76,-1.24
201605,0.94,-2.39
201606,0.85,-0.93
201607,1.00,0.56
201608,0.01,-0.65
201609,0.27,-1.80
201610,17.38,12.40
201611,12.54,2.19
201612,10.26,-1.11
201701,11.92,0.65
201702,17.81,8.66
201703,12.37,4.02
201704,8.82,3.82
201705,3.37,0.04
201706,2.03,0.25
201707,0.05,-0.39
201708,0.08,-0.58
201709,1.76,-0.31
201710,5.35,0.37
201711,10.45,0.10
201712,4.06,-7.31
201801,10.16,-1.11
201802,4.61,-4.54
201803,11.17,2.82
201804,6.35,1.35
201805,0.31,-3.02
201806,0.75,-1.03
201807,0.00,-0.44
201808,0.09,-0.57
201809,0.61,-1.46
201810,3.02,-1.96
201811,6.31,-4.04
201812,10.04,-1.33
201901,8.88,-2.39
201902,17.54,8.39
201903,3.94,-4.41
201904,9.85,4.85
201905,3.61,0.28
201906,0.55,-1.23
201907,0.52,0.08
201908,0.82,0.16
201909,5.24,3.17
201910,2.05,-2.93
201911,3.11,-7.24
201912,9.63,-1.74
202001,13.12,1.85
