Allegheny County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.74,-1.13
200002,2.91,0.54
200003,2.46,-0.96
200004,3.86,0.50
200005,5.13,1.43
200006,4.14,0.05
200007,5.33,1.42
200008,4.02,0.43
200009,3.20,0.22
200010,2.30,-0.29
200011,1.37,-1.30
200012,2.52,-0.27
200101,1.82,-1.05
200102,1.29,-1.08
200103,3.30,-0.12
200104,4.10,0.74
200105,3.10,-0.60
200106,3.27,-0.82
200107,3.23,-0.68
200108,3.60,0.01
200109,2.44,-0.54
200110,2.26,-0.33
200111,2.71,0.04
200112,3.01,0.22
200201,1.95,-0.92
200202,1.29,-1.08
200203,4.03,0.61
200204,3.26,-0.10
200205,4.91,1.21
200206,4.28,0.19
200207,2.74,-1.17
200208,3.64,0.05
200209,3.57,0.59
200210,3.56,0.97
200211,2.61,-0.06
200212,2.70,-0.09
200301,2.30,-0.57
200302,2.76,0.39
200303,1.47,-1.95
200304,2.51,-0.85
200305,5.36,1.66
200306,4.71,0.62
200307,6.08,2.17
200308,4.18,0.59
200309,4.32,1.34
200310,2.94,0.35
200311,3.85,1.18
200312,3.33,0.54
200401,4.38,1.51
200402,2.31,-0.06
200403,3.17,-0.25
200404,4.94,1.58
200405,5.22,1.52
200406,5.02,0.93
200407,4.66,0.75
200408,5.34,1.75
200409,9.52,6.54
200410,2.98,0.39
200411,2.87,0.20
200412,2.56,-0.23
200501,6.66,3.79
200502,2.27,-0.10
200503,2.52,-0.90
200504,3.07,-0.29
200505,3.05,-0.65
200506,2.09,-2.00
200507,3.65,-0.26
200508,3.67,0.08
200509,1.66,-1.32
200510,3.58,0.99
200511,3.72,1.05
200512,1.74,-1.05
200601,4.02,1.15
200602,1.47,-0.90
200603,1.85,-1.57
200604,3.41,0.05
200605,3.50,-0.20
200606,5.12,1.03
200607,4.41,0.50
200608,2.42,-1.17
200609,4.23,1.25
200610,5.42,2.83
200611,2.06,-0.61
200612,1.88,-0.91
200701,3.79,0.92
200702,1.62,-0.75
200703,5.01,1.59
200704,4.02,0.66
200705,1.83,-1.87
200706,4.04,-0.05
200707,3.60,-0.31
200708,7.42,3.83
200709,2.30,-0.68
200710,1.85,-0.74
200711,4.13,1.46
200712,4.73,1.94
200801,1.82,-1.05
200802,5.13,2.76
200803,4.30,0.88
200804,2.65,-0.71
200805,4.08,0.38
200806,5.51,1.42
200807,3.27,-0.64
200808,1.90,-1.69
200809,2.61,-0.37
200810,1.83,-0.76
200811,1.88,-0.79
200812,5.36,2.57
200901,3.28,0.41
200902,1.06,-1.31
200903,1.87,-1.55
200904,2.51,-0.85
200905,3.89,0.19
200906,4.26,0.17
200907,4.12,0.21
200908,2.99,-0.60
200909,2.01,-0.97
200910,2.59,0.00
200911,0.95,-1.72
200912,3.72,0.93
201001,2.71,-0.16
201002,3.06,0.69
201003,2.42,-1.00
201004,1.86,-1.50
201005,4.66,0.96
201006,5.47,1.38
201007,3.63,-0.28
201008,2.21,-1.38
201009,3.04,0.06
201010,2.66,0.07
201011,3.23,0.56
201012,3.24,0.45
201101,2.21,-0.66
201102,3.49,1.12
201103,4.63,1.21
201104,6.16,2.80
201105,5.10,1.40
201106,2.55,-1.54
201107,4.09,0.18
201108,3.98,0.39
201109,5.07,2.09
201110,4.43,1.84
201111,3.97,1.30
201112,2.96,0.17
201201,3.05,0.18
201202,1.45,-0.92
201203,3.89,0.47
201204,1.67,-1.69
201205,4.00,0.30
201206,1.89,-2.20
201207,7.16,3.25
201208,2.46,-1.13
201209,4.98,2.00
201210,4.85,2.26
201211,0.85,-1.82
201212,5.87,3.08
201301,2.60,-0.27
201302,2.18,-0.19
201303,2.09,-1.33
201304,2.96,-0.40
201305,2.67,-1.03
201306,6.28,2.19
201307,7.31,3.40
201308,3.33,-0.26
201309,2.57,-0.41
201310,2.68,0.09
201311,3.29,0.62
201312,3.82,1.03
201401,2.08,-0.79
201402,2.22,-0.15
201403,2.03,-1.39
201404,3.79,0.43
201405,5.17,1.47
201406,5.01,0.92
201407,4.26,0.35
201408,5.21,1.62
201409,1.16,-1.82
201410,2.42,-0.17
201411,2.03,-0.64
201412,2.99,0.20
201501,2.26,-0.61
201502,1.32,-1.05
201503,4.17,0.75
201504,4.16,0.80
201505,2.70,-1.00
201506,9.32,5.23
201507,3.72,-0.19
201508,1.74,-1.85
201509,5.31,2.33
201510,3.32,0.73
201511,1.71,-0.96
201512,3.76,0.97
201601,1.73,-1.14
201602,3.18,0.81
201603,2.40,-1.02
201604,2.38,-0.98
201605,3.68,-0.02
201606,4.45,0.36
201607,3.55,-0.36
201608,4.27,0.68
201609,3.38,0.40
201610,5.03,2.44
201611,1.13,-1.54
201612,3.96,1.17
201701,3.82,0.95
201702,1.60,-0.77
201703,4.38,0.96
201704,4.36,1.00
201705,5.40,1.70
201706,6.67,2.58
201707,6.81,2.90
201708,3.17,-0.42
201709,1.25,-1.73
201710,4.52,1.93
201711,4.14,1.47
201712,1.62,-1.17
201801,3.79,0.92
201802,6.92,4.55
201803,3.01,-0.41
201804,4.37,1.01
201805,3.88,0.18
201806,6.59,2.50
201807,4.19,0.28
201808,5.02,1.43
201809,10.08,7.10
201810,4.41,1.82
201811,4.47,1.80
201812,4.59,1.80
201901,3.16,0.29
201902,4.39,2.02
201903,2.31,-1.11
201904,3.95,0.59
201905,6.50,2.80
201906,6.67,2.58
201907,7.21,3.30
201908,2.92,-0.67
201909,3.18,0.20
201910,6.16,3.57
201911,2.53,-0.14
201912,3.58,0.79
202001,3.25,0.38
