Lackawanna County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.88,0.07
200002,2.75,0.15
200003,3.67,0.45
200004,3.78,0.15
200005,4.21,0.30
200006,6.48,2.41
200007,4.91,0.54
200008,2.60,-1.41
200009,3.04,-0.70
200010,1.94,-1.45
200011,1.99,-1.35
200012,3.58,0.54
200101,1.57,-1.24
200102,1.86,-0.74
200103,3.96,0.74
200104,1.82,-1.81
200105,3.09,-0.82
200106,3.92,-0.15
200107,3.36,-1.01
200108,3.22,-0.79
200109,4.66,0.92
200110,1.37,-2.02
200111,1.92,-1.42
200112,2.20,-0.84
200201,2.08,-0.73
200202,1.41,-1.19
200203,3.69,0.47
200204,3.95,0.32
200205,5.67,1.76
200206,4.90,0.83
200207,2.23,-2.14
200208,3.30,-0.71
200209,5.47,1.73
200210,6.93,3.54
200211,3.28,-0.06
200212,4.05,1.01
200301,2.09,-0.72
200302,2.41,-0.19
200303,2.63,-0.59
200304,2.79,-0.84
200305,4.07,0.16
200306,8.23,4.16
200307,4.24,-0.13
200308,5.75,1.74
200309,9.21,5.47
200310,6.00,2.61
200311,4.01,0.67
200312,5.01,1.97
200401,2.51,-0.30
200402,1.93,-0.67
200403,1.88,-1.34
200404,3.85,0.22
200405,5.48,1.57
200406,4.07,0.00
200407,5.53,1.16
200408,6.13,2.12
200409,9.46,5.72
200410,2.56,-0.83
200411,4.17,0.83
200412,4.05,1.01
200501,6.00,3.19
200502,2.09,-0.51
200503,3.95,0.73
200504,4.93,1.30
200505,1.51,-2.40
200506,2.53,-1.54
200507,2.93,-1.44
200508,3.16,-0.85
200509,1.27,-2.47
200510,10.00,6.61
200511,4.03,0.69
200512,3.14,0.10
200601,5.34,2.53
200602,1.68,-0.92
200603,1.59,-1.63
200604,3.80,0.17
200605,3.21,-0.70
200606,10.48,6.41
200607,3.61,-0.76
200608,5.24,1.23
200609,5.73,1.99
200610,4.93,1.54
200611,5.88,2.54
200612,1.80,-1.24
200701,3.42,0.61
200702,3.38,0.78
200703,3.08,-0.14
200704,4.74,1.11
200705,1.89,-2.02
200706,3.40,-0.67
200707,5.21,0.84
200708,4.90,0.89
200709,1.96,-1.78
200710,8.79,5.40
200711,4.47,1.13
200712,4.82,1.78
200801,2.65,-0.16
200802,6.64,4.04
200803,6.21,2.99
200804,2.40,-1.23
200805,4.09,0.18
200806,3.69,-0.38
200807,4.68,0.31
200808,2.51,-1.50
200809,5.14,1.40
200810,3.20,-0.19
200811,1.61,-1.73
200812,5.73,2.69
200901,2.35,-0.46
200902,1.12,-1.48
200903,1.65,-1.57
200904,2.20,-1.43
200905,5.98,2.07
200906,5.81,1.74
200907,5.41,1.04
200908,6.13,2.12
200909,2.37,-1.37
200910,4.86,1.47
200911,1.44,-1.90
200912,3.75,0.71
201001,2.85,0.04
201002,3.14,0.54
201003,4.52,1.30
201004,2.68,-0.95
201005,2.40,-1.51
201006,3.17,-0.90
201007,3.33,-1.04
201008,3.44,-0.57
201009,4.25,0.51
201010,6.29,2.90
201011,2.96,-0.38
201012,3.24,0.20
201101,1.88,-0.93
201102,4.19,1.59
201103,6.40,3.18
201104,7.61,3.98
201105,5.79,1.88
201106,5.66,1.59
201107,4.30,-0.07
201108,9.79,5.78
201109,11.62,7.88
201110,4.61,1.22
201111,3.52,0.18
201112,3.59,0.55
201201,2.62,-0.19
201202,1.28,-1.32
201203,2.41,-0.81
201204,2.69,-0.94
201205,6.31,2.40
201206,3.22,-0.85
201207,4.25,-0.12
201208,3.48,-0.53
201209,5.58,1.84
201210,6.57,3.18
201211,1.21,-2.13
201212,4.92,1.88
201301,2.34,-0.47
201302,1.55,-1.05
201303,2.13,-1.09
201304,2.32,-1.31
201305,3.60,-0.31
201306,7.08,3.01
201307,3.28,-1.09
201308,3.52,-0.49
201309,1.88,-1.86
201310,1.82,-1.57
201311,3.10,-0.24
201312,3.60,0.56
201401,2.74,-0.07
201402,3.44,0.84
201403,2.41,-0.81
201404,3.62,-0.01
201405,3.91,0.00
201406,3.19,-0.88
201407,3.58,-0.79
201408,3.84,-0.17
201409,1.07,-2.67
201410,5.19,1.80
201411,2.08,-1.26
201412,3.19,0.15
201501,2.15,-0.66
201502,1.66,-0.94
201503,2.27,-0.95
201504,3.54,-0.09
201505,2.05,-1.86
201506,7.48,3.41
201507,3.22,-1.15
201508,3.45,-0.56
201509,3.01,-0.73
201510,4.20,0.81
201511,1.96,-1.38
201512,3.38,0.34
201601,2.27,-0.54
201602,4.77,2.17
201603,1.84,-1.38
201604,2.89,-0.74
201605,3.84,-0.07
201606,2.15,-1.92
201607,5.31,0.94
201608,3.84,-0.17
201609,2.84,-0.90
201610,3.34,-0.05
201611,2.03,-1.31
201612,2.93,-0.11
201701,3.57,0.76
201702,3.16,0.56
201703,5.44,2.22
201704,4.14,0.51
201705,4.81,0.90
201706,3.70,-0.37
201707,6.51,2.14
201708,2.72,-1.29
201709,1.81,-1.93
201710,4.14,0.75
201711,1.08,-2.26
201712,1.69,-1.35
201801,3.53,0.72
201802,5.05,2.45
201803,2.97,-0.25
201804,4.00,0.37
201805,6.54,2.63
201806,2.90,-1.17
201807,7.49,3.12
201808,9.42,5.41
201809,7.46,3.72
201810,5.60,2.21
201811,6.64,3.30
201812,3.66,0.62
201901,5.13,2.32
201902,2.33,-0.27
201903,2.97,-0.25
201904,5.56,1.93
201905,6.66,2.75
201906,5.67,1.60
201907,6.82,2.45
201908,4.82,0.81
201909,1.33,-2.41
201910,7.44,4.05
201911,2.04,-1.30
201912,2.89,-0.15
202001,2.90,0.09
