Mercer County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.40,-0.60
200002,2.16,-0.22
200003,1.85,-1.40
200004,4.76,1.15
200005,5.09,1.31
200006,6.14,1.90
200007,3.08,-1.10
200008,3.18,-0.47
200009,3.46,0.01
200010,2.72,-0.37
200011,2.00,-1.18
200012,2.90,-0.09
200101,1.45,-1.55
200102,1.29,-1.09
200103,2.20,-1.05
200104,3.54,-0.07
200105,4.02,0.24
200106,3.13,-1.11
200107,2.65,-1.53
200108,2.79,-0.86
200109,3.86,0.41
200110,4.37,1.28
200111,2.98,-0.20
200112,2.93,-0.06
200201,2.09,-0.91
200202,1.94,-0.44
200203,3.42,0.17
200204,4.41,0.80
200205,6.21,2.43
200206,3.88,-0.36
200207,2.97,-1.21
200208,2.98,-0.67
200209,3.09,-0.36
200210,2.60,-0.49
200211,2.82,-0.36
200212,3.08,0.09
200301,1.97,-1.03
200302,2.21,-0.17
200303,2.36,-0.89
200304,2.28,-1.33
200305,6.37,2.59
200306,3.39,-0.85
200307,9.98,5.80
200308,4.60,0.95
200309,6.16,2.71
200310,3.76,0.67
200311,3.77,0.59
200312,2.82,-0.17
200401,3.33,0.33
200402,1.57,-0.81
200403,3.46,0.21
200404,3.58,-0.03
200405,6.55,2.77
200406,4.49,0.25
200407,6.38,2.20
200408,4.86,1.21
200409,7.85,4.40
200410,2.81,-0.28
200411,2.66,-0.52
200412,3.66,0.67
200501,6.32,3.32
200502,2.18,-0.20
200503,2.05,-1.20
200504,4.97,1.36
200505,2.65,-1.13
200506,3.24,-1.00
200507,4.97,0.79
200508,4.80,1.15
200509,3.87,0.42
200510,2.80,-0.29
200511,4.02,0.84
200512,1.20,-1.79
200601,2.71,-0.29
200602,1.62,-0.76
200603,2.09,-1.16
200604,3.03,-0.58
200605,5.38,1.60
200606,5.28,1.04
200607,8.29,4.11
200608,4.52,0.87
200609,5.97,2.52
200610,6.95,3.86
200611,2.10,-1.08
200612,2.81,-0.18
200701,5.37,2.37
200702,1.66,-0.72
200703,4.24,0.99
200704,3.98,0.37
200705,2.12,-1.66
200706,3.59,-0.65
200707,2.32,-1.86
200708,6.20,2.55
200709,2.41,-1.04
200710,3.19,0.10
200711,3.97,0.79
200712,5.78,2.79
200801,2.78,-0.22
200802,5.95,3.57
200803,5.98,2.73
200804,2.33,-1.28
200805,3.59,-0.19
200806,4.80,0.56
200807,4.89,0.71
200808,3.57,-0.08
200809,2.83,-0.62
200810,2.86,-0.23
200811,2.90,-0.28
200812,4.35,1.36
200901,3.17,0.17
200902,1.65,-0.73
200903,4.11,0.86
200904,3.22,-0.39
200905,3.30,-0.48
200906,5.34,1.10
200907,4.54,0.36
200908,4.11,0.46
200909,2.15,-1.30
200910,3.63,0.54
200911,1.39,-1.79
200912,3.89,0.90
201001,2.68,-0.32
201002,2.24,-0.14
201003,2.42,-0.83
201004,1.98,-1.63
201005,4.73,0.95
201006,5.34,1.10
201007,4.31,0.13
201008,3.34,-0.31
201009,2.69,-0.76
201010,3.49,0.40
201011,4.09,0.91
201012,3.13,0.14
201101,2.12,-0.88
201102,4.28,1.90
201103,5.29,2.04
201104,7.74,4.13
201105,6.43,2.65
201106,2.88,-1.36
201107,2.55,-1.63
201108,4.89,1.24
201109,7.16,3.71
201110,4.33,1.24
201111,4.37,1.19
201112,4.66,1.67
201201,4.27,1.27
201202,2.36,-0.02
201203,3.72,0.47
201204,1.48,-2.13
201205,3.15,-0.63
201206,3.05,-1.19
201207,5.91,1.73
201208,4.07,0.42
201209,4.64,1.19
201210,5.46,2.37
201211,1.19,-1.99
201212,5.88,2.89
201301,2.23,-0.77
201302,2.22,-0.16
201303,2.14,-1.11
201304,3.54,-0.07
201305,2.43,-1.35
201306,6.49,2.25
201307,5.35,1.17
201308,4.13,0.48
201309,2.54,-0.91
201310,4.01,0.92
201311,3.75,0.57
201312,3.93,0.94
201401,2.44,-0.56
201402,2.33,-0.05
201403,2.06,-1.19
201404,4.42,0.81
201405,5.04,1.26
201406,7.84,3.60
201407,4.72,0.54
201408,5.15,1.50
201409,2.65,-0.80
201410,3.85,0.76
201411,2.32,-0.86
201412,2.34,-0.65
201501,2.97,-0.03
201502,1.82,-0.56
201503,2.55,-0.70
201504,3.83,0.22
201505,4.42,0.64
201506,9.98,5.74
201507,3.06,-1.12
201508,2.74,-0.91
201509,3.89,0.44
201510,4.49,1.40
201511,2.09,-1.09
201512,4.12,1.13
201601,1.37,-1.63
201602,3.66,1.28
201603,3.39,0.14
201604,3.52,-0.09
201605,2.58,-1.20
201606,3.88,-0.36
201607,4.41,0.23
201608,3.70,0.05
201609,5.07,1.62
201610,4.91,1.82
201611,1.51,-1.67
201612,3.86,0.87
201701,5.05,2.05
201702,2.64,0.26
201703,3.88,0.63
201704,4.77,1.16
201705,6.10,2.32
201706,5.78,1.54
201707,4.47,0.29
201708,2.69,-0.96
201709,1.46,-1.99
201710,3.60,0.51
201711,5.78,2.60
201712,2.11,-0.88
201801,3.31,0.31
201802,5.25,2.87
201803,4.17,0.92
201804,3.95,0.34
201805,3.93,0.15
201806,7.65,3.41
201807,4.11,-0.07
201808,3.66,0.01
201809,6.51,3.06
201810,3.24,0.15
201811,4.39,1.21
201812,2.88,-0.11
201901,3.63,0.63
201902,3.40,1.02
201903,3.32,0.07
201904,4.52,0.91
201905,5.32,1.54
201906,9.15,4.91
201907,6.31,2.13
201908,4.37,0.72
201909,3.19,-0.26
201910,4.72,1.63
201911,2.56,-0.62
201912,3.76,0.77
202001,3.19,0.19
