Westmoreland County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.61,-1.61
200002,3.44,0.72
200003,3.31,-0.45
200004,4.38,0.65
200005,5.05,1.05
200006,4.15,-0.25
200007,4.11,-0.18
200008,4.72,0.76
200009,4.09,0.79
200010,2.58,-0.30
200011,2.04,-0.99
200012,1.95,-1.09
200101,2.17,-1.05
200102,1.48,-1.24
200103,3.51,-0.25
200104,3.94,0.21
200105,3.01,-0.99
200106,4.04,-0.36
200107,3.41,-0.88
200108,3.34,-0.62
200109,2.55,-0.75
200110,1.93,-0.95
200111,2.43,-0.60
200112,2.86,-0.18
200201,2.23,-0.99
200202,1.50,-1.22
200203,4.58,0.82
200204,3.76,0.03
200205,5.78,1.78
200206,5.36,0.96
200207,2.71,-1.58
200208,3.16,-0.80
200209,3.47,0.17
200210,3.66,0.78
200211,3.14,0.11
200212,3.17,0.13
200301,2.99,-0.23
200302,3.26,0.54
200303,1.88,-1.88
200304,2.51,-1.22
200305,5.66,1.66
200306,5.45,1.05
200307,6.26,1.97
200308,5.86,1.90
200309,4.98,1.68
200310,3.47,0.59
200311,4.99,1.96
200312,3.69,0.65
200401,5.36,2.14
200402,2.51,-0.21
200403,3.33,-0.43
200404,5.89,2.16
200405,4.79,0.79
200406,5.53,1.13
200407,5.50,1.21
200408,4.96,1.00
200409,8.33,5.03
200410,2.47,-0.41
200411,3.08,0.05
200412,2.92,-0.12
200501,7.19,3.97
200502,2.43,-0.29
200503,3.39,-0.37
200504,2.60,-1.13
200505,3.02,-0.98
200506,3.12,-1.28
200507,3.34,-0.95
200508,3.40,-0.56
200509,1.46,-1.84
200510,4.27,1.39
200511,4.21,1.18
200512,1.91,-1.13
200601,4.15,0.93
200602,1.40,-1.32
200603,1.73,-2.03
200604,3.73,0.00
200605,4.02,0.02
200606,5.72,1.32
200607,5.00,0.71
200608,3.15,-0.81
200609,4.70,1.40
200610,5.09,2.21
200611,3.00,-0.03
200612,1.71,-1.33
200701,4.17,0.95
200702,2.05,-0.67
200703,5.22,1.46
200704,4.33,0.60
200705,1.69,-2.31
200706,4.44,0.04
200707,3.98,-0.31
200708,8.64,4.68
200709,1.83,-1.47
200710,2.28,-0.60
200711,4.69,1.66
200712,5.45,2.41
200801,2.35,-0.87
200802,4.72,2.00
200803,4.69,0.93
200804,2.90,-0.83
200805,5.28,1.28
200806,5.91,1.51
200807,4.28,-0.01
200808,1.79,-2.17
200809,3.29,-0.01
200810,2.15,-0.73
200811,2.35,-0.68
200812,6.54,3.50
200901,3.77,0.55
200902,1.54,-1.18
200903,1.81,-1.95
200904,3.36,-0.37
200905,5.07,1.07
200906,4.40,0.00
200907,4.74,0.45
200908,3.68,-0.28
200909,2.52,-0.78
200910,3.67,0.79
200911,1.26,-1.77
200912,4.25,1.21
201001,3.02,-0.20
201002,3.41,0.69
201003,2.81,-0.95
201004,2.35,-1.38
201005,4.75,0.75
201006,4.77,0.37
201007,4.55,0.26
201008,3.09,-0.87
201009,2.89,-0.41
201010,3.31,0.43
201011,3.90,0.87
201012,3.11,0.07
201101,2.21,-1.01
201102,3.54,0.82
201103,4.56,0.80
201104,6.48,2.75
201105,4.90,0.90
201106,3.19,-1.21
201107,5.29,1.00
201108,4.34,0.38
201109,7.17,3.87
201110,5.31,2.43
201111,4.15,1.12
201112,3.42,0.38
201201,3.63,0.41
201202,1.88,-0.84
201203,4.43,0.67
201204,2.28,-1.45
201205,4.19,0.19
201206,2.51,-1.89
201207,6.73,2.44
201208,2.69,-1.27
201209,5.77,2.47
201210,6.02,3.14
201211,1.05,-1.98
201212,6.19,3.15
201301,3.23,0.01
201302,2.60,-0.12
201303,2.68,-1.08
201304,2.71,-1.02
201305,3.17,-0.83
201306,6.66,2.26
201307,6.65,2.36
201308,7.10,3.14
201309,2.74,-0.56
201310,2.68,-0.20
201311,3.61,0.58
201312,4.36,1.32
201401,2.32,-0.90
201402,3.60,0.88
201403,2.68,-1.08
201404,3.67,-0.06
201405,5.51,1.51
201406,5.43,1.03
201407,4.28,-0.01
201408,4.70,0.74
201409,1.66,-1.64
201410,2.95,0.07
201411,2.69,-0.34
201412,3.37,0.33
201501,2.78,-0.44
201502,1.83,-0.89
201503,4.98,1.22
201504,4.50,0.77
201505,3.09,-0.91
201506,10.73,6.33
201507,4.30,0.01
201508,1.74,-2.22
201509,4.73,1.43
201510,3.50,0.62
201511,2.22,-0.81
201512,4.57,1.53
201601,2.56,-0.66
201602,3.31,0.59
201603,2.24,-1.52
201604,2.77,-0.96
201605,4.76,0.76
201606,4.72,0.32
201607,3.98,-0.31
201608,4.84,0.88
201609,3.30,0.00
201610,5.79,2.91
201611,1.24,-1.79
201612,5.21,2.17
201701,4.75,1.53
201702,2.44,-0.28
201703,4.85,1.09
201704,5.49,1.76
201705,6.46,2.46
201706,6.10,1.70
201707,7.03,2.74
201708,3.64,-0.32
201709,2.04,-1.26
201710,5.24,2.36
201711,4.36,1.33
201712,2.01,-1.03
201801,3.40,0.18
201802,8.43,5.71
201803,3.54,-0.22
201804,5.18,1.45
201805,5.07,1.07
201806,8.21,3.81
201807,4.33,0.04
201808,5.71,1.75
201809,11.48,8.18
201810,5.20,2.32
201811,4.84,1.81
201812,4.54,1.50
201901,3.90,0.68
201902,5.33,2.61
201903,2.11,-1.65
201904,4.51,0.78
201905,6.82,2.82
201906,6.46,2.06
201907,6.08,1.79
201908,4.15,0.19
201909,2.37,-0.93
201910,4.98,2.10
201911,2.74,-0.29
201912,4.55,1.51
202001,3.81,0.59
