Clarendon County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,6.12,2.54
200002,1.08,-2.66
200003,5.07,1.13
200004,1.90,-1.32
200005,2.03,-1.48
200006,2.91,-2.47
200007,5.59,-0.27
200008,3.95,-1.72
200009,6.58,2.20
200010,0.00,-2.80
200011,3.43,1.13
200012,1.79,-1.59
200101,1.79,-1.79
200102,3.03,-0.71
200103,6.07,2.13
200104,0.90,-2.32
200105,4.75,1.24
200106,5.92,0.54
200107,4.73,-1.13
200108,3.49,-2.18
200109,4.09,-0.29
200110,0.71,-2.09
200111,0.48,-1.82
200112,1.04,-2.34
200201,2.35,-1.23
200202,1.84,-1.90
200203,3.37,-0.57
200204,3.07,-0.15
200205,3.36,-0.15
200206,2.09,-3.29
200207,3.14,-2.72
200208,6.95,1.28
200209,4.79,0.41
200210,4.61,1.81
200211,4.10,1.80
200212,3.83,0.45
200301,1.69,-1.89
200302,3.74,0.00
200303,7.24,3.30
200304,6.54,3.32
200305,4.47,0.96
200306,9.16,3.78
200307,9.28,3.42
200308,4.92,-0.75
200309,3.52,-0.86
200310,3.94,1.14
200311,1.15,-1.15
200312,2.80,-0.58
200401,2.43,-1.15
200402,5.69,1.95
200403,0.68,-3.26
200404,2.24,-0.98
200405,3.02,-0.49
200406,5.74,0.36
200407,7.78,1.92
200408,7.53,1.86
200409,8.69,4.31
200410,1.53,-1.27
200411,2.80,0.50
200412,1.85,-1.53
200501,1.87,-1.71
200502,3.20,-0.54
200503,3.30,-0.64
200504,1.68,-1.54
200505,4.17,0.66
200506,4.73,-0.65
200507,5.65,-0.21
200508,5.30,-0.37
200509,0.49,-3.89
200510,4.86,2.06
200511,2.68,0.38
200512,2.90,-0.48
200601,3.30,-0.28
200602,3.13,-0.61
200603,1.53,-2.41
200604,2.72,-0.50
200605,2.70,-0.81
200606,7.61,2.23
200607,3.61,-2.25
200608,4.41,-1.26
200609,5.02,0.64
200610,2.27,-0.53
200611,4.99,2.69
200612,3.61,0.23
200701,2.68,-0.90
200702,2.48,-1.26
200703,1.77,-2.17
200704,3.60,0.38
200705,1.17,-2.34
200706,6.05,0.67
200707,4.83,-1.03
200708,3.46,-2.21
200709,2.39,-1.99
200710,3.64,0.84
200711,0.32,-1.98
200712,5.46,2.08
200801,2.77,-0.81
200802,4.28,0.54
200803,3.23,-0.71
200804,3.14,-0.08
200805,3.66,0.15
200806,3.17,-2.21
200807,5.55,-0.31
200808,6.22,0.55
200809,3.80,-0.58
200810,5.21,2.41
200811,4.25,1.95
200812,1.63,-1.75
200901,1.92,-1.66
200902,1.72,-2.02
200903,3.70,-0.24
200904,3.05,-0.17
200905,6.76,3.25
200906,4.32,-1.06
200907,6.00,0.14
200908,3.61,-2.06
200909,0.94,-3.44
200910,3.95,1.15
200911,3.92,1.62
200912,6.06,2.68
201001,3.90,0.32
201002,3.35,-0.39
201003,2.05,-1.89
201004,0.91,-2.31
201005,1.91,-1.60
201006,6.32,0.94
201007,5.85,-0.01
201008,6.85,1.18
201009,4.80,0.42
201010,1.04,-1.76
201011,0.76,-1.54
201012,1.59,-1.79
201101,1.59,-1.99
201102,3.56,-0.18
201103,3.97,0.03
201104,3.79,0.57
201105,4.04,0.53
201106,1.57,-3.81
201107,3.43,-2.43
201108,4.69,-0.98
201109,4.57,0.19
201110,1.86,-0.94
201111,2.05,-0.25
201112,1.46,-1.92
201201,1.38,-2.20
201202,2.24,-1.50
201203,3.45,-0.49
201204,2.56,-0.66
201205,5.99,2.48
201206,3.75,-1.63
201207,4.93,-0.93
201208,9.66,3.99
201209,2.32,-2.06
201210,2.44,-0.36
201211,1.78,-0.52
201212,3.98,0.60
201301,0.83,-2.75
201302,5.84,2.10
201303,3.25,-0.69
201304,3.80,0.58
201305,4.57,1.06
201306,6.83,1.45
201307,12.38,6.52
201308,5.08,-0.59
201309,1.93,-2.45
201310,0.99,-1.81
201311,2.62,0.32
201312,4.27,0.89
201401,2.41,-1.17
201402,3.63,-0.11
201403,4.66,0.72
201404,3.81,0.59
201405,4.69,1.18
201406,2.02,-3.36
201407,3.57,-2.29
201408,3.87,-1.80
201409,4.86,0.48
201410,1.24,-1.56
201411,4.35,2.05
201412,3.63,0.25
201501,2.79,-0.79
201502,4.04,0.30
201503,3.54,-0.40
201504,3.37,0.15
201505,1.20,-2.31
201506,2.82,-2.56
201507,2.83,-3.03
201508,6.71,1.04
201509,4.99,0.61
201510,16.32,13.52
201511,5.84,3.54
201512,4.61,1.23
201601,2.81,-0.77
201602,6.03,2.29
201603,2.11,-1.83
201604,3.85,0.63
201605,4.51,1.00
201606,5.12,-0.26
201607,4.74,-1.12
201608,4.46,-1.21
201609,9.85,5.47
201610,10.68,7.88
201611,0.61,-1.69
201612,4.38,1.00
201701,3.78,0.20
201702,1.25,-2.49
201703,1.59,-2.35
201704,5.94,2.72
201705,3.99,0.48
201706,3.76,-1.62
201707,8.41,2.55
201708,3.37,-2.30
201709,5.03,0.65
201710,3.90,1.10
201711,1.39,-0.91
201712,4.74,1.36
201801,2.59,-0.99
201802,1.11,-2.63
201803,2.17,-1.77
201804,5.10,1.88
201805,5.51,2.00
201806,4.14,-1.24
201807,5.68,-0.18
201808,4.06,-1.61
201809,8.06,3.68
201810,5.14,2.34
201811,4.35,2.05
201812,7.87,4.49
201901,3.49,-0.09
201902,1.43,-2.31
201903,2.89,-1.05
201904,4.55,1.33
201905,2.08,-1.43
201906,6.47,1.09
201907,3.97,-1.89
201908,4.11,-1.56
201909,3.61,-0.77
201910,3.28,0.48
201911,4.14,1.84
201912,6.60,3.22
202001,2.84,-0.74
