Horry County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.30,1.80
200002,0.84,-2.86
200003,4.30,0.43
200004,2.85,-0.18
200005,1.95,-1.75
200006,4.68,-0.23
200007,6.58,0.43
200008,6.07,0.38
200009,10.61,5.23
200010,0.04,-3.00
200011,3.92,1.41
200012,1.49,-1.86
200101,1.13,-2.37
200102,2.69,-1.01
200103,7.69,3.82
200104,0.78,-2.25
200105,2.53,-1.17
200106,5.37,0.46
200107,6.65,0.50
200108,4.28,-1.41
200109,3.93,-1.45
200110,0.43,-2.61
200111,1.32,-1.19
200112,1.78,-1.57
200201,2.88,-0.62
200202,2.33,-1.37
200203,3.02,-0.85
200204,1.40,-1.63
200205,3.09,-0.61
200206,3.31,-1.60
200207,5.13,-1.02
200208,8.52,2.83
200209,4.73,-0.65
200210,3.88,0.84
200211,4.02,1.51
200212,3.79,0.44
200301,1.14,-2.36
200302,3.15,-0.55
200303,7.00,3.13
200304,5.81,2.78
200305,3.98,0.28
200306,8.07,3.16
200307,9.15,3.00
200308,3.26,-2.43
200309,2.83,-2.55
200310,6.61,3.57
200311,1.27,-1.24
200312,3.78,0.43
200401,2.31,-1.19
200402,5.92,2.22
200403,1.02,-2.85
200404,2.39,-0.64
200405,3.13,-0.57
200406,4.07,-0.84
200407,6.39,0.24
200408,13.13,7.44
200409,3.94,-1.44
200410,2.20,-0.84
200411,2.69,0.18
200412,1.84,-1.51
200501,1.39,-2.11
200502,2.70,-1.00
200503,3.46,-0.41
200504,1.77,-1.26
200505,3.39,-0.31
200506,5.00,0.09
200507,4.57,-1.58
200508,5.40,-0.29
200509,3.26,-2.12
200510,8.25,5.21
200511,4.64,2.13
200512,3.81,0.46
200601,3.43,-0.07
200602,3.14,-0.56
200603,1.49,-2.38
200604,4.15,1.12
200605,3.19,-0.51
200606,8.13,3.22
200607,3.13,-3.02
200608,4.68,-1.01
200609,7.43,2.05
200610,3.77,0.73
200611,5.80,3.29
200612,4.73,1.38
200701,3.00,-0.50
200702,1.99,-1.71
200703,1.12,-2.75
200704,2.49,-0.54
200705,1.87,-1.83
200706,4.50,-0.41
200707,3.56,-2.59
200708,4.33,-1.36
200709,1.74,-3.64
200710,4.11,1.07
200711,0.15,-2.36
200712,3.26,-0.09
200801,2.98,-0.52
200802,4.32,0.62
200803,2.92,-0.95
200804,3.03,0.00
200805,4.11,0.41
200806,5.04,0.13
200807,6.45,0.30
200808,6.45,0.76
200809,7.99,2.61
200810,3.12,0.08
200811,3.59,1.08
200812,2.28,-1.07
200901,2.12,-1.38
200902,1.39,-2.31
200903,4.44,0.57
200904,1.97,-1.06
200905,5.66,1.96
200906,4.14,-0.77
200907,4.77,-1.38
200908,5.54,-0.15
200909,2.67,-2.71
200910,3.65,0.61
200911,5.26,2.75
200912,7.64,4.29
201001,3.00,-0.50
201002,3.45,-0.25
201003,3.56,-0.31
201004,0.96,-2.07
201005,2.69,-1.01
201006,5.03,0.12
201007,5.46,-0.69
201008,4.83,-0.86
201009,9.04,3.66
201010,1.91,-1.13
201011,1.05,-1.46
201012,1.95,-1.40
201101,1.48,-2.02
201102,4.24,0.54
201103,3.54,-0.33
201104,2.33,-0.70
201105,3.58,-0.12
201106,1.24,-3.67
201107,4.14,-2.01
201108,6.74,1.05
201109,3.48,-1.90
201110,2.43,-0.61
201111,3.26,0.75
201112,0.50,-2.85
201201,1.16,-2.34
201202,2.11,-1.59
201203,3.90,0.03
201204,2.62,-0.41
201205,9.09,5.39
201206,2.83,-2.08
201207,5.71,-0.44
201208,8.10,2.41
201209,3.51,-1.87
201210,1.91,-1.13
201211,2.26,-0.25
201212,3.69,0.34
201301,0.84,-2.66
201302,4.96,1.26
201303,2.62,-1.25
201304,5.65,2.62
201305,2.97,-0.73
201306,9.79,4.88
201307,8.09,1.94
201308,6.09,0.40
201309,0.98,-4.40
201310,1.27,-1.77
201311,3.83,1.32
201312,3.44,0.09
201401,2.59,-0.91
201402,2.97,-0.73
201403,5.01,1.14
201404,3.26,0.23
201405,5.33,1.63
201406,4.31,-0.60
201407,6.75,0.60
201408,5.80,0.11
201409,5.88,0.50
201410,1.45,-1.59
201411,3.43,0.92
201412,3.52,0.17
201501,4.39,0.89
201502,3.87,0.17
201503,3.12,-0.75
201504,3.65,0.62
201505,4.45,0.75
201506,3.47,-1.44
201507,3.39,-2.76
201508,5.82,0.13
201509,4.20,-1.18
201510,15.46,12.42
201511,5.49,2.98
201512,4.33,0.98
201601,2.73,-0.77
201602,6.82,3.12
201603,1.94,-1.93
201604,3.45,0.42
201605,4.62,0.92
201606,5.12,0.21
201607,4.59,-1.56
201608,4.23,-1.46
201609,12.46,7.08
201610,6.61,3.57
201611,1.16,-1.35
201612,3.90,0.55
201701,2.16,-1.34
201702,1.49,-2.21
201703,2.02,-1.85
201704,4.60,1.57
201705,4.68,0.98
201706,4.36,-0.55
201707,3.70,-2.45
201708,10.21,4.52
201709,5.29,-0.09
201710,4.12,1.08
201711,1.31,-1.20
201712,4.35,1.00
201801,2.77,-0.73
201802,1.30,-2.40
201803,2.54,-1.33
201804,4.70,1.67
201805,6.01,2.31
201806,5.68,0.77
201807,9.91,3.76
201808,4.52,-1.17
201809,10.86,5.48
201810,3.05,0.01
201811,5.03,2.52
201812,7.75,4.40
201901,2.00,-1.50
201902,1.48,-2.22
201903,2.18,-1.69
201904,5.05,2.02
201905,1.66,-2.04
201906,4.50,-0.41
201907,6.47,0.32
201908,6.64,0.95
201909,7.76,2.38
201910,3.25,0.21
201911,4.44,1.93
201912,4.73,1.38
202001,2.51,-0.99
