Bledsoe County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.51,-0.76
200002,4.08,-0.92
200003,5.35,-0.63
200004,8.44,3.90
200005,2.64,-1.66
200006,4.75,0.30
200007,2.21,-2.53
200008,3.65,-0.81
200009,5.50,1.56
200010,0.38,-2.98
200011,5.84,1.47
200012,3.89,-1.71
200101,4.36,-0.91
200102,6.70,1.70
200103,4.24,-1.74
200104,2.96,-1.58
200105,3.52,-0.78
200106,3.50,-0.95
200107,6.59,1.85
200108,4.18,-0.28
200109,3.57,-0.37
200110,2.09,-1.27
200111,3.72,-0.65
200112,5.04,-0.56
200201,7.99,2.72
200202,2.04,-2.96
200203,11.82,5.84
200204,2.50,-2.04
200205,6.02,1.72
200206,2.22,-2.23
200207,4.51,-0.23
200208,4.03,-0.43
200209,6.20,2.26
200210,5.40,2.04
200211,4.12,-0.25
200212,7.14,1.54
200301,2.41,-2.86
200302,11.95,6.95
200303,1.83,-4.15
200304,5.32,0.78
200305,12.86,8.56
200306,5.03,0.58
200307,7.36,2.62
200308,3.75,-0.71
200309,5.68,1.74
200310,1.26,-2.10
200311,5.77,1.40
200312,4.58,-1.02
200401,2.85,-2.42
200402,5.79,0.79
200403,6.64,0.66
200404,2.59,-1.95
200405,3.64,-0.66
200406,6.56,2.11
200407,5.47,0.73
200408,4.43,-0.03
200409,9.25,5.31
200410,3.80,0.44
200411,7.15,2.78
200412,8.64,3.04
200501,3.55,-1.72
200502,5.00,0.00
200503,2.83,-3.15
200504,5.49,0.95
200505,1.64,-2.66
200506,3.62,-0.83
200507,7.26,2.52
200508,4.67,0.21
200509,3.83,-0.11
200510,0.89,-2.47
200511,5.67,1.30
200512,3.05,-2.55
200601,5.26,-0.01
200602,2.69,-2.31
200603,3.14,-2.84
200604,6.97,2.43
200605,4.15,-0.15
200606,3.32,-1.13
200607,3.03,-1.71
200608,4.48,0.02
200609,4.08,0.14
200610,4.67,1.31
200611,4.51,0.14
200612,3.32,-2.28
200701,2.69,-2.58
200702,1.55,-3.45
200703,2.06,-3.92
200704,4.15,-0.39
200705,1.68,-2.62
200706,3.90,-0.55
200707,6.17,1.43
200708,1.64,-2.82
200709,2.62,-1.32
200710,3.99,0.63
200711,4.84,0.47
200712,2.69,-2.91
200801,3.03,-2.24
200802,4.93,-0.07
200803,5.77,-0.21
200804,4.83,0.29
200805,3.73,-0.57
200806,2.92,-1.53
200807,4.29,-0.45
200808,4.87,0.41
200809,1.41,-2.53
200810,2.38,-0.98
200811,4.06,-0.31
200812,9.65,4.05
200901,4.20,-1.07
200902,2.32,-2.68
200903,4.43,-1.55
200904,4.82,0.28
200905,10.48,6.18
200906,2.63,-1.82
200907,5.90,1.16
200908,2.21,-2.25
200909,8.26,4.32
200910,5.97,2.61
200911,2.43,-1.94
200912,7.65,2.05
201001,6.81,1.54
201002,3.61,-1.39
201003,3.52,-2.46
201004,3.42,-1.12
201005,6.14,1.84
201006,3.99,-0.46
201007,3.02,-1.72
201008,3.12,-1.34
201009,1.60,-2.34
201010,4.32,0.96
201011,6.30,1.93
201012,2.01,-3.59
201101,4.25,-1.02
201102,3.21,-1.79
201103,8.09,2.11
201104,10.15,5.61
201105,2.02,-2.28
201106,5.08,0.63
201107,2.68,-2.06
201108,0.77,-3.69
201109,8.51,4.57
201110,3.17,-0.19
201111,10.08,5.71
201112,6.81,1.21
201201,7.24,1.97
201202,3.20,-1.80
201203,5.02,-0.96
201204,1.35,-3.19
201205,3.65,-0.65
201206,2.01,-2.44
201207,7.59,2.85
201208,4.16,-0.30
201209,7.19,3.25
201210,3.61,0.25
201211,1.85,-2.52
201212,6.39,0.79
201301,9.00,3.73
201302,2.88,-2.12
201303,4.92,-1.06
201304,8.67,4.13
201305,7.44,3.14
201306,7.01,2.56
201307,9.36,4.62
201308,5.66,1.20
201309,2.86,-1.08
201310,1.35,-2.01
201311,4.31,-0.06
201312,7.71,2.11
201401,2.97,-2.30
201402,5.11,0.11
201403,3.24,-2.74
201404,6.57,2.03
201405,2.05,-2.25
201406,8.21,3.76
201407,3.26,-1.48
201408,6.15,1.69
201409,1.62,-2.32
201410,9.09,5.73
201411,3.22,-1.15
201412,6.05,0.45
201501,4.49,-0.78
201502,4.23,-0.77
201503,5.70,-0.28
201504,7.06,2.52
201505,3.24,-1.06
201506,4.25,-0.20
201507,8.48,3.74
201508,4.40,-0.06
201509,3.99,0.05
201510,4.54,1.18
201511,5.30,0.93
201512,12.81,7.21
201601,3.57,-1.70
201602,8.50,3.50
201603,2.40,-3.58
201604,3.24,-1.30
201605,1.86,-2.44
201606,4.71,0.26
201607,3.99,-0.75
201608,3.08,-1.38
201609,1.54,-2.40
201610,0.26,-3.10
201611,4.66,0.29
201612,8.46,2.86
201701,4.93,-0.34
201702,3.25,-1.75
201703,5.22,-0.76
201704,8.84,4.30
201705,7.82,3.52
201706,4.27,-0.18
201707,6.51,1.77
201708,3.48,-0.98
201709,4.62,0.68
201710,7.21,3.85
201711,3.38,-0.99
201712,3.81,-1.79
201801,1.74,-3.53
201802,9.33,4.33
201803,5.63,-0.35
201804,7.55,3.01
201805,6.68,2.38
201806,7.76,3.31
201807,5.61,0.87
201808,5.45,0.99
201809,9.16,5.22
201810,2.90,-0.46
201811,6.72,2.35
201812,9.50,3.90
201901,6.69,1.42
201902,12.34,7.34
201903,5.53,-0.45
201904,5.53,0.99
201905,3.12,-1.18
201906,5.51,1.06
201907,5.83,1.09
201908,3.32,-1.14
201909,1.11,-2.83
201910,8.57,5.21
201911,3.90,-0.47
201912,7.36,1.76
202001,8.17,2.90
