Davidson County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.61,-1.04
200002,3.84,-0.34
200003,3.51,-1.67
200004,6.54,2.33
200005,6.86,2.41
200006,1.93,-2.00
200007,2.68,-1.15
200008,2.14,-1.42
200009,2.38,-0.83
200010,0.38,-2.45
200011,5.86,2.03
200012,3.71,-0.83
200101,3.33,-1.32
200102,7.47,3.29
200103,2.97,-2.21
200104,2.66,-1.55
200105,4.66,0.21
200106,4.80,0.87
200107,2.74,-1.09
200108,4.07,0.51
200109,1.86,-1.35
200110,5.15,2.32
200111,5.48,1.65
200112,3.86,-0.68
200201,5.14,0.49
200202,2.31,-1.87
200203,8.91,3.73
200204,3.88,-0.33
200205,4.69,0.24
200206,2.98,-0.95
200207,5.78,1.95
200208,2.33,-1.23
200209,6.96,3.75
200210,4.86,2.03
200211,3.23,-0.60
200212,5.69,1.15
200301,1.73,-2.92
200302,9.06,4.88
200303,2.42,-2.76
200304,4.38,0.17
200305,9.39,4.94
200306,5.53,1.60
200307,4.05,0.22
200308,4.35,0.79
200309,7.49,4.28
200310,1.91,-0.92
200311,4.57,0.74
200312,3.51,-1.03
200401,3.47,-1.18
200402,5.35,1.17
200403,5.11,-0.07
200404,6.34,2.13
200405,6.32,1.87
200406,3.10,-0.83
200407,4.11,0.28
200408,4.30,0.74
200409,3.70,0.49
200410,5.26,2.43
200411,4.81,0.98
200412,6.76,2.22
200501,5.03,0.38
200502,4.17,-0.01
200503,3.46,-1.72
200504,7.04,2.83
200505,0.94,-3.51
200506,3.11,-0.82
200507,3.63,-0.20
200508,7.14,3.58
200509,1.76,-1.45
200510,0.06,-2.77
200511,3.01,-0.82
200512,2.80,-1.74
200601,6.39,1.74
200602,2.81,-1.37
200603,2.98,-2.20
200604,4.52,0.31
200605,4.60,0.15
200606,2.32,-1.61
200607,3.29,-0.54
200608,4.46,0.90
200609,4.00,0.79
200610,3.08,0.25
200611,3.85,0.02
200612,3.46,-1.08
200701,3.87,-0.78
200702,2.30,-1.88
200703,2.32,-2.86
200704,3.28,-0.93
200705,2.99,-1.46
200706,2.22,-1.71
200707,2.06,-1.77
200708,1.28,-2.28
200709,2.98,-0.23
200710,5.05,2.22
200711,4.48,0.65
200712,4.46,-0.08
200801,4.04,-0.61
200802,3.41,-0.77
200803,6.54,1.36
200804,7.30,3.09
200805,4.99,0.54
200806,2.04,-1.89
200807,5.08,1.25
200808,2.08,-1.48
200809,1.26,-1.95
200810,4.98,2.15
200811,1.83,-2.00
200812,6.89,2.35
200901,4.67,0.02
200902,2.75,-1.43
200903,3.84,-1.34
200904,4.41,0.20
200905,8.60,4.15
200906,3.76,-0.17
200907,5.98,2.15
200908,2.48,-1.08
200909,9.54,6.33
200910,6.86,4.03
200911,0.81,-3.02
200912,4.46,-0.08
201001,4.46,-0.19
201002,2.79,-1.39
201003,3.95,-1.23
201004,3.33,-0.88
201005,15.66,11.21
201006,3.48,-0.45
201007,4.34,0.51
201008,6.05,2.49
201009,1.26,-1.95
201010,2.28,-0.55
201011,4.79,0.96
201012,2.55,-1.99
201101,2.72,-1.93
201102,4.66,0.48
201103,6.02,0.84
201104,8.44,4.23
201105,5.09,0.64
201106,4.15,0.22
201107,3.14,-0.69
201108,1.79,-1.77
201109,6.71,3.50
201110,1.19,-1.64
201111,6.25,2.42
201112,4.68,0.14
201201,5.02,0.37
201202,2.37,-1.81
201203,4.13,-1.05
201204,2.74,-1.47
201205,4.59,0.14
201206,0.88,-3.05
201207,8.22,4.39
201208,3.45,-0.11
201209,4.82,1.61
201210,3.94,1.11
201211,1.60,-2.23
201212,5.61,1.07
201301,7.05,2.40
201302,2.69,-1.49
201303,4.27,-0.91
201304,8.40,4.19
201305,3.52,-0.93
201306,4.51,0.58
201307,7.73,3.90
201308,4.74,1.18
201309,3.86,0.65
201310,1.97,-0.86
201311,3.17,-0.66
201312,7.27,2.73
201401,2.61,-2.04
201402,5.49,1.31
201403,4.26,-0.92
201404,7.13,2.92
201405,2.44,-2.01
201406,5.19,1.26
201407,2.55,-1.28
201408,5.68,2.12
201409,0.72,-2.49
201410,8.13,5.30
201411,3.10,-0.73
201412,3.86,-0.68
201501,2.28,-2.37
201502,4.78,0.60
201503,4.95,-0.23
201504,6.07,1.86
201505,3.17,-1.28
201506,4.56,0.63
201507,6.54,2.71
201508,2.75,-0.81
201509,2.31,-0.90
201510,4.47,1.64
201511,4.96,1.13
201512,5.25,0.71
201601,2.19,-2.46
201602,5.26,1.08
201603,4.02,-1.16
201604,1.74,-2.47
201605,3.89,-0.56
201606,4.14,0.21
201607,7.14,3.31
201608,6.12,2.56
201609,2.01,-1.20
201610,0.54,-2.29
201611,1.85,-1.98
201612,6.51,1.97
201701,3.88,-0.77
201702,1.51,-2.67
201703,4.77,-0.41
201704,7.17,2.96
201705,4.96,0.51
201706,4.46,0.53
201707,4.86,1.03
201708,6.05,2.49
201709,5.95,2.74
201710,3.78,0.95
201711,3.69,-0.14
201712,4.55,0.01
201801,1.83,-2.82
201802,10.51,6.33
201803,5.34,0.16
201804,6.02,1.81
201805,4.82,0.37
201806,4.35,0.42
201807,2.67,-1.16
201808,4.53,0.97
201809,6.00,2.79
201810,3.61,0.78
201811,4.76,0.93
201812,5.50,0.96
201901,5.32,0.67
201902,12.32,8.14
201903,3.24,-1.94
201904,5.83,1.62
201905,1.88,-2.57
201906,8.23,4.30
201907,4.67,0.84
201908,4.79,1.23
201909,0.40,-2.81
201910,7.20,4.37
201911,4.81,0.98
201912,6.13,1.59
202001,5.00,0.35
