Giles County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.18,-0.97
200002,4.06,-0.93
200003,5.69,-0.36
200004,8.81,4.08
200005,2.30,-2.38
200006,5.53,1.49
200007,2.69,-1.61
200008,2.00,-1.67
200009,4.25,0.82
200010,0.41,-2.76
200011,6.74,2.41
200012,4.45,-1.02
200101,5.22,0.07
200102,8.40,3.41
200103,4.49,-1.56
200104,4.31,-0.42
200105,5.96,1.28
200106,4.75,0.71
200107,6.56,2.26
200108,6.14,2.47
200109,5.45,2.02
200110,5.25,2.08
200111,4.43,0.10
200112,5.56,0.09
200201,9.92,4.77
200202,2.33,-2.66
200203,9.30,3.25
200204,2.54,-2.19
200205,4.98,0.30
200206,3.24,-0.80
200207,4.12,-0.18
200208,3.39,-0.28
200209,5.54,2.11
200210,6.31,3.14
200211,4.82,0.49
200212,7.24,1.77
200301,2.63,-2.52
200302,10.21,5.22
200303,3.04,-3.01
200304,4.06,-0.67
200305,12.13,7.45
200306,4.32,0.28
200307,4.48,0.18
200308,2.50,-1.17
200309,6.46,3.03
200310,1.62,-1.55
200311,5.37,1.04
200312,3.96,-1.51
200401,3.17,-1.98
200402,8.48,3.49
200403,5.45,-0.60
200404,3.85,-0.88
200405,5.83,1.15
200406,8.24,4.20
200407,5.05,0.75
200408,5.41,1.74
200409,4.28,0.85
200410,7.04,3.87
200411,6.55,2.22
200412,10.07,4.60
200501,4.14,-1.01
200502,5.14,0.15
200503,3.12,-2.93
200504,6.52,1.79
200505,1.21,-3.47
200506,4.68,0.64
200507,5.04,0.74
200508,7.27,3.60
200509,4.09,0.66
200510,0.24,-2.93
200511,3.57,-0.76
200512,4.79,-0.68
200601,9.24,4.09
200602,3.14,-1.85
200603,3.06,-2.99
200604,5.28,0.55
200605,5.43,0.75
200606,3.78,-0.26
200607,2.42,-1.88
200608,2.31,-1.36
200609,3.12,-0.31
200610,4.33,1.16
200611,4.54,0.21
200612,3.97,-1.50
200701,4.22,-0.93
200702,2.09,-2.90
200703,2.23,-3.82
200704,3.92,-0.81
200705,1.29,-3.39
200706,2.66,-1.38
200707,2.43,-1.87
200708,2.86,-0.81
200709,2.03,-1.40
200710,3.41,0.24
200711,3.89,-0.44
200712,3.74,-1.73
200801,2.81,-2.34
200802,4.58,-0.41
200803,5.88,-0.17
200804,5.27,0.54
200805,6.20,1.52
200806,3.26,-0.78
200807,3.20,-1.10
200808,4.70,1.03
200809,0.96,-2.47
200810,4.64,1.47
200811,2.58,-1.75
200812,9.14,3.67
200901,2.76,-2.39
200902,1.99,-3.00
200903,5.71,-0.34
200904,5.22,0.49
200905,8.30,3.62
200906,1.47,-2.57
200907,6.85,2.55
200908,3.64,-0.03
200909,10.06,6.63
200910,7.31,4.14
200911,1.72,-2.61
200912,5.64,0.17
201001,5.79,0.64
201002,3.79,-1.20
201003,4.66,-1.39
201004,2.36,-2.37
201005,8.47,3.79
201006,3.63,-0.41
201007,4.00,-0.30
201008,3.37,-0.30
201009,1.39,-2.04
201010,2.96,-0.21
201011,4.89,0.56
201012,2.35,-3.12
201101,4.26,-0.89
201102,3.12,-1.87
201103,6.93,0.88
201104,11.87,7.14
201105,3.74,-0.94
201106,5.96,1.92
201107,3.72,-0.58
201108,2.60,-1.07
201109,6.86,3.43
201110,1.86,-1.31
201111,5.44,1.11
201112,6.93,1.46
201201,5.54,0.39
201202,2.86,-2.13
201203,3.15,-2.90
201204,2.09,-2.64
201205,2.89,-1.79
201206,1.93,-2.11
201207,5.79,1.49
201208,3.61,-0.06
201209,6.38,2.95
201210,5.12,1.95
201211,1.47,-2.86
201212,8.34,2.87
201301,8.11,2.96
201302,2.67,-2.32
201303,5.10,-0.95
201304,7.35,2.62
201305,4.52,-0.16
201306,4.90,0.86
201307,7.74,3.44
201308,4.19,0.52
201309,2.47,-0.96
201310,1.80,-1.37
201311,3.43,-0.90
201312,6.49,1.02
201401,2.22,-2.93
201402,5.14,0.15
201403,2.93,-3.12
201404,5.93,1.20
201405,3.75,-0.93
201406,8.45,4.41
201407,3.21,-1.09
201408,4.03,0.36
201409,0.83,-2.60
201410,7.60,4.43
201411,4.12,-0.21
201412,6.18,0.71
201501,3.94,-1.21
201502,4.27,-0.72
201503,5.63,-0.42
201504,6.29,1.56
201505,4.52,-0.16
201506,3.18,-0.86
201507,4.14,-0.16
201508,5.38,1.71
201509,1.41,-2.02
201510,4.03,0.86
201511,6.37,2.04
201512,9.98,4.51
201601,3.58,-1.57
201602,6.18,1.19
201603,3.46,-2.59
201604,4.03,-0.70
201605,1.63,-3.05
201606,4.42,0.38
201607,3.87,-0.43
201608,7.16,3.49
201609,0.93,-2.50
201610,0.37,-2.80
201611,3.66,-0.67
201612,5.98,0.51
201701,4.61,-0.54
201702,2.46,-2.53
201703,5.64,-0.41
201704,5.22,0.49
201705,7.53,2.85
201706,4.42,0.38
201707,7.56,3.26
201708,6.71,3.04
201709,4.79,1.36
201710,5.14,1.97
201711,1.71,-2.62
201712,5.41,-0.06
201801,1.39,-3.76
201802,12.69,7.70
201803,6.03,-0.02
201804,7.91,3.18
201805,4.21,-0.47
201806,5.03,0.99
201807,1.87,-2.43
201808,3.28,-0.39
201809,4.56,1.13
201810,2.71,-0.46
201811,5.45,1.12
201812,7.78,2.31
201901,6.27,1.12
201902,12.92,7.93
201903,4.63,-1.42
201904,5.45,0.72
201905,4.30,-0.38
201906,4.88,0.84
201907,7.04,2.74
201908,2.96,-0.71
201909,0.26,-3.17
201910,7.60,4.43
201911,4.28,-0.05
201912,7.27,1.80
202001,7.93,2.78
