Knox County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.92,0.30
200002,3.33,-1.17
200003,4.37,-0.82
200004,6.46,2.44
200005,5.38,1.53
200006,4.31,0.03
200007,3.76,-0.79
200008,2.01,-1.75
200009,3.26,0.19
200010,0.05,-2.86
200011,4.56,0.89
200012,3.12,-1.73
200101,4.40,-0.22
200102,6.93,2.43
200103,2.55,-2.64
200104,2.34,-1.68
200105,3.16,-0.69
200106,3.42,-0.86
200107,6.30,1.75
200108,3.03,-0.73
200109,4.19,1.12
200110,1.18,-1.73
200111,1.69,-1.98
200112,4.70,-0.15
200201,7.62,3.00
200202,1.89,-2.61
200203,9.13,3.94
200204,1.83,-2.19
200205,4.76,0.91
200206,2.13,-2.15
200207,4.77,0.22
200208,2.00,-1.76
200209,6.44,3.37
200210,5.27,2.36
200211,5.24,1.57
200212,5.96,1.11
200301,2.72,-1.90
200302,10.59,6.09
200303,2.30,-2.89
200304,7.04,3.02
200305,7.50,3.65
200306,3.93,-0.35
200307,6.87,2.32
200308,4.34,0.58
200309,5.54,2.47
200310,1.64,-1.27
200311,5.83,2.16
200312,3.86,-0.99
200401,3.01,-1.61
200402,4.69,0.19
200403,5.38,0.19
200404,2.80,-1.22
200405,4.33,0.48
200406,7.11,2.83
200407,5.43,0.88
200408,3.45,-0.31
200409,6.31,3.24
200410,4.15,1.24
200411,7.06,3.39
200412,6.74,1.89
200501,3.25,-1.37
200502,3.69,-0.81
200503,3.57,-1.62
200504,5.44,1.42
200505,3.04,-0.81
200506,3.69,-0.59
200507,5.48,0.93
200508,2.89,-0.87
200509,1.69,-1.38
200510,1.26,-1.65
200511,3.71,0.04
200512,3.12,-1.73
200601,4.66,0.04
200602,2.61,-1.89
200603,3.39,-1.80
200604,7.37,3.35
200605,2.43,-1.42
200606,2.31,-1.97
200607,3.79,-0.76
200608,5.27,1.51
200609,6.85,3.78
200610,4.57,1.66
200611,3.72,0.05
200612,2.10,-2.75
200701,2.88,-1.74
200702,1.28,-3.22
200703,2.95,-2.24
200704,4.87,0.85
200705,1.55,-2.30
200706,2.08,-2.20
200707,3.97,-0.58
200708,1.51,-2.25
200709,2.00,-1.07
200710,2.17,-0.74
200711,4.19,0.52
200712,3.82,-1.03
200801,3.65,-0.97
200802,4.79,0.29
200803,4.90,-0.29
200804,3.91,-0.11
200805,3.03,-0.82
200806,1.53,-2.75
200807,5.13,0.58
200808,2.86,-0.90
200809,2.14,-0.93
200810,1.98,-0.93
200811,3.55,-0.12
200812,9.29,4.44
200901,6.35,1.73
200902,2.97,-1.53
200903,4.21,-0.98
200904,3.26,-0.76
200905,6.83,2.98
200906,6.08,1.80
200907,5.70,1.15
200908,5.58,1.82
200909,6.18,3.11
200910,5.44,2.53
200911,3.55,-0.12
200912,7.67,2.82
201001,6.50,1.88
201002,3.07,-1.43
201003,3.33,-1.86
201004,2.70,-1.32
201005,4.64,0.79
201006,2.77,-1.51
201007,4.08,-0.47
201008,4.16,0.40
201009,4.91,1.84
201010,4.16,1.25
201011,6.07,2.40
201012,3.70,-1.15
201101,3.44,-1.18
201102,3.90,-0.60
201103,7.26,2.07
201104,8.99,4.97
201105,1.88,-1.97
201106,5.58,1.30
201107,3.87,-0.68
201108,1.71,-2.05
201109,8.15,5.08
201110,5.49,2.58
201111,8.39,4.72
201112,5.25,0.40
201201,5.66,1.04
201202,3.77,-0.73
201203,5.55,0.36
201204,2.97,-1.05
201205,3.29,-0.56
201206,1.88,-2.40
201207,5.79,1.24
201208,4.15,0.39
201209,7.54,4.47
201210,2.93,0.02
201211,1.12,-2.55
201212,6.36,1.51
201301,11.38,6.76
201302,2.31,-2.19
201303,5.74,0.55
201304,6.57,2.55
201305,4.35,0.50
201306,7.58,3.30
201307,6.34,1.79
201308,3.68,-0.08
201309,4.55,1.48
201310,0.85,-2.06
201311,4.57,0.90
201312,8.64,3.79
201401,2.90,-1.72
201402,5.25,0.75
201403,3.00,-2.19
201404,4.40,0.38
201405,1.86,-1.99
201406,3.99,-0.29
201407,5.77,1.22
201408,5.06,1.30
201409,2.07,-1.00
201410,7.85,4.94
201411,2.45,-1.22
201412,4.92,0.07
201501,3.67,-0.95
201502,4.40,-0.10
201503,4.80,-0.39
201504,4.91,0.89
201505,1.46,-2.39
201506,5.23,0.95
201507,6.58,2.03
201508,4.23,0.47
201509,2.60,-0.47
201510,4.19,1.28
201511,6.12,2.45
201512,9.21,4.36
201601,3.40,-1.22
201602,7.37,2.87
201603,2.67,-2.52
201604,3.00,-1.02
201605,3.33,-0.52
201606,4.10,-0.18
201607,3.53,-1.02
201608,3.56,-0.20
201609,1.60,-1.47
201610,0.28,-2.63
201611,3.06,-0.61
201612,9.41,4.56
201701,4.11,-0.51
201702,2.27,-2.23
201703,6.40,1.21
201704,8.12,4.10
201705,4.57,0.72
201706,3.94,-0.34
201707,4.27,-0.28
201708,5.86,2.10
201709,2.73,-0.34
201710,6.34,3.43
201711,3.02,-0.65
201712,3.75,-1.10
201801,1.75,-2.87
201802,9.41,4.91
201803,5.37,0.18
201804,4.15,0.13
201805,3.31,-0.54
201806,4.38,0.10
201807,4.23,-0.32
201808,4.77,1.01
201809,7.31,4.24
201810,3.62,0.71
201811,6.09,2.42
201812,8.20,3.35
201901,5.51,0.89
201902,14.38,9.88
201903,4.23,-0.96
201904,4.63,0.61
201905,4.29,0.44
201906,6.77,2.49
201907,4.93,0.38
201908,3.04,-0.72
201909,0.21,-2.86
201910,6.30,3.39
201911,5.07,1.40
201912,6.07,1.22
202001,7.18,2.56
