Caldwell County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.52,1.46
200002,2.00,-0.37
200003,2.63,0.39
200004,2.14,-1.05
200005,5.84,1.59
200006,4.94,1.58
200007,0.27,-1.92
200008,0.85,-1.18
200009,1.91,-1.40
200010,5.68,2.34
200011,8.81,6.16
200012,2.66,0.21
200101,3.24,1.18
200102,1.14,-1.23
200103,3.98,1.74
200104,0.89,-2.30
200105,3.65,-0.60
200106,3.12,-0.24
200107,1.02,-1.17
200108,6.35,4.32
200109,5.39,2.08
200110,2.53,-0.81
200111,4.74,2.09
200112,5.65,3.20
200201,1.19,-0.87
200202,1.00,-1.37
200203,1.25,-0.99
200204,3.07,-0.12
200205,2.13,-2.12
200206,5.07,1.71
200207,6.39,4.20
200208,1.02,-1.01
200209,3.70,0.39
200210,10.58,7.24
200211,4.28,1.63
200212,5.71,3.26
200301,1.27,-0.79
200302,4.58,2.21
200303,1.25,-0.99
200304,0.24,-2.95
200305,0.45,-3.80
200306,4.18,0.82
200307,2.90,0.71
200308,1.24,-0.79
200309,5.88,2.57
200310,2.61,-0.73
200311,1.16,-1.49
200312,0.80,-1.65
200401,3.06,1.00
200402,3.58,1.21
200403,1.53,-0.71
200404,4.65,1.46
200405,2.66,-1.59
200406,12.67,9.31
200407,1.70,-0.49
200408,2.20,0.17
200409,1.58,-1.73
200410,7.05,3.71
200411,11.60,8.95
200412,0.26,-2.19
200501,2.91,0.85
200502,3.10,0.73
200503,2.71,0.47
200504,0.76,-2.43
200505,3.59,-0.66
200506,0.84,-2.52
200507,4.02,1.83
200508,1.60,-0.43
200509,1.87,-1.44
200510,2.52,-0.82
200511,0.67,-1.98
200512,0.81,-1.64
200601,0.86,-1.20
200602,1.14,-1.23
200603,2.31,0.07
200604,1.96,-1.23
200605,3.64,-0.61
200606,2.31,-1.05
200607,2.58,0.39
200608,0.53,-1.50
200609,2.96,-0.35
200610,3.39,0.05
200611,0.78,-1.87
200612,3.89,1.44
200701,5.24,3.18
200702,0.22,-2.15
200703,10.01,7.77
200704,3.10,-0.09
200705,4.13,-0.12
200706,4.85,1.49
200707,9.63,7.44
200708,2.50,0.47
200709,1.54,-1.77
200710,0.95,-2.39
200711,2.74,0.09
200712,0.82,-1.63
200801,1.36,-0.70
200802,0.75,-1.62
200803,2.33,0.09
200804,2.84,-0.35
200805,0.48,-3.77
200806,0.45,-2.91
200807,1.38,-0.81
200808,4.34,2.31
200809,0.87,-2.44
200810,1.50,-1.84
200811,0.24,-2.41
200812,0.64,-1.81
200901,0.29,-1.77
200902,0.61,-1.76
200903,2.24,0.00
200904,5.06,1.87
200905,1.50,-2.75
200906,0.36,-3.00
200907,1.45,-0.74
200908,1.23,-0.80
200909,5.99,2.68
200910,9.57,6.23
200911,3.63,0.98
200912,3.12,0.67
201001,3.41,1.35
201002,3.74,1.37
201003,2.34,0.10
201004,2.67,-0.52
201005,3.87,-0.38
201006,4.23,0.87
201007,3.24,1.05
201008,0.30,-1.73
201009,6.60,3.29
201010,0.05,-3.29
201011,2.17,-0.48
201012,0.75,-1.70
201101,3.22,1.16
201102,0.52,-1.85
201103,0.22,-2.02
201104,0.16,-3.03
201105,1.85,-2.40
201106,2.02,-1.34
201107,0.16,-2.03
201108,0.13,-1.90
201109,0.74,-2.57
201110,2.13,-1.21
201111,1.93,-0.72
201112,4.54,2.09
201201,5.61,3.55
201202,3.06,0.69
201203,5.22,2.98
201204,0.36,-2.83
201205,5.78,1.53
201206,0.84,-2.52
201207,2.50,0.31
201208,0.97,-1.06
201209,5.38,2.07
201210,0.89,-2.45
201211,0.34,-2.31
201212,0.85,-1.60
201301,3.81,1.75
201302,0.56,-1.81
201303,0.70,-1.54
201304,4.45,1.26
201305,2.82,-1.43
201306,1.62,-1.74
201307,2.23,0.04
201308,1.06,-0.97
201309,5.89,2.58
201310,7.84,4.50
201311,1.61,-1.04
201312,0.66,-1.79
201401,0.62,-1.44
201402,0.53,-1.84
201403,1.84,-0.40
201404,0.53,-2.66
201405,8.36,4.11
201406,1.23,-2.13
201407,1.40,-0.79
201408,0.73,-1.30
201409,4.08,0.77
201410,1.78,-1.56
201411,4.32,1.67
201412,1.75,-0.70
201501,4.14,2.08
201502,0.67,-1.70
201503,4.75,2.51
201504,6.80,3.61
201505,12.47,8.22
201506,3.81,0.45
201507,0.49,-1.70
201508,0.83,-1.20
201509,0.72,-2.59
201510,9.76,6.42
201511,2.23,-0.42
201512,2.50,0.05
201601,0.89,-1.17
201602,1.60,-0.77
201603,3.86,1.62
201604,7.28,4.09
201605,6.62,2.37
201606,2.74,-0.62
201607,1.13,-1.06
201608,7.21,5.18
201609,2.53,-0.78
201610,0.33,-3.01
201611,2.21,-0.44
201612,5.38,2.93
201701,3.14,1.08
201702,2.98,0.61
201703,3.33,1.09
201704,1.97,-1.22
201705,1.46,-2.79
201706,1.85,-1.51
201707,0.83,-1.36
201708,16.09,14.06
201709,2.25,-1.06
201710,1.79,-1.55
201711,0.61,-2.04
201712,4.19,1.74
201801,0.42,-1.64
201802,1.64,-0.73
201803,4.80,2.56
201804,1.30,-1.89
201805,1.37,-2.88
201806,1.63,-1.73
201807,2.69,0.50
201808,0.64,-1.39
201809,8.32,5.01
201810,6.57,3.23
201811,2.14,-0.51
201812,5.70,3.25
201901,2.67,0.61
201902,0.53,-1.84
201903,0.27,-1.97
201904,5.11,1.92
201905,4.77,0.52
201906,5.13,1.77
201907,0.76,-1.43
201908,0.63,-1.40
201909,0.51,-2.80
201910,2.22,-1.12
201911,1.19,-1.46
201912,0.51,-1.94
202001,2.08,0.02
