Cameron County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.16,-0.21
200002,0.38,-0.86
200003,2.03,1.04
200004,0.65,-0.89
200005,2.73,0.22
200006,1.89,-0.77
200007,0.05,-1.58
200008,2.29,-0.04
200009,0.97,-3.73
200010,2.97,0.17
200011,0.68,-0.96
200012,1.15,-0.28
200101,0.70,-0.67
200102,1.67,0.43
200103,0.62,-0.37
200104,1.45,-0.09
200105,0.48,-2.03
200106,2.65,-0.01
200107,1.12,-0.51
200108,3.56,1.23
200109,4.06,-0.64
200110,0.51,-2.29
200111,1.76,0.12
200112,0.98,-0.45
200201,0.10,-1.27
200202,0.73,-0.51
200203,0.21,-0.78
200204,0.46,-1.08
200205,1.49,-1.02
200206,1.87,-0.79
200207,1.64,0.01
200208,0.72,-1.61
200209,7.29,2.59
200210,7.75,4.95
200211,5.49,3.85
200212,1.25,-0.18
200301,1.02,-0.35
200302,0.72,-0.52
200303,1.37,0.38
200304,1.20,-0.34
200305,0.24,-2.27
200306,2.08,-0.58
200307,2.57,0.94
200308,2.29,-0.04
200309,11.56,6.86
200310,7.21,4.41
200311,1.06,-0.58
200312,0.20,-1.23
200401,1.38,0.01
200402,0.93,-0.31
200403,2.86,1.87
200404,3.33,1.79
200405,2.61,0.10
200406,5.66,3.00
200407,0.23,-1.40
200408,1.75,-0.58
200409,4.93,0.23
200410,1.95,-0.85
200411,1.34,-0.30
200412,1.17,-0.26
200501,0.65,-0.72
200502,1.18,-0.06
200503,0.38,-0.61
200504,0.07,-1.47
200505,1.33,-1.18
200506,0.24,-2.42
200507,4.07,2.44
200508,1.13,-1.20
200509,3.86,-0.84
200510,2.62,-0.18
200511,1.54,-0.10
200512,1.22,-0.21
200601,0.31,-1.06
200602,0.16,-1.08
200603,0.59,-0.40
200604,0.04,-1.50
200605,1.89,-0.62
200606,2.23,-0.43
200607,2.48,0.85
200608,1.34,-0.99
200609,4.55,-0.15
200610,3.45,0.65
200611,0.47,-1.17
200612,2.66,1.23
200701,2.11,0.74
200702,0.91,-0.33
200703,2.43,1.44
200704,0.81,-0.73
200705,4.83,2.32
200706,3.52,0.86
200707,7.17,5.54
200708,2.61,0.28
200709,4.94,0.24
200710,1.55,-1.25
200711,0.56,-1.08
200712,0.26,-1.17
200801,1.54,0.17
200802,0.15,-1.09
200803,0.32,-0.67
200804,1.71,0.17
200805,1.30,-1.21
200806,0.52,-2.14
200807,9.57,7.94
200808,4.29,1.96
200809,8.28,3.58
200810,1.78,-1.02
200811,1.79,0.15
200812,0.39,-1.04
200901,0.20,-1.17
200902,0.63,-0.61
200903,0.26,-0.73
200904,0.03,-1.51
200905,1.68,-0.83
200906,1.31,-1.35
200907,0.23,-1.40
200908,1.30,-1.03
200909,6.25,1.55
200910,3.21,0.41
200911,1.11,-0.53
200912,5.13,3.70
201001,0.52,-0.85
201002,3.82,2.58
201003,0.44,-0.55
201004,2.64,1.10
201005,1.83,-0.68
201006,4.86,2.20
201007,5.74,4.11
201008,0.33,-2.00
201009,10.01,5.31
201010,0.00,-2.80
201011,0.05,-1.59
201012,0.04,-1.39
201101,2.31,0.94
201102,0.07,-1.17
201103,0.23,-0.76
201104,0.00,-1.54
201105,0.19,-2.32
201106,5.30,2.64
201107,1.06,-0.57
201108,0.40,-1.93
201109,1.01,-3.69
201110,0.90,-1.90
201111,0.27,-1.37
201112,1.57,0.14
201201,0.44,-0.93
201202,3.95,2.71
201203,1.01,0.02
201204,0.77,-0.77
201205,2.03,-0.48
201206,1.49,-1.17
201207,1.99,0.36
201208,1.14,-1.19
201209,2.32,-2.38
201210,1.13,-1.67
201211,0.57,-1.07
201212,0.39,-1.04
201301,1.67,0.30
201302,0.07,-1.17
201303,0.06,-0.93
201304,2.32,0.78
201305,1.91,-0.60
201306,0.56,-2.10
201307,2.25,0.62
201308,1.67,-0.66
201309,8.14,3.44
201310,0.80,-2.00
201311,4.42,2.78
201312,3.41,1.98
201401,0.94,-0.43
201402,0.18,-1.06
201403,1.73,0.74
201404,0.13,-1.41
201405,2.48,-0.03
201406,0.71,-1.95
201407,1.34,-0.29
201408,2.36,0.03
201409,10.82,6.12
201410,2.20,-0.60
201411,4.83,3.19
201412,2.01,0.58
201501,2.53,1.16
201502,1.00,-0.24
201503,3.85,2.86
201504,2.71,1.17
201505,6.51,4.00
201506,2.05,-0.61
201507,1.51,-0.12
201508,2.35,0.02
201509,4.36,-0.34
201510,8.18,5.38
201511,1.71,0.07
201512,0.24,-1.19
201601,1.82,0.45
201602,0.00,-1.24
201603,2.51,1.52
201604,1.57,0.03
201605,2.42,-0.09
201606,5.02,2.36
201607,0.16,-1.47
201608,1.15,-1.18
201609,3.15,-1.55
201610,0.59,-2.21
201611,2.94,1.30
201612,1.28,-0.15
201701,0.84,-0.53
201702,1.03,-0.21
201703,2.33,1.34
201704,0.58,-0.96
201705,1.94,-0.57
201706,1.56,-1.10
201707,1.46,-0.17
201708,1.83,-0.50
201709,2.12,-2.58
201710,2.85,0.05
201711,0.92,-0.72
201712,1.23,-0.20
201801,1.03,-0.34
201802,0.75,-0.49
201803,0.51,-0.48
201804,1.33,-0.21
201805,0.47,-2.04
201806,8.48,5.82
201807,0.93,-0.70
201808,0.68,-1.65
201809,9.85,5.15
201810,3.06,0.26
201811,1.18,-0.46
201812,0.73,-0.70
201901,1.56,0.19
201902,0.41,-0.83
201903,3.02,2.03
201904,1.00,-0.54
201905,0.90,-1.61
201906,8.21,5.55
201907,1.28,-0.35
201908,0.63,-1.70
201909,4.36,-0.34
201910,2.65,-0.15
201911,1.73,0.09
201912,0.93,-0.50
202001,0.47,-0.90
