Dallas County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.91,-0.25
200002,2.25,-0.25
200003,3.11,0.24
200004,3.25,-0.82
200005,4.77,-0.21
200006,9.06,5.60
200007,0.09,-2.25
200008,0.00,-2.10
200009,0.63,-2.30
200010,4.85,1.35
200011,7.47,4.63
200012,3.71,1.01
200101,2.81,0.65
200102,6.61,4.11
200103,5.34,2.47
200104,1.10,-2.97
200105,4.12,-0.86
200106,1.91,-1.55
200107,1.75,-0.59
200108,3.88,1.78
200109,3.74,0.81
200110,3.21,-0.29
200111,1.52,-1.32
200112,4.53,1.83
200201,3.25,1.09
200202,1.49,-1.01
200203,5.48,2.61
200204,3.54,-0.53
200205,5.52,0.54
200206,2.03,-1.43
200207,3.32,0.98
200208,1.82,-0.28
200209,1.33,-1.60
200210,7.28,3.78
200211,0.61,-2.23
200212,4.91,2.21
200301,0.33,-1.83
200302,3.79,1.29
200303,1.02,-1.85
200304,2.14,-1.93
200305,3.11,-1.87
200306,4.51,1.05
200307,0.59,-1.75
200308,1.85,-0.25
200309,4.55,1.62
200310,1.44,-2.06
200311,2.65,-0.19
200312,1.14,-1.56
200401,3.43,1.27
200402,4.83,2.33
200403,2.00,-0.87
200404,4.34,0.27
200405,2.66,-2.32
200406,9.14,5.68
200407,4.07,1.73
200408,2.95,0.85
200409,0.87,-2.06
200410,5.74,2.24
200411,6.22,3.38
200412,0.91,-1.79
200501,4.49,2.33
200502,1.83,-0.67
200503,2.10,-0.77
200504,1.05,-3.02
200505,3.26,-1.72
200506,0.74,-2.72
200507,2.41,0.07
200508,1.96,-0.14
200509,0.85,-2.08
200510,0.88,-2.62
200511,0.51,-2.33
200512,0.37,-2.33
200601,2.62,0.46
200602,3.58,1.08
200603,6.15,3.28
200604,1.92,-2.15
200605,2.08,-2.90
200606,1.28,-2.18
200607,0.95,-1.39
200608,1.87,-0.23
200609,2.68,-0.25
200610,4.30,0.80
200611,2.26,-0.58
200612,3.48,0.78
200701,5.12,2.96
200702,0.61,-1.89
200703,6.23,3.36
200704,1.95,-2.12
200705,7.38,2.40
200706,10.91,7.45
200707,4.65,2.31
200708,1.79,-0.31
200709,5.18,2.25
200710,3.31,-0.19
200711,1.43,-1.41
200712,2.35,-0.35
200801,0.66,-1.50
200802,2.26,-0.24
200803,7.03,4.16
200804,4.87,0.80
200805,3.07,-1.91
200806,1.63,-1.83
200807,0.94,-1.40
200808,3.47,1.37
200809,1.73,-1.20
200810,1.38,-2.12
200811,3.42,0.58
200812,0.47,-2.23
200901,1.31,-0.85
200902,0.91,-1.59
200903,5.03,2.16
200904,3.96,-0.11
200905,4.47,-0.51
200906,3.91,0.45
200907,3.55,1.21
200908,2.07,-0.03
200909,8.85,5.92
200910,10.38,6.88
200911,2.35,-0.49
200912,2.27,-0.43
201001,3.45,1.29
201002,3.05,0.55
201003,3.88,1.01
201004,2.05,-2.02
201005,2.14,-2.84
201006,2.31,-1.15
201007,3.41,1.07
201008,0.86,-1.24
201009,8.78,5.85
201010,1.12,-2.38
201011,2.73,-0.11
201012,1.67,-1.03
201101,1.88,-0.28
201102,1.46,-1.04
201103,0.18,-2.69
201104,3.50,-0.57
201105,5.47,0.49
201106,2.46,-1.00
201107,0.04,-2.30
201108,0.58,-1.52
201109,1.23,-1.70
201110,3.78,0.28
201111,1.56,-1.28
201112,5.03,2.33
201201,6.14,3.98
201202,2.39,-0.11
201203,5.85,2.98
201204,2.56,-1.51
201205,2.38,-2.60
201206,2.62,-0.84
201207,1.06,-1.28
201208,3.48,1.38
201209,3.06,0.13
201210,1.15,-2.35
201211,0.18,-2.66
201212,2.21,-0.49
201301,3.76,1.60
201302,1.78,-0.72
201303,2.38,-0.49
201304,3.23,-0.84
201305,3.92,-1.06
201306,2.59,-0.87
201307,2.02,-0.32
201308,1.17,-0.93
201309,3.53,0.60
201310,4.16,0.66
201311,2.44,-0.40
201312,2.55,-0.15
201401,0.32,-1.84
201402,0.64,-1.86
201403,1.27,-1.60
201404,2.12,-1.95
201405,4.66,-0.32
201406,3.61,0.15
201407,2.05,-0.29
201408,2.09,-0.01
201409,0.59,-2.34
201410,3.41,-0.09
201411,2.02,-0.82
201412,1.59,-1.11
201501,3.96,1.80
201502,3.23,0.73
201503,3.80,0.93
201504,6.37,2.30
201505,15.71,10.73
201506,4.62,1.16
201507,0.33,-2.01
201508,0.40,-1.70
201509,1.29,-1.64
201510,11.45,7.95
201511,10.53,7.69
201512,5.10,2.40
201601,1.17,-0.99
201602,2.34,-0.16
201603,4.31,1.44
201604,6.97,2.90
201605,6.35,1.37
201606,3.96,0.50
201607,2.55,0.21
201608,4.23,2.13
201609,2.15,-0.78
201610,2.23,-1.27
201611,3.81,0.97
201612,0.80,-1.90
201701,3.05,0.89
201702,2.36,-0.14
201703,1.51,-1.36
201704,4.59,0.52
201705,1.51,-3.47
201706,7.77,4.31
201707,3.26,0.92
201708,5.13,3.03
201709,0.70,-2.23
201710,2.58,-0.92
201711,1.20,-1.64
201712,3.58,0.88
201801,0.55,-1.61
201802,9.34,6.84
201803,3.08,0.21
201804,1.02,-3.05
201805,2.53,-2.45
201806,1.00,-2.46
201807,1.15,-1.19
201808,3.81,1.71
201809,10.14,7.21
201810,13.16,9.66
201811,1.87,-0.97
201812,4.71,2.01
201901,1.88,-0.28
201902,1.72,-0.78
201903,2.40,-0.47
201904,8.66,4.59
201905,9.53,4.55
201906,5.61,2.15
201907,0.56,-1.78
201908,1.53,-0.57
201909,0.42,-2.51
201910,5.31,1.81
201911,2.16,-0.68
201912,1.33,-1.37
202001,4.22,2.06
