El Paso County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.00,-0.45
200002,0.06,-0.38
200003,0.09,-0.21
200004,0.07,-0.16
200005,0.00,-0.35
200006,2.38,1.67
200007,1.31,-0.25
200008,1.26,-0.42
200009,0.03,-1.29
200010,1.14,0.32
200011,0.95,0.53
200012,0.29,-0.23
200101,0.22,-0.23
200102,0.22,-0.22
200103,0.36,0.06
200104,0.00,-0.23
200105,0.13,-0.22
200106,0.67,-0.04
200107,0.80,-0.76
200108,1.18,-0.50
200109,0.44,-0.88
200110,0.00,-0.82
200111,0.63,0.21
200112,0.13,-0.39
200201,0.19,-0.26
200202,1.29,0.85
200203,0.01,-0.29
200204,0.01,-0.22
200205,0.01,-0.34
200206,0.27,-0.44
200207,2.20,0.64
200208,0.98,-0.70
200209,0.28,-1.04
200210,1.63,0.81
200211,0.02,-0.40
200212,1.50,0.98
200301,0.01,-0.44
200302,1.53,1.09
200303,0.22,-0.08
200304,0.01,-0.22
200305,0.00,-0.35
200306,0.74,0.03
200307,0.49,-1.07
200308,0.49,-1.19
200309,0.43,-0.89
200310,0.44,-0.38
200311,0.55,0.13
200312,0.01,-0.51
200401,0.41,-0.04
200402,0.17,-0.27
200403,0.71,0.41
200404,1.10,0.87
200405,0.42,0.07
200406,1.10,0.39
200407,1.76,0.20
200408,2.54,0.86
200409,1.88,0.56
200410,0.71,-0.11
200411,2.34,1.92
200412,0.34,-0.18
200501,0.94,0.49
200502,1.72,1.28
200503,0.11,-0.19
200504,0.33,0.10
200505,1.13,0.78
200506,0.03,-0.68
200507,0.93,-0.63
200508,3.59,1.91
200509,1.94,0.62
200510,2.20,1.38
200511,0.00,-0.42
200512,0.01,-0.51
200601,0.04,-0.41
200602,0.25,-0.19
200603,0.02,-0.28
200604,0.01,-0.22
200605,0.30,-0.05
200606,0.27,-0.44
200607,3.85,2.29
200608,5.34,3.66
200609,4.17,2.85
200610,1.33,0.51
200611,0.04,-0.38
200612,0.05,-0.47
200701,2.00,1.55
200702,0.16,-0.28
200703,0.05,-0.25
200704,0.30,0.07
200705,1.22,0.87
200706,0.65,-0.06
200707,2.71,1.15
200708,1.10,-0.58
200709,1.79,0.47
200710,0.08,-0.74
200711,0.77,0.35
200712,0.60,0.08
200801,0.09,-0.36
200802,0.09,-0.35
200803,0.00,-0.30
200804,0.00,-0.23
200805,0.17,-0.18
200806,0.15,-0.56
200807,6.46,4.90
200808,2.80,1.12
200809,1.77,0.45
200810,0.48,-0.34
200811,0.16,-0.26
200812,0.23,-0.29
200901,0.01,-0.44
200902,0.00,-0.44
200903,0.09,-0.21
200904,0.00,-0.23
200905,0.57,0.22
200906,2.20,1.49
200907,1.02,-0.54
200908,0.80,-0.88
200909,2.20,0.88
200910,0.49,-0.33
200911,1.10,0.68
200912,0.96,0.44
201001,0.80,0.35
201002,1.26,0.82
201003,0.04,-0.26
201004,0.47,0.24
201005,0.05,-0.30
201006,0.91,0.20
201007,2.31,0.75
201008,1.92,0.24
201009,1.29,-0.03
201010,0.25,-0.57
201011,0.00,-0.42
201012,0.11,-0.41
201101,0.00,-0.45
201102,0.10,-0.34
201103,0.00,-0.30
201104,0.00,-0.23
201105,0.00,-0.35
201106,0.11,-0.60
201107,3.01,1.45
201108,1.13,-0.55
201109,0.50,-0.82
201110,0.04,-0.78
201111,0.27,-0.15
201112,0.76,0.24
201201,0.85,0.40
201202,0.02,-0.42
201203,0.08,-0.22
201204,0.08,-0.15
201205,0.50,0.15
201206,0.00,-0.71
201207,2.65,1.09
201208,0.81,-0.87
201209,1.36,0.04
201210,0.14,-0.68
201211,0.03,-0.39
201212,0.18,-0.34
201301,0.44,-0.01
201302,0.36,-0.08
201303,0.00,-0.30
201304,0.01,-0.22
201305,0.13,-0.22
201306,0.24,-0.47
201307,3.52,1.96
201308,1.13,-0.55
201309,3.51,2.19
201310,0.00,-0.82
201311,0.11,-0.31
201312,0.26,-0.26
201401,0.00,-0.45
201402,0.01,-0.43
201403,0.20,-0.10
201404,0.42,0.19
201405,0.01,-0.34
201406,0.02,-0.69
201407,3.46,1.90
201408,1.90,0.22
201409,3.75,2.43
201410,0.76,-0.06
201411,0.31,-0.11
201412,0.19,-0.33
201501,0.94,0.49
201502,0.05,-0.39
201503,0.71,0.41
201504,0.26,0.03
201505,0.70,0.35
201506,0.26,-0.45
201507,3.33,1.77
201508,1.24,-0.44
201509,0.40,-0.92
201510,3.54,2.72
201511,0.41,-0.01
201512,0.92,0.40
201601,0.47,0.02
201602,0.04,-0.40
201603,0.01,-0.29
201604,0.12,-0.11
201605,0.33,-0.02
201606,0.49,-0.22
201607,0.49,-1.07
201608,4.26,2.58
201609,2.06,0.74
201610,0.21,-0.61
201611,0.32,-0.10
201612,0.93,0.41
201701,1.11,0.66
201702,0.22,-0.22
201703,0.00,-0.30
201704,0.16,-0.07
201705,0.15,-0.20
201706,0.94,0.23
201707,3.68,2.12
201708,2.26,0.58
201709,1.08,-0.24
201710,0.17,-0.65
201711,0.30,-0.12
201712,0.62,0.10
201801,0.10,-0.35
201802,0.52,0.08
201803,0.21,-0.09
201804,0.00,-0.23
201805,0.07,-0.28
201806,0.54,-0.17
201807,1.55,-0.01
201808,1.06,-0.62
201809,1.09,-0.23
201810,3.08,2.26
201811,0.06,-0.36
201812,0.63,0.11
201901,0.12,-0.33
201902,0.09,-0.35
201903,0.20,-0.10
201904,0.10,-0.13
201905,0.21,-0.14
201906,1.03,0.32
201907,0.40,-1.16
201908,1.16,-0.52
201909,1.41,0.09
201910,1.96,1.14
201911,1.77,1.35
201912,0.64,0.12
202001,0.32,-0.13
