Hidalgo County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.80,-0.38
200002,0.53,-0.59
200003,1.59,0.58
200004,0.52,-1.00
200005,1.84,-0.91
200006,2.78,0.13
200007,0.12,-1.53
200008,2.02,-0.06
200009,1.39,-2.65
200010,2.65,0.32
200011,0.67,-0.55
200012,0.85,-0.38
200101,0.43,-0.75
200102,1.50,0.38
200103,0.81,-0.20
200104,1.41,-0.11
200105,1.33,-1.42
200106,3.39,0.74
200107,1.13,-0.52
200108,2.48,0.40
200109,5.35,1.31
200110,0.25,-2.08
200111,2.44,1.22
200112,1.31,0.08
200201,0.05,-1.13
200202,0.32,-0.80
200203,0.18,-0.83
200204,0.72,-0.80
200205,1.86,-0.89
200206,1.37,-1.28
200207,1.59,-0.06
200208,0.82,-1.26
200209,7.37,3.33
200210,6.09,3.76
200211,4.09,2.87
200212,0.31,-0.92
200301,0.93,-0.25
200302,1.38,0.26
200303,1.57,0.56
200304,1.45,-0.07
200305,0.60,-2.15
200306,2.13,-0.52
200307,2.24,0.59
200308,3.30,1.22
200309,10.40,6.36
200310,7.27,4.94
200311,1.84,0.62
200312,0.02,-1.21
200401,1.54,0.36
200402,0.71,-0.41
200403,2.51,1.50
200404,3.93,2.41
200405,1.49,-1.26
200406,5.42,2.77
200407,0.38,-1.27
200408,1.81,-0.27
200409,4.63,0.59
200410,1.70,-0.63
200411,0.47,-0.75
200412,0.76,-0.47
200501,0.85,-0.33
200502,1.45,0.33
200503,0.40,-0.61
200504,0.05,-1.47
200505,1.00,-1.75
200506,0.26,-2.39
200507,5.43,3.78
200508,0.66,-1.42
200509,1.78,-2.26
200510,1.48,-0.85
200511,1.19,-0.03
200512,0.51,-0.72
200601,0.07,-1.11
200602,0.13,-0.99
200603,0.50,-0.51
200604,0.07,-1.45
200605,1.11,-1.64
200606,1.05,-1.60
200607,4.20,2.55
200608,0.54,-1.54
200609,6.99,2.95
200610,2.93,0.60
200611,0.09,-1.13
200612,2.79,1.56
200701,2.36,1.18
200702,0.28,-0.84
200703,0.43,-0.58
200704,1.01,-0.51
200705,3.21,0.46
200706,1.91,-0.74
200707,7.73,6.08
200708,2.46,0.38
200709,2.60,-1.44
200710,1.09,-1.24
200711,0.30,-0.92
200712,0.09,-1.14
200801,1.50,0.32
200802,0.08,-1.04
200803,0.03,-0.98
200804,1.56,0.04
200805,1.06,-1.69
200806,0.30,-2.35
200807,10.38,8.73
200808,5.83,3.75
200809,4.25,0.21
200810,1.09,-1.24
200811,0.60,-0.62
200812,0.19,-1.04
200901,0.08,-1.10
200902,0.34,-0.78
200903,0.37,-0.64
200904,0.14,-1.38
200905,2.27,-0.48
200906,1.07,-1.58
200907,0.11,-1.54
200908,0.51,-1.57
200909,5.32,1.28
200910,2.30,-0.03
200911,0.91,-0.31
200912,4.58,3.35
201001,0.75,-0.43
201002,2.93,1.81
201003,0.23,-0.78
201004,4.29,2.77
201005,3.01,0.26
201006,3.15,0.50
201007,8.10,6.45
201008,0.06,-2.02
201009,6.15,2.11
201010,0.02,-2.31
201011,0.06,-1.16
201012,0.07,-1.16
201101,1.34,0.16
201102,0.05,-1.07
201103,0.09,-0.92
201104,0.00,-1.52
201105,0.41,-2.34
201106,2.77,0.12
201107,1.27,-0.38
201108,0.86,-1.22
201109,0.93,-3.11
201110,0.47,-1.86
201111,0.11,-1.11
201112,2.02,0.79
201201,0.14,-1.04
201202,3.59,2.47
201203,1.30,0.29
201204,1.20,-0.32
201205,2.40,-0.35
201206,0.87,-1.78
201207,1.15,-0.50
201208,0.43,-1.65
201209,1.01,-3.03
201210,0.62,-1.71
201211,0.98,-0.24
201212,0.15,-1.08
201301,1.13,-0.05
201302,0.02,-1.10
201303,0.01,-1.00
201304,1.75,0.23
201305,1.87,-0.88
201306,1.01,-1.64
201307,1.65,0.00
201308,1.23,-0.85
201309,6.58,2.54
201310,0.20,-2.13
201311,4.03,2.81
201312,2.90,1.67
201401,0.89,-0.29
201402,0.25,-0.87
201403,2.17,1.16
201404,0.05,-1.47
201405,1.65,-1.10
201406,0.39,-2.26
201407,0.72,-0.93
201408,4.09,2.01
201409,9.70,5.66
201410,1.17,-1.16
201411,3.42,2.20
201412,2.06,0.83
201501,2.20,1.02
201502,0.91,-0.21
201503,3.04,2.03
201504,4.98,3.46
201505,6.10,3.35
201506,3.67,1.02
201507,0.83,-0.82
201508,2.64,0.56
201509,4.71,0.67
201510,5.57,3.24
201511,1.72,0.50
201512,0.22,-1.01
201601,1.23,0.05
201602,0.00,-1.12
201603,1.96,0.95
201604,0.92,-0.60
201605,4.45,1.70
201606,3.68,1.03
201607,0.09,-1.56
201608,1.11,-0.97
201609,1.77,-2.27
201610,0.58,-1.75
201611,2.13,0.91
201612,1.25,0.02
201701,0.78,-0.40
201702,1.18,0.06
201703,3.50,2.49
201704,1.23,-0.29
201705,1.68,-1.07
201706,1.29,-1.36
201707,0.37,-1.28
201708,1.97,-0.11
201709,2.11,-1.93
201710,2.53,0.20
201711,0.93,-0.29
201712,1.14,-0.09
201801,0.79,-0.39
201802,0.63,-0.49
201803,0.44,-0.57
201804,1.31,-0.21
201805,1.36,-1.39
201806,9.35,6.70
201807,1.25,-0.40
201808,0.23,-1.85
201809,10.69,6.65
201810,2.95,0.62
201811,0.76,-0.46
201812,0.43,-0.80
201901,1.01,-0.17
201902,0.41,-0.71
201903,2.02,1.01
201904,1.19,-0.33
201905,2.10,-0.65
201906,6.05,3.40
201907,1.05,-0.60
201908,1.18,-0.90
201909,3.07,-0.97
201910,2.17,-0.16
201911,1.80,0.58
201912,0.36,-0.87
202001,0.47,-0.71
