Nueces County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.04,-0.45
200002,0.74,-0.91
200003,2.56,0.99
200004,0.86,-1.05
200005,4.20,0.85
200006,1.89,-1.16
200007,0.38,-1.81
200008,0.75,-1.78
200009,1.34,-3.23
200010,3.07,0.14
200011,4.32,2.55
200012,1.06,-0.63
200101,1.67,0.18
200102,1.02,-0.63
200103,2.37,0.80
200104,0.14,-1.77
200105,1.86,-1.49
200106,2.72,-0.33
200107,1.48,-0.71
200108,6.71,4.18
200109,3.39,-1.18
200110,1.39,-1.54
200111,7.73,5.96
200112,1.86,0.17
200201,0.16,-1.33
200202,0.37,-1.28
200203,0.18,-1.39
200204,0.34,-1.57
200205,2.13,-1.22
200206,2.34,-0.71
200207,4.97,2.78
200208,2.19,-0.34
200209,8.73,4.16
200210,8.88,5.95
200211,2.76,0.99
200212,2.86,1.17
200301,1.87,0.38
200302,2.45,0.80
200303,2.04,0.47
200304,0.30,-1.61
200305,0.04,-3.31
200306,2.49,-0.56
200307,4.84,2.65
200308,1.43,-1.10
200309,10.83,6.26
200310,3.45,0.52
200311,1.48,-0.29
200312,0.65,-1.04
200401,1.87,0.38
200402,2.28,0.63
200403,1.46,-0.11
200404,6.69,4.78
200405,6.09,2.74
200406,4.18,1.13
200407,1.17,-1.02
200408,2.43,-0.10
200409,5.81,1.24
200410,2.73,-0.20
200411,2.75,0.98
200412,0.43,-1.26
200501,1.29,-0.20
200502,3.06,1.41
200503,2.62,1.05
200504,0.30,-1.61
200505,1.98,-1.37
200506,1.09,-1.96
200507,3.12,0.93
200508,0.36,-2.17
200509,3.56,-1.01
200510,2.57,-0.36
200511,2.77,1.00
200512,0.28,-1.41
200601,0.36,-1.13
200602,0.21,-1.44
200603,0.74,-0.83
200604,0.27,-1.64
200605,3.08,-0.27
200606,3.63,0.58
200607,5.63,3.44
200608,0.87,-1.66
200609,8.40,3.83
200610,2.77,-0.16
200611,0.09,-1.68
200612,2.58,0.89
200701,4.86,3.37
200702,0.13,-1.52
200703,1.99,0.42
200704,1.54,-0.37
200705,3.82,0.47
200706,2.91,-0.14
200707,13.56,11.37
200708,3.32,0.79
200709,4.33,-0.24
200710,0.80,-2.13
200711,0.56,-1.21
200712,0.40,-1.29
200801,2.14,0.65
200802,0.27,-1.38
200803,0.90,-0.67
200804,2.06,0.15
200805,1.22,-2.13
200806,0.55,-2.50
200807,6.46,4.27
200808,5.59,3.06
200809,1.66,-2.91
200810,1.96,-0.97
200811,0.38,-1.39
200812,0.26,-1.43
200901,0.11,-1.38
200902,0.16,-1.49
200903,0.63,-0.94
200904,0.18,-1.73
200905,1.44,-1.91
200906,0.38,-2.67
200907,0.15,-2.04
200908,0.49,-2.04
200909,7.02,2.45
200910,2.92,-0.01
200911,3.38,1.61
200912,3.95,2.26
201001,3.23,1.74
201002,3.95,2.30
201003,0.87,-0.70
201004,3.02,1.11
201005,1.51,-1.84
201006,4.64,1.59
201007,7.25,5.06
201008,0.69,-1.84
201009,13.42,8.85
201010,0.02,-2.91
201011,0.80,-0.97
201012,0.47,-1.22
201101,4.09,2.60
201102,0.18,-1.47
201103,0.35,-1.22
201104,0.00,-1.91
201105,1.35,-2.00
201106,0.57,-2.48
201107,0.33,-1.86
201108,0.55,-1.98
201109,0.96,-3.61
201110,1.35,-1.58
201111,0.33,-1.44
201112,1.47,-0.22
201201,0.52,-0.97
201202,4.27,2.62
201203,1.71,0.14
201204,2.18,0.27
201205,2.76,-0.59
201206,1.48,-1.57
201207,1.36,-0.83
201208,0.56,-1.97
201209,3.34,-1.23
201210,0.17,-2.76
201211,0.67,-1.10
201212,0.11,-1.58
201301,1.30,-0.19
201302,0.91,-0.74
201303,0.12,-1.45
201304,2.21,0.30
201305,1.53,-1.82
201306,2.15,-0.90
201307,2.47,0.28
201308,1.31,-1.22
201309,7.77,3.20
201310,1.65,-1.28
201311,1.98,0.21
201312,0.43,-1.26
201401,0.46,-1.03
201402,0.35,-1.30
201403,1.57,0.00
201404,0.33,-1.58
201405,3.83,0.48
201406,1.82,-1.23
201407,0.72,-1.47
201408,1.91,-0.62
201409,5.03,0.46
201410,3.24,0.31
201411,3.02,1.25
201412,1.49,-0.20
201501,1.75,0.26
201502,1.55,-0.10
201503,5.51,3.94
201504,5.52,3.61
201505,10.75,7.40
201506,4.27,1.22
201507,1.04,-1.15
201508,1.13,-1.40
201509,3.21,-1.36
201510,3.86,0.93
201511,1.48,-0.29
201512,0.92,-0.77
201601,2.08,0.59
201602,0.10,-1.55
201603,4.35,2.78
201604,1.49,-0.42
201605,5.34,1.99
201606,3.69,0.64
201607,0.11,-2.08
201608,3.68,1.15
201609,3.66,-0.91
201610,0.73,-2.20
201611,1.29,-0.48
201612,2.98,1.29
201701,0.38,-1.11
201702,1.43,-0.22
201703,3.90,2.33
201704,1.50,-0.41
201705,2.90,-0.45
201706,4.35,1.30
201707,0.91,-1.28
201708,3.28,0.75
201709,1.41,-3.16
201710,1.48,-1.45
201711,0.44,-1.33
201712,2.59,0.90
201801,0.92,-0.57
201802,0.73,-0.92
201803,1.81,0.24
201804,0.37,-1.54
201805,1.21,-2.14
201806,7.91,4.86
201807,2.09,-0.10
201808,1.78,-0.75
201809,13.46,8.89
201810,2.93,0.00
201811,2.38,0.61
201812,1.01,-0.68
201901,1.48,-0.01
201902,0.79,-0.86
201903,0.83,-0.74
201904,2.13,0.22
201905,2.22,-1.13
201906,3.43,0.38
201907,0.70,-1.49
201908,0.21,-2.32
201909,2.66,-1.91
201910,1.29,-1.64
201911,2.74,0.97
201912,2.39,0.70
202001,0.64,-0.85
