Salt Lake County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.96,0.73
200002,3.41,1.20
200003,1.97,-0.60
200004,1.25,-1.26
200005,1.88,-0.27
200006,0.29,-0.92
200007,0.42,-0.49
200008,2.07,1.00
200009,1.85,0.57
200010,2.73,0.91
200011,1.63,-0.43
200012,1.63,-0.45
200101,0.96,-1.27
200102,1.64,-0.57
200103,1.79,-0.78
200104,3.67,1.16
200105,0.37,-1.78
200106,0.80,-0.41
200107,1.01,0.10
200108,1.00,-0.07
200109,0.40,-0.88
200110,1.51,-0.31
200111,4.11,2.05
200112,2.18,0.10
200201,1.12,-1.11
200202,0.72,-1.49
200203,2.81,0.24
200204,2.38,-0.13
200205,1.29,-0.86
200206,0.22,-0.99
200207,0.46,-0.45
200208,0.17,-0.90
200209,2.72,1.44
200210,1.50,-0.32
200211,1.43,-0.63
200212,1.33,-0.75
200301,0.88,-1.35
200302,1.77,-0.44
200303,2.13,-0.44
200304,2.09,-0.42
200305,2.28,0.13
200306,1.57,0.36
200307,0.31,-0.60
200308,0.78,-0.29
200309,0.95,-0.33
200310,0.58,-1.24
200311,3.03,0.97
200312,4.07,1.99
200401,1.13,-1.10
200402,2.90,0.69
200403,1.20,-1.37
200404,2.38,-0.13
200405,1.55,-0.60
200406,1.08,-0.13
200407,0.92,0.01
200408,0.90,-0.17
200409,1.09,-0.19
200410,5.71,3.89
200411,1.68,-0.38
200412,2.08,0.00
200501,2.91,0.68
200502,2.16,-0.05
200503,3.59,1.02
200504,3.02,0.51
200505,4.20,2.05
200506,1.96,0.75
200507,0.15,-0.76
200508,0.70,-0.37
200509,0.64,-0.64
200510,1.71,-0.11
200511,1.95,-0.11
200512,3.09,1.01
200601,3.00,0.77
200602,1.45,-0.76
200603,4.06,1.49
200604,3.40,0.89
200605,1.28,-0.87
200606,0.89,-0.32
200607,0.58,-0.33
200608,1.24,0.17
200609,2.55,1.27
200610,2.53,0.71
200611,1.99,-0.07
200612,1.40,-0.68
200701,0.82,-1.41
200702,2.44,0.23
200703,1.65,-0.92
200704,1.17,-1.34
200705,1.02,-1.13
200706,1.30,0.09
200707,0.86,-0.05
200708,0.62,-0.45
200709,1.91,0.63
200710,2.47,0.65
200711,0.55,-1.51
200712,3.69,1.61
200801,2.94,0.71
200802,2.58,0.37
200803,1.49,-1.08
200804,1.33,-1.18
200805,1.99,-0.16
200806,1.07,-0.14
200807,0.12,-0.79
200808,0.88,-0.19
200809,1.29,0.01
200810,1.36,-0.46
200811,2.19,0.13
200812,2.69,0.61
200901,2.98,0.75
200902,1.78,-0.43
200903,2.45,-0.12
200904,4.02,1.51
200905,1.59,-0.56
200906,3.60,2.39
200907,0.47,-0.44
200908,0.52,-0.55
200909,1.23,-0.05
200910,1.81,-0.01
200911,0.53,-1.53
200912,2.32,0.24
201001,1.44,-0.79
201002,1.05,-1.16
201003,1.97,-0.60
201004,3.71,1.20
201005,3.62,1.47
201006,1.37,0.16
201007,0.37,-0.54
201008,1.49,0.42
201009,0.36,-0.92
201010,3.09,1.27
201011,3.17,1.11
201012,5.34,3.26
201101,1.53,-0.70
201102,2.28,0.07
201103,3.30,0.73
201104,5.13,2.62
201105,5.38,3.23
201106,1.36,0.15
201107,0.88,-0.03
201108,1.46,0.39
201109,0.57,-0.71
201110,2.02,0.20
201111,1.97,-0.09
201112,0.32,-1.76
201201,2.48,0.25
201202,1.65,-0.56
201203,1.42,-1.15
201204,2.24,-0.27
201205,1.13,-1.02
201206,0.01,-1.20
201207,0.97,0.06
201208,0.32,-0.75
201209,1.02,-0.26
201210,1.66,-0.16
201211,1.82,-0.24
201212,3.03,0.95
201301,1.87,-0.36
201302,1.04,-1.17
201303,1.06,-1.51
201304,2.73,0.22
201305,1.95,-0.20
201306,0.02,-1.19
201307,1.56,0.65
201308,0.70,-0.37
201309,2.33,1.05
201310,1.76,-0.06
201311,1.00,-1.06
201312,2.09,0.01
201401,1.39,-0.84
201402,2.76,0.55
201403,2.18,-0.39
201404,1.97,-0.54
201405,1.44,-0.71
201406,1.09,-0.12
201407,0.95,0.04
201408,2.68,1.61
201409,3.08,1.80
201410,0.26,-1.56
201411,1.56,-0.50
201412,2.67,0.59
201501,1.13,-1.10
201502,0.63,-1.58
201503,0.94,-1.63
201504,2.25,-0.26
201505,4.90,2.75
201506,0.80,-0.41
201507,1.28,0.37
201508,1.53,0.46
201509,1.61,0.33
201510,1.40,-0.42
201511,1.32,-0.74
201512,3.02,0.94
201601,2.69,0.46
201602,1.08,-1.13
201603,2.56,-0.01
201604,2.69,0.18
201605,2.14,-0.01
201606,0.52,-0.69
201607,0.03,-0.88
201608,0.24,-0.83
201609,2.57,1.29
201610,1.59,-0.23
201611,2.28,0.22
201612,2.98,0.90
201701,3.96,1.73
201702,3.42,1.21
201703,2.94,0.37
201704,3.61,1.10
201705,1.06,-1.09
201706,0.46,-0.75
201707,0.91,0.00
201708,0.41,-0.66
201709,2.59,1.31
201710,0.31,-1.51
201711,1.38,-0.68
201712,1.26,-0.82
201801,1.46,-0.77
201802,1.45,-0.76
201803,2.72,0.15
201804,2.24,-0.27
201805,1.75,-0.40
201806,0.08,-1.13
201807,0.35,-0.56
201808,0.71,-0.36
201809,0.01,-1.27
201810,3.38,1.56
201811,1.73,-0.33
201812,1.90,-0.18
201901,3.09,0.86
201902,3.15,0.94
201903,4.48,1.91
201904,4.02,1.51
201905,4.60,2.45
201906,0.56,-0.65
201907,0.36,-0.55
201908,0.67,-0.40
201909,2.30,1.02
201910,0.94,-0.88
201911,1.60,-0.46
201912,2.32,0.24
202001,2.62,0.39
