Charlottesville City, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.43,-0.75
200002,1.50,-1.28
200003,2.45,-1.12
200004,4.31,0.94
200005,3.37,-0.39
200006,7.78,3.75
200007,2.99,-1.51
200008,3.27,-1.14
200009,4.90,1.18
200010,0.01,-3.47
200011,1.56,-1.35
200012,2.43,-0.78
200101,2.02,-1.16
200102,0.96,-1.82
200103,4.47,0.90
200104,1.28,-2.09
200105,3.44,-0.32
200106,5.27,1.24
200107,3.76,-0.74
200108,4.41,0.00
200109,2.52,-1.20
200110,1.44,-2.04
200111,0.50,-2.41
200112,2.19,-1.02
200201,1.34,-1.84
200202,0.72,-2.06
200203,3.15,-0.42
200204,3.49,0.12
200205,2.08,-1.68
200206,3.09,-0.94
200207,4.58,0.08
200208,2.65,-1.76
200209,3.06,-0.66
200210,5.38,1.90
200211,4.85,1.94
200212,3.78,0.57
200301,2.64,-0.54
200302,6.84,4.06
200303,4.72,1.15
200304,3.96,0.59
200305,8.25,4.49
200306,6.89,2.86
200307,6.90,2.40
200308,6.65,2.24
200309,9.73,6.01
200310,3.50,0.02
200311,5.08,2.17
200312,4.30,1.09
200401,1.68,-1.50
200402,2.39,-0.39
200403,1.63,-1.94
200404,3.81,0.44
200405,4.84,1.08
200406,4.63,0.60
200407,5.75,1.25
200408,2.32,-2.09
200409,8.52,4.80
200410,1.22,-2.26
200411,4.52,1.61
200412,2.60,-0.61
200501,4.02,0.84
200502,1.77,-1.01
200503,3.87,0.30
200504,3.35,-0.02
200505,3.54,-0.22
200506,2.28,-1.75
200507,4.87,0.37
200508,3.95,-0.46
200509,0.62,-3.10
200510,8.16,4.68
200511,4.00,1.09
200512,3.21,0.00
200601,2.43,-0.75
200602,2.07,-0.71
200603,0.20,-3.37
200604,2.49,-0.88
200605,2.07,-1.69
200606,8.00,3.97
200607,1.97,-2.53
200608,3.22,-1.19
200609,6.46,2.74
200610,7.72,4.24
200611,5.59,2.68
200612,1.94,-1.27
200701,2.63,-0.55
200702,2.51,-0.27
200703,2.98,-0.59
200704,3.60,0.23
200705,2.66,-1.10
200706,4.49,0.46
200707,2.13,-2.37
200708,3.76,-0.65
200709,0.56,-3.16
200710,4.56,1.08
200711,0.68,-2.23
200712,2.56,-0.65
200801,0.95,-2.23
200802,2.33,-0.45
200803,2.97,-0.60
200804,4.89,1.52
200805,4.87,1.11
200806,1.93,-2.10
200807,4.56,0.06
200808,5.25,0.84
200809,4.76,1.04
200810,1.83,-1.65
200811,2.44,-0.47
200812,3.48,0.27
200901,2.10,-1.08
200902,0.62,-2.16
200903,2.78,-0.79
200904,3.40,0.03
200905,6.58,2.82
200906,4.91,0.88
200907,3.82,-0.68
200908,2.78,-1.63
200909,4.09,0.37
200910,3.01,-0.47
200911,7.20,4.29
200912,7.08,3.87
201001,5.17,1.99
201002,3.27,0.49
201003,4.98,1.41
201004,1.39,-1.98
201005,3.95,0.19
201006,2.36,-1.67
201007,1.56,-2.94
201008,3.04,-1.37
201009,4.93,1.21
201010,3.21,-0.27
201011,3.12,0.21
201012,2.29,-0.92
201101,1.08,-2.10
201102,1.54,-1.24
201103,6.20,2.63
201104,4.70,1.33
201105,6.32,2.56
201106,3.79,-0.24
201107,2.90,-1.60
201108,4.44,0.03
201109,7.50,3.78
201110,5.58,2.10
201111,3.40,0.49
201112,4.99,1.78
201201,2.40,-0.78
201202,2.20,-0.58
201203,4.84,1.27
201204,1.93,-1.44
201205,4.61,0.85
201206,2.95,-1.08
201207,3.10,-1.40
201208,4.97,0.56
201209,4.50,0.78
201210,4.25,0.77
201211,0.58,-2.33
201212,2.69,-0.52
201301,5.10,1.92
201302,1.66,-1.12
201303,4.55,0.98
201304,2.86,-0.51
201305,4.14,0.38
201306,7.92,3.89
201307,6.15,1.65
201308,6.39,1.98
201309,1.30,-2.42
201310,3.51,0.03
201311,3.07,0.16
201312,5.43,2.22
201401,2.45,-0.73
201402,4.15,1.37
201403,3.47,-0.10
201404,5.59,2.22
201405,6.54,2.78
201406,3.42,-0.61
201407,2.55,-1.95
201408,3.88,-0.53
201409,1.76,-1.96
201410,4.28,0.80
201411,2.87,-0.04
201412,3.21,0.00
201501,1.89,-1.29
201502,1.96,-0.82
201503,4.69,1.12
201504,4.89,1.52
201505,2.74,-1.02
201506,6.29,2.26
201507,3.32,-1.18
201508,1.67,-2.74
201509,7.78,4.06
201510,5.90,2.42
201511,2.86,-0.05
201512,4.72,1.51
201601,2.85,-0.33
201602,4.81,2.03
201603,1.58,-1.99
201604,2.68,-0.69
201605,6.40,2.64
201606,4.38,0.35
201607,3.15,-1.35
201608,3.16,-1.25
201609,3.05,-0.67
201610,1.94,-1.54
201611,1.44,-1.47
201612,2.39,-0.82
201701,3.45,0.27
201702,0.62,-2.16
201703,2.51,-1.06
201704,3.88,0.51
201705,8.86,5.10
201706,2.19,-1.84
201707,3.16,-1.34
201708,3.55,-0.86
201709,2.57,-1.15
201710,4.07,0.59
201711,1.12,-1.79
201712,0.47,-2.74
201801,1.87,-1.31
201802,5.06,2.28
201803,1.94,-1.63
201804,4.52,1.15
201805,9.84,6.08
201806,6.84,2.81
201807,4.72,0.22
201808,8.57,4.16
201809,8.36,4.64
201810,4.36,0.88
201811,7.36,4.45
201812,6.60,3.39
201901,3.31,0.13
201902,4.31,1.53
201903,4.40,0.83
201904,3.66,0.29
201905,3.44,-0.32
201906,5.42,1.39
201907,3.61,-0.89
201908,3.10,-1.31
201909,1.19,-2.53
201910,6.77,3.29
201911,2.05,-0.86
201912,2.89,-0.32
202001,3.58,0.40
