Newport News City, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.18,1.71
200002,1.60,-1.73
200003,4.44,0.56
200004,4.17,0.99
200005,3.86,0.15
200006,4.94,0.96
200007,6.39,0.94
200008,7.23,2.17
200009,5.28,1.43
200010,0.02,-2.96
200011,1.84,-0.90
200012,1.98,-1.34
200101,1.56,-1.91
200102,2.17,-1.16
200103,4.15,0.27
200104,1.97,-1.21
200105,3.17,-0.54
200106,6.18,2.20
200107,4.60,-0.85
200108,5.10,0.04
200109,1.75,-2.10
200110,0.72,-2.26
200111,0.27,-2.47
200112,1.82,-1.50
200201,4.70,1.23
200202,1.42,-1.91
200203,5.66,1.78
200204,3.47,0.29
200205,3.27,-0.44
200206,2.59,-1.39
200207,3.72,-1.73
200208,4.44,-0.62
200209,3.55,-0.30
200210,5.78,2.80
200211,5.35,2.61
200212,4.86,1.54
200301,3.02,-0.45
200302,5.47,2.14
200303,4.44,0.56
200304,6.21,3.03
200305,4.93,1.22
200306,4.23,0.25
200307,6.53,1.08
200308,6.84,1.78
200309,10.57,6.72
200310,3.27,0.29
200311,2.65,-0.09
200312,5.62,2.30
200401,1.61,-1.86
200402,1.89,-1.44
200403,1.96,-1.92
200404,3.89,0.71
200405,3.28,-0.43
200406,6.46,2.48
200407,9.76,4.31
200408,10.39,5.33
200409,3.55,-0.30
200410,2.89,-0.09
200411,3.69,0.95
200412,2.97,-0.35
200501,2.83,-0.64
200502,2.51,-0.82
200503,3.09,-0.79
200504,3.29,0.11
200505,4.59,0.88
200506,3.07,-0.91
200507,5.36,-0.09
200508,4.31,-0.75
200509,1.94,-1.91
200510,5.96,2.98
200511,3.41,0.67
200512,4.07,0.75
200601,3.37,-0.10
200602,1.13,-2.20
200603,0.43,-3.45
200604,3.71,0.53
200605,3.33,-0.38
200606,7.78,3.80
200607,4.15,-1.30
200608,4.20,-0.86
200609,10.82,6.97
200610,6.33,3.35
200611,5.86,3.12
200612,2.21,-1.11
200701,1.93,-1.54
200702,1.82,-1.51
200703,1.82,-2.06
200704,3.68,0.50
200705,1.96,-1.75
200706,3.05,-0.93
200707,3.41,-2.04
200708,5.00,-0.06
200709,0.84,-3.01
200710,4.56,1.58
200711,0.61,-2.13
200712,3.82,0.50
200801,1.36,-2.11
200802,3.52,0.19
200803,3.68,-0.20
200804,6.66,3.48
200805,3.42,-0.29
200806,1.83,-2.15
200807,4.94,-0.51
200808,1.41,-3.65
200809,6.52,2.67
200810,1.30,-1.68
200811,4.45,1.71
200812,3.84,0.52
200901,1.76,-1.71
200902,1.15,-2.18
200903,5.62,1.74
200904,2.67,-0.51
200905,4.82,1.11
200906,4.81,0.83
200907,4.07,-1.38
200908,6.49,1.43
200909,5.91,2.06
200910,2.56,-0.42
200911,9.11,6.37
200912,6.46,3.14
201001,3.66,0.19
201002,3.31,-0.02
201003,5.60,1.72
201004,1.25,-1.93
201005,4.21,0.50
201006,2.76,-1.22
201007,3.19,-2.26
201008,2.52,-2.54
201009,12.75,8.90
201010,2.89,-0.09
201011,0.62,-2.12
201012,2.60,-0.72
201101,2.57,-0.90
201102,1.66,-1.67
201103,3.41,-0.47
201104,1.81,-1.37
201105,2.26,-1.45
201106,3.78,-0.20
201107,7.40,1.95
201108,9.78,4.72
201109,7.98,4.13
201110,2.83,-0.15
201111,2.81,0.07
201112,1.49,-1.83
201201,1.88,-1.59
201202,2.68,-0.65
201203,2.94,-0.94
201204,2.93,-0.25
201205,3.86,0.15
201206,4.53,0.55
201207,4.64,-0.81
201208,6.87,1.81
201209,2.56,-1.29
201210,7.46,4.48
201211,0.61,-2.13
201212,3.33,0.01
201301,4.11,0.64
201302,4.13,0.80
201303,2.94,-0.94
201304,3.22,0.04
201305,3.73,0.02
201306,6.83,2.85
201307,6.27,0.82
201308,4.28,-0.78
201309,0.89,-2.96
201310,4.12,1.14
201311,2.58,-0.16
201312,5.51,2.19
201401,2.89,-0.58
201402,2.34,-0.99
201403,3.93,0.05
201404,5.35,2.17
201405,4.20,0.49
201406,3.79,-0.19
201407,6.25,0.80
201408,3.19,-1.87
201409,5.91,2.06
201410,1.63,-1.35
201411,3.54,0.80
201412,3.47,0.15
201501,3.15,-0.32
201502,2.49,-0.84
201503,4.16,0.28
201504,4.16,0.98
201505,1.88,-1.83
201506,9.43,5.45
201507,5.60,0.15
201508,2.82,-2.24
201509,4.14,0.29
201510,4.84,1.86
201511,4.64,1.90
201512,3.90,0.58
201601,3.90,0.43
201602,5.55,2.22
201603,2.82,-1.06
201604,2.75,-0.43
201605,7.29,3.58
201606,5.51,1.53
201607,6.70,1.25
201608,2.30,-2.76
201609,10.32,6.47
201610,8.25,5.27
201611,1.19,-1.55
201612,2.45,-0.87
201701,4.24,0.77
201702,0.86,-2.47
201703,5.05,1.17
201704,3.44,0.26
201705,6.26,2.55
201706,4.41,0.43
201707,4.08,-1.37
201708,8.06,3.00
201709,2.18,-1.67
201710,3.99,1.01
201711,1.33,-1.41
201712,2.36,-0.96
201801,3.52,0.05
201802,2.00,-1.33
201803,3.47,-0.41
201804,2.85,-0.33
201805,7.01,3.30
201806,5.21,1.23
201807,8.22,2.77
201808,4.23,-0.83
201809,5.42,1.57
201810,3.77,0.79
201811,5.15,2.41
201812,4.46,1.14
201901,3.83,0.36
201902,4.70,1.37
201903,3.52,-0.36
201904,4.52,1.34
201905,3.34,-0.37
201906,6.64,2.66
201907,4.54,-0.91
201908,4.91,-0.15
201909,1.73,-2.12
201910,4.62,1.64
201911,2.48,-0.26
201912,2.91,-0.41
202001,3.32,-0.15
