Chittenden County, Vermont, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.90,0.54
200002,3.41,1.35
200003,2.40,-0.21
200004,5.82,2.85
200005,6.48,3.09
200006,3.42,-0.42
200007,3.98,-0.04
200008,4.17,0.19
200009,2.88,-0.94
200010,2.32,-1.05
200011,3.29,0.03
200012,4.13,1.50
200101,1.46,-0.90
200102,2.34,0.28
200103,5.06,2.45
200104,0.87,-2.10
200105,2.48,-0.91
200106,2.96,-0.88
200107,2.06,-1.96
200108,3.79,-0.19
200109,3.20,-0.62
200110,2.08,-1.29
200111,2.53,-0.73
200112,2.04,-0.59
200201,1.96,-0.40
200202,2.69,0.63
200203,2.65,0.04
200204,3.62,0.65
200205,4.24,0.85
200206,7.75,3.91
200207,3.67,-0.35
200208,1.53,-2.45
200209,6.42,2.60
200210,3.66,0.29
200211,4.08,0.82
200212,1.87,-0.76
200301,1.71,-0.65
200302,1.40,-0.66
200303,2.66,0.05
200304,2.33,-0.64
200305,3.69,0.30
200306,3.52,-0.32
200307,3.83,-0.19
200308,3.84,-0.14
200309,3.74,-0.08
200310,6.76,3.39
200311,4.83,1.57
200312,6.52,3.89
200401,1.07,-1.29
200402,1.13,-0.93
200403,1.82,-0.79
200404,2.96,-0.01
200405,5.02,1.63
200406,4.16,0.32
200407,7.25,3.23
200408,9.23,5.25
200409,2.60,-1.22
200410,1.36,-2.01
200411,2.86,-0.40
200412,4.31,1.68
200501,2.42,0.06
200502,2.25,0.19
200503,1.86,-0.75
200504,4.62,1.65
200505,1.98,-1.41
200506,4.16,0.32
200507,5.18,1.16
200508,3.97,-0.01
200509,3.89,0.07
200510,8.13,4.76
200511,4.88,1.62
200512,2.86,0.23
200601,4.05,1.69
200602,1.87,-0.19
200603,1.59,-1.02
200604,3.24,0.27
200605,7.36,3.97
200606,8.28,4.44
200607,3.66,-0.36
200608,4.76,0.78
200609,3.25,-0.57
200610,7.46,4.09
200611,2.67,-0.59
200612,4.50,1.87
200701,3.07,0.71
200702,2.52,0.46
200703,3.03,0.42
200704,4.71,1.74
200705,2.42,-0.97
200706,2.90,-0.94
200707,6.21,2.19
200708,2.43,-1.55
200709,2.43,-1.39
200710,6.06,2.69
200711,5.26,2.00
200712,4.66,2.03
200801,1.96,-0.40
200802,4.30,2.24
200803,4.35,1.74
200804,2.66,-0.31
200805,1.91,-1.48
200806,5.99,2.15
200807,7.76,3.74
200808,4.50,0.52
200809,1.75,-2.07
200810,5.14,1.77
200811,2.29,-0.97
200812,3.77,1.14
200901,2.26,-0.10
200902,2.32,0.26
200903,2.22,-0.39
200904,2.45,-0.52
200905,5.73,2.34
200906,4.59,0.75
200907,6.02,2.00
200908,3.07,-0.91
200909,3.28,-0.54
200910,3.42,0.05
200911,3.92,0.66
200912,3.38,0.75
201001,2.57,0.21
201002,2.76,0.70
201003,3.09,0.48
201004,3.94,0.97
201005,1.89,-1.50
201006,6.30,2.46
201007,3.25,-0.77
201008,4.60,0.62
201009,4.03,0.21
201010,8.11,4.74
201011,2.98,-0.28
201012,4.23,1.60
201101,1.80,-0.56
201102,3.36,1.30
201103,4.09,1.48
201104,7.69,4.72
201105,8.95,5.56
201106,4.34,0.50
201107,3.66,-0.36
201108,7.53,3.55
201109,5.71,1.89
201110,4.00,0.63
201111,1.84,-1.42
201112,2.67,0.04
201201,2.34,-0.02
201202,1.28,-0.78
201203,1.57,-1.04
201204,3.43,0.46
201205,4.76,1.37
201206,3.75,-0.09
201207,3.88,-0.14
201208,2.87,-1.11
201209,5.21,1.39
201210,5.57,2.20
201211,1.70,-1.56
201212,4.36,1.73
201301,1.38,-0.98
201302,1.71,-0.35
201303,2.37,-0.24
201304,2.32,-0.65
201305,7.84,4.45
201306,10.06,6.22
201307,5.00,0.98
201308,3.36,-0.62
201309,4.60,0.78
201310,2.74,-0.63
201311,3.32,0.06
201312,3.07,0.44
201401,2.79,0.43
201402,2.32,0.26
201403,2.69,0.08
201404,3.60,0.63
201405,4.31,0.92
201406,5.03,1.19
201407,5.78,1.76
201408,3.00,-0.98
201409,1.87,-1.95
201410,4.54,1.17
201411,2.17,-1.09
201412,3.70,1.07
201501,1.76,-0.60
201502,1.21,-0.85
201503,1.34,-1.27
201504,2.57,-0.40
201505,3.38,-0.01
201506,9.44,5.60
201507,4.57,0.55
201508,2.30,-1.68
201509,4.54,0.72
201510,3.14,-0.23
201511,1.76,-1.50
201512,4.67,2.04
201601,1.43,-0.93
201602,3.79,1.73
201603,2.54,-0.07
201604,2.34,-0.63
201605,2.45,-0.94
201606,3.63,-0.21
201607,3.77,-0.25
201608,3.91,-0.07
201609,1.85,-1.97
201610,2.94,-0.43
201611,2.37,-0.89
201612,2.94,0.31
201701,2.18,-0.18
201702,2.81,0.75
201703,3.54,0.93
201704,4.19,1.22
201705,5.18,1.79
201706,7.72,3.88
201707,3.38,-0.64
201708,3.28,-0.70
201709,3.04,-0.78
201710,4.10,0.73
201711,2.19,-1.07
201712,2.37,-0.26
201801,2.70,0.34
201802,1.98,-0.08
201803,3.03,0.42
201804,4.71,1.74
201805,2.07,-1.32
201806,3.86,0.02
201807,2.47,-1.55
201808,2.74,-1.24
201809,3.72,-0.10
201810,4.78,1.41
201811,5.76,2.50
201812,3.17,0.54
201901,3.64,1.28
201902,2.43,0.37
201903,2.16,-0.45
201904,4.03,1.06
201905,5.37,1.98
201906,5.15,1.31
201907,2.66,-1.36
201908,3.34,-0.64
201909,3.50,-0.32
201910,7.73,4.36
201911,4.36,1.10
201912,2.10,-0.53
202001,2.76,0.40
