Spokane County, Washington, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.69,0.16
200002,2.46,0.51
200003,2.16,0.35
200004,2.55,1.16
200005,2.41,0.78
200006,1.35,-0.11
200007,0.37,-0.30
200008,0.02,-0.70
200009,1.31,0.29
200010,0.87,-0.65
200011,1.47,-1.14
200012,1.42,-1.28
200101,1.05,-1.48
200102,1.03,-0.92
200103,1.53,-0.28
200104,2.08,0.69
200105,1.07,-0.56
200106,1.30,-0.16
200107,0.32,-0.35
200108,0.25,-0.47
200109,0.27,-0.75
200110,2.47,0.95
200111,3.37,0.76
200112,3.12,0.42
200201,2.16,-0.37
200202,1.37,-0.58
200203,1.46,-0.35
200204,1.22,-0.17
200205,1.63,0.00
200206,1.28,-0.18
200207,0.39,-0.28
200208,0.50,-0.22
200209,0.54,-0.48
200210,0.24,-1.28
200211,1.91,-0.70
200212,3.78,1.08
200301,3.93,1.40
200302,1.00,-0.95
200303,2.51,0.70
200304,1.60,0.21
200305,1.85,0.22
200306,0.41,-1.05
200307,0.02,-0.65
200308,0.43,-0.29
200309,0.99,-0.03
200310,0.77,-0.75
200311,2.08,-0.53
200312,2.73,0.03
200401,2.40,-0.13
200402,1.86,-0.09
200403,1.02,-0.79
200404,0.91,-0.48
200405,3.05,1.42
200406,1.13,-0.33
200407,0.19,-0.48
200408,1.99,1.27
200409,1.11,0.09
200410,1.58,0.06
200411,1.76,-0.85
200412,1.80,-0.90
200501,1.58,-0.95
200502,0.08,-1.87
200503,2.25,0.44
200504,0.90,-0.49
200505,3.19,1.56
200506,1.74,0.28
200507,1.08,0.41
200508,0.45,-0.27
200509,0.80,-0.22
200510,1.58,0.06
200511,2.14,-0.47
200512,3.35,0.65
200601,5.86,3.33
200602,1.51,-0.44
200603,1.60,-0.21
200604,1.81,0.42
200605,1.41,-0.22
200606,2.98,1.52
200607,0.15,-0.52
200608,0.13,-0.59
200609,0.39,-0.63
200610,1.17,-0.35
200611,4.95,2.34
200612,2.65,-0.05
200701,1.33,-1.20
200702,2.24,0.29
200703,1.40,-0.41
200704,0.84,-0.55
200705,1.40,-0.23
200706,0.89,-0.57
200707,0.40,-0.27
200708,0.64,-0.08
200709,0.49,-0.53
200710,1.39,-0.13
200711,1.72,-0.89
200712,3.92,1.22
200801,3.49,0.96
200802,0.97,-0.98
200803,1.98,0.17
200804,1.37,-0.02
200805,1.04,-0.59
200806,1.56,0.10
200807,0.32,-0.35
200808,0.97,0.25
200809,0.62,-0.40
200810,0.38,-1.14
200811,2.25,-0.36
200812,4.13,1.43
200901,1.66,-0.87
200902,1.37,-0.58
200903,2.96,1.15
200904,1.27,-0.12
200905,1.30,-0.33
200906,1.37,-0.09
200907,0.89,0.22
200908,0.96,0.24
200909,0.45,-0.57
200910,2.59,1.07
200911,1.63,-0.98
200912,1.92,-0.78
201001,2.08,-0.45
201002,1.65,-0.30
201003,1.51,-0.30
201004,1.89,0.50
201005,2.21,0.58
201006,3.22,1.76
201007,0.50,-0.17
201008,0.33,-0.39
201009,1.05,0.03
201010,2.30,0.78
201011,3.34,0.73
201012,3.58,0.88
201101,2.83,0.30
201102,1.16,-0.79
201103,3.40,1.59
201104,2.72,1.33
201105,2.77,1.14
201106,1.32,-0.14
201107,0.57,-0.10
201108,0.15,-0.57
201109,0.25,-0.77
201110,1.06,-0.46
201111,2.13,-0.48
201112,1.31,-1.39
201201,2.29,-0.24
201202,2.03,0.08
201203,4.84,3.03
201204,2.49,1.10
201205,1.27,-0.36
201206,4.05,2.59
201207,1.43,0.76
201208,0.19,-0.53
201209,0.02,-1.00
201210,2.17,0.65
201211,3.78,1.17
201212,3.01,0.31
201301,1.86,-0.67
201302,1.00,-0.95
201303,1.06,-0.75
201304,1.55,0.16
201305,1.20,-0.43
201306,2.99,1.53
201307,0.09,-0.58
201308,1.36,0.64
201309,2.34,1.32
201310,0.30,-1.22
201311,2.08,-0.53
201312,0.90,-1.80
201401,1.46,-1.07
201402,2.29,0.34
201403,3.54,1.73
201404,1.93,0.54
201405,0.97,-0.66
201406,2.57,1.11
201407,0.29,-0.38
201408,0.63,-0.09
201409,0.45,-0.57
201410,1.59,0.07
201411,2.03,-0.58
201412,2.80,0.10
201501,2.18,-0.35
201502,1.61,-0.34
201503,2.81,1.00
201504,1.02,-0.37
201505,1.20,-0.43
201506,0.41,-1.05
201507,0.29,-0.38
201508,0.26,-0.46
201509,0.48,-0.54
201510,1.40,-0.12
201511,1.47,-1.14
201512,5.08,2.38
201601,3.16,0.63
201602,1.26,-0.69
201603,3.94,2.13
201604,0.80,-0.59
201605,1.42,-0.21
201606,0.78,-0.68
201607,0.93,0.26
201608,0.24,-0.48
201609,0.49,-0.53
201610,6.77,5.25
201611,2.19,-0.42
201612,1.87,-0.83
201701,1.89,-0.64
201702,4.76,2.81
201703,4.52,2.71
201704,2.32,0.93
201705,1.63,0.00
201706,1.10,-0.36
201707,0.01,-0.66
201708,0.03,-0.69
201709,1.20,0.18
201710,1.97,0.45
201711,3.46,0.85
201712,3.21,0.51
201801,3.11,0.58
201802,1.99,0.04
201803,1.60,-0.21
201804,2.94,1.55
201805,1.31,-0.32
201806,1.07,-0.39
201807,0.08,-0.59
201808,0.29,-0.43
201809,0.15,-0.87
201810,1.79,0.27
201811,2.43,-0.18
201812,2.97,0.27
201901,2.07,-0.46
201902,2.52,0.57
201903,0.80,-1.01
201904,2.09,0.70
201905,2.08,0.45
201906,0.61,-0.85
201907,0.45,-0.22
201908,0.71,-0.01
201909,1.94,0.92
201910,1.68,0.16
201911,0.79,-1.82
201912,2.35,-0.35
202001,4.53,2.00
