Dane County, Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.96,-0.33
200002,1.97,0.81
200003,1.14,-0.87
200004,3.07,0.12
200005,7.71,4.15
200006,8.64,4.52
200007,2.94,-0.92
200008,4.32,0.62
200009,4.06,0.31
200010,0.71,-1.70
200011,1.82,-0.33
200012,2.06,0.59
200101,1.32,0.03
200102,2.40,1.24
200103,0.46,-1.55
200104,3.43,0.48
200105,4.89,1.33
200106,5.42,1.30
200107,2.01,-1.85
200108,7.34,3.64
200109,6.27,2.52
200110,2.76,0.35
200111,1.98,-0.17
200112,1.41,-0.06
200201,0.44,-0.85
200202,2.01,0.85
200203,1.76,-0.25
200204,3.90,0.95
200205,2.92,-0.64
200206,4.62,0.50
200207,2.41,-1.45
200208,3.24,-0.46
200209,3.14,-0.61
200210,2.96,0.55
200211,0.73,-1.42
200212,0.68,-0.79
200301,0.32,-0.97
200302,0.35,-0.81
200303,1.47,-0.54
200304,1.92,-1.03
200305,5.26,1.70
200306,3.09,-1.03
200307,4.03,0.17
200308,1.24,-2.46
200309,4.00,0.25
200310,1.56,-0.85
200311,6.76,4.61
200312,2.01,0.54
200401,0.57,-0.72
200402,1.15,-0.01
200403,3.74,1.73
200404,1.82,-1.13
200405,10.26,6.70
200406,4.75,0.63
200407,4.57,0.71
200408,3.62,-0.08
200409,0.87,-2.88
200410,2.87,0.46
200411,1.86,-0.29
200412,1.50,0.03
200501,2.64,1.35
200502,1.44,0.28
200503,1.36,-0.65
200504,1.47,-1.48
200505,3.61,0.05
200506,2.52,-1.60
200507,3.77,-0.09
200508,2.12,-1.58
200509,2.21,-1.54
200510,0.68,-1.73
200511,3.40,1.25
200512,1.07,-0.40
200601,1.92,0.63
200602,0.91,-0.25
200603,2.46,0.45
200604,5.11,2.16
200605,4.76,1.20
200606,3.06,-1.06
200607,4.52,0.66
200608,5.24,1.54
200609,4.24,0.49
200610,3.10,0.69
200611,2.51,0.36
200612,1.32,-0.15
200701,0.90,-0.39
200702,1.70,0.54
200703,2.55,0.54
200704,4.79,1.84
200705,1.51,-2.05
200706,3.74,-0.38
200707,2.28,-1.58
200708,14.52,10.82
200709,2.27,-1.48
200710,3.23,0.82
200711,0.34,-1.81
200712,3.98,2.51
200801,2.00,0.71
200802,3.16,2.00
200803,1.99,-0.02
200804,6.74,3.79
200805,2.92,-0.64
200806,10.38,6.26
200807,4.95,1.09
200808,1.82,-1.88
200809,3.23,-0.52
200810,2.37,-0.04
200811,1.36,-0.79
200812,3.17,1.70
200901,0.81,-0.48
200902,1.70,0.54
200903,5.59,3.58
200904,4.25,1.30
200905,3.47,-0.09
200906,4.62,0.50
200907,2.47,-1.39
200908,3.42,-0.28
200909,2.96,-0.79
200910,4.79,2.38
200911,1.36,-0.79
200912,3.26,1.79
201001,1.04,-0.25
201002,0.93,-0.23
201003,1.01,-1.00
201004,4.00,1.05
201005,4.10,0.54
201006,8.55,4.43
201007,8.07,4.21
201008,4.20,0.50
201009,3.65,-0.10
201010,2.54,0.13
201011,1.32,-0.83
201012,1.73,0.26
201101,0.93,-0.36
201102,1.79,0.63
201103,3.09,1.08
201104,3.71,0.76
201105,2.51,-1.05
201106,3.40,-0.72
201107,2.68,-1.18
201108,2.79,-0.91
201109,3.61,-0.14
201110,1.52,-0.89
201111,3.57,1.42
201112,2.25,0.78
201201,1.14,-0.15
201202,0.98,-0.18
201203,2.95,0.94
201204,2.80,-0.15
201205,3.31,-0.25
201206,0.38,-3.74
201207,4.09,0.23
201208,2.21,-1.49
201209,1.35,-2.40
201210,4.67,2.26
201211,0.96,-1.19
201212,2.83,1.36
201301,2.75,1.46
201302,2.38,1.22
201303,2.42,0.41
201304,6.06,3.11
201305,6.15,2.59
201306,10.13,6.01
201307,2.85,-1.01
201308,1.58,-2.12
201309,2.90,-0.85
201310,1.79,-0.62
201311,2.71,0.56
201312,1.31,-0.16
201401,0.78,-0.51
201402,1.11,-0.05
201403,1.21,-0.80
201404,5.33,2.38
201405,3.07,-0.49
201406,8.43,4.31
201407,2.62,-1.24
201408,4.21,0.51
201409,2.56,-1.19
201410,3.03,0.62
201411,1.74,-0.41
201412,1.07,-0.40
201501,0.68,-0.61
201502,0.79,-0.37
201503,0.71,-1.30
201504,3.76,0.81
201505,4.20,0.64
201506,4.16,0.04
201507,3.94,0.08
201508,4.14,0.44
201509,5.97,2.22
201510,2.27,-0.14
201511,4.94,2.79
201512,3.95,2.48
201601,0.77,-0.52
201602,0.55,-0.61
201603,4.00,1.99
201604,1.79,-1.16
201605,3.07,-0.49
201606,5.38,1.26
201607,6.32,2.46
201608,6.15,2.45
201609,6.06,2.31
201610,4.05,1.64
201611,2.08,-0.07
201612,1.94,0.47
201701,2.56,1.27
201702,1.53,0.37
201703,3.06,1.05
201704,4.82,1.87
201705,3.69,0.13
201706,6.84,2.72
201707,8.08,4.22
201708,2.90,-0.80
201709,0.64,-3.11
201710,4.07,1.66
201711,0.79,-1.36
201712,0.62,-0.85
201801,1.64,0.35
201802,2.57,1.41
201803,0.77,-1.24
201804,2.33,-0.62
201805,8.61,5.05
201806,7.87,3.75
201807,3.22,-0.64
201808,10.85,7.15
201809,6.49,2.74
201810,5.94,3.53
201811,1.70,-0.45
201812,1.59,0.12
201901,2.36,1.07
201902,2.73,1.57
201903,1.04,-0.97
201904,2.95,0.00
201905,5.81,2.25
201906,4.11,-0.01
201907,5.62,1.76
201908,4.32,0.62
201909,7.22,3.47
201910,5.85,3.44
201911,2.27,0.12
201912,1.44,-0.03
202001,1.45,0.16
