Fairbanks North Star Borough, Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,-2.4,0.8
200002,14.2,11.8
200003,20.7,8.8
200004,29.5,1.1
200005,40.6,-3.5
200006,57.2,2.2
200007,55.3,-1.8
200008,47.2,-4.8
200009,38.5,-3.1
200010,21.4,-2.1
200011,13.6,7.2
200012,7.2,9.2
200101,14.9,18.1
200102,13.1,10.7
200103,12.5,0.6
200104,31.5,3.1
200105,40.4,-3.7
200106,56.4,1.4
200107,55.4,-1.7
200108,53.2,1.2
200109,44.3,2.7
200110,20.7,-2.8
200111,4.7,-1.7
200112,-5.0,-3.0
200201,9.6,12.8
200202,6.4,4.0
200203,13.5,1.6
200204,22.9,-5.5
200205,46.8,2.7
200206,54.4,-0.6
200207,57.5,0.4
200208,50.1,-1.9
200209,44.0,2.4
200210,31.0,7.5
200211,22.3,15.9
200212,10.4,12.4
200301,4.6,7.8
200302,16.9,14.5
200303,10.5,-1.4
200304,31.1,2.7
200305,43.3,-0.8
200306,55.9,0.9
200307,57.0,-0.1
200308,52.2,0.2
200309,37.9,-3.7
200310,30.8,7.3
200311,10.2,3.8
200312,-2.4,-0.4
200401,-9.2,-6.0
200402,9.6,7.2
200403,8.4,-3.5
200404,34.1,5.7
200405,48.4,4.3
200406,62.6,7.6
200407,60.9,3.8
200408,58.1,6.1
200409,35.4,-6.2
200410,28.2,4.7
200411,11.2,4.8
200412,1.7,3.7
200501,-0.5,2.7
200502,4.4,2.0
200503,21.7,9.8
200504,31.6,3.2
200505,51.4,7.3
200506,57.7,2.7
200507,57.5,0.4
200508,53.6,1.6
200509,43.6,2.0
200510,26.1,2.6
200511,-2.9,-9.3
200512,9.8,11.8
200601,-12.7,-9.5
200602,13.0,10.6
200603,6.0,-5.9
200604,27.4,-1.0
200605,46.5,2.4
200606,54.6,-0.4
200607,57.4,0.3
200608,50.9,-1.1
200609,46.2,4.6
200610,29.9,6.4
200611,-6.9,-13.3
200612,3.7,5.7
200701,0.5,3.7
200702,-0.4,-2.8
200703,-4.7,-16.6
200704,36.3,7.9
200705,46.8,2.7
200706,57.5,2.5
200707,60.0,2.9
200708,55.7,3.7
200709,43.7,2.1
200710,20.9,-2.6
200711,16.9,10.5
200712,2.3,4.3
200801,-4.3,-1.1
200802,1.0,-1.4
200803,15.9,4.0
200804,29.0,0.6
200805,44.7,0.6
200806,55.1,0.1
200807,54.8,-2.3
200808,48.9,-3.1
200809,42.5,0.9
200810,14.3,-9.2
200811,3.7,-2.7
200812,-2.9,-0.9
200901,-5.0,-1.8
200902,3.3,0.9
200903,6.5,-5.4
200904,29.7,1.3
200905,46.4,2.3
200906,55.3,0.3
200907,61.2,4.1
200908,49.8,-2.2
200909,43.7,2.1
200910,29.0,5.5
200911,2.8,-3.6
200912,4.3,6.3
201001,-5.8,-2.6
201002,9.9,7.5
201003,13.3,1.4
201004,34.6,6.2
201005,49.6,5.5
201006,55.2,0.2
201007,57.9,0.8
201008,55.1,3.1
201009,42.4,0.8
201010,26.2,2.7
201011,14.6,8.2
201012,-13.1,-11.1
201101,1.2,4.4
201102,-0.5,-2.9
201103,10.6,-1.3
201104,28.7,0.3
201105,47.8,3.7
201106,55.4,0.4
201107,56.7,-0.4
201108,51.6,-0.4
201109,44.7,3.1
201110,26.8,3.3
201111,-5.4,-11.8
201112,8.7,10.7
201201,-20.0,-16.8
201202,13.2,10.8
201203,5.9,-6.0
201204,35.2,6.8
201205,43.4,-0.7
201206,56.8,1.8
