Nome Census Area, Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,-2.1,-2.7
200002,16.1,16.6
200003,12.9,8.2
200004,18.2,1.5
200005,29.1,-4.5
200006,48.7,2.4
200007,49.4,-1.6
200008,46.0,-2.6
200009,37.2,-3.1
200010,26.4,0.4
200011,19.7,6.8
200012,18.5,16.2
200101,14.4,13.8
200102,13.3,13.8
200103,5.6,0.9
200104,18.9,2.2
200105,24.6,-9.0
200106,45.8,-0.5
200107,49.9,-1.1
200108,47.9,-0.7
200109,41.6,1.3
200110,20.5,-5.5
200111,9.0,-3.9
200112,-4.2,-6.5
200201,1.8,1.2
200202,7.0,7.5
200203,16.6,11.9
200204,16.4,-0.3
200205,38.8,5.2
200206,47.8,1.5
200207,51.9,0.9
200208,47.5,-1.1
200209,41.4,1.1
200210,32.4,6.4
200211,23.9,11.0
200212,13.7,11.4
200301,9.0,8.4
200302,9.4,9.9
200303,4.6,-0.1
200304,23.5,6.8
200305,34.1,0.5
200306,51.8,5.5
200307,49.4,-1.6
200308,49.7,1.1
200309,38.7,-1.6
200310,32.2,6.2
200311,17.8,4.9
200312,2.4,0.1
200401,0.6,0.0
200402,3.3,3.8
200403,5.9,1.2
200404,26.8,10.1
200405,39.9,6.3
200406,53.5,7.2
200407,56.9,5.9
200408,55.2,6.6
200409,36.6,-3.7
200410,31.9,5.9
200411,19.5,6.6
200412,7.9,5.6
200501,5.4,4.8
200502,0.0,0.5
200503,13.8,9.1
200504,13.2,-3.5
200505,39.2,5.6
200506,50.4,4.1
200507,53.5,2.5
200508,52.3,3.7
200509,43.4,3.1
200510,28.7,2.7
200511,6.6,-6.3
200512,10.4,8.1
200601,-10.1,-10.7
200602,9.5,10.0
200603,3.3,-1.4
200604,10.6,-6.1
200605,34.5,0.9
200606,43.6,-2.7
200607,50.8,-0.2
200608,47.2,-1.4
200609,44.6,4.3
200610,34.3,8.3
200611,15.6,2.7
200612,4.6,2.3
200701,3.4,2.8
200702,4.7,5.2
200703,-4.5,-9.2
200704,25.2,8.5
200705,35.6,2.0
200706,48.7,2.4
200707,55.7,4.7
200708,54.3,5.7
200709,45.3,5.0
200710,26.0,0.0
200711,19.5,6.6
200712,7.4,5.1
200801,-3.4,-4.0
200802,-7.6,-7.1
200803,7.8,3.1
200804,15.5,-1.2
200805,35.6,2.0
200806,45.7,-0.6
200807,50.1,-0.9
200808,48.4,-0.2
200809,42.1,1.8
200810,18.4,-7.6
200811,7.7,-5.2
200812,8.4,6.1
200901,-3.6,-4.2
200902,-1.9,-1.4
200903,3.7,-1.0
200904,16.6,-0.1
200905,34.7,1.1
200906,47.7,1.4
200907,56.1,5.1
200908,47.9,-0.7
200909,40.7,0.4
200910,30.1,4.1
200911,5.2,-7.7
200912,10.7,8.4
201001,-3.4,-4.0
201002,3.6,4.1
201003,-0.1,-4.8
201004,19.4,2.7
201005,37.3,3.7
201006,46.0,-0.3
201007,50.8,-0.2
201008,51.1,2.5
201009,44.0,3.7
201010,29.3,3.3
201011,18.2,5.3
201012,-0.8,-3.1
201101,8.7,8.1
201102,1.6,2.1
201103,8.6,3.9
201104,16.0,-0.7
201105,36.6,3.0
201106,49.8,3.5
201107,49.7,-1.3
201108,47.9,-0.7
201109,42.7,2.4
201110,27.6,1.6
201111,3.4,-9.5
201112,5.6,3.3
201201,-21.0,-21.6
201202,5.2,5.7
201203,-2.0,-6.7
201204,19.5,2.8
201205,31.5,-2.1
201206,48.0,1.7
