Lauderdale County, Alabama, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,40.6,1.2
200002,48.2,5.8
200003,54.8,4.4
200004,56.7,-2.8
200005,71.2,3.5
200006,75.7,0.3
200007,79.0,0.3
200008,79.8,2.1
200009,71.9,0.0
200010,63.4,3.1
200011,48.9,-0.2
200012,32.8,-8.6
200101,36.2,-3.2
200102,46.3,3.9
200103,46.8,-3.6
200104,63.2,3.7
200105,68.2,0.5
200106,73.2,-2.2
200107,78.1,-0.6
200108,77.0,-0.7
200109,68.9,-3.0
200110,57.3,-3.0
200111,54.0,4.9
200112,45.8,4.4
200201,42.8,3.4
200202,41.0,-1.4
200203,50.2,-0.2
200204,62.8,3.3
200205,66.0,-1.7
200206,76.0,0.6
200207,79.6,0.9
200208,78.6,0.9
200209,75.3,3.4
200210,62.8,2.5
200211,46.4,-2.7
200212,41.0,-0.4
200301,34.3,-5.1
200302,41.1,-1.3
200303,52.2,1.8
200304,60.9,1.4
200305,68.0,0.3
200306,71.8,-3.6
200307,77.0,-1.7
200308,78.2,0.5
200309,69.5,-2.4
200310,60.1,-0.2
200311,54.4,5.3
200312,40.2,-1.2
200401,39.6,0.2
200402,40.9,-1.5
200403,54.7,4.3
200404,58.6,-0.9
200405,71.3,3.6
200406,74.6,-0.8
200407,76.5,-2.2
200408,73.1,-4.6
200409,70.9,-1.0
200410,64.7,4.4
200411,54.2,5.1
200412,40.9,-0.5
200501,45.3,5.9
200502,46.5,4.1
200503,49.6,-0.8
200504,59.0,-0.5
200505,65.2,-2.5
200506,74.4,-1.0
200507,78.7,0.0
200508,80.1,2.4
200509,73.6,1.7
200510,59.9,-0.4
200511,51.4,2.3
200512,38.1,-3.3
200601,46.7,7.3
200602,40.3,-2.1
200603,51.8,1.4
200604,65.5,6.0
200605,67.5,-0.2
200606,74.8,-0.6
200607,79.9,1.2
200608,80.8,3.1
200609,69.0,-2.9
200610,57.4,-2.9
200611,49.3,0.2
200612,44.4,3.0
200701,41.8,2.4
200702,39.3,-3.1
200703,58.1,7.7
200704,57.2,-2.3
200705,69.9,2.2
200706,76.9,1.5
200707,77.6,-1.1
200708,83.8,6.1
200709,74.0,2.1
200710,63.8,3.5
200711,49.9,0.8
200712,47.0,5.6
200801,37.8,-1.6
200802,44.3,1.9
200803,51.1,0.7
200804,58.3,-1.2
200805,66.5,-1.2
200806,76.6,1.2
200807,79.0,0.3
200808,76.6,-1.1
200809,71.7,-0.2
200810,59.2,-1.1
200811,46.3,-2.8
200812,42.3,0.9
200901,38.4,-1.0
200902,44.6,2.2
200903,52.8,2.4
200904,58.7,-0.8
200905,68.1,0.4
200906,76.8,1.4
200907,75.0,-3.7
200908,75.5,-2.2
200909,71.9,0.0
200910,57.8,-2.5
200911,51.3,2.2
200912,39.8,-1.6
201001,34.4,-5.0
201002,35.9,-6.5
201003,48.3,-2.1
201004,61.8,2.3
201005,70.0,2.3
201006,79.0,3.6
201007,80.8,2.1
201008,81.1,3.4
201009,73.1,1.2
201010,60.9,0.6
201011,51.0,1.9
201012,36.0,-5.4
201101,35.6,-3.8
201102,45.2,2.8
201103,52.1,1.7
201104,62.8,3.3
201105,67.1,-0.6
201106,78.4,3.0
201107,80.6,1.9
201108,79.7,2.0
201109,68.5,-3.4
201110,57.7,-2.6
201111,51.9,2.8
201112,44.0,2.6
201201,45.2,5.8
201202,46.8,4.4
201203,61.6,11.2
201204,62.1,2.6
201205,71.5,3.8
201206,75.1,-0.3
201207,81.6,2.9
