Alameda County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,49.9,3.5
200002,51.0,1.5
200003,53.5,1.6
200004,58.0,2.8
200005,62.1,2.3
200006,68.3,3.3
200007,67.5,-1.6
200008,69.9,1.0
200009,68.8,1.6
200010,60.3,-1.2
200011,49.7,-3.4
200012,49.2,2.1
200101,46.4,0.0
200102,48.3,-1.2
200103,55.6,3.7
200104,53.2,-2.0
200105,67.5,7.7
200106,68.9,3.9
200107,69.2,0.1
200108,69.9,1.0
200109,67.5,0.3
200110,64.4,2.9
200111,55.4,2.3
200112,48.4,1.3
200201,46.1,-0.3
200202,51.1,1.6
200203,51.9,0.0
200204,56.0,0.8
200205,60.0,0.2
200206,66.2,1.2
200207,70.4,1.3
200208,69.8,0.9
200209,69.6,2.4
200210,61.7,0.2
200211,55.4,2.3
200212,49.4,2.3
200301,52.0,5.6
200302,49.8,0.3
200303,54.5,2.6
200304,52.4,-2.8
200305,61.1,1.3
200306,67.0,2.0
200307,72.7,3.6
200308,70.7,1.8
200309,70.5,3.3
200310,65.3,3.8
200311,51.2,-1.9
200312,48.8,1.7
200401,47.2,0.8
200402,49.4,-0.1
200403,58.9,7.0
200404,59.2,4.0
200405,61.8,2.0
200406,65.9,0.9
200407,70.2,1.1
200408,71.0,2.1
200409,69.8,2.6
200410,60.5,-1.0
200411,51.9,-1.2
200412,48.9,1.8
200501,46.5,0.1
200502,52.0,2.5
200503,55.2,3.3
200504,55.1,-0.1
200505,61.6,1.8
200506,64.5,-0.5
200507,72.7,3.6
200508,71.3,2.4
200509,65.5,-1.7
200510,61.8,0.3
200511,55.7,2.6
200512,50.6,3.5
200601,49.1,2.7
200602,51.1,1.6
200603,48.4,-3.5
200604,54.6,-0.6
200605,62.8,3.0
200606,68.9,3.9
200607,74.4,5.3
200608,69.0,0.1
200609,67.3,0.1
200610,60.7,-0.8
200611,53.6,0.5
200612,48.1,1.0
200701,46.0,-0.4
200702,50.1,0.6
200703,56.1,4.2
200704,56.9,1.7
200705,61.6,1.8
200706,66.3,1.3
200707,70.1,1.0
200708,70.9,2.0
200709,66.6,-0.6
200710,60.1,-1.4
200711,55.4,2.3
200712,46.5,-0.6
200801,46.0,-0.4
200802,49.6,0.1
200803,52.8,0.9
200804,55.3,0.1
200805,61.7,1.9
200806,67.4,2.4
200807,70.5,1.4
200808,71.3,2.4
200809,69.4,2.2
200810,63.5,2.0
200811,56.3,3.2
200812,45.8,-1.3
200901,49.5,3.1
200902,49.3,-0.2
200903,52.4,0.5
200904,56.0,0.8
200905,63.2,3.4
200906,65.9,0.9
200907,69.8,0.7
200908,70.8,1.9
200909,71.1,3.9
200910,60.8,-0.7
200911,53.1,0.0
200912,46.4,-0.7
201001,48.4,2.0
201002,51.1,1.6
201003,52.5,0.6
201004,53.2,-2.0
201005,57.7,-2.1
201006,66.3,1.3
201007,68.7,-0.4
201008,67.6,-1.3
201009,69.1,1.9
201010,62.3,0.8
201011,52.7,-0.4
201012,49.8,2.7
201101,48.2,1.8
201102,48.0,-1.5
201103,51.7,-0.2
201104,54.7,-0.5
201105,57.6,-2.2
201106,64.2,-0.8
201107,69.1,0.0
201108,69.0,0.1
201109,70.1,2.9
201110,63.2,1.7
201111,51.7,-1.4
201112,47.6,0.5
201201,49.4,3.0
201202,50.9,1.4
201203,51.2,-0.7
201204,56.8,1.6
201205,62.0,2.2
201206,66.0,1.0
201207,69.2,0.1
201208,71.0,2.1
201209,68.1,0.9
201210,63.2,1.7
201211,55.6,2.5
201212,47.7,0.6
201301,45.8,-0.6
201302,48.8,-0.7
201303,55.2,3.3
201304,60.0,4.8
201305,63.0,3.2
201306,68.3,3.3
201307,71.1,2.0
201308,69.8,0.9
201309,68.1,0.9
201310,61.3,-0.2
201311,55.2,2.1
201312,47.0,-0.1
201401,53.2,6.8
201402,52.5,3.0
201403,56.9,5.0
201404,58.8,3.6
201405,64.7,4.9
201406,68.1,3.1
201407,72.7,3.6
201408,70.9,2.0
201409,70.0,2.8
201410,66.2,4.7
201411,56.7,3.6
201412,52.7,5.6
201501,51.2,4.8
201502,55.7,6.2
201503,59.1,7.2
201504,58.0,2.8
201505,59.2,-0.6
201506,69.4,4.4
201507,71.6,2.5
201508,71.7,2.8
201509,71.2,4.0
201510,67.3,5.8
201511,51.2,-1.9
201512,47.0,-0.1
201601,50.0,3.6
201602,55.2,5.7
201603,55.1,3.2
201604,59.1,3.9
201605,62.8,3.0
201606,69.4,4.4
201607,70.5,1.4
201608,69.6,0.7
201609,68.4,1.2
201610,61.7,0.2
201611,55.3,2.2
201612,47.3,0.2
201701,46.5,0.1
201702,51.0,1.5
201703,55.5,3.6
201704,56.8,1.6
201705,62.9,3.1
201706,68.5,3.5
201707,73.0,3.9
201708,72.1,3.2
201709,70.9,3.7
201710,63.9,2.4
201711,55.2,2.1
201712,49.7,2.6
201801,51.1,4.7
201802,51.5,2.0
201803,51.9,0.0
201804,56.8,1.6
201805,60.3,0.5
201806,67.4,2.4
201807,72.6,3.5
201808,69.8,0.9
201809,67.4,0.2
201810,63.7,2.2
201811,56.0,2.9
201812,49.2,2.1
201901,50.9,4.5
201902,46.2,-3.3
201903,52.0,0.1
201904,59.5,4.3
201905,58.8,-1.0
201906,69.2,4.2
201907,70.5,1.4
201908,72.9,4.0
201909,68.6,1.4
201910,62.3,0.8
201911,55.7,2.6
201912,49.7,2.6
202001,49.1,2.7
