Monterey County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.0,3.1
200002,51.1,2.3
200003,51.7,1.0
200004,57.1,3.3
200005,62.2,3.5
200006,67.4,3.3
200007,67.3,-1.3
200008,69.5,1.2
200009,67.7,1.7
200010,59.2,-1.0
200011,49.4,-3.2
200012,51.0,3.4
200101,46.8,-0.1
200102,47.7,-1.1
200103,54.2,3.5
200104,52.0,-1.8
200105,65.6,6.9
200106,67.8,3.7
200107,68.8,0.2
200108,69.3,1.0
200109,67.0,1.0
200110,62.7,2.5
200111,54.8,2.2
200112,48.4,0.8
200201,45.5,-1.4
200202,51.2,2.4
200203,51.0,0.3
200204,55.2,1.4
200205,59.1,0.4
200206,65.7,1.6
200207,70.2,1.6
200208,69.1,0.8
200209,68.6,2.6
200210,59.6,-0.6
200211,56.1,3.5
200212,49.2,1.6
200301,53.7,6.8
200302,49.1,0.3
200303,53.2,2.5
200304,51.6,-2.2
200305,60.3,1.6
200306,66.4,2.3
200307,71.9,3.3
200308,70.7,2.4
200309,70.0,4.0
200310,64.6,4.4
200311,50.6,-2.0
200312,49.4,1.8
200401,48.0,1.1
200402,48.4,-0.4
200403,57.8,7.1
200404,57.4,3.6
200405,61.0,2.3
200406,65.3,1.2
200407,70.0,1.4
200408,70.0,1.7
200409,68.0,2.0
200410,59.8,-0.4
200411,50.8,-1.8
200412,48.9,1.3
200501,49.4,2.5
200502,51.8,3.0
200503,54.2,3.5
200504,53.5,-0.3
200505,61.1,2.4
200506,63.1,-1.0
200507,71.9,3.3
200508,70.8,2.5
200509,64.8,-1.2
200510,60.3,0.1
200511,56.5,3.9
200512,50.8,3.2
200601,48.9,2.0
200602,51.0,2.2
200603,46.9,-3.8
200604,53.5,-0.3
200605,61.7,3.0
200606,68.1,4.0
200607,73.5,4.9
200608,68.1,-0.2
200609,65.9,-0.1
200610,59.2,-1.0
200611,53.7,1.1
200612,48.1,0.5
200701,45.0,-1.9
200702,49.3,0.5
200703,55.3,4.6
200704,55.5,1.7
200705,60.5,1.8
200706,65.5,1.4
200707,70.1,1.5
200708,70.4,2.1
200709,65.5,-0.5
200710,59.4,-0.8
200711,55.0,2.4
200712,45.6,-2.0
200801,46.7,-0.2
200802,49.0,0.2
200803,52.0,1.3
200804,54.0,0.2
200805,59.5,0.8
200806,66.4,2.3
200807,70.2,1.6
200808,70.8,2.5
200809,68.5,2.5
200810,62.9,2.7
200811,56.6,4.0
200812,46.4,-1.2
200901,50.8,3.9
200902,49.4,0.6
200903,51.4,0.7
200904,54.6,0.8
200905,63.0,4.3
200906,64.8,0.7
200907,70.2,1.6
200908,70.3,2.0
200909,69.9,3.9
200910,59.7,-0.5
200911,52.8,0.2
200912,47.1,-0.5
201001,50.5,3.6
201002,50.5,1.7
201003,51.7,1.0
201004,52.2,-1.6
201005,56.9,-1.8
201006,65.2,1.1
201007,68.3,-0.3
201008,67.6,-0.7
201009,67.8,1.8
201010,61.7,1.5
201011,52.0,-0.6
201012,50.0,2.4
201101,50.3,3.4
201102,47.1,-1.7
201103,51.4,0.7
201104,54.2,0.4
201105,57.2,-1.5
201106,63.7,-0.4
201107,69.0,0.4
201108,68.3,0.0
201109,68.8,2.8
201110,62.6,2.4
201111,51.3,-1.3
201112,46.4,-1.2
201201,50.1,3.2
201202,49.8,1.0
201203,51.2,0.5
201204,55.8,2.0
201205,60.7,2.0
201206,64.8,0.7
201207,68.2,-0.4
201208,71.6,3.3
201209,67.7,1.7
201210,62.8,2.6
201211,55.4,2.8
201212,47.4,-0.2
201301,47.2,0.3
201302,47.9,-0.9
201303,54.7,4.0
201304,58.4,4.6
201305,62.2,3.5
201306,68.0,3.9
201307,70.8,2.2
201308,69.8,1.5
201309,67.8,1.8
201310,59.7,-0.5
201311,54.8,2.2
201312,48.4,0.8
201401,54.9,8.0
201402,52.3,3.5
201403,55.9,5.2
201404,58.0,4.2
201405,64.0,5.3
201406,67.3,3.2
201407,72.4,3.8
201408,70.8,2.5
201409,69.8,3.8
201410,65.7,5.5
201411,56.6,4.0
201412,52.2,4.6
201501,53.2,6.3
201502,55.5,6.7
201503,58.7,8.0
201504,56.7,2.9
201505,58.4,-0.3
201506,68.9,4.8
201507,70.9,2.3
201508,72.0,3.7
201509,71.1,5.1
201510,66.7,6.5
201511,51.0,-1.6
201512,46.5,-1.1
201601,50.6,3.7
201602,55.4,6.6
201603,54.4,3.7
201604,58.1,4.3
201605,61.0,2.3
201606,68.9,4.8
201607,69.8,1.2
201608,69.6,1.3
201609,67.7,1.7
201610,61.3,1.1
201611,55.6,3.0
201612,48.1,0.5
201701,47.8,0.9
201702,51.1,2.3
201703,54.8,4.1
201704,56.4,2.6
201705,61.7,3.0
201706,68.0,3.9
201707,72.2,3.6
201708,72.5,4.2
201709,70.2,4.2
201710,63.2,3.0
201711,56.4,3.8
201712,51.0,3.4
201801,53.2,6.3
201802,50.7,1.9
201803,51.5,0.8
201804,56.3,2.5
201805,60.0,1.3
201806,66.3,2.2
201807,73.8,5.2
201808,70.8,2.5
201809,67.2,1.2
201810,62.6,2.4
201811,56.5,3.9
201812,49.5,1.9
201901,50.9,4.0
201902,45.6,-3.2
201903,51.6,0.9
201904,58.5,4.7
201905,58.1,-0.6
201906,67.7,3.6
201907,70.0,1.4
201908,72.2,3.9
201909,69.0,3.0
201910,61.3,1.1
201911,55.3,2.7
201912,49.8,2.2
202001,49.2,2.3
