Orange County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,57.9,3.9
200002,56.5,1.5
200003,57.4,1.0
200004,62.6,3.3
200005,66.0,3.7
200006,70.0,3.4
200007,71.6,0.4
200008,74.8,2.4
200009,72.1,1.7
200010,64.1,-1.4
200011,57.8,-2.2
200012,58.6,3.5
200101,53.5,-0.5
200102,53.4,-1.6
200103,58.4,2.0
200104,57.9,-1.4
200105,66.2,3.9
200106,69.7,3.1
200107,70.9,-0.3
200108,73.2,0.8
200109,72.0,1.6
200110,67.6,2.1
200111,60.7,0.7
200112,54.6,-0.5
200201,55.3,1.3
200202,58.9,3.9
200203,56.8,0.4
200204,59.3,0.0
200205,62.9,0.6
200206,67.7,1.1
200207,72.0,0.8
200208,71.2,-1.2
200209,72.6,2.2
200210,63.4,-2.1
200211,63.8,3.8
200212,55.4,0.3
200301,62.6,8.6
200302,56.8,1.8
200303,59.2,2.8
200304,57.9,-1.4
200305,63.2,0.9
200306,66.1,-0.5
200307,74.7,3.5
200308,75.9,3.5
200309,72.3,1.9
200310,70.3,4.8
200311,58.9,-1.1
200312,55.2,0.1
200401,56.0,2.0
200402,54.5,-0.5
200403,63.0,6.6
200404,62.6,3.3
200405,67.4,5.1
200406,67.5,0.9
200407,72.9,1.7
200408,72.0,-0.4
200409,73.8,3.4
200410,64.2,-1.3
200411,57.6,-2.4
200412,56.8,1.7
200501,56.5,2.5
200502,57.2,2.2
200503,58.6,2.2
200504,60.6,1.3
200505,65.6,3.3
200506,66.8,0.2
200507,73.5,2.3
200508,73.6,1.2
200509,69.8,-0.6
200510,66.2,0.7
200511,63.6,3.6
200512,58.3,3.2
200601,57.0,3.0
200602,58.6,3.6
200603,53.0,-3.4
200604,58.6,-0.7
200605,65.1,2.8
200606,72.4,5.8
200607,78.8,7.6
200608,73.7,1.3
200609,72.3,1.9
200610,65.4,-0.1
200611,63.8,3.8
200612,56.9,1.8
200701,54.6,0.6
200702,57.1,2.1
200703,61.4,5.0
200704,60.7,1.4
200705,64.6,2.3
200706,68.1,1.5
200707,73.7,2.5
200708,76.0,3.6
200709,70.8,0.4
200710,67.4,1.9
200711,62.6,2.6
200712,54.2,-0.9
200801,54.3,0.3
200802,55.9,0.9
200803,59.8,3.4
200804,62.6,3.3
200805,63.6,1.3
200806,71.0,4.4
200807,72.9,1.7
200808,74.3,1.9
200809,73.6,3.2
200810,71.3,5.8
200811,65.4,5.4
200812,54.5,-0.6
200901,60.8,6.8
200902,55.5,0.5
200903,58.2,1.8
200904,61.3,2.0
200905,66.8,4.5
200906,66.7,0.1
200907,74.9,3.7
200908,74.7,2.3
200909,75.7,5.3
200910,66.6,1.1
200911,63.0,3.0
200912,55.5,0.4
201001,57.7,3.7
201002,57.0,2.0
201003,59.0,2.6
201004,58.4,-0.9
201005,62.2,-0.1
201006,67.0,0.4
201007,70.0,-1.2
201008,71.8,-0.6
201009,71.8,1.4
201010,65.5,0.0
201011,60.6,0.6
201012,56.7,1.6
201101,58.3,4.3
201102,54.1,-0.9
201103,57.8,1.4
201104,61.2,1.9
201105,62.7,0.4
201106,66.2,-0.4
201107,72.7,1.5
201108,73.2,0.8
201109,71.5,1.1
201110,66.8,1.3
201111,59.1,-0.9
201112,54.8,-0.3
201201,59.5,5.5
201202,56.8,1.8
201203,57.1,0.7
201204,61.2,1.9
201205,64.9,2.6
201206,67.6,1.0
201207,71.1,-0.1
201208,77.3,4.9
201209,76.9,6.5
201210,69.7,4.2
201211,62.3,2.3
201212,55.2,0.1
201301,54.7,0.7
201302,54.9,-0.1
201303,59.5,3.1
201304,61.7,2.4
201305,66.5,4.2
201306,69.2,2.6
201307,72.4,1.2
201308,73.0,0.6
201309,73.4,3.0
201310,65.6,0.1
201311,62.2,2.2
201312,58.1,3.0
201401,62.3,8.3
201402,59.5,4.5
201403,61.6,5.2
201404,63.5,4.2
201405,68.9,6.6
201406,69.1,2.5
201407,74.4,3.2
201408,74.0,1.6
201409,76.2,5.8
201410,71.5,6.0
201411,64.9,4.9
201412,57.8,2.7
201501,60.7,6.7
201502,63.0,8.0
201503,66.2,9.8
201504,63.9,4.6
201505,62.5,0.2
201506,71.1,4.5
201507,72.6,1.4
201508,76.2,3.8
201509,77.1,6.7
201510,73.5,8.0
201511,61.6,1.6
201512,55.9,0.8
201601,55.9,1.9
201602,64.8,9.8
201603,60.6,4.2
201604,64.0,4.7
201605,63.4,1.1
201606,71.4,4.8
201607,75.0,3.8
201608,74.4,2.0
201609,72.7,2.3
201610,68.8,3.3
201611,64.8,4.8
201612,57.1,2.0
201701,55.0,1.0
201702,56.8,1.8
201703,62.4,6.0
201704,64.4,5.1
201705,64.8,2.5
201706,70.3,3.7
201707,75.2,4.0
201708,75.3,2.9
201709,72.6,2.2
201710,71.8,6.3
201711,65.1,5.1
201712,62.0,6.9
201801,61.8,7.8
201802,58.2,3.2
201803,58.3,1.9
201804,62.9,3.6
201805,63.0,0.7
201806,68.7,2.1
201807,77.6,6.4
201808,76.6,4.2
201809,72.6,2.2
201810,68.4,2.9
201811,64.0,4.0
201812,57.6,2.5
201901,57.0,3.0
201902,51.3,-3.7
201903,58.1,1.7
201904,62.7,3.4
201905,61.2,-1.1
201906,67.7,1.1
201907,73.2,2.0
201908,74.4,2.0
201909,73.5,3.1
201910,69.4,3.9
201911,62.6,2.6
201912,56.0,0.9
202001,57.2,3.2
