Santa Barbara County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.5,3.5
200002,50.8,2.2
200003,51.6,1.7
200004,56.2,3.6
200005,60.8,3.8
200006,65.9,3.8
200007,66.8,-0.4
200008,69.0,1.4
200009,66.8,1.7
200010,59.0,-0.5
200011,51.0,-2.4
200012,52.7,4.1
200101,48.1,0.1
200102,47.4,-1.2
200103,53.0,3.1
200104,51.4,-1.2
200105,62.7,5.7
200106,65.8,3.7
200107,67.6,0.4
200108,68.3,0.7
200109,66.6,1.5
200110,61.7,2.2
200111,55.3,1.9
200112,48.9,0.3
200201,48.0,0.0
200202,52.0,3.4
200203,50.4,0.5
200204,54.3,1.7
200205,57.8,0.8
200206,63.8,1.7
200207,68.8,1.6
200208,67.4,-0.2
200209,67.2,2.1
200210,58.0,-1.5
200211,56.9,3.5
200212,49.9,1.3
200301,55.5,7.5
200302,49.8,1.2
200303,53.0,3.1
200304,51.9,-0.7
200305,58.5,1.5
200306,63.7,1.6
200307,70.2,3.0
200308,69.9,2.3
200309,67.8,2.7
200310,63.8,4.3
200311,52.1,-1.3
200312,49.7,1.1
200401,49.0,1.0
200402,48.0,-0.6
200403,57.0,7.1
200404,56.5,3.9
200405,60.6,3.6
200406,63.5,1.4
200407,68.6,1.4
200408,68.7,1.1
200409,67.6,2.5
200410,58.7,-0.8
200411,51.7,-1.7
200412,50.2,1.6
200501,50.9,2.9
200502,51.2,2.6
200503,53.2,3.3
200504,53.2,0.6
200505,60.1,3.1
200506,61.9,-0.2
200507,70.2,3.0
200508,69.4,1.8
200509,63.9,-1.2
200510,59.7,0.2
200511,57.6,4.2
200512,52.3,3.7
200601,50.2,2.2
200602,51.4,2.8
200603,46.5,-3.4
200604,52.5,-0.1
200605,60.0,3.0
200606,66.7,4.6
200607,72.6,5.4
200608,68.6,1.0
200609,66.5,1.4
200610,59.4,-0.1
200611,56.4,3.0
200612,50.4,1.8
200701,47.1,-0.9
200702,50.7,2.1
200703,55.3,5.4
200704,55.3,2.7
200705,59.0,2.0
200706,63.9,1.8
200707,68.9,1.7
200708,69.4,1.8
200709,65.2,0.1
200710,60.4,0.9
200711,56.1,2.7
200712,47.4,-1.2
200801,48.3,0.3
200802,50.0,1.4
200803,52.7,2.8
200804,54.7,2.1
200805,58.3,1.3
200806,65.3,3.2
200807,69.2,2.0
200808,70.2,2.6
200809,68.2,3.1
200810,63.0,3.5
200811,58.4,5.0
200812,48.8,0.2
200901,53.3,5.3
200902,49.1,0.5
200903,51.1,1.2
200904,53.6,1.0
200905,61.8,4.8
200906,63.1,1.0
200907,69.4,2.2
200908,68.6,1.0
200909,68.9,3.8
200910,60.0,0.5
200911,54.8,1.4
200912,48.7,0.1
201001,51.5,3.5
201002,50.1,1.5
201003,52.0,2.1
201004,51.8,-0.8
201005,56.7,-0.3
201006,62.6,0.5
201007,66.6,-0.6
201008,66.9,-0.7
201009,66.7,1.6
201010,60.7,1.2
201011,53.1,-0.3
201012,51.6,3.0
201101,52.0,4.0
201102,47.0,-1.6
201103,51.6,1.7
201104,54.8,2.2
201105,56.5,-0.5
201106,61.7,-0.4
201107,68.4,1.2
201108,68.2,0.6
201109,67.4,2.3
201110,62.3,2.8
201111,53.0,-0.4
201112,48.3,-0.3
201201,52.5,4.5
201202,50.7,2.1
201203,50.8,0.9
201204,54.9,2.3
201205,59.7,2.7
201206,63.4,1.3
201207,67.2,0.0
201208,71.0,3.4
201209,69.0,3.9
201210,62.9,3.4
201211,56.6,3.2
201212,48.8,0.2
201301,48.4,0.4
201302,48.7,0.1
201303,54.1,4.2
201304,56.7,4.1
201305,61.6,4.6
201306,65.4,3.3
201307,70.0,2.8
201308,68.2,0.6
201309,67.6,2.5
201310,60.0,0.5
201311,56.1,2.7
201312,50.9,2.3
201401,56.4,8.4
201402,53.1,4.5
201403,56.0,6.1
201404,57.6,5.0
201405,63.3,6.3
201406,65.8,3.7
201407,71.1,3.9
201408,70.3,2.7
201409,70.1,5.0
201410,66.2,6.7
201411,59.0,5.6
201412,52.7,4.1
201501,54.6,6.6
201502,56.0,7.4
201503,58.9,9.0
201504,57.2,4.6
201505,57.8,0.8
201506,66.4,4.3
201507,69.8,2.6
201508,71.6,4.0
201509,71.9,6.8
201510,67.8,8.3
201511,53.7,0.3
201512,49.0,0.4
201601,51.1,3.1
201602,56.3,7.7
201603,54.7,4.8
201604,58.6,6.0
201605,59.3,2.3
201606,67.6,5.5
201607,69.9,2.7
201608,69.5,1.9
201609,67.7,2.6
201610,62.3,2.8
201611,58.1,4.7
201612,49.8,1.2
201701,48.8,0.8
201702,50.6,2.0
201703,55.3,5.4
201704,57.4,4.8
201705,59.7,2.7
201706,66.9,4.8
201707,71.9,4.7
201708,71.8,4.2
201709,68.7,3.6
201710,64.8,5.3
201711,58.5,5.1
201712,53.6,5.0
201801,55.2,7.2
201802,50.6,2.0
201803,51.5,1.6
201804,56.8,4.2
201805,58.5,1.5
201806,64.9,2.8
201807,73.5,6.3
201808,71.8,4.2
201809,67.7,2.6
201810,63.1,3.6
201811,58.2,4.8
201812,51.0,2.4
201901,51.6,3.6
201902,45.5,-3.1
201903,51.7,1.8
201904,57.7,5.1
201905,57.2,0.2
201906,65.6,3.5
201907,68.9,1.7
201908,70.0,2.4
201909,69.0,3.9
201910,61.8,2.3
201911,56.1,2.7
201912,50.6,2.0
202001,51.2,3.2
