Santa Clara County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,48.8,3.1
200002,49.8,1.7
200003,51.6,1.4
200004,56.8,3.4
200005,61.2,2.7
200006,67.8,3.6
200007,67.6,-1.2
200008,70.0,1.5
200009,67.9,1.5
200010,59.6,-0.9
200011,48.7,-3.2
200012,49.1,2.8
200101,45.6,-0.1
200102,46.8,-1.3
200103,53.9,3.7
200104,51.5,-1.9
200105,65.7,7.2
200106,68.1,3.9
200107,69.3,0.5
200108,69.8,1.3
200109,67.3,0.9
200110,63.5,3.0
200111,54.1,2.2
200112,47.6,1.3
200201,45.1,-0.6
200202,50.6,2.5
200203,50.4,0.2
200204,54.8,1.4
200205,58.8,0.3
200206,65.7,1.5
200207,70.4,1.6
200208,69.5,1.0
200209,69.0,2.6
200210,60.8,0.3
200211,54.8,2.9
200212,48.1,1.8
200301,52.4,6.7
200302,48.6,0.5
200303,52.6,2.4
200304,50.9,-2.5
200305,59.9,1.4
200306,66.4,2.2
200307,72.5,3.7
200308,70.6,2.1
200309,70.2,3.8
200310,64.7,4.2
200311,50.0,-1.9
200312,48.3,2.0
200401,46.9,1.2
200402,48.0,-0.1
200403,57.4,7.2
200404,57.6,4.2
200405,60.8,2.3
200406,65.6,1.4
200407,70.2,1.4
200408,70.5,2.0
200409,68.9,2.5
200410,59.5,-1.0
200411,50.8,-1.1
200412,48.4,2.1
200501,47.3,1.6
200502,51.1,3.0
200503,53.8,3.6
200504,53.6,0.2
200505,60.4,1.9
200506,64.1,-0.1
200507,72.5,3.7
200508,71.0,2.5
200509,65.0,-1.4
200510,60.8,0.3
200511,55.2,3.3
200512,50.0,3.7
200601,47.9,2.2
200602,50.5,2.4
200603,46.7,-3.5
200604,53.0,-0.4
200605,61.8,3.3
200606,68.2,4.0
200607,74.3,5.5
200608,69.0,0.5
200609,67.0,0.6
200610,60.2,-0.3
200611,52.6,0.7
200612,47.6,1.3
200701,44.9,-0.8
200702,48.7,0.6
200703,55.2,5.0
200704,55.2,1.8
200705,60.5,2.0
200706,65.7,1.5
200707,70.0,1.2
200708,70.5,2.0
200709,65.5,-0.9
200710,59.2,-1.3
200711,54.4,2.5
200712,45.0,-1.3
200801,44.8,-0.9
200802,48.3,0.2
200803,51.4,1.2
200804,53.8,0.4
200805,60.2,1.7
200806,66.7,2.5
200807,70.6,1.8
200808,71.1,2.6
200809,68.8,2.4
200810,63.2,2.7
200811,55.7,3.8
200812,45.4,-0.9
200901,49.9,4.2
200902,48.1,0.0
200903,50.6,0.4
200904,54.4,1.0
200905,62.6,4.1
200906,65.2,1.0
200907,70.6,1.8
200908,70.8,2.3
200909,70.4,4.0
200910,59.9,-0.6
200911,52.5,0.6
200912,46.1,-0.2
201001,48.4,2.7
201002,49.8,1.7
201003,51.1,0.9
201004,51.6,-1.8
201005,56.3,-2.2
201006,65.2,1.0
201007,68.9,0.1
201008,68.1,-0.4
201009,68.6,2.2
201010,61.6,1.1
201011,51.3,-0.6
201012,48.7,2.4
201101,49.0,3.3
201102,46.5,-1.6
201103,50.1,-0.1
201104,53.2,-0.2
201105,56.6,-1.9
201106,63.0,-1.2
201107,69.1,0.3
201108,68.9,0.4
201109,69.6,3.2
201110,62.8,2.3
201111,50.5,-1.4
201112,46.7,0.4
201201,49.3,3.6
201202,49.4,1.3
201203,49.9,-0.3
201204,55.2,1.8
201205,60.9,2.4
201206,65.0,0.8
201207,69.0,0.2
201208,71.8,3.3
201209,68.8,2.4
201210,62.6,2.1
201211,55.1,3.2
201212,46.1,-0.2
201301,46.1,0.4
201302,47.8,-0.3
201303,54.5,4.3
201304,58.4,5.0
201305,61.8,3.3
201306,67.4,3.2
201307,71.6,2.8
201308,69.5,1.0
201309,66.9,0.5
201310,60.6,0.1
201311,54.5,2.6
201312,47.8,1.5
201401,52.5,6.8
201402,51.5,3.4
201403,55.5,5.3
201404,57.5,4.1
201405,63.0,4.5
201406,67.1,2.9
201407,72.6,3.8
201408,71.1,2.6
201409,69.5,3.1
201410,65.0,4.5
201411,55.8,3.9
201412,50.7,4.4
201501,51.2,5.5
201502,54.9,6.8
201503,58.4,8.2
201504,56.5,3.1
201505,58.5,0.0
201506,69.0,4.8
201507,71.3,2.5
201508,72.3,3.8
201509,70.9,4.5
201510,66.2,5.7
201511,49.9,-2.0
201512,45.2,-1.1
201601,48.7,3.0
201602,55.4,7.3
201603,53.9,3.7
201604,57.9,4.5
201605,61.2,2.7
201606,69.0,4.8
201607,70.8,2.0
201608,71.0,2.5
201609,67.9,1.5
201610,61.1,0.6
201611,54.6,2.7
201612,47.1,0.8
201701,45.7,0.0
201702,49.4,1.3
201703,54.5,4.3
201704,55.0,1.6
201705,61.4,2.9
201706,68.2,4.0
201707,72.7,3.9
201708,73.1,4.6
201709,69.9,3.5
201710,63.4,2.9
201711,54.7,2.8
201712,49.6,3.3
201801,51.3,5.6
201802,50.0,1.9
201803,50.8,0.6
201804,55.4,2.0
201805,59.7,1.2
201806,66.9,2.7
201807,74.2,5.4
201808,70.7,2.2
201809,67.5,1.1
201810,63.0,2.5
201811,56.3,4.4
201812,48.5,2.2
201901,49.9,4.2
201902,45.0,-3.1
201903,51.1,0.9
201904,58.3,4.9
201905,58.0,-0.5
201906,68.0,3.8
201907,70.5,1.7
201908,72.6,4.1
201909,69.2,2.8
201910,62.4,1.9
201911,55.1,3.2
201912,48.5,2.2
202001,48.0,2.3
