Shasta County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,40.0,1.2
200002,42.3,0.6
200003,46.6,1.4
200004,53.9,3.2
200005,58.4,0.6
200006,70.2,4.7
200007,70.4,-2.3
200008,72.6,1.1
200009,64.9,-1.0
200010,55.1,-1.4
200011,42.3,-3.6
200012,43.0,3.4
200101,39.6,0.8
200102,38.7,-3.0
200103,49.6,4.4
200104,48.1,-2.6
200105,66.0,8.2
200106,66.8,1.3
200107,72.9,0.2
200108,73.5,2.0
200109,68.5,2.6
200110,60.5,4.0
200111,45.9,0.0
200112,38.1,-1.5
200201,37.8,-1.0
200202,44.4,2.7
200203,44.7,-0.5
200204,52.9,2.2
200205,58.3,0.5
200206,68.7,3.2
200207,76.4,3.7
200208,72.9,1.4
200209,68.4,2.5
200210,57.9,1.4
200211,48.7,2.8
200212,40.2,0.6
200301,45.6,6.8
200302,42.9,1.2
200303,47.1,1.9
200304,44.3,-6.4
200305,58.2,0.4
200306,70.7,5.2
200307,77.0,4.3
200308,71.0,-0.5
200309,70.5,4.6
200310,61.8,5.3
200311,42.3,-3.6
200312,39.4,-0.2
200401,38.6,-0.2
200402,40.9,-0.8
200403,53.0,7.8
200404,53.8,3.1
200405,59.1,1.3
200406,68.5,3.0
200407,74.5,1.8
200408,72.8,1.3
200409,66.4,0.5
200410,55.0,-1.5
200411,45.8,-0.1
200412,42.4,2.8
200501,40.7,1.9
200502,45.2,3.5
200503,48.2,3.0
200504,49.2,-1.5
200505,57.6,-0.2
200506,61.2,-4.3
200507,76.7,4.0
200508,74.2,2.7
200509,64.2,-1.7
200510,56.0,-0.5
200511,46.7,0.8
200512,41.4,1.8
200601,40.0,1.2
200602,43.5,1.8
200603,38.2,-7.0
200604,48.6,-2.1
200605,61.3,3.5
200606,70.2,4.7
200607,76.7,4.0
200608,71.9,0.4
200609,67.6,1.7
200610,56.4,-0.1
200611,44.7,-1.2
200612,39.9,0.3
200701,39.7,0.9
200702,42.1,0.4
200703,50.5,5.3
200704,52.1,1.4
200705,61.3,3.5
200706,67.4,1.9
200707,74.1,1.4
200708,72.6,1.1
200709,64.2,-1.7
200710,53.1,-3.4
200711,49.0,3.1
200712,37.2,-2.4
200801,36.3,-2.5
200802,42.0,0.3
200803,45.4,0.2
200804,49.2,-1.5
200805,60.2,2.4
200806,67.4,1.9
200807,74.4,1.7
200808,74.5,3.0
200809,69.5,3.6
200810,57.9,1.4
200811,49.4,3.5
200812,37.8,-1.8
200901,43.6,4.8
200902,41.0,-0.7
200903,44.8,-0.4
200904,51.2,0.5
200905,62.6,4.8
200906,65.8,0.3
200907,75.2,2.5
200908,72.3,0.8
200909,70.2,4.3
200910,54.7,-1.8
200911,45.9,0.0
200912,37.0,-2.6
201001,41.5,2.7
201002,42.8,1.1
201003,44.7,-0.5
201004,46.0,-4.7
201005,51.9,-5.9
201006,65.2,-0.3
201007,75.2,2.5
201008,71.2,-0.3
201009,66.6,0.7
201010,57.4,0.9
201011,44.3,-1.6
201012,40.0,0.4
201101,42.6,3.8
201102,40.3,-1.4
201103,42.3,-2.9
201104,47.7,-3.0
201105,53.0,-4.8
201106,63.0,-2.5
201107,71.5,-1.2
201108,72.5,1.0
201109,70.8,4.9
201110,57.0,0.5
201111,44.2,-1.7
201112,41.2,1.6
201201,41.7,2.9
201202,42.8,1.1
201203,42.6,-2.6
201204,50.9,0.2
201205,59.7,1.9
201206,64.5,-1.0
201207,72.4,-0.3
201208,75.4,3.9
201209,70.9,5.0
201210,58.6,2.1
201211,47.3,1.4
201212,37.2,-2.4
201301,38.8,0.0
201302,43.0,1.3
201303,49.1,3.9
201304,54.5,3.8
201305,60.4,2.6
201306,69.1,3.6
201307,77.1,4.4
201308,71.7,0.2
201309,65.4,-0.5
201310,55.7,-0.8
201311,48.8,2.9
201312,40.6,1.0
201401,46.5,7.7
201402,44.1,2.4
201403,48.2,3.0
201404,53.3,2.6
201405,61.2,3.4
201406,69.6,4.1
201407,77.9,5.2
201408,73.6,2.1
201409,69.2,3.3
201410,59.6,3.1
201411,48.2,2.3
201412,43.2,3.6
201501,47.0,8.2
201502,49.6,7.9
201503,53.0,7.8
201504,53.4,2.7
201505,60.4,2.6
201506,73.9,8.4
201507,74.7,2.0
201508,73.3,1.8
201509,68.0,2.1
201510,61.8,5.3
201511,43.4,-2.5
201512,37.3,-2.3
201601,39.8,1.0
201602,47.4,5.7
201603,47.4,2.2
201604,55.5,4.8
201605,60.1,2.3
201606,69.0,3.5
201607,74.0,1.3
201608,75.2,3.7
201609,68.1,2.2
201610,54.3,-2.2
201611,47.0,1.1
201612,37.8,-1.8
201701,37.4,-1.4
201702,42.4,0.7
201703,47.9,2.7
201704,49.4,-1.3
201705,62.1,4.3
201706,69.8,4.3
201707,77.1,4.4
201708,77.8,6.3
201709,68.4,2.5
201710,57.7,1.2
201711,46.2,0.3
201712,43.0,3.4
201801,44.1,5.3
201802,42.9,1.2
201803,43.5,-1.7
201804,51.8,1.1
201805,61.9,4.1
201806,69.0,3.5
201807,78.0,5.3
201808,73.0,1.5
201809,67.4,1.5
201810,58.1,1.6
201811,49.1,3.2
201812,40.3,0.7
201901,43.3,4.5
201902,36.3,-5.4
201903,44.3,-0.9
201904,54.8,4.1
201905,57.8,0.0
201906,69.5,4.0
201907,73.3,0.6
201908,74.2,2.7
201909,65.1,-0.8
201910,54.4,-2.1
201911,50.4,4.5
201912,40.4,0.8
202001,40.8,2.0
