Eagle County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.1,4.4
200002,27.9,6.1
200003,30.8,3.1
200004,40.9,4.6
200005,49.4,3.7
200006,55.9,1.8
200007,62.7,2.9
200008,61.7,3.5
200009,53.0,1.9
200010,42.8,1.9
200011,20.9,-6.9
200012,20.4,0.7
200101,18.9,0.2
200102,25.0,3.2
200103,31.2,3.5
200104,39.6,3.3
200105,47.6,1.9
200106,56.8,2.7
200107,62.8,3.0
200108,59.8,1.6
200109,53.7,2.6
200110,41.8,0.9
200111,32.2,4.4
200112,19.3,-0.4
200201,17.9,-0.8
200202,18.9,-2.9
200203,25.7,-2.0
200204,41.6,5.3
200205,46.7,1.0
200206,59.4,5.3
200207,64.6,4.8
200208,59.9,1.7
200209,51.4,0.3
200210,38.8,-2.1
200211,26.4,-1.4
200212,21.0,1.3
200301,26.2,7.5
200302,21.1,-0.7
200303,30.3,2.6
200304,37.9,1.6
200305,47.0,1.3
200306,53.2,-0.9
200307,65.3,5.5
200308,61.4,3.2
200309,50.4,-0.7
200310,46.2,5.3
200311,26.8,-1.0
200312,22.5,2.8
200401,20.1,1.4
200402,21.1,-0.7
200403,35.5,7.8
200404,38.9,2.6
200405,47.1,1.4
200406,53.9,-0.2
200407,59.1,-0.7
200408,57.0,-1.2
200409,50.0,-1.1
200410,40.7,-0.2
200411,29.0,1.2
200412,21.1,1.4
200501,25.5,6.8
200502,24.5,2.7
200503,28.3,0.6
200504,37.6,1.3
200505,46.9,1.2
200506,52.4,-1.7
200507,62.9,3.1
200508,57.7,-0.5
200509,53.1,2.0
200510,42.5,1.6
200511,29.5,1.7
200512,18.9,-0.8
200601,20.8,2.1
200602,21.3,-0.5
200603,28.2,0.5
200604,40.1,3.8
200605,48.3,2.6
200606,57.6,3.5
200607,62.4,2.6
200608,58.3,0.1
200609,47.0,-4.1
200610,38.6,-2.3
200611,29.7,1.9
200612,21.9,2.2
200701,17.6,-1.1
200702,24.5,2.7
200703,33.4,5.7
200704,38.9,2.6
200705,46.3,0.6
200706,56.2,2.1
200707,63.1,3.3
200708,61.2,3.0
200709,52.3,1.2
200710,41.3,0.4
200711,32.6,4.8
200712,18.0,-1.7
200801,15.1,-3.6
200802,21.6,-0.2
200803,25.8,-1.9
200804,32.8,-3.5
200805,43.1,-2.6
200806,53.3,-0.8
200807,61.3,1.5
200808,59.1,0.9
200809,51.2,0.1
200810,41.6,0.7
200811,31.9,4.1
200812,20.3,0.6
200901,22.5,3.8
200902,25.4,3.6
200903,30.4,2.7
200904,35.4,-0.9
200905,48.0,2.3
200906,52.3,-1.8
200907,59.6,-0.2
200908,57.7,-0.5
200909,52.1,1.0
200910,36.4,-4.5
200911,32.3,4.5
200912,15.5,-4.2
201001,20.9,2.2
201002,19.8,-2.0
201003,29.2,1.5
201004,36.3,0.0
201005,43.3,-2.4
201006,56.5,2.4
201007,61.6,1.8
201008,58.6,0.4
201009,54.2,3.1
201010,43.0,2.1
201011,26.9,-0.9
201012,26.2,6.5
201101,18.8,0.1
201102,18.7,-3.1
201103,31.1,3.4
201104,35.0,-1.3
201105,42.1,-3.6
201106,54.3,0.2
201107,61.3,1.5
201108,60.6,2.4
201109,52.0,0.9
201110,40.7,-0.2
201111,28.5,0.7
201112,21.0,1.3
201201,22.7,4.0
201202,22.5,0.7
201203,34.6,6.9
201204,41.3,5.0
201205,48.2,2.5
201206,59.9,5.8
201207,62.5,2.7
201208,60.3,2.1
201209,53.0,1.9
201210,41.6,0.7
201211,33.8,6.0
201212,20.3,0.6
201301,16.8,-1.9
201302,19.2,-2.6
201303,28.5,0.8
201304,33.6,-2.7
201305,45.2,-0.5
201306,57.7,3.6
201307,62.1,2.3
201308,59.5,1.3
201309,53.6,2.5
201310,38.1,-2.8
201311,30.0,2.2
201312,17.9,-1.8
201401,20.5,1.8
201402,24.9,3.1
201403,29.7,2.0
201404,35.7,-0.6
201405,45.2,-0.5
201406,54.5,0.4
201407,61.7,1.9
201408,56.7,-1.5
201409,54.0,2.9
201410,43.8,2.9
201411,28.6,0.8
201412,23.7,4.0
201501,25.5,6.8
201502,28.0,6.2
201503,34.8,7.1
201504,38.2,1.9
201505,43.8,-1.9
201506,58.6,4.5
201507,58.4,-1.4
201508,59.7,1.5
201509,54.4,3.3
201510,45.7,4.8
201511,28.6,0.8
201512,20.2,0.5
201601,20.1,1.4
201602,25.8,4.0
201603,30.4,2.7
201604,37.3,1.0
201605,44.8,-0.9
201606,59.0,4.9
201607,61.4,1.6
201608,57.2,-1.0
201609,53.0,1.9
201610,45.2,4.3
201611,34.8,7.0
201612,21.2,1.5
201701,20.1,1.4
201702,29.8,8.0
201703,36.6,8.9
201704,37.2,0.9
201705,45.0,-0.7
201706,57.7,3.6
201707,62.3,2.5
201708,58.7,0.5
201709,53.2,2.1
201710,40.4,-0.5
201711,36.4,8.6
201712,24.8,5.1
201801,24.5,5.8
201802,24.3,2.5
201803,31.1,3.4
201804,38.3,2.0
201805,50.4,4.7
201806,58.5,4.4
201807,64.0,4.2
201808,59.9,1.7
201809,55.7,4.6
201810,39.9,-1.0
201811,25.5,-2.3
201812,19.4,-0.3
201901,20.7,2.0
201902,20.9,-0.9
201903,29.5,1.8
201904,39.6,3.3
201905,41.7,-4.0
201906,53.0,-1.1
201907,61.6,1.8
201908,61.3,3.1
201909,55.9,4.8
201910,35.0,-5.9
201911,31.4,3.6
201912,21.0,1.3
202001,20.8,2.1
