Pueblo County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,35.5,4.6
200002,41.6,7.1
200003,42.6,2.2
200004,52.7,3.6
200005,63.1,4.5
200006,69.9,1.4
200007,76.4,2.6
200008,75.7,4.1
200009,66.1,2.2
200010,53.0,0.6
200011,33.6,-6.2
200012,30.6,-1.5
200101,29.4,-1.5
200102,34.1,-0.4
200103,41.1,0.7
200104,53.2,4.1
200105,59.3,0.7
200106,70.8,2.3
200107,77.8,4.0
200108,73.6,2.0
200109,66.3,2.4
200110,53.8,1.4
200111,44.1,4.3
200112,33.5,1.4
200201,32.0,1.1
200202,34.0,-0.5
200203,39.0,-1.4
200204,54.1,5.0
200205,60.8,2.2
200206,74.7,6.2
200207,77.5,3.7
200208,73.8,2.2
200209,65.6,1.7
200210,48.2,-4.2
200211,40.6,0.8
200212,33.8,1.7
200301,37.6,6.7
200302,30.7,-3.8
200303,44.0,3.6
200304,53.3,4.2
200305,61.6,3.0
200306,66.2,-2.3
200307,79.8,6.0
200308,74.9,3.3
200309,61.8,-2.1
200310,57.1,4.7
200311,40.5,0.7
200312,35.6,3.5
200401,33.0,2.1
200402,32.2,-2.3
200403,48.5,8.1
200404,49.7,0.6
200405,62.7,4.1
200406,66.9,-1.6
200407,71.8,-2.0
200408,68.6,-3.0
200409,64.7,0.8
200410,53.2,0.8
200411,38.9,-0.9
200412,35.2,3.1
200501,35.2,4.3
200502,37.1,2.6
200503,40.8,0.4
200504,49.6,0.5
200505,59.8,1.2
200506,69.4,0.9
200507,77.2,3.4
200508,71.7,0.1
200509,67.5,3.6
200510,53.9,1.5
200511,44.5,4.7
200512,31.9,-0.2
200601,37.4,6.5
200602,33.7,-0.8
200603,42.1,1.7
200604,54.5,5.4
200605,62.4,3.8
200606,73.2,4.7
200607,75.9,2.1
200608,71.7,0.1
200609,59.2,-4.7
200610,51.2,-1.2
200611,42.8,3.0
200612,32.8,0.7
200701,24.9,-6.0
200702,34.1,-0.4
200703,47.2,6.8
200704,48.3,-0.8
200705,59.3,0.7
200706,67.8,-0.7
200707,74.7,0.9
200708,75.6,4.0
200709,66.2,2.3
200710,55.4,3.0
200711,43.2,3.4
200712,29.9,-2.2
200801,29.2,-1.7
200802,35.1,0.6
200803,41.4,1.0
200804,48.3,-0.8
200805,58.6,0.0
200806,69.5,1.0
200807,76.1,2.3
200808,71.2,-0.4
200809,63.1,-0.8
200810,53.5,1.1
200811,44.0,4.2
200812,32.3,0.2
200901,35.8,4.9
200902,39.0,4.5
200903,44.0,3.6
200904,49.4,0.3
200905,61.2,2.6
200906,67.5,-1.0
200907,73.3,-0.5
200908,71.2,-0.4
200909,62.7,-1.2
200910,46.6,-5.8
200911,43.9,4.1
200912,26.5,-5.6
201001,32.6,1.7
201002,30.0,-4.5
201003,41.8,1.4
201004,50.8,1.7
201005,57.9,-0.7
201006,71.8,3.3
201007,75.6,1.8
201008,73.6,2.0
201009,68.8,4.9
201010,55.6,3.2
201011,40.0,0.2
201012,35.9,3.8
201101,29.8,-1.1
201102,30.3,-4.2
201103,45.0,4.6
201104,51.2,2.1
201105,57.5,-1.1
201106,72.3,3.8
201107,77.7,3.9
201108,76.5,4.9
201109,64.8,0.9
201110,53.2,0.8
201111,41.6,1.8
201112,27.6,-4.5
201201,37.1,6.2
201202,33.4,-1.1
201203,49.1,8.7
201204,55.0,5.9
201205,62.2,3.6
201206,76.0,7.5
201207,78.2,4.4
201208,74.0,2.4
201209,65.4,1.5
201210,51.6,-0.8
201211,45.8,6.0
201212,32.3,0.2
201301,31.2,0.3
201302,32.8,-1.7
201303,41.4,1.0
201304,46.3,-2.8
201305,59.7,1.1
201306,72.8,4.3
201307,74.3,0.5
201308,73.5,1.9
201309,68.1,4.2
201310,50.8,-1.6
201311,40.7,0.9
201312,31.4,-0.7
201401,32.6,1.7
201402,33.0,-1.5
201403,42.6,2.2
201404,50.8,1.7
201405,60.0,1.4
201406,71.0,2.5
201407,74.0,0.2
201408,71.7,0.1
201409,66.2,2.3
201410,55.8,3.4
201411,38.5,-1.3
201412,32.5,0.4
201501,34.3,3.4
201502,36.0,1.5
201503,45.3,4.9
201504,51.5,2.4
201505,55.9,-2.7
201506,71.4,2.9
201507,73.4,-0.4
201508,73.8,2.2
201509,69.6,5.7
201510,57.2,4.8
201511,40.8,1.0
201512,33.1,1.0
201601,33.6,2.7
201602,39.8,5.3
201603,44.6,4.2
201604,50.4,1.3
201605,58.2,-0.4
201606,73.5,5.0
201607,77.4,3.6
201608,71.4,-0.2
201609,67.7,3.8
201610,59.3,6.9
201611,46.2,6.4
201612,31.8,-0.3
201701,32.6,1.7
201702,42.7,8.2
201703,49.2,8.8
201704,51.4,2.3
201705,57.9,-0.7
201706,71.4,2.9
201707,75.5,1.7
201708,70.2,-1.4
201709,65.4,1.5
201710,53.2,0.8
201711,47.1,7.3
201712,35.0,2.9
201801,35.6,4.7
201802,34.5,0.0
201803,45.2,4.8
201804,50.2,1.1
201805,65.7,7.1
201806,75.2,6.7
201807,76.6,2.8
201808,72.0,0.4
201809,68.3,4.4
201810,50.5,-1.9
201811,38.4,-1.4
201812,32.9,0.8
201901,33.3,2.4
201902,33.5,-1.0
201903,40.1,-0.3
201904,52.4,3.3
201905,54.8,-3.8
201906,67.8,-0.7
201907,76.4,2.6
201908,75.8,4.2
201909,71.5,7.6
201910,46.9,-5.5
201911,39.5,-0.3
201912,35.1,3.0
202001,35.0,4.1
