San Miguel County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.6,5.0
200002,33.2,6.0
200003,35.1,2.1
200004,46.3,5.8
200005,55.2,5.9
200006,62.2,3.7
200007,67.7,3.4
200008,66.8,4.3
200009,58.6,3.2
200010,46.3,1.2
200011,27.7,-5.1
200012,28.2,3.3
200101,24.7,1.1
200102,30.2,3.0
200103,36.6,3.6
200104,43.9,3.4
200105,53.9,4.6
200106,62.5,4.0
200107,67.1,2.8
200108,64.2,1.7
200109,59.7,4.3
200110,47.9,2.8
200111,37.3,4.5
200112,24.0,-0.9
200201,24.4,0.8
200202,25.8,-1.4
200203,32.2,-0.8
200204,47.0,6.5
200205,52.6,3.3
200206,64.9,6.4
200207,69.2,4.9
200208,64.8,2.3
200209,56.6,1.2
200210,43.8,-1.3
200211,33.6,0.8
200212,26.2,1.3
200301,32.3,8.7
200302,27.6,0.4
200303,35.0,2.0
200304,42.4,1.9
200305,52.8,3.5
200306,60.3,1.8
200307,70.8,6.5
200308,66.4,3.9
200309,56.6,1.2
200310,50.9,5.8
200311,32.9,0.1
200312,27.7,2.8
200401,24.0,0.4
200402,25.5,-1.7
200403,41.6,8.6
200404,43.6,3.1
200405,52.9,3.6
200406,60.8,2.3
200407,65.6,1.3
200408,62.9,0.4
200409,54.7,-0.7
200410,44.9,-0.2
200411,33.3,0.5
200412,27.8,2.9
200501,32.2,8.6
200502,31.6,4.4
200503,34.2,1.2
200504,42.3,1.8
200505,52.1,2.8
200506,58.2,-0.3
200507,68.6,4.3
200508,62.7,0.2
200509,57.2,1.8
200510,47.4,2.3
200511,36.8,4.0
200512,26.6,1.7
200601,27.9,4.3
200602,29.4,2.2
200603,33.9,0.9
200604,45.0,4.5
200605,54.6,5.3
200606,63.6,5.1
200607,67.3,3.0
200608,63.2,0.7
200609,51.9,-3.5
200610,43.6,-1.5
200611,36.1,3.3
200612,27.5,2.6
200701,23.9,0.3
200702,30.7,3.5
200703,38.7,5.7
200704,43.8,3.3
200705,51.2,1.9
200706,62.1,3.6
200707,68.3,4.0
200708,66.2,3.7
200709,57.6,2.2
200710,46.1,1.0
200711,38.7,5.9
200712,23.0,-1.9
200801,20.0,-3.6
200802,27.4,0.2
200803,33.5,0.5
200804,39.6,-0.9
200805,48.4,-0.9
200806,59.9,1.4
200807,66.4,2.1
200808,64.5,2.0
200809,56.9,1.5
200810,47.0,1.9
200811,38.0,5.2
200812,26.2,1.3
200901,28.5,4.9
200902,31.2,4.0
200903,37.0,4.0
200904,41.1,0.6
200905,54.4,5.1
200906,57.6,-0.9
200907,66.6,2.3
200908,63.9,1.4
200909,56.9,1.5
200910,42.4,-2.7
200911,38.0,5.2
200912,20.8,-4.1
201001,25.4,1.8
201002,26.1,-1.1
201003,34.0,1.0
201004,41.3,0.8
201005,48.4,-0.9
201006,61.8,3.3
201007,66.5,2.2
201008,63.0,0.5
201009,59.3,3.9
201010,47.9,2.8
201011,31.7,-1.1
201012,32.2,7.3
201101,24.0,0.4
201102,25.5,-1.7
201103,37.8,4.8
201104,41.1,0.6
201105,47.5,-1.8
201106,60.0,1.5
201107,66.3,2.0
201108,66.2,3.7
201109,57.3,1.9
201110,45.8,0.7
201111,33.8,1.0
201112,25.9,1.0
201201,28.7,5.1
201202,28.2,1.0
201203,38.9,5.9
201204,45.8,5.3
201205,54.1,4.8
201206,65.5,7.0
201207,66.7,2.4
201208,65.7,3.2
201209,57.7,2.3
201210,47.4,2.3
201211,38.6,5.8
201212,25.2,0.3
201301,21.2,-2.4
201302,24.6,-2.6
201303,36.6,3.6
201304,41.0,0.5
201305,51.2,1.9
201306,64.8,6.3
201307,68.0,3.7
201308,63.8,1.3
201309,57.6,2.2
201310,42.5,-2.6
201311,35.5,2.7
201312,23.4,-1.5
201401,28.3,4.7
201402,32.1,4.9
201403,36.4,3.4
201404,41.3,0.8
201405,50.5,1.2
201406,61.0,2.5
201407,67.7,3.4
201408,62.2,-0.3
201409,59.1,3.7
201410,49.1,4.0
201411,34.9,2.1
201412,28.8,3.9
201501,30.6,7.0
201502,34.5,7.3
201503,41.1,8.1
201504,43.1,2.6
201505,48.4,-0.9
201506,62.8,4.3
201507,63.6,-0.7
201508,64.5,2.0
201509,60.1,4.7
201510,50.1,5.0
201511,33.5,0.7
201512,24.5,-0.4
201601,25.4,1.8
201602,31.8,4.6
201603,37.4,4.4
201604,42.6,2.1
201605,49.7,0.4
201606,65.0,6.5
201607,66.6,2.3
201608,61.7,-0.8
201609,56.9,1.5
201610,50.2,5.1
201611,38.9,6.1
201612,27.5,2.6
201701,26.8,3.2
201702,34.9,7.7
201703,41.2,8.2
201704,43.0,2.5
201705,50.5,1.2
201706,64.2,5.7
201707,67.3,3.0
201708,63.9,1.4
201709,57.7,2.3
201710,47.3,2.2
201711,42.4,9.6
201712,32.1,7.2
201801,30.4,6.8
201802,30.0,2.8
201803,36.5,3.5
201804,45.8,5.3
201805,55.2,5.9
201806,64.9,6.4
201807,69.4,5.1
201808,66.4,3.9
201809,60.5,5.1
201810,44.8,-0.3
201811,33.1,0.3
201812,26.5,1.6
201901,25.5,1.9
201902,25.2,-2.0
201903,35.8,2.8
201904,44.8,4.3
201905,46.3,-3.0
201906,59.5,1.0
201907,67.1,2.8
201908,66.6,4.1
201909,60.2,4.8
201910,41.8,-3.3
201911,36.8,4.0
201912,27.2,2.3
202001,26.3,2.7
