New Haven County, Connecticut, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,26.2,-0.4
200002,32.2,4.9
200003,42.5,6.2
200004,46.7,0.1
200005,58.7,1.5
200006,66.9,0.8
200007,68.7,-2.8
200008,68.7,-0.8
200009,62.1,-0.3
200010,52.0,0.0
200011,41.3,0.2
200012,27.4,-3.0
200101,27.4,0.8
200102,30.6,3.3
200103,35.3,-1.0
200104,48.7,2.1
200105,59.4,2.2
200106,69.1,3.0
200107,69.5,-2.0
200108,73.7,4.2
200109,63.2,0.8
200110,53.7,1.7
200111,46.3,5.2
200112,37.9,7.5
200201,34.3,7.7
200202,34.4,7.1
200203,39.5,3.2
200204,50.0,3.4
200205,55.5,-1.7
200206,66.0,-0.1
200207,74.1,2.6
200208,72.3,2.8
200209,65.2,2.8
200210,50.6,-1.4
200211,41.0,-0.1
200212,31.0,0.6
200301,23.0,-3.6
200302,24.6,-2.7
200303,36.7,0.4
200304,44.5,-2.1
200305,55.3,-1.9
200306,64.5,-1.6
200307,72.2,0.7
200308,72.3,2.8
200309,63.8,1.4
200310,50.4,-1.6
200311,43.8,2.7
200312,33.0,2.6
200401,19.5,-7.1
200402,28.8,1.5
200403,38.2,1.9
200404,47.9,1.3
200405,59.9,2.7
200406,65.6,-0.5
200407,70.4,-1.1
200408,70.1,0.6
200409,64.9,2.5
200410,52.1,0.1
200411,42.7,1.6
200412,31.9,1.5
200501,25.2,-1.4
200502,29.9,2.6
200503,33.1,-3.2
200504,49.5,2.9
200505,53.7,-3.5
200506,69.2,3.1
200507,73.0,1.5
200508,73.7,4.2
200509,66.6,4.2
200510,52.7,0.7
200511,43.6,2.5
200512,29.7,-0.7
200601,34.0,7.4
200602,30.0,2.7
200603,37.1,0.8
200604,49.3,2.7
200605,57.6,0.4
200606,67.2,1.1
200607,74.4,2.9
200608,70.9,1.4
200609,61.8,-0.6
200610,52.1,0.1
200611,46.9,5.8
200612,38.7,8.3
200701,32.3,5.7
200702,24.0,-3.3
200703,35.8,-0.5
200704,45.3,-1.3
200705,60.1,2.9
200706,66.9,0.8
200707,71.5,0.0
200708,70.7,1.2
200709,65.0,2.6
200710,58.6,6.6
200711,40.9,-0.2
200712,31.2,0.8
200801,30.8,4.2
200802,30.1,2.8
200803,37.3,1.0
200804,49.2,2.6
200805,55.5,-1.7
200806,69.2,3.1
200807,73.6,2.1
200808,68.1,-1.4
200809,63.8,1.4
200810,50.8,-1.2
200811,40.5,-0.6
200812,33.0,2.6
200901,22.1,-4.5
200902,31.0,3.7
200903,37.5,1.2
200904,49.4,2.8
200905,58.1,0.9
200906,64.3,-1.8
200907,69.6,-1.9
200908,72.2,2.7
200909,61.7,-0.7
200910,50.1,-1.9
200911,46.3,5.2
200912,30.6,0.2
201001,27.4,0.8
201002,29.9,2.6
201003,43.2,6.9
201004,52.4,5.8
201005,61.1,3.9
201006,69.5,3.4
201007,76.1,4.6
201008,71.9,2.4
201009,66.5,4.1
201010,54.0,2.0
201011,43.0,1.9
201012,29.0,-1.4
201101,24.3,-2.3
201102,28.1,0.8
201103,38.3,2.0
201104,49.7,3.1
201105,60.2,3.0
201106,68.2,2.1
201107,75.5,4.0
201108,72.2,2.7
201109,67.4,5.0
201110,54.7,2.7
201111,46.6,5.5
201112,38.0,7.6
201201,32.5,5.9
201202,35.9,8.6
201203,45.8,9.5
201204,50.4,3.8
201205,61.5,4.3
201206,67.4,1.3
201207,75.0,3.5
201208,73.0,3.5
201209,64.5,2.1
201210,55.4,3.4
201211,39.7,-1.4
201212,36.9,6.5
201301,29.8,3.2
201302,29.7,2.4
201303,36.9,0.6
201304,48.1,1.5
201305,58.3,1.1
201306,68.6,2.5
201307,76.7,5.2
201308,69.8,0.3
201309,62.8,0.4
201310,54.9,2.9
201311,40.6,-0.5
201312,32.3,1.9
201401,24.3,-2.3
201402,26.0,-1.3
201403,31.9,-4.4
201404,47.2,0.6
201405,59.2,2.0
201406,67.9,1.8
201407,73.0,1.5
201408,69.7,0.2
201409,65.1,2.7
201410,55.1,3.1
201411,40.4,-0.7
201412,36.0,5.6
201501,24.4,-2.2
201502,16.8,-10.5
201503,32.2,-4.1
201504,48.0,1.4
201505,63.0,5.8
201506,66.4,0.3
201507,73.6,2.1
201508,73.2,3.7
201509,69.0,6.6
201510,53.0,1.0
201511,47.0,5.9
201512,44.6,14.2
201601,30.8,4.2
201602,32.9,5.6
201603,43.9,7.6
201604,47.5,0.9
201605,58.4,1.2
201606,68.2,2.1
201607,75.1,3.6
201608,75.0,5.5
201609,67.5,5.1
201610,54.9,2.9
201611,44.6,3.5
201612,33.9,3.5
201701,34.0,7.4
201702,35.7,8.4
201703,35.1,-1.2
201704,52.6,6.0
201705,57.8,0.6
201706,68.0,1.9
201707,72.7,1.2
201708,70.6,1.1
201709,67.0,4.6
201710,59.5,7.5
201711,42.2,1.1
201712,30.3,-0.1
201801,26.2,-0.4
201802,36.6,9.3
201803,37.8,1.5
201804,45.1,-1.5
201805,63.0,5.8
201806,67.8,1.7
201807,74.9,3.4
201808,75.6,6.1
201809,67.6,5.2
201810,54.0,2.0
201811,40.4,-0.7
201812,35.4,5.0
201901,28.0,1.4
201902,31.0,3.7
201903,36.0,-0.3
201904,49.9,3.3
201905,58.1,0.9
201906,67.7,1.6
201907,75.9,4.4
201908,71.8,2.3
201909,64.6,2.2
201910,55.0,3.0
201911,39.1,-2.0
201912,32.8,2.4
202001,33.8,7.2
